Oxymax CSV File 

CSV Generation Date,10/10/2022 9:08:37 AM 
Experiment Started,3/30/2021 6:08:32 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-03-30 UCP1 mCre AdipoqCre and KO.CDTA

Group/Cage,0107
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,2928
Subject Mass (G), 22 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0107,3/30/2021 6:11:17 PM ,7208,20.902,20.619,0.283,0.0,5880,0.065,0.305,0.240,0.0,0.816,34.7,0.898,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,305,179,400,239,8,5,0.0,ERR:0,36.6,23.2,21.9,30.0,0,0,0,
2,0107,3/30/2021 6:16:57 PM ,6119,20.902,20.660,0.242,0.0,5036,0.063,0.270,0.206,0.0,0.823,29.5,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,336,31,283,67,7,1,0.0,ERR:0,37.1,23.3,23.8,30.0,0,0,0,
3,0107,3/30/2021 6:22:37 PM ,5827,20.902,20.674,0.228,0.0,4607,0.064,0.252,0.188,0.0,0.791,27.9,0.898,75.00,STABLE / OPEN,0.04,0.04,0.000,0.000,328,177,383,226,38,0,0.0,ERR:0,36.5,23.9,25.4,30.0,0,0,0,
4,0107,3/30/2021 6:28:17 PM ,5308,20.902,20.694,0.208,0.0,4212,0.063,0.235,0.172,0.0,0.793,25.4,0.897,75.00,STABLE / OPEN,0.00,0.04,0.037,0.037,155,42,354,88,3,1,0.0,ERR:0,37.1,24.7,26.9,30.0,0,0,0,
5,0107,3/30/2021 6:33:57 PM ,4283,20.902,20.734,0.167,0.0,3398,0.061,0.199,0.139,0.0,0.793,20.5,0.897,75.00,STABLE / OPEN,0.00,0.04,0.000,0.037,28,11,35,11,2,0,0.0,ERR:0,36.6,25.7,28.1,30.0,0,0,0,
6,0107,3/30/2021 6:39:37 PM ,3829,20.902,20.753,0.149,0.1,2922,0.061,0.181,0.119,0.0,0.763,18.2,0.897,75.00,STABLE / OPEN,0.00,0.04,0.184,0.221,5,0,73,7,0,0,0.0,ERR:0,36.7,26.7,29.1,30.0,0,0,0,
7,0107,3/30/2021 6:45:17 PM ,3892,20.902,20.751,0.151,0.1,2968,0.060,0.182,0.121,0.1,0.763,18.5,0.897,75.00,STABLE / OPEN,0.00,0.04,0.000,0.221,284,37,332,49,5,1,0.0,ERR:0,37.1,27.7,29.9,30.0,0,0,0,
8,0107,3/30/2021 6:50:57 PM ,4248,20.902,20.736,0.166,0.1,3331,0.060,0.196,0.136,0.1,0.784,20.3,0.897,75.00,STABLE / OPEN,0.00,0.04,0.000,0.221,400,159,499,254,29,1,0.0,ERR:0,38.2,28.6,30.4,30.0,0,0,0,
9,0107,3/30/2021 6:56:37 PM ,4366,20.902,20.731,0.170,0.1,3404,0.058,0.197,0.139,0.1,0.780,20.8,0.896,75.00,STABLE / OPEN,0.04,0.09,0.000,0.221,566,236,1011,542,23,3,0.0,ERR:0,37.5,29.4,30.0,30.0,0,0,0,
10,0107,3/30/2021 7:02:17 PM ,4551,20.902,20.724,0.178,0.1,3631,0.058,0.207,0.148,0.1,0.798,21.8,0.898,75.00,STABLE / OPEN,0.00,0.09,0.280,0.502,798,397,1158,711,27,0,0.0,ERR:0,37.9,29.8,30.5,30.0,0,0,0,
11,0107,3/30/2021 7:07:57 PM ,4476,20.902,20.727,0.175,0.1,3560,0.058,0.204,0.146,0.1,0.795,21.5,0.897,75.00,STABLE / OPEN,0.03,0.12,0.000,0.502,543,232,982,488,8,2,0.0,ERR:0,38.2,30.2,30.0,30.0,0,0,0,
12,0107,3/30/2021 7:13:37 PM ,4467,20.902,20.727,0.175,0.1,3579,0.057,0.203,0.146,0.1,0.801,21.5,0.899,75.00,STABLE / OPEN,0.00,0.12,0.000,0.502,402,149,775,342,0,0,0.0,ERR:0,38.1,30.5,30.5,30.0,0,0,0,
13,0107,3/30/2021 7:19:17 PM ,4465,20.902,20.726,0.176,0.1,3689,0.055,0.205,0.151,0.1,0.826,21.6,0.898,75.00,STABLE / OPEN,0.10,0.22,0.000,0.502,469,238,713,426,44,1,0.0,ERR:0,38.2,30.7,30.0,30.0,0,0,0,
14,0107,3/30/2021 7:24:57 PM ,4510,20.902,20.725,0.177,0.1,3684,0.055,0.206,0.150,0.1,0.817,21.7,0.898,75.00,STABLE / OPEN,0.00,0.22,0.000,0.502,871,526,1439,951,25,0,0.0,ERR:0,38.7,30.9,30.5,30.0,0,0,0,
15,0107,3/30/2021 7:30:37 PM ,4188,20.902,20.736,0.165,0.1,3456,0.055,0.197,0.142,0.1,0.825,20.2,0.895,75.00,STABLE / OPEN,0.00,0.22,0.000,0.502,155,32,513,139,0,0,0.0,ERR:0,38.5,31.0,30.0,30.0,0,0,0,
16,0107,3/30/2021 7:36:17 PM ,4098,20.902,20.740,0.162,0.1,3420,0.054,0.194,0.140,0.1,0.834,19.8,0.898,75.00,UNSTABLE / OPEN,0.06,0.28,0.000,0.502,581,243,619,326,59,0,0.0,ERR:0,38.0,31.0,30.5,30.0,0,0,0,
17,0107,3/30/2021 7:41:57 PM ,4110,20.902,20.741,0.161,0.2,3338,0.053,0.190,0.136,0.1,0.812,19.8,0.898,75.00,STABLE / OPEN,0.07,0.35,0.408,0.909,311,149,376,207,113,0,0.0,ERR:0,37.7,31.1,30.0,30.0,0,0,0,
18,0107,3/30/2021 7:47:37 PM ,3869,20.902,20.751,0.151,0.2,2991,0.053,0.175,0.122,0.1,0.773,18.4,0.897,75.00,STABLE / OPEN,0.00,0.35,0.000,0.909,154,10,311,23,0,0,0.0,ERR:0,37.2,31.1,30.5,30.0,0,0,0,
19,0107,3/30/2021 7:53:17 PM ,3340,20.902,20.769,0.132,0.2,2882,0.051,0.169,0.118,0.1,0.863,16.3,0.898,75.00,STABLE / OPEN,0.00,0.35,0.000,0.909,5579,56,178,90,0,1,0.0,ERR:0,36.9,31.1,30.1,30.0,0,0,0,
20,0107,3/30/2021 7:58:57 PM ,2904,20.902,20.787,0.115,0.2,2501,0.051,0.153,0.102,0.1,0.861,14.2,0.898,75.00,STABLE / OPEN,0.00,0.35,0.000,0.909,113,2,7,4,0,0,0.0,ERR:0,36.5,31.1,30.5,30.0,0,0,0,
21,0107,3/30/2021 8:04:37 PM ,2725,20.902,20.793,0.108,0.2,2365,0.051,0.148,0.097,0.1,0.868,13.3,0.897,75.00,STABLE / OPEN,0.00,0.35,0.000,0.909,847,27,142,62,0,0,0.0,ERR:0,36.5,31.2,30.0,30.0,0,0,0,
22,0107,3/30/2021 8:10:17 PM ,2689,20.902,20.795,0.107,0.2,2338,0.050,0.145,0.095,0.2,0.869,13.1,0.898,75.00,UNSTABLE / OPEN,0.00,0.35,0.000,0.909,1084,4,134,44,0,0,0.0,ERR:0,36.4,31.1,30.5,30.0,0,0,0,
23,0107,3/30/2021 8:15:57 PM ,3165,20.902,20.776,0.126,0.2,2798,0.051,0.165,0.114,0.2,0.884,15.5,0.899,75.00,STABLE / OPEN,0.17,0.52,0.306,1.215,398,181,517,290,70,0,0.0,ERR:0,36.6,31.2,30.0,30.0,0,0,0,
24,0107,3/30/2021 8:21:37 PM ,3485,20.902,20.764,0.138,0.2,3016,0.050,0.173,0.123,0.2,0.866,17.0,0.898,75.00,STABLE / OPEN,0.00,0.52,0.000,1.215,438,139,559,278,35,1,0.0,ERR:0,36.8,31.2,30.5,30.0,0,0,0,
25,0107,3/30/2021 8:27:17 PM ,3737,20.902,20.754,0.148,0.2,3193,0.051,0.181,0.130,0.2,0.855,18.2,0.900,75.00,STABLE / OPEN,0.17,0.70,0.000,1.215,538,195,1137,525,32,0,0.0,ERR:0,36.5,31.2,30.0,30.0,0,0,0,
26,0107,3/30/2021 8:32:57 PM ,3654,20.902,20.756,0.146,0.2,3234,0.048,0.180,0.132,0.2,0.885,17.9,0.896,75.00,STABLE / OPEN,0.00,0.70,0.084,1.299,304,92,709,380,1,0,0.0,ERR:0,36.5,31.2,30.5,30.0,0,0,0,
27,0107,3/30/2021 8:38:37 PM ,3883,20.902,20.749,0.152,0.2,3198,0.047,0.178,0.130,0.2,0.824,18.8,0.900,75.00,STABLE / OPEN,0.00,0.70,0.000,1.299,685,378,1607,917,41,0,0.0,ERR:0,36.4,31.2,30.0,30.0,0,0,0,
28,0107,3/30/2021 8:44:17 PM ,4091,20.902,20.741,0.161,0.2,3404,0.049,0.187,0.139,0.2,0.832,19.8,0.899,75.00,STABLE / OPEN,0.00,0.70,0.000,1.299,999,559,1962,1212,24,0,0.0,ERR:0,36.6,31.2,30.5,30.0,0,0,0,
29,0107,3/30/2021 8:49:57 PM ,3904,20.902,20.748,0.154,0.2,3229,0.050,0.182,0.132,0.2,0.827,18.9,0.897,75.00,UNSTABLE / OPEN,0.00,0.70,0.107,1.406,406,196,737,391,84,1,0.0,ERR:0,36.4,31.2,30.0,30.0,0,0,0,
30,0107,3/30/2021 8:55:37 PM ,3776,20.902,20.752,0.149,0.2,3252,0.049,0.182,0.133,0.2,0.861,18.4,0.900,75.00,STABLE / OPEN,0.00,0.70,0.000,1.406,109,12,160,35,13,0,0.0,ERR:0,36.4,31.2,30.5,30.0,0,0,0,
31,0107,3/30/2021 9:01:17 PM ,3838,20.902,20.750,0.152,0.3,3251,0.049,0.182,0.133,0.2,0.847,18.6,0.896,75.00,UNSTABLE / OPEN,0.00,0.70,0.079,1.485,181,55,277,79,36,0,0.0,ERR:0,36.4,31.3,30.0,30.0,0,0,0,
32,0107,3/30/2021 9:06:57 PM ,3886,20.902,20.749,0.152,0.3,3163,0.049,0.178,0.129,0.2,0.814,18.7,0.899,75.00,STABLE / OPEN,0.32,1.02,0.000,1.485,336,159,379,204,40,0,0.0,ERR:0,36.3,31.2,30.5,30.0,0,0,0,
33,0107,3/30/2021 9:12:37 PM ,3920,20.902,20.748,0.154,0.3,3171,0.048,0.178,0.129,0.2,0.809,18.9,0.898,75.00,STABLE / OPEN,0.00,1.02,0.115,1.600,434,153,504,258,50,1,0.0,ERR:0,36.2,31.2,30.1,30.0,0,0,0,
34,0107,3/30/2021 9:18:17 PM ,4066,20.902,20.741,0.160,0.3,3445,0.048,0.188,0.140,0.2,0.847,19.8,0.899,75.00,STABLE / OPEN,0.00,1.02,0.067,1.667,656,328,1004,487,17,0,0.0,ERR:0,36.2,31.2,30.5,30.0,0,0,0,
35,0107,3/30/2021 9:23:57 PM ,4032,20.902,20.743,0.159,0.3,3353,0.048,0.184,0.137,0.2,0.832,19.5,0.900,75.00,STABLE / OPEN,0.17,1.18,0.000,1.667,394,159,371,210,47,1,0.0,ERR:0,36.1,31.2,30.1,30.0,0,0,0,
36,0107,3/30/2021 9:29:37 PM ,4128,20.902,20.739,0.163,0.3,3520,0.047,0.191,0.144,0.2,0.853,20.1,0.899,75.00,STABLE / OPEN,0.00,1.18,0.000,1.667,1226,707,1439,859,14,0,0.0,ERR:0,36.2,31.3,30.5,30.0,0,0,0,
37,0107,3/30/2021 9:35:17 PM ,4208,20.902,20.735,0.166,0.3,3599,0.047,0.194,0.147,0.3,0.855,20.5,0.900,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,1.667,700,387,1091,688,55,1,0.0,ERR:0,36.0,31.2,30.2,30.0,0,0,0,
38,0107,3/30/2021 9:40:57 PM ,4159,20.902,20.736,0.166,0.3,3672,0.047,0.198,0.150,0.3,0.883,20.4,0.897,75.00,STABLE / OPEN,0.00,1.18,0.122,1.788,491,250,608,280,146,0,0.0,ERR:0,36.0,31.2,30.6,30.0,0,0,0,
39,0107,3/30/2021 9:46:37 PM ,4029,20.902,20.742,0.159,0.3,3476,0.047,0.189,0.142,0.3,0.863,19.7,0.900,75.00,STABLE / OPEN,0.04,1.22,0.000,1.788,641,359,749,459,181,0,0.0,ERR:0,35.8,31.2,30.2,30.0,0,0,0,
40,0107,3/30/2021 9:52:17 PM ,4042,20.902,20.743,0.159,0.3,3404,0.046,0.185,0.139,0.3,0.842,19.6,0.900,75.00,STABLE / OPEN,0.00,1.22,0.000,1.788,1091,564,1151,708,21,0,0.0,ERR:0,35.5,31.2,30.6,30.0,0,0,0,
41,0107,3/30/2021 9:57:57 PM ,4009,20.902,20.743,0.159,0.3,3452,0.047,0.188,0.141,0.3,0.861,19.5,0.900,75.00,STABLE / OPEN,0.00,1.22,0.000,1.788,493,262,603,367,178,0,0.0,ERR:0,35.7,31.2,30.3,30.0,0,0,0,
42,0107,3/30/2021 10:03:37 PM ,3829,20.902,20.751,0.150,0.3,3193,0.047,0.176,0.130,0.3,0.834,18.5,0.902,75.00,STABLE / OPEN,0.00,1.22,0.000,1.788,728,300,513,284,114,0,0.0,ERR:0,35.6,31.2,30.6,30.0,0,0,0,
43,0107,3/30/2021 10:09:17 PM ,3606,20.902,20.758,0.144,0.4,3183,0.047,0.177,0.130,0.3,0.883,17.7,0.898,75.00,UNSTABLE / OPEN,0.00,1.22,0.000,1.788,259,133,275,111,18,1,0.0,ERR:0,35.3,31.3,30.3,30.0,0,0,0,
44,0107,3/30/2021 10:14:57 PM ,3861,20.902,20.750,0.152,0.4,3197,0.046,0.176,0.130,0.3,0.828,18.7,0.901,75.00,STABLE / OPEN,0.11,1.33,0.000,1.788,1036,515,1162,723,37,0,0.0,ERR:0,35.3,31.3,30.6,30.0,0,0,0,
45,0107,3/30/2021 10:20:37 PM ,3963,20.902,20.745,0.156,0.4,3300,0.048,0.183,0.135,0.3,0.833,19.2,0.897,75.00,STABLE / OPEN,0.00,1.33,0.000,1.788,1165,663,1375,923,52,1,0.0,ERR:0,35.3,31.3,30.3,30.0,0,0,0,
46,0107,3/30/2021 10:26:17 PM ,4164,20.902,20.738,0.164,0.4,3521,0.047,0.190,0.143,0.3,0.846,20.2,0.901,75.00,STABLE / OPEN,0.00,1.33,0.000,1.788,1010,527,1408,761,70,0,0.0,ERR:0,35.2,31.3,30.6,30.0,0,0,0,
47,0107,3/30/2021 10:31:57 PM ,4022,20.902,20.743,0.159,0.4,3430,0.046,0.186,0.140,0.3,0.853,19.6,0.898,75.00,STABLE / OPEN,0.04,1.37,0.000,1.788,709,388,882,437,51,0,0.0,ERR:0,36.3,31.2,30.3,30.0,0,0,0,
48,0107,3/30/2021 10:37:37 PM ,3925,20.902,20.747,0.155,0.4,3352,0.047,0.184,0.136,0.3,0.854,19.1,0.901,75.00,UNSTABLE / OPEN,0.00,1.37,0.000,1.788,1004,508,1127,704,169,0,0.0,ERR:0,36.3,31.3,30.6,30.0,0,0,0,
49,0107,3/30/2021 10:43:17 PM ,3898,20.902,20.749,0.152,0.4,3142,0.048,0.176,0.128,0.3,0.806,18.7,0.900,75.00,UNSTABLE / OPEN,0.04,1.41,0.046,1.834,675,265,681,420,143,1,0.0,ERR:0,36.0,31.3,30.3,30.0,0,0,0,
50,0107,3/30/2021 10:48:57 PM ,3782,20.902,20.752,0.150,0.4,3303,0.047,0.182,0.134,0.3,0.873,18.5,0.901,75.00,STABLE / OPEN,0.00,1.41,0.000,1.834,363,139,442,225,111,0,0.0,ERR:0,36.0,31.3,30.6,30.0,0,0,0,
51,0107,3/30/2021 10:54:37 PM ,3875,20.902,20.750,0.152,0.4,3206,0.048,0.178,0.130,0.3,0.827,18.7,0.901,75.00,STABLE / OPEN,0.05,1.45,0.229,2.063,553,126,401,196,10,1,0.0,ERR:0,36.1,31.2,30.3,30.0,0,0,0,
52,0107,3/30/2021 11:00:17 PM ,3944,20.902,20.746,0.156,0.4,3379,0.046,0.184,0.137,0.4,0.857,19.2,0.901,75.00,UNSTABLE / OPEN,0.00,1.45,0.085,2.148,588,317,741,460,166,1,0.0,ERR:0,36.3,31.2,30.7,30.0,0,0,0,
