Oxymax CSV File 

CSV Generation Date,10/10/2022 9:08:41 AM 
Experiment Started,3/30/2021 6:08:32 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-03-30 UCP1 mCre AdipoqCre and KO.CDTA

Group/Cage,0112
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3330
Subject Mass (G), 16.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0112,3/30/2021 6:12:57 PM ,8568,20.902,20.651,0.251,0.0,6923,0.065,0.275,0.211,0.0,0.808,41.2,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,211,81,464,257,28,0,0.0,ERR:0,37.6,23.7,22.5,30.0,0,0,0,
2,0112,3/30/2021 6:18:37 PM ,7553,20.902,20.681,0.220,0.0,6012,0.063,0.247,0.183,0.0,0.796,36.2,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,282,101,592,301,19,0,0.0,ERR:0,37.5,23.8,24.3,30.0,0,0,0,
3,0112,3/30/2021 6:24:17 PM ,6869,20.902,20.703,0.199,0.0,5253,0.064,0.224,0.160,0.0,0.765,32.7,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,152,32,374,118,0,0,0.0,ERR:0,37.1,24.3,25.8,30.0,0,0,0,
4,0112,3/30/2021 6:29:57 PM ,6532,20.902,20.713,0.189,0.0,4988,0.063,0.215,0.152,0.0,0.764,31.1,0.903,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,412,183,848,480,52,0,0.0,ERR:0,37.4,25.1,27.3,30.0,0,0,0,
5,0112,3/30/2021 6:35:37 PM ,6101,20.902,20.724,0.178,0.0,4747,0.061,0.206,0.145,0.0,0.778,29.1,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,231,3,483,84,14,0,0.0,ERR:0,37.9,26.2,28.4,30.0,0,0,0,
6,0112,3/30/2021 6:41:17 PM ,5994,20.902,20.727,0.174,0.1,4678,0.061,0.204,0.143,0.0,0.780,28.6,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,201,63,369,152,17,0,0.0,ERR:0,38.3,27.1,29.3,30.0,0,0,0,
7,0112,3/30/2021 6:46:57 PM ,5764,20.902,20.735,0.167,0.1,4425,0.060,0.195,0.135,0.0,0.768,27.4,0.903,75.00,STABLE / OPEN,0.09,0.09,0.166,0.166,225,80,482,224,14,0,0.0,ERR:0,38.2,28.2,30.1,30.0,0,0,0,
8,0112,3/30/2021 6:52:37 PM ,5773,20.902,20.733,0.169,0.1,4679,0.060,0.202,0.143,0.1,0.811,27.8,0.903,75.00,UNSTABLE / OPEN,0.00,0.09,0.200,0.366,255,135,684,349,59,0,0.0,ERR:0,38.9,29.0,30.6,30.0,0,0,0,
9,0112,3/30/2021 6:58:17 PM ,5562,20.902,20.740,0.162,0.1,4347,0.058,0.191,0.133,0.1,0.781,26.6,0.902,75.00,STABLE / OPEN,0.00,0.09,0.000,0.366,230,76,1173,292,30,0,0.0,ERR:0,39.3,29.6,30.2,30.0,0,0,0,
10,0112,3/30/2021 7:03:57 PM ,5440,20.902,20.744,0.158,0.1,4232,0.058,0.187,0.129,0.1,0.778,26.0,0.903,75.00,STABLE / OPEN,0.00,0.09,0.119,0.485,242,77,605,254,19,0,0.0,ERR:0,40.1,30.1,30.6,30.0,0,0,0,
11,0112,3/30/2021 7:09:37 PM ,5312,20.902,20.748,0.154,0.1,4108,0.058,0.183,0.125,0.1,0.773,25.3,0.903,75.00,UNSTABLE / OPEN,0.00,0.09,0.137,0.622,278,107,613,357,16,0,0.0,ERR:0,40.4,30.5,30.2,30.0,0,0,0,
12,0112,3/30/2021 7:15:17 PM ,5240,20.902,20.750,0.152,0.1,4060,0.057,0.181,0.124,0.1,0.775,25.0,0.904,75.00,UNSTABLE / OPEN,0.07,0.16,0.039,0.661,144,74,398,178,23,0,0.0,ERR:0,40.1,30.8,30.6,30.0,0,0,0,
13,0112,3/30/2021 7:20:57 PM ,5141,20.902,20.752,0.150,0.1,4105,0.055,0.180,0.125,0.1,0.798,24.7,0.903,75.00,UNSTABLE / OPEN,0.08,0.23,0.000,0.661,195,97,608,301,14,0,0.0,ERR:0,40.1,31.0,30.2,30.0,0,0,0,
14,0112,3/30/2021 7:26:37 PM ,4971,20.902,20.757,0.145,0.1,3937,0.055,0.175,0.120,0.1,0.792,23.8,0.904,75.00,UNSTABLE / OPEN,0.00,0.23,0.103,0.764,295,123,636,316,31,0,0.0,ERR:0,39.9,31.1,30.6,30.0,0,0,0,
15,0112,3/30/2021 7:32:17 PM ,4638,20.902,20.765,0.137,0.1,3945,0.055,0.176,0.120,0.1,0.851,22.6,0.901,75.00,STABLE / OPEN,0.04,0.27,0.000,0.764,128,30,283,53,0,0,0.0,ERR:0,39.8,31.2,30.2,30.0,0,0,0,
16,0112,3/30/2021 7:37:57 PM ,4066,20.902,20.782,0.120,0.1,3423,0.054,0.159,0.105,0.1,0.842,19.7,0.901,75.00,STABLE / OPEN,0.00,0.27,0.034,0.798,149,4,170,33,0,0,0.0,ERR:0,39.5,31.3,30.6,30.0,0,0,0,
17,0112,3/30/2021 7:43:37 PM ,3545,20.902,20.796,0.105,0.1,3098,0.053,0.148,0.095,0.1,0.874,17.3,0.901,75.00,STABLE / OPEN,0.00,0.27,0.000,0.798,61,3,417,19,0,0,0.0,ERR:0,39.4,31.3,30.2,30.0,0,0,0,
18,0112,3/30/2021 7:49:17 PM ,3290,20.902,20.805,0.097,0.1,2795,0.053,0.138,0.085,0.1,0.850,16.0,0.902,75.00,STABLE / OPEN,0.00,0.27,0.000,0.798,54,5,22,12,0,0,0.0,ERR:0,39.3,31.3,30.6,30.0,0,0,0,
19,0112,3/30/2021 7:54:57 PM ,3253,20.902,20.805,0.097,0.2,2861,0.051,0.139,0.087,0.1,0.880,15.9,0.903,75.00,UNSTABLE / OPEN,0.00,0.27,0.110,0.908,119,24,108,51,0,0,0.0,ERR:0,39.3,31.4,30.2,30.0,0,0,0,
20,0112,3/30/2021 8:00:37 PM ,3767,20.902,20.789,0.113,0.2,3480,0.051,0.157,0.106,0.1,0.924,18.7,0.903,75.00,STABLE / OPEN,0.07,0.34,0.166,1.074,299,99,430,202,55,0,0.0,ERR:0,39.1,31.4,30.6,30.0,0,0,0,
21,0112,3/30/2021 8:06:17 PM ,4218,20.902,20.777,0.125,0.2,3674,0.051,0.163,0.112,0.1,0.871,20.6,0.902,75.00,UNSTABLE / OPEN,0.11,0.45,0.000,1.074,313,111,482,228,11,0,0.0,ERR:0,39.2,31.4,30.2,30.0,0,0,0,
22,0112,3/30/2021 8:11:57 PM ,4441,20.902,20.770,0.132,0.2,3930,0.050,0.169,0.120,0.1,0.885,21.8,0.903,75.00,UNSTABLE / OPEN,0.05,0.50,0.096,1.170,209,66,741,278,29,0,0.0,ERR:0,39.5,31.4,30.6,30.0,0,0,0,
23,0112,3/30/2021 8:17:37 PM ,4450,20.902,20.770,0.132,0.2,3898,0.051,0.170,0.119,0.1,0.876,21.8,0.904,75.00,STABLE / OPEN,0.00,0.50,0.000,1.170,245,92,567,209,11,0,0.0,ERR:0,39.4,31.5,30.2,30.0,0,0,0,
24,0112,3/30/2021 8:23:17 PM ,4738,20.902,20.761,0.141,0.2,4128,0.050,0.176,0.126,0.1,0.871,23.2,0.902,75.00,STABLE / OPEN,0.13,0.63,0.000,1.170,217,73,341,150,26,0,0.0,ERR:0,39.3,31.5,30.6,30.0,0,0,0,
25,0112,3/30/2021 8:28:57 PM ,4681,20.902,20.763,0.139,0.2,4074,0.051,0.175,0.124,0.2,0.870,22.9,0.901,75.00,UNSTABLE / OPEN,0.00,0.63,0.104,1.275,257,133,621,287,25,0,0.0,ERR:0,39.3,31.5,30.2,30.0,0,0,0,
26,0112,3/30/2021 8:34:37 PM ,4551,20.902,20.765,0.136,0.2,4176,0.048,0.175,0.127,0.2,0.918,22.5,0.902,75.00,STABLE / OPEN,0.05,0.68,0.000,1.275,336,41,364,120,2,0,0.0,ERR:0,39.2,31.5,30.6,30.0,0,0,0,
27,0112,3/30/2021 8:40:17 PM ,4483,20.902,20.768,0.134,0.2,4091,0.047,0.172,0.125,0.2,0.913,22.1,0.903,75.00,STABLE / OPEN,0.00,0.68,0.000,1.275,352,21,302,109,0,0,0.0,ERR:0,39.1,31.5,30.2,30.0,0,0,0,
28,0112,3/30/2021 8:45:57 PM ,4667,20.902,20.762,0.139,0.2,4230,0.049,0.177,0.129,0.2,0.906,23.0,0.903,75.00,UNSTABLE / OPEN,0.00,0.68,0.000,1.275,185,39,425,169,23,0,0.0,ERR:0,39.0,31.5,30.6,30.0,0,0,0,
29,0112,3/30/2021 8:51:37 PM ,4903,20.902,20.758,0.144,0.2,4062,0.050,0.174,0.124,0.2,0.828,23.7,0.902,75.00,UNSTABLE / OPEN,0.14,0.82,0.139,1.413,206,79,304,173,31,0,0.0,ERR:0,39.0,31.5,30.2,30.0,0,0,0,
30,0112,3/30/2021 8:57:17 PM ,4740,20.902,20.760,0.141,0.2,4262,0.049,0.179,0.130,0.2,0.899,23.3,0.902,75.00,STABLE / OPEN,0.00,0.82,0.000,1.413,59,23,241,90,8,0,0.0,ERR:0,38.7,31.5,30.6,30.0,0,0,0,
31,0112,3/30/2021 9:02:57 PM ,4893,20.902,20.758,0.144,0.2,4070,0.049,0.173,0.124,0.2,0.832,23.7,0.904,75.00,STABLE / OPEN,0.00,0.82,0.000,1.413,103,8,198,37,0,0,0.0,ERR:0,38.9,31.6,30.3,30.0,0,0,0,
32,0112,3/30/2021 9:08:37 PM ,4713,20.902,20.761,0.141,0.2,4252,0.049,0.179,0.130,0.2,0.902,23.2,0.903,75.00,STABLE / OPEN,0.00,0.82,0.000,1.413,509,87,534,191,13,0,0.0,ERR:0,38.9,31.6,30.6,30.0,0,0,0,
33,0112,3/30/2021 9:14:17 PM ,4816,20.902,20.760,0.142,0.3,4096,0.048,0.173,0.125,0.2,0.851,23.4,0.903,75.00,UNSTABLE / OPEN,0.07,0.89,0.000,1.413,304,125,649,342,55,0,0.0,ERR:0,38.8,31.6,30.3,30.0,0,0,0,
34,0112,3/30/2021 9:19:57 PM ,4680,20.902,20.762,0.140,0.3,4211,0.048,0.176,0.128,0.2,0.900,23.0,0.903,75.00,STABLE / OPEN,0.00,0.89,0.000,1.413,314,19,678,118,9,0,0.0,ERR:0,38.7,31.6,30.6,30.0,0,0,0,
35,0112,3/30/2021 9:25:37 PM ,4689,20.902,20.762,0.140,0.3,4272,0.048,0.178,0.130,0.2,0.911,23.2,0.903,75.00,STABLE / OPEN,0.00,0.89,0.000,1.413,216,67,1041,327,29,0,0.0,ERR:0,38.6,31.6,30.3,30.0,0,0,0,
36,0112,3/30/2021 9:31:17 PM ,4739,20.902,20.760,0.142,0.3,4315,0.047,0.179,0.131,0.2,0.911,23.4,0.903,75.00,STABLE / OPEN,0.15,1.04,0.000,1.413,154,61,741,180,43,0,0.0,ERR:0,38.5,31.6,30.6,30.0,0,0,0,
37,0112,3/30/2021 9:36:57 PM ,4661,20.902,20.762,0.140,0.3,4336,0.047,0.179,0.132,0.2,0.930,23.1,0.905,75.00,UNSTABLE / OPEN,0.00,1.04,0.035,1.448,393,206,682,406,53,0,0.0,ERR:0,38.4,31.6,30.3,30.0,0,0,0,
38,0112,3/30/2021 9:42:37 PM ,4599,20.902,20.764,0.137,0.3,4179,0.047,0.175,0.127,0.2,0.909,22.7,0.903,75.00,STABLE / OPEN,0.00,1.04,0.000,1.448,192,43,385,139,11,0,0.0,ERR:0,38.6,31.6,30.5,30.0,0,0,0,
39,0112,3/30/2021 9:48:17 PM ,4808,20.902,20.759,0.143,0.3,4247,0.047,0.177,0.129,0.2,0.883,23.6,0.904,75.00,UNSTABLE / OPEN,0.05,1.08,0.000,1.448,351,165,741,412,39,0,0.0,ERR:0,38.6,31.5,30.4,30.0,0,0,0,
40,0112,3/30/2021 9:53:57 PM ,4527,20.902,20.766,0.136,0.3,4160,0.046,0.173,0.127,0.3,0.919,22.4,0.902,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,1.448,475,46,809,209,13,0,0.0,ERR:0,38.4,31.6,30.4,30.0,0,0,0,
41,0112,3/30/2021 9:59:37 PM ,4566,20.902,20.766,0.136,0.3,4133,0.047,0.173,0.126,0.3,0.905,22.5,0.904,75.00,STABLE / OPEN,0.00,1.08,0.000,1.448,227,98,514,255,45,0,0.0,ERR:0,38.1,31.6,30.4,30.0,0,0,0,
42,0112,3/30/2021 10:05:17 PM ,4544,20.902,20.765,0.136,0.3,4244,0.047,0.176,0.129,0.3,0.934,22.6,0.903,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,1.448,215,76,729,223,27,0,0.0,ERR:0,38.0,31.6,30.5,30.0,0,0,0,
43,0112,3/30/2021 10:10:57 PM ,4581,20.902,20.765,0.137,0.3,4228,0.047,0.175,0.129,0.3,0.923,22.7,0.904,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,1.448,249,93,527,251,31,0,0.0,ERR:0,38.0,31.6,30.4,30.0,0,0,0,
44,0112,3/30/2021 10:16:37 PM ,4447,20.902,20.769,0.133,0.3,4047,0.046,0.169,0.123,0.3,0.910,22.0,0.904,75.00,STABLE / OPEN,0.07,1.15,0.000,1.448,372,179,750,426,50,0,0.0,ERR:0,38.6,31.6,30.6,30.0,0,0,0,
45,0112,3/30/2021 10:22:17 PM ,4315,20.902,20.773,0.129,0.3,3846,0.048,0.165,0.117,0.3,0.891,21.2,0.902,75.00,STABLE / OPEN,0.03,1.18,0.000,1.448,196,43,321,136,21,0,0.0,ERR:0,38.6,31.6,30.4,30.0,0,0,0,
46,0112,3/30/2021 10:27:57 PM ,4336,20.902,20.773,0.129,0.3,3902,0.047,0.166,0.119,0.3,0.900,21.3,0.904,75.00,STABLE / OPEN,0.00,1.18,0.000,1.448,203,81,618,224,4,0,0.0,ERR:0,38.6,31.6,30.5,30.0,0,0,0,
47,0112,3/30/2021 10:33:37 PM ,4288,20.902,20.774,0.128,0.4,3825,0.046,0.163,0.117,0.3,0.892,21.1,0.902,75.00,STABLE / OPEN,0.00,1.18,0.000,1.448,212,86,529,227,44,0,0.0,ERR:0,38.9,31.6,30.4,30.0,0,0,0,
48,0112,3/30/2021 10:39:17 PM ,4520,20.902,20.767,0.134,0.4,4023,0.047,0.170,0.123,0.3,0.890,22.2,0.903,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,1.448,115,31,336,102,26,0,0.0,ERR:0,38.8,31.6,30.4,30.0,0,0,0,
49,0112,3/30/2021 10:44:57 PM ,4547,20.902,20.767,0.135,0.4,3971,0.048,0.169,0.121,0.3,0.873,22.2,0.901,75.00,STABLE / OPEN,0.26,1.44,0.037,1.485,163,34,277,129,14,0,0.0,ERR:0,38.6,31.6,30.4,30.0,0,0,0,
50,0112,3/30/2021 10:50:37 PM ,4497,20.902,20.768,0.134,0.4,3996,0.047,0.169,0.122,0.3,0.889,22.1,0.902,75.00,STABLE / OPEN,0.03,1.47,0.227,1.712,97,54,574,150,2,0,0.0,ERR:0,38.3,31.6,30.3,30.0,0,0,0,
51,0112,3/30/2021 10:56:17 PM ,4377,20.902,20.771,0.131,0.4,3989,0.048,0.169,0.122,0.3,0.911,21.6,0.902,75.00,STABLE / OPEN,0.00,1.47,0.128,1.840,133,28,770,143,0,0,0.0,ERR:0,38.4,31.6,30.4,30.0,0,0,0,
52,0112,3/30/2021 11:01:57 PM ,4618,20.902,20.764,0.138,0.4,4145,0.046,0.173,0.126,0.3,0.898,22.7,0.903,75.00,UNSTABLE / OPEN,0.00,1.47,0.000,1.840,88,43,378,99,28,0,0.0,ERR:0,38.2,31.6,30.2,30.0,0,0,0,
