Oxymax CSV File 

CSV Generation Date,10/10/2022 9:08:42 AM 
Experiment Started,3/30/2021 6:08:32 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-03-30 UCP1 mCre AdipoqCre and KO.CDTA

Group/Cage,0114
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,UCP1 KO
Subject Mass (G), 15 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0114,3/30/2021 6:13:37 PM ,7444,20.902,20.704,0.198,0.0,5953,0.065,0.229,0.165,0.0,0.800,35.7,0.903,75.00,STABLE / OPEN,0.00,0.00,2.028,2.028,293,155,715,451,62,1,0.0,ERR:0,35.5,23.3,22.7,30.0,0,0,0,
2,0114,3/30/2021 6:19:17 PM ,7131,20.902,20.712,0.190,0.0,5811,0.063,0.224,0.161,0.0,0.815,34.4,0.902,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,2.028,319,158,706,378,44,0,0.0,ERR:0,36.1,23.5,24.5,30.0,0,0,0,
3,0114,3/30/2021 6:24:57 PM ,6887,20.902,20.719,0.183,0.0,5523,0.064,0.217,0.153,0.0,0.802,33.1,0.902,75.00,STABLE / OPEN,0.06,0.06,0.062,2.091,296,98,599,264,12,0,0.0,ERR:0,36.2,23.9,26.0,30.0,0,0,0,
4,0114,3/30/2021 6:30:37 PM ,6767,20.902,20.722,0.180,0.0,5480,0.063,0.215,0.152,0.0,0.810,32.6,0.903,75.00,STABLE / OPEN,0.04,0.09,0.000,2.091,196,69,406,190,54,0,0.0,ERR:0,36.6,24.5,27.4,30.0,0,0,0,
5,0114,3/30/2021 6:36:17 PM ,6256,20.902,20.734,0.167,0.0,5225,0.061,0.205,0.145,0.0,0.835,30.3,0.902,75.00,STABLE / OPEN,0.10,0.19,0.000,2.091,165,61,438,191,52,1,0.0,ERR:0,36.7,25.3,28.5,30.0,0,0,0,
6,0114,3/30/2021 6:41:57 PM ,6015,20.902,20.741,0.161,0.0,5010,0.061,0.200,0.139,0.0,0.833,29.1,0.902,75.00,UNSTABLE / OPEN,0.06,0.26,0.445,2.536,293,91,488,188,11,0,0.0,ERR:0,37.3,26.1,29.4,30.0,0,0,0,
7,0114,3/30/2021 6:47:37 PM ,5580,20.902,20.754,0.148,0.1,4458,0.060,0.184,0.123,0.0,0.799,26.8,0.903,75.00,STABLE / OPEN,0.05,0.31,0.540,3.075,188,50,345,113,45,0,0.0,ERR:0,37.3,26.9,30.2,30.0,0,0,0,
8,0114,3/30/2021 6:53:17 PM ,5015,20.902,20.767,0.134,0.1,4253,0.060,0.177,0.118,0.1,0.848,24.4,0.903,75.00,STABLE / OPEN,0.06,0.37,1.156,4.231,184,80,377,169,8,0,0.0,ERR:0,37.4,27.8,30.6,30.0,0,0,0,
9,0114,3/30/2021 6:58:57 PM ,4197,20.902,20.790,0.112,0.1,3496,0.058,0.155,0.097,0.1,0.833,20.3,0.902,75.00,STABLE / OPEN,0.00,0.37,0.000,4.231,70,7,70,18,0,0,0.0,ERR:0,37.2,28.5,30.3,30.0,0,0,0,
10,0114,3/30/2021 7:04:37 PM ,4542,20.902,20.780,0.122,0.1,3847,0.058,0.165,0.107,0.1,0.847,22.1,0.903,75.00,STABLE / OPEN,0.09,0.46,0.000,4.231,410,216,752,426,86,0,0.0,ERR:0,37.4,29.1,30.6,30.0,0,0,0,
11,0114,3/30/2021 7:10:17 PM ,4804,20.902,20.773,0.128,0.1,4002,0.058,0.169,0.111,0.1,0.833,23.3,0.903,75.00,STABLE / OPEN,0.00,0.46,0.580,4.811,190,81,502,193,82,0,0.0,ERR:0,37.3,29.5,30.3,30.0,0,0,0,
12,0114,3/30/2021 7:15:57 PM ,4366,20.902,20.786,0.116,0.1,3560,0.057,0.156,0.099,0.1,0.816,21.0,0.904,75.00,STABLE / OPEN,0.04,0.50,0.392,5.203,232,26,180,45,16,0,0.0,ERR:0,36.9,30.0,30.6,30.0,0,0,0,
13,0114,3/30/2021 7:21:37 PM ,3700,20.902,20.803,0.099,0.1,3098,0.055,0.140,0.086,0.1,0.837,17.9,0.904,75.00,STABLE / OPEN,0.00,0.50,0.000,5.203,0,0,0,0,0,0,0.0,ERR:0,36.6,30.3,30.3,30.0,0,0,0,
14,0114,3/30/2021 7:27:17 PM ,3850,20.902,20.799,0.103,0.1,3270,0.055,0.146,0.090,0.1,0.849,18.7,0.905,75.00,STABLE / OPEN,0.10,0.61,0.000,5.203,285,159,544,332,48,0,0.0,ERR:0,36.7,30.5,30.6,30.0,0,0,0,
15,0114,3/30/2021 7:32:57 PM ,4271,20.902,20.788,0.114,0.1,3478,0.055,0.151,0.096,0.1,0.814,20.6,0.902,75.00,STABLE / OPEN,0.00,0.61,0.000,5.203,134,29,682,378,6,0,0.0,ERR:0,36.6,30.7,30.3,30.0,0,0,0,
16,0114,3/30/2021 7:38:37 PM ,4627,20.902,20.779,0.123,0.1,3785,0.054,0.159,0.105,0.1,0.818,22.3,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,5.203,229,45,911,468,3,0,0.0,ERR:0,36.6,30.9,30.6,30.0,0,0,0,
17,0114,3/30/2021 7:44:17 PM ,4806,20.902,20.774,0.128,0.1,3905,0.053,0.161,0.108,0.1,0.813,23.1,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,5.203,406,166,1320,838,51,0,0.0,ERR:0,36.4,31.0,30.3,30.0,0,0,0,
18,0114,3/30/2021 7:49:57 PM ,4994,20.902,20.769,0.132,0.1,4006,0.053,0.164,0.111,0.1,0.802,24.0,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,5.203,321,137,958,433,58,0,0.0,ERR:0,37.1,31.1,30.6,30.0,0,0,0,
19,0114,3/30/2021 7:55:37 PM ,4821,20.902,20.774,0.128,0.1,3903,0.051,0.159,0.108,0.1,0.810,23.2,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,5.203,452,86,599,231,7,1,0.0,ERR:0,37.5,31.2,30.3,30.0,0,0,0,
20,0114,3/30/2021 8:01:17 PM ,4964,20.902,20.770,0.132,0.1,4066,0.051,0.163,0.112,0.1,0.819,23.9,0.905,75.00,UNSTABLE / OPEN,0.00,0.61,0.000,5.203,409,186,875,487,52,0,0.0,ERR:0,38.9,31.3,30.6,30.0,0,0,0,
21,0114,3/30/2021 8:06:57 PM ,4966,20.902,20.769,0.132,0.1,4080,0.051,0.164,0.113,0.1,0.821,24.0,0.903,75.00,STABLE / OPEN,0.08,0.69,0.000,5.203,363,146,864,517,21,1,0.0,ERR:0,38.2,31.3,30.3,30.0,0,0,0,
22,0114,3/30/2021 8:12:37 PM ,5015,20.902,20.768,0.133,0.2,4102,0.050,0.163,0.113,0.1,0.818,24.2,0.905,75.00,STABLE / OPEN,0.00,0.69,0.000,5.203,470,183,1207,702,40,0,0.0,ERR:0,37.9,31.4,30.6,30.0,0,0,0,
23,0114,3/30/2021 8:18:17 PM ,4842,20.902,20.773,0.128,0.2,3917,0.051,0.159,0.108,0.1,0.809,23.3,0.905,75.00,STABLE / OPEN,0.00,0.69,0.000,5.203,358,153,937,518,31,0,0.0,ERR:0,37.3,31.4,30.2,30.0,0,0,0,
24,0114,3/30/2021 8:23:57 PM ,4966,20.902,20.770,0.132,0.2,4039,0.050,0.162,0.112,0.1,0.813,23.9,0.905,75.00,STABLE / OPEN,0.03,0.72,0.000,5.203,211,66,285,113,72,0,0.0,ERR:0,37.4,31.5,30.6,30.0,0,0,0,
25,0114,3/30/2021 8:29:37 PM ,4836,20.902,20.774,0.128,0.2,3819,0.051,0.156,0.105,0.1,0.790,23.2,0.906,75.00,STABLE / OPEN,0.00,0.72,0.000,5.203,363,93,698,297,4,0,0.0,ERR:0,37.3,31.5,30.2,30.0,0,0,0,
26,0114,3/30/2021 8:35:17 PM ,4917,20.902,20.770,0.132,0.2,4183,0.048,0.164,0.116,0.1,0.851,23.9,0.904,75.00,STABLE / OPEN,0.09,0.82,0.000,5.203,180,67,264,123,75,0,0.0,ERR:0,37.6,31.5,30.6,30.0,0,0,0,
27,0114,3/30/2021 8:40:57 PM ,4957,20.902,20.769,0.133,0.2,4263,0.047,0.165,0.118,0.2,0.860,24.2,0.905,75.00,STABLE / OPEN,0.09,0.91,0.000,5.203,277,140,684,426,33,0,0.0,ERR:0,37.2,31.5,30.3,30.0,0,0,0,
28,0114,3/30/2021 8:46:37 PM ,4965,20.902,20.769,0.133,0.2,4185,0.049,0.164,0.116,0.2,0.843,24.1,0.905,75.00,UNSTABLE / OPEN,0.00,0.91,0.000,5.203,417,27,308,120,33,0,0.0,ERR:0,37.2,31.5,30.6,30.0,0,0,0,
29,0114,3/30/2021 8:52:17 PM ,4942,20.902,20.770,0.132,0.2,4172,0.050,0.165,0.115,0.2,0.844,24.0,0.905,75.00,STABLE / OPEN,0.15,1.05,0.000,5.203,198,79,382,198,52,0,0.0,ERR:0,37.0,31.5,30.3,30.0,0,0,0,
30,0114,3/30/2021 8:57:57 PM ,4279,20.902,20.787,0.115,0.2,3768,0.049,0.153,0.104,0.2,0.881,21.0,0.906,75.00,STABLE / OPEN,0.00,1.05,0.000,5.203,237,43,79,32,2,0,0.0,ERR:0,36.6,31.5,30.6,30.0,0,0,0,
31,0114,3/30/2021 9:03:37 PM ,3883,20.902,20.797,0.104,0.2,3377,0.049,0.142,0.093,0.2,0.870,19.0,0.904,75.00,STABLE / OPEN,0.00,1.05,0.000,5.203,105,51,87,56,0,0,0.0,ERR:0,36.2,31.6,30.3,30.0,0,0,0,
32,0114,3/30/2021 9:09:17 PM ,4410,20.902,20.783,0.118,0.2,3805,0.049,0.154,0.105,0.2,0.863,21.5,0.905,75.00,UNSTABLE / OPEN,0.00,1.05,0.000,5.203,246,122,528,303,125,0,0.0,ERR:0,36.4,31.6,30.6,30.0,0,0,0,
33,0114,3/30/2021 9:14:57 PM ,4834,20.902,20.770,0.132,0.2,4522,0.048,0.174,0.125,0.2,0.935,24.0,0.904,75.00,STABLE / OPEN,0.04,1.09,0.000,5.203,528,130,651,372,35,0,0.0,ERR:0,36.4,31.6,30.3,30.0,0,0,0,
34,0114,3/30/2021 9:20:37 PM ,4341,20.902,20.785,0.116,0.2,3736,0.048,0.151,0.103,0.2,0.861,21.2,0.905,75.00,STABLE / OPEN,0.00,1.09,0.000,5.203,277,57,374,214,6,0,0.0,ERR:0,35.8,31.6,30.7,30.0,0,0,0,
35,0114,3/30/2021 9:26:17 PM ,3783,20.902,20.800,0.102,0.2,3319,0.048,0.139,0.092,0.2,0.877,18.5,0.905,75.00,STABLE / OPEN,0.00,1.09,0.000,5.203,6,2,3,1,0,0,0.0,ERR:0,35.5,31.6,30.3,30.0,0,0,0,
36,0114,3/30/2021 9:31:57 PM ,4187,20.902,20.788,0.114,0.2,3859,0.047,0.154,0.107,0.2,0.922,20.7,0.906,75.00,UNSTABLE / OPEN,0.00,1.09,0.000,5.203,233,81,343,142,13,0,0.0,ERR:0,36.0,31.6,30.6,30.0,0,0,0,
37,0114,3/30/2021 9:37:37 PM ,4104,20.902,20.791,0.111,0.3,3708,0.047,0.149,0.102,0.2,0.904,20.2,0.906,75.00,STABLE / OPEN,0.13,1.22,0.000,5.203,186,58,207,129,22,0,0.0,ERR:0,35.6,31.6,30.3,30.0,0,0,0,
38,0114,3/30/2021 9:43:17 PM ,3637,20.902,20.803,0.099,0.3,3294,0.047,0.138,0.091,0.2,0.906,17.9,0.905,75.00,STABLE / OPEN,0.00,1.22,0.000,5.203,5,1,39,0,0,0,0.0,ERR:0,35.4,31.6,30.3,30.0,0,0,0,
39,0114,3/30/2021 9:48:57 PM ,3370,20.902,20.811,0.091,0.3,2995,0.047,0.130,0.083,0.2,0.889,16.5,0.905,75.00,STABLE / OPEN,0.00,1.22,0.000,5.203,0,0,0,0,0,1,0.0,ERR:0,35.2,31.5,30.4,30.0,0,0,0,
40,0114,3/30/2021 9:54:37 PM ,3057,20.902,20.818,0.083,0.3,2862,0.046,0.126,0.079,0.2,0.936,15.2,0.903,75.00,STABLE / OPEN,0.00,1.22,0.000,5.203,20,0,56,0,0,1,0.0,ERR:0,35.0,31.6,30.1,30.0,0,0,0,
41,0114,3/30/2021 10:00:17 PM ,3595,20.902,20.804,0.098,0.3,3369,0.047,0.140,0.093,0.2,0.937,17.9,0.907,75.00,UNSTABLE / OPEN,0.00,1.22,0.000,5.203,244,141,469,306,83,0,0.0,ERR:0,35.5,31.6,30.4,30.0,0,0,0,
42,0114,3/30/2021 10:05:57 PM ,4168,20.902,20.789,0.113,0.3,3844,0.047,0.153,0.106,0.2,0.922,20.6,0.906,75.00,STABLE / OPEN,0.00,1.22,0.000,5.203,274,85,814,476,45,1,0.0,ERR:0,35.7,31.6,30.2,30.0,0,0,0,
43,0114,3/30/2021 10:11:37 PM ,4651,20.902,20.775,0.126,0.3,4330,0.047,0.166,0.119,0.2,0.931,23.1,0.906,75.00,STABLE / OPEN,0.00,1.22,0.000,5.203,376,194,1363,840,76,0,0.0,ERR:0,35.6,31.6,30.4,30.0,0,0,0,
44,0114,3/30/2021 10:17:17 PM ,4573,20.902,20.777,0.125,0.3,4346,0.046,0.165,0.120,0.2,0.950,22.8,0.906,75.00,STABLE / OPEN,0.09,1.31,0.000,5.203,287,102,888,368,4,0,0.0,ERR:0,35.7,31.6,30.3,30.0,0,0,0,
45,0114,3/30/2021 10:22:57 PM ,4579,20.902,20.777,0.124,0.3,4256,0.048,0.166,0.117,0.3,0.929,22.7,0.906,75.00,STABLE / OPEN,0.00,1.31,0.000,5.203,183,54,601,234,4,0,0.0,ERR:0,35.5,31.6,30.4,30.0,0,0,0,
46,0114,3/30/2021 10:28:37 PM ,4715,20.902,20.773,0.128,0.3,4411,0.047,0.168,0.122,0.3,0.936,23.4,0.907,75.00,UNSTABLE / OPEN,0.00,1.31,0.000,5.203,176,16,102,49,187,0,0.0,ERR:0,35.2,31.6,30.2,30.0,0,0,0,
47,0114,3/30/2021 10:34:17 PM ,4524,20.902,20.779,0.123,0.3,4194,0.046,0.162,0.116,0.3,0.927,22.4,0.904,75.00,STABLE / OPEN,0.14,1.45,0.000,5.203,311,100,521,325,63,0,0.0,ERR:0,35.2,31.6,30.5,30.0,0,0,0,
48,0114,3/30/2021 10:39:57 PM ,4183,20.902,20.788,0.114,0.3,3893,0.047,0.155,0.107,0.3,0.931,20.8,0.906,75.00,STABLE / OPEN,0.11,1.56,0.000,5.203,381,76,284,164,16,2,0.0,ERR:0,34.8,31.6,30.1,30.0,0,0,0,
49,0114,3/30/2021 10:45:37 PM ,3644,20.902,20.803,0.099,0.3,3306,0.048,0.139,0.091,0.3,0.907,18.0,0.905,75.00,UNSTABLE / OPEN,0.00,1.56,0.000,5.203,129,33,72,39,0,0,0.0,ERR:0,34.7,31.6,30.5,30.0,0,0,0,
50,0114,3/30/2021 10:51:17 PM ,4064,20.902,20.792,0.110,0.3,3727,0.047,0.150,0.103,0.3,0.917,20.1,0.906,75.00,STABLE / OPEN,0.00,1.56,0.000,5.203,416,123,625,370,115,0,0.0,ERR:0,34.8,31.6,30.0,30.0,0,0,0,
51,0114,3/30/2021 10:56:57 PM ,3822,20.902,20.798,0.104,0.3,3550,0.048,0.146,0.098,0.3,0.929,19.0,0.906,75.00,STABLE / OPEN,0.00,1.56,0.000,5.203,137,55,177,105,13,0,0.0,ERR:0,34.4,31.6,30.5,30.0,0,0,0,
52,0114,3/30/2021 11:02:37 PM ,3507,20.902,20.807,0.095,0.3,3207,0.046,0.135,0.089,0.3,0.914,17.3,0.906,75.00,STABLE / OPEN,0.00,1.56,0.000,5.203,33,14,42,20,4,1,0.0,ERR:0,34.4,31.6,30.0,30.0,0,0,0,
53,0114,3/30/2021 11:08:17 PM ,4073,20.902,20.791,0.111,0.3,3737,0.046,0.150,0.103,0.3,0.918,20.1,0.905,75.00,STABLE / OPEN,0.00,1.56,0.000,5.203,329,80,614,162,8,0,0.0,ERR:0,34.6,31.6,30.5,30.0,0,0,0,
