Oxymax CSV File 

CSV Generation Date,10/10/2022 9:08:43 AM 
Experiment Started,3/30/2021 6:08:32 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-03-30 UCP1 mCre AdipoqCre and KO.CDTA

Group/Cage,0115
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,UCP1 KO
Subject Mass (G), 18.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0115,3/30/2021 6:13:57 PM ,6632,20.902,20.683,0.218,0.0,5120,0.065,0.241,0.177,0.0,0.772,31.6,0.892,75.00,STABLE / OPEN,0.00,0.00,0.348,0.348,372,169,880,237,24,13,0.0,ERR:0,30.9,22.4,22.8,30.0,0,0,0,
2,0115,3/30/2021 6:19:37 PM ,6438,20.902,20.689,0.213,0.0,5087,0.063,0.239,0.176,0.0,0.790,30.8,0.891,75.00,UNSTABLE / OPEN,0.05,0.05,0.000,0.348,486,267,851,378,16,5,0.0,ERR:0,31.3,23.0,24.6,30.0,0,0,0,
3,0115,3/30/2021 6:25:17 PM ,6007,20.902,20.703,0.199,0.0,4816,0.064,0.230,0.167,0.0,0.802,28.9,0.891,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,206,91,263,118,1,4,0.0,ERR:0,31.0,24.1,26.1,30.0,0,0,0,
4,0115,3/30/2021 6:30:57 PM ,5671,20.902,20.714,0.188,0.0,4578,0.063,0.221,0.158,0.0,0.807,27.3,0.892,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,372,170,583,245,8,6,0.0,ERR:0,30.6,25.3,27.5,30.0,0,0,0,
5,0115,3/30/2021 6:36:37 PM ,5525,20.902,20.718,0.184,0.0,4520,0.061,0.217,0.157,0.0,0.818,26.6,0.891,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,327,121,435,196,49,5,0.0,ERR:0,30.8,26.6,28.6,30.0,0,0,0,
6,0115,3/30/2021 6:42:17 PM ,5300,20.902,20.726,0.175,0.1,4221,0.061,0.207,0.146,0.0,0.796,25.4,0.892,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,391,130,401,201,17,9,0.0,ERR:0,30.6,27.8,29.5,30.0,0,0,0,
7,0115,3/30/2021 6:47:57 PM ,5130,20.902,20.732,0.170,0.1,4093,0.060,0.202,0.142,0.0,0.798,24.6,0.891,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,399,180,726,331,28,6,0.0,ERR:0,30.5,28.8,30.2,30.0,0,0,0,
8,0115,3/30/2021 6:53:37 PM ,4934,20.902,20.739,0.163,0.1,3808,0.060,0.191,0.132,0.1,0.772,23.5,0.892,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,190,75,552,169,6,5,0.0,ERR:0,30.7,29.7,30.6,30.0,0,0,0,
9,0115,3/30/2021 6:59:17 PM ,4886,20.902,20.741,0.161,0.1,3751,0.058,0.188,0.130,0.1,0.768,23.3,0.890,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,0.348,439,157,553,191,55,5,0.0,ERR:0,31.2,30.1,30.3,30.0,0,0,0,
10,0115,3/30/2021 7:04:57 PM ,4771,20.902,20.746,0.156,0.1,3472,0.058,0.178,0.120,0.1,0.728,22.5,0.892,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,327,103,1368,215,21,7,0.0,ERR:0,31.5,30.4,30.6,30.0,0,0,0,
11,0115,3/30/2021 7:10:37 PM ,4833,20.902,20.744,0.158,0.1,3553,0.058,0.181,0.123,0.1,0.735,22.8,0.892,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,0.348,140,65,471,109,89,5,0.0,ERR:0,33.0,30.6,30.3,30.0,0,0,0,
12,0115,3/30/2021 7:16:17 PM ,4881,20.902,20.742,0.160,0.1,3602,0.057,0.182,0.125,0.1,0.738,23.1,0.892,75.00,STABLE / OPEN,0.00,0.05,0.000,0.348,330,120,471,218,41,9,0.0,ERR:0,32.7,30.8,30.6,30.0,0,0,0,
13,0115,3/30/2021 7:21:57 PM ,4919,20.902,20.739,0.162,0.1,3860,0.055,0.188,0.133,0.1,0.785,23.5,0.892,75.00,STABLE / OPEN,0.04,0.09,0.000,0.348,441,107,644,231,7,6,0.0,ERR:0,33.1,30.8,30.3,30.0,0,0,0,
14,0115,3/30/2021 7:27:37 PM ,4756,20.902,20.745,0.157,0.1,3750,0.055,0.185,0.130,0.1,0.789,22.8,0.892,75.00,STABLE / OPEN,0.00,0.09,0.000,0.348,323,175,600,230,3,7,0.0,ERR:0,33.4,30.9,30.6,30.0,0,0,0,
15,0115,3/30/2021 7:33:17 PM ,4763,20.902,20.745,0.157,0.1,3668,0.055,0.182,0.127,0.1,0.770,22.7,0.891,75.00,UNSTABLE / OPEN,0.00,0.09,0.000,0.348,363,67,402,120,67,3,0.0,ERR:0,33.7,30.9,30.3,30.0,0,0,0,
16,0115,3/30/2021 7:38:57 PM ,4804,20.902,20.742,0.159,0.1,3896,0.054,0.189,0.135,0.1,0.811,23.1,0.893,75.00,STABLE / OPEN,0.17,0.27,0.000,0.348,269,112,374,175,32,7,0.0,ERR:0,33.8,31.0,30.6,30.0,0,0,0,
17,0115,3/30/2021 7:44:37 PM ,4900,20.902,20.738,0.163,0.1,4065,0.053,0.194,0.141,0.1,0.830,23.7,0.892,75.00,STABLE / OPEN,0.00,0.27,0.000,0.348,272,133,447,203,14,7,0.0,ERR:0,34.0,31.0,30.3,30.0,0,0,0,
18,0115,3/30/2021 7:50:17 PM ,4743,20.902,20.744,0.157,0.2,3813,0.053,0.185,0.132,0.1,0.804,22.8,0.891,75.00,STABLE / OPEN,0.11,0.38,0.000,0.348,278,89,683,190,9,5,0.0,ERR:0,33.2,31.0,30.7,30.0,0,0,0,
19,0115,3/30/2021 7:55:57 PM ,4755,20.902,20.744,0.158,0.2,3870,0.051,0.185,0.134,0.1,0.814,22.9,0.893,75.00,STABLE / OPEN,0.00,0.38,0.000,0.348,293,56,347,110,0,7,0.0,ERR:0,33.2,30.9,30.3,30.0,0,0,0,
20,0115,3/30/2021 8:01:37 PM ,4847,20.902,20.740,0.161,0.2,4007,0.051,0.189,0.138,0.1,0.827,23.4,0.893,75.00,STABLE / OPEN,0.00,0.38,0.000,0.348,87,47,223,81,53,6,0.0,ERR:0,33.0,31.0,30.6,30.0,0,0,0,
21,0115,3/30/2021 8:07:17 PM ,4650,20.902,20.747,0.155,0.2,3850,0.051,0.185,0.133,0.1,0.828,22.5,0.892,75.00,STABLE / OPEN,0.13,0.51,0.000,0.348,203,80,519,175,44,7,0.0,ERR:0,34.0,30.9,30.3,30.0,0,0,0,
22,0115,3/30/2021 8:12:57 PM ,4684,20.902,20.745,0.156,0.2,3911,0.050,0.185,0.135,0.1,0.835,22.7,0.892,75.00,UNSTABLE / OPEN,0.00,0.51,0.000,0.348,254,115,364,178,67,8,0.0,ERR:0,34.8,31.0,30.6,30.0,0,0,0,
23,0115,3/30/2021 8:18:37 PM ,4689,20.902,20.746,0.156,0.2,3886,0.051,0.185,0.134,0.2,0.829,22.7,0.893,75.00,STABLE / OPEN,0.13,0.65,0.000,0.348,249,60,280,103,15,8,0.0,ERR:0,34.4,31.0,30.3,30.0,0,0,0,
24,0115,3/30/2021 8:24:17 PM ,4049,20.902,20.766,0.136,0.2,3565,0.050,0.173,0.123,0.2,0.880,19.8,0.894,75.00,STABLE / OPEN,0.00,0.65,0.000,0.348,7619,0,340,0,0,11,0.0,ERR:0,33.5,31.0,30.6,30.0,0,0,0,
25,0115,3/30/2021 8:29:57 PM ,4091,20.902,20.764,0.138,0.2,3610,0.051,0.175,0.125,0.2,0.883,20.1,0.893,75.00,UNSTABLE / OPEN,0.00,0.65,0.000,0.348,263,126,499,171,21,7,0.0,ERR:0,33.8,30.9,30.3,30.0,0,0,0,
26,0115,3/30/2021 8:35:37 PM ,4356,20.902,20.756,0.146,0.2,3645,0.048,0.174,0.126,0.2,0.837,21.1,0.892,75.00,UNSTABLE / OPEN,0.00,0.65,0.000,0.348,250,102,472,183,23,7,0.0,ERR:0,34.7,31.0,30.6,30.0,0,0,0,
27,0115,3/30/2021 8:41:17 PM ,4435,20.902,20.753,0.148,0.2,3769,0.047,0.178,0.130,0.2,0.850,21.6,0.894,75.00,UNSTABLE / OPEN,0.08,0.73,0.000,0.348,548,137,411,190,20,10,0.0,ERR:0,34.5,30.9,30.3,30.0,0,0,0,
28,0115,3/30/2021 8:46:57 PM ,4471,20.902,20.752,0.150,0.2,3823,0.049,0.181,0.132,0.2,0.855,21.8,0.891,75.00,STABLE / OPEN,0.05,0.78,0.000,0.348,262,133,732,212,25,5,0.0,ERR:0,34.7,31.0,30.6,30.0,0,0,0,
29,0115,3/30/2021 8:52:37 PM ,4543,20.902,20.750,0.152,0.2,3810,0.050,0.181,0.132,0.2,0.839,22.0,0.893,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.348,137,15,1727,112,29,6,0.0,ERR:0,34.8,30.9,30.3,30.0,0,0,0,
30,0115,3/30/2021 8:58:17 PM ,4572,20.902,20.749,0.153,0.2,3914,0.049,0.184,0.135,0.2,0.856,22.3,0.893,75.00,STABLE / OPEN,0.21,0.99,0.000,0.348,118,44,498,65,110,6,0.0,ERR:0,34.5,31.0,30.6,30.0,0,0,0,
31,0115,3/30/2021 9:03:57 PM ,4665,20.902,20.746,0.156,0.3,3936,0.049,0.185,0.136,0.2,0.844,22.6,0.893,75.00,UNSTABLE / OPEN,0.00,0.99,0.000,0.348,240,84,538,112,27,7,0.0,ERR:0,34.8,31.0,30.3,30.0,0,0,0,
32,0115,3/30/2021 9:09:37 PM ,4641,20.902,20.746,0.155,0.3,3925,0.049,0.185,0.136,0.2,0.846,22.5,0.892,75.00,STABLE / OPEN,0.09,1.07,0.000,0.348,122,38,690,75,7,7,0.0,ERR:0,34.3,31.0,30.6,30.0,0,0,0,
33,0115,3/30/2021 9:15:17 PM ,4632,20.902,20.746,0.156,0.3,4031,0.048,0.188,0.140,0.2,0.870,22.6,0.891,75.00,UNSTABLE / OPEN,0.00,1.07,0.000,0.348,389,157,824,231,78,5,0.0,ERR:0,34.7,31.0,30.4,30.0,0,0,0,
34,0115,3/30/2021 9:20:57 PM ,4609,20.902,20.748,0.154,0.3,3895,0.048,0.182,0.134,0.2,0.845,22.4,0.893,75.00,STABLE / OPEN,0.00,1.07,0.000,0.348,182,42,306,79,5,8,0.0,ERR:0,35.3,31.1,30.7,30.0,0,0,0,
35,0115,3/30/2021 9:26:37 PM ,4631,20.902,20.746,0.155,0.3,3952,0.048,0.184,0.137,0.2,0.853,22.5,0.891,75.00,STABLE / OPEN,0.00,1.07,0.000,0.348,253,112,445,192,49,7,0.0,ERR:0,35.5,31.0,30.4,30.0,0,0,0,
36,0115,3/30/2021 9:32:17 PM ,4613,20.902,20.748,0.154,0.3,3902,0.047,0.182,0.135,0.2,0.846,22.4,0.893,75.00,UNSTABLE / OPEN,0.06,1.13,0.000,0.348,358,39,362,138,19,12,0.0,ERR:0,35.2,31.1,30.5,30.0,0,0,0,
37,0115,3/30/2021 9:37:57 PM ,4515,20.902,20.751,0.151,0.3,3870,0.047,0.181,0.134,0.2,0.857,22.0,0.894,75.00,STABLE / OPEN,0.00,1.13,0.000,0.348,236,28,418,60,4,5,0.0,ERR:0,34.8,30.9,30.4,30.0,0,0,0,
38,0115,3/30/2021 9:43:37 PM ,4479,20.902,20.752,0.150,0.3,3768,0.047,0.178,0.130,0.3,0.841,21.7,0.892,75.00,STABLE / OPEN,0.06,1.19,0.000,0.348,259,48,843,129,3,17,0.0,ERR:0,35.1,31.0,30.1,30.0,0,0,0,
39,0115,3/30/2021 9:49:17 PM ,4538,20.902,20.751,0.151,0.3,3785,0.047,0.178,0.131,0.3,0.834,22.0,0.894,75.00,STABLE / OPEN,0.05,1.24,0.000,0.348,176,67,721,110,115,9,0.0,ERR:0,35.1,31.0,30.4,30.0,0,0,0,
40,0115,3/30/2021 9:54:57 PM ,4751,20.902,20.741,0.161,0.3,4181,0.046,0.191,0.145,0.3,0.880,23.3,0.890,75.00,UNSTABLE / OPEN,0.00,1.24,0.000,0.348,66,21,281,44,69,10,0.0,ERR:0,34.9,31.0,30.0,30.0,0,0,0,
41,0115,3/30/2021 10:00:37 PM ,4782,20.902,20.741,0.161,0.3,4221,0.047,0.193,0.146,0.3,0.883,23.4,0.893,75.00,STABLE / OPEN,0.23,1.47,0.000,0.348,145,76,401,125,2,8,0.0,ERR:0,34.6,31.0,30.5,30.0,0,0,0,
42,0115,3/30/2021 10:06:17 PM ,4673,20.902,20.744,0.157,0.3,4100,0.047,0.188,0.142,0.3,0.877,22.9,0.892,75.00,STABLE / OPEN,0.00,1.47,0.000,0.348,689,200,622,262,3,14,0.0,ERR:0,34.3,31.1,30.1,30.0,0,0,0,
43,0115,3/30/2021 10:11:57 PM ,4810,20.902,20.740,0.162,0.4,4196,0.047,0.192,0.145,0.3,0.873,23.5,0.893,75.00,STABLE / OPEN,0.00,1.47,0.000,0.348,418,223,831,406,47,5,0.0,ERR:0,34.8,30.9,30.5,30.0,0,0,0,
44,0115,3/30/2021 10:17:37 PM ,4715,20.902,20.743,0.159,0.4,4175,0.046,0.190,0.144,0.3,0.886,23.1,0.892,75.00,STABLE / OPEN,0.10,1.57,0.000,0.348,294,125,639,221,64,13,0.0,ERR:0,34.7,31.1,30.1,30.0,0,0,0,
45,0115,3/30/2021 10:23:17 PM ,4659,20.902,20.745,0.156,0.4,4005,0.048,0.187,0.138,0.3,0.860,22.7,0.892,75.00,STABLE / OPEN,0.00,1.57,0.000,0.348,247,45,471,94,0,8,0.0,ERR:0,34.4,31.0,30.4,30.0,0,0,0,
46,0115,3/30/2021 10:28:57 PM ,4585,20.902,20.748,0.154,0.4,3905,0.047,0.182,0.135,0.3,0.852,22.3,0.892,75.00,STABLE / OPEN,0.07,1.64,1.347,1.695,550,207,727,339,8,10,0.0,ERR:0,34.1,31.1,30.1,30.0,0,0,0,
47,0115,3/30/2021 10:34:37 PM ,4609,20.902,20.747,0.154,0.4,3921,0.046,0.182,0.136,0.3,0.851,22.4,0.891,75.00,STABLE / OPEN,0.00,1.64,0.000,1.695,327,109,584,191,0,5,0.0,ERR:0,34.0,31.0,30.5,30.0,0,0,0,
48,0115,3/30/2021 10:40:17 PM ,4687,20.902,20.745,0.157,0.4,3978,0.047,0.185,0.137,0.3,0.849,22.8,0.894,75.00,UNSTABLE / OPEN,0.00,1.64,0.000,1.695,291,43,294,80,26,16,0.0,ERR:0,33.9,31.0,30.0,30.0,0,0,0,
49,0115,3/30/2021 10:45:57 PM ,4574,20.902,20.748,0.154,0.4,3964,0.048,0.185,0.137,0.3,0.867,22.3,0.892,75.00,STABLE / OPEN,0.07,1.70,0.284,1.978,228,109,470,208,13,8,0.0,ERR:0,34.2,31.0,30.5,30.0,0,0,0,
50,0115,3/30/2021 10:51:37 PM ,4734,20.902,20.744,0.158,0.4,4012,0.047,0.186,0.138,0.3,0.848,23.0,0.894,75.00,STABLE / OPEN,0.08,1.78,0.000,1.978,350,171,561,288,37,11,0.0,ERR:0,34.0,31.1,30.0,30.0,0,0,0,
51,0115,3/30/2021 10:57:17 PM ,4657,20.902,20.745,0.157,0.4,4066,0.048,0.188,0.141,0.3,0.873,22.8,0.891,75.00,STABLE / OPEN,0.07,1.85,0.000,1.978,402,165,534,230,26,6,0.0,ERR:0,34.0,30.9,30.5,30.0,0,0,0,
52,0115,3/30/2021 11:02:57 PM ,4640,20.902,20.746,0.156,0.4,4015,0.046,0.185,0.139,0.4,0.865,22.6,0.892,75.00,STABLE / OPEN,0.00,1.85,0.000,1.978,265,108,515,206,3,11,0.0,ERR:0,33.4,31.0,30.0,30.0,0,0,0,
