Oxymax CSV File 

CSV Generation Date,10/10/2022 9:08:32 AM 
Experiment Started,3/30/2021 6:08:32 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-03-30 UCP1 mCre AdipoqCre and KO.CDTA

Group/Cage,0101
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,2976
Subject Mass (G), 25.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,3/30/2021 6:09:17 PM ,5874,20.902,20.638,0.264,0.0,5087,0.065,0.300,0.235,0.0,0.866,28.7,0.912,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,11,0.0,ERR:0,32.9,23.6,22.1,5.0,0,0,0,
2,0101,3/30/2021 6:14:57 PM ,4591,20.902,20.696,0.205,0.0,3832,0.063,0.241,0.177,0.0,0.835,22.2,0.910,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,1,0.0,ERR:0,32.4,23.5,23.2,30.0,0,0,0,
3,0101,3/30/2021 6:20:37 PM ,4390,20.902,20.706,0.195,0.0,3604,0.064,0.230,0.167,0.0,0.821,21.2,0.912,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,33,20,121,63,13,0,0.0,ERR:0,32.4,23.9,24.8,30.0,0,0,0,
4,0101,3/30/2021 6:26:17 PM ,4991,20.902,20.678,0.224,0.0,4284,0.063,0.261,0.198,0.0,0.858,24.3,0.913,75.00,STABLE / OPEN,0.05,0.05,0.000,0.000,352,196,522,234,83,0,0.0,ERR:0,32.5,24.7,26.4,30.0,0,0,0,
5,0101,3/30/2021 6:31:57 PM ,4741,20.902,20.689,0.213,0.0,4087,0.061,0.249,0.189,0.0,0.862,23.1,0.913,75.00,STABLE / OPEN,0.18,0.23,0.000,0.000,161,47,363,111,16,0,0.0,ERR:0,32.7,25.7,27.7,30.0,0,0,0,
6,0101,3/30/2021 6:37:37 PM ,4079,20.902,20.720,0.182,0.1,3384,0.061,0.218,0.156,0.0,0.829,19.7,0.914,75.00,STABLE / OPEN,0.09,0.32,0.000,0.000,8,1,98,37,1,0,0.0,ERR:0,31.9,26.8,28.8,30.0,0,0,0,
7,0101,3/30/2021 6:43:17 PM ,4174,20.902,20.715,0.187,0.1,3599,0.060,0.227,0.166,0.1,0.862,20.4,0.913,75.00,STABLE / OPEN,0.00,0.32,0.000,0.000,252,89,950,216,29,0,0.0,ERR:0,32.9,27.9,29.6,30.0,0,0,0,
8,0101,3/30/2021 6:48:57 PM ,4251,20.902,20.711,0.191,0.1,3704,0.060,0.231,0.171,0.1,0.871,20.8,0.913,75.00,STABLE / OPEN,0.12,0.45,0.104,0.104,334,117,685,234,103,0,0.0,ERR:0,33.3,28.9,30.3,30.0,0,0,0,
9,0101,3/30/2021 6:54:37 PM ,4317,20.902,20.708,0.194,0.1,3711,0.058,0.229,0.171,0.1,0.860,21.0,0.913,75.00,UNSTABLE / OPEN,0.00,0.45,0.000,0.104,315,140,554,225,102,1,0.0,ERR:0,33.3,29.7,30.7,30.0,0,0,0,
10,0101,3/30/2021 7:00:17 PM ,4256,20.902,20.713,0.189,0.1,3528,0.058,0.221,0.163,0.1,0.829,20.6,0.915,75.00,UNSTABLE / OPEN,0.20,0.64,0.214,0.318,423,230,905,455,31,0,0.0,ERR:0,33.6,30.3,30.4,30.0,0,0,0,
11,0101,3/30/2021 7:05:57 PM ,4165,20.902,20.716,0.186,0.1,3502,0.058,0.220,0.162,0.1,0.841,20.2,0.913,75.00,UNSTABLE / OPEN,0.05,0.69,0.040,0.357,270,120,586,239,57,0,0.0,ERR:0,33.5,30.6,30.5,30.0,0,0,0,
12,0101,3/30/2021 7:11:37 PM ,4140,20.902,20.718,0.184,0.1,3435,0.057,0.215,0.158,0.1,0.830,20.0,0.914,75.00,UNSTABLE / OPEN,0.05,0.74,0.167,0.524,361,204,528,279,86,0,0.0,ERR:0,33.7,30.9,30.4,30.0,0,0,0,
13,0101,3/30/2021 7:17:17 PM ,4200,20.902,20.714,0.188,0.1,3596,0.055,0.221,0.166,0.1,0.856,20.5,0.914,75.00,UNSTABLE / OPEN,0.00,0.74,0.000,0.524,42,11,113,37,164,0,0.0,ERR:0,33.4,31.1,30.6,30.0,0,0,0,
14,0101,3/30/2021 7:22:57 PM ,4049,20.902,20.721,0.181,0.1,3432,0.055,0.213,0.158,0.1,0.847,19.7,0.915,75.00,STABLE / OPEN,0.32,1.06,0.161,0.685,347,150,596,228,24,0,0.0,ERR:0,34.1,31.1,30.4,30.0,0,0,0,
15,0101,3/30/2021 7:28:37 PM ,4007,20.902,20.723,0.179,0.1,3366,0.055,0.211,0.156,0.1,0.840,19.4,0.913,75.00,STABLE / OPEN,0.00,1.06,0.000,0.685,263,43,459,109,32,0,0.0,ERR:0,34.3,31.2,30.7,30.0,0,0,0,
16,0101,3/30/2021 7:34:17 PM ,3881,20.902,20.728,0.174,0.2,3321,0.054,0.208,0.153,0.1,0.856,18.9,0.913,75.00,STABLE / OPEN,0.00,1.06,0.000,0.685,391,146,601,283,48,0,0.0,ERR:0,35.3,31.3,30.4,30.0,0,0,0,
17,0101,3/30/2021 7:39:57 PM ,3849,20.902,20.731,0.171,0.2,3167,0.053,0.199,0.146,0.1,0.823,18.6,0.915,75.00,UNSTABLE / OPEN,0.00,1.06,0.113,0.798,182,57,263,91,125,0,0.0,ERR:0,34.0,31.3,30.7,30.0,0,0,0,
18,0101,3/30/2021 7:45:37 PM ,3946,20.902,20.726,0.176,0.2,3269,0.053,0.204,0.151,0.1,0.829,19.1,0.914,75.00,UNSTABLE / OPEN,0.20,1.26,0.000,0.798,213,102,411,175,92,0,0.0,ERR:0,33.8,31.4,30.3,30.0,0,0,0,
19,0101,3/30/2021 7:51:17 PM ,3896,20.902,20.728,0.174,0.2,3264,0.051,0.202,0.151,0.2,0.838,18.9,0.912,75.00,STABLE / OPEN,0.00,1.26,0.000,0.798,178,62,640,225,7,0,0.0,ERR:0,34.4,31.3,30.4,30.0,0,0,0,
20,0101,3/30/2021 7:56:57 PM ,3984,20.902,20.724,0.178,0.2,3391,0.051,0.207,0.157,0.2,0.851,19.4,0.913,75.00,UNSTABLE / OPEN,0.00,1.26,0.142,0.940,303,118,1109,214,58,0,0.0,ERR:0,33.6,31.3,30.4,30.0,0,0,0,
21,0101,3/30/2021 8:02:37 PM ,3974,20.902,20.724,0.178,0.2,3409,0.051,0.209,0.157,0.2,0.858,19.4,0.915,75.00,STABLE / OPEN,0.08,1.34,0.000,0.940,257,122,544,281,86,0,0.0,ERR:0,33.5,31.3,30.6,30.0,0,0,0,
22,0101,3/30/2021 8:08:17 PM ,3959,20.902,20.724,0.178,0.2,3437,0.050,0.208,0.159,0.2,0.868,19.3,0.913,75.00,STABLE / OPEN,0.00,1.34,0.000,0.940,258,124,548,206,6,0,0.0,ERR:0,33.0,31.3,30.4,30.0,0,0,0,
23,0101,3/30/2021 8:13:57 PM ,3989,20.902,20.723,0.179,0.2,3476,0.051,0.211,0.160,0.2,0.871,19.5,0.915,75.00,STABLE / OPEN,0.10,1.44,0.000,0.940,190,89,326,124,45,0,0.0,ERR:0,33.0,31.3,30.7,30.0,0,0,0,
24,0101,3/30/2021 8:19:37 PM ,4020,20.902,20.722,0.180,0.2,3431,0.050,0.209,0.159,0.2,0.853,19.6,0.912,75.00,UNSTABLE / OPEN,0.00,1.44,0.265,1.205,201,54,297,71,97,0,0.0,ERR:0,32.9,31.3,30.4,30.0,0,0,0,
25,0101,3/30/2021 8:25:17 PM ,4043,20.902,20.722,0.180,0.2,3346,0.051,0.205,0.154,0.2,0.828,19.5,0.915,75.00,STABLE / OPEN,0.14,1.57,0.000,1.205,258,77,1092,244,17,0,0.0,ERR:0,32.5,31.4,30.7,30.0,0,0,0,
26,0101,3/30/2021 8:30:57 PM ,4048,20.902,20.720,0.182,0.3,3559,0.048,0.212,0.164,0.2,0.879,19.8,0.914,75.00,UNSTABLE / OPEN,0.00,1.57,0.057,1.261,309,115,583,269,46,0,0.0,ERR:0,32.6,31.3,30.3,30.0,0,0,0,
27,0101,3/30/2021 8:36:37 PM ,3969,20.902,20.723,0.178,0.3,3472,0.047,0.208,0.160,0.2,0.875,19.4,0.914,75.00,STABLE / OPEN,0.00,1.57,0.000,1.261,230,89,680,237,25,0,0.0,ERR:0,32.4,31.3,30.5,30.0,0,0,0,
28,0101,3/30/2021 8:42:17 PM ,4115,20.902,20.717,0.185,0.3,3646,0.049,0.216,0.168,0.2,0.886,20.2,0.915,75.00,STABLE / OPEN,0.00,1.57,0.000,1.261,383,209,677,355,60,0,0.0,ERR:0,33.2,31.3,30.3,30.0,0,0,0,
29,0101,3/30/2021 8:47:57 PM ,4132,20.902,20.716,0.185,0.3,3549,0.050,0.214,0.164,0.2,0.859,20.1,0.912,75.00,UNSTABLE / OPEN,0.03,1.61,0.000,1.261,224,95,410,196,141,0,0.0,ERR:0,33.2,31.3,30.5,30.0,0,0,0,
30,0101,3/30/2021 8:53:37 PM ,4061,20.902,20.720,0.182,0.3,3541,0.049,0.212,0.163,0.2,0.872,19.9,0.915,75.00,STABLE / OPEN,0.14,1.75,0.272,1.533,242,134,464,202,12,0,0.0,ERR:0,33.3,31.3,30.4,30.0,0,0,0,
31,0101,3/30/2021 8:59:17 PM ,4115,20.902,20.718,0.184,0.3,3499,0.049,0.210,0.162,0.3,0.850,20.0,0.913,75.00,STABLE / OPEN,0.09,1.84,0.000,1.533,213,95,919,265,19,0,0.0,ERR:0,33.0,31.3,30.6,30.0,0,0,0,
32,0101,3/30/2021 9:04:57 PM ,4235,20.902,20.711,0.191,0.3,3758,0.049,0.222,0.173,0.3,0.887,20.8,0.915,75.00,STABLE / OPEN,0.00,1.84,0.000,1.533,457,236,879,414,126,0,0.0,ERR:0,33.2,31.2,30.4,30.0,0,0,0,
33,0101,3/30/2021 9:10:37 PM ,4175,20.902,20.714,0.187,0.3,3661,0.048,0.217,0.169,0.3,0.877,20.4,0.916,75.00,UNSTABLE / OPEN,0.00,1.84,0.000,1.533,488,293,825,392,105,0,0.0,ERR:0,33.0,31.3,30.5,30.0,0,0,0,
34,0101,3/30/2021 9:16:17 PM ,4253,20.902,20.711,0.191,0.3,3726,0.048,0.219,0.172,0.3,0.876,20.8,0.914,75.00,UNSTABLE / OPEN,0.00,1.84,0.000,1.533,303,177,658,424,26,0,0.0,ERR:0,33.1,31.3,30.4,30.0,0,0,0,
35,0101,3/30/2021 9:21:57 PM ,4202,20.902,20.713,0.188,0.3,3666,0.048,0.216,0.169,0.3,0.872,20.5,0.916,75.00,UNSTABLE / OPEN,0.04,1.88,0.000,1.533,398,250,731,469,77,0,0.0,ERR:0,33.5,31.3,30.3,30.0,0,0,0,
36,0101,3/30/2021 9:27:37 PM ,4103,20.902,20.717,0.185,0.3,3622,0.047,0.215,0.167,0.3,0.883,20.1,0.913,75.00,STABLE / OPEN,0.09,1.97,0.000,1.533,493,265,760,489,57,0,0.0,ERR:0,34.2,31.2,30.5,30.0,0,0,0,
37,0101,3/30/2021 9:33:17 PM ,4178,20.902,20.714,0.188,0.4,3689,0.047,0.217,0.170,0.3,0.883,20.5,0.915,75.00,UNSTABLE / OPEN,0.00,1.97,0.000,1.533,790,507,1172,722,106,0,0.0,ERR:0,34.1,31.2,30.1,30.0,0,0,0,
38,0101,3/30/2021 9:38:57 PM ,3973,20.902,20.724,0.178,0.4,3389,0.047,0.204,0.156,0.3,0.853,19.3,0.914,75.00,STABLE / OPEN,0.00,1.97,0.057,1.590,409,193,599,318,38,0,0.0,ERR:0,34.0,31.3,30.4,30.0,0,0,0,
39,0101,3/30/2021 9:44:37 PM ,4065,20.902,20.721,0.181,0.4,3388,0.047,0.204,0.156,0.3,0.833,19.7,0.915,75.00,UNSTABLE / OPEN,0.00,1.97,0.000,1.590,166,92,326,173,75,0,0.0,ERR:0,33.4,31.3,30.0,30.0,0,0,0,
40,0101,3/30/2021 9:50:17 PM ,3873,20.902,20.728,0.173,0.4,3375,0.046,0.202,0.155,0.3,0.871,18.9,0.917,75.00,UNSTABLE / OPEN,0.21,2.17,0.000,1.590,226,123,464,199,41,0,0.0,ERR:0,33.5,31.3,30.5,30.0,0,0,0,
41,0101,3/30/2021 9:55:57 PM ,3809,20.902,20.732,0.170,0.4,3181,0.047,0.194,0.147,0.3,0.835,18.4,0.914,75.00,UNSTABLE / OPEN,0.00,2.17,0.214,1.804,186,72,423,160,48,0,0.0,ERR:0,33.5,31.2,30.1,30.0,0,0,0,
42,0101,3/30/2021 10:01:37 PM ,3838,20.902,20.730,0.172,0.4,3321,0.047,0.199,0.153,0.3,0.865,18.7,0.916,75.00,STABLE / OPEN,0.06,2.23,0.035,1.839,191,87,1483,211,16,0,0.0,ERR:0,33.4,31.3,30.5,30.0,0,0,0,
43,0101,3/30/2021 10:07:17 PM ,3838,20.902,20.730,0.172,0.4,3314,0.047,0.200,0.153,0.4,0.863,18.7,0.913,75.00,STABLE / OPEN,0.00,2.23,0.067,1.906,310,148,524,292,10,0,0.0,ERR:0,33.6,31.3,30.0,30.0,0,0,0,
44,0101,3/30/2021 10:12:57 PM ,3835,20.902,20.730,0.172,0.4,3352,0.046,0.200,0.154,0.4,0.874,18.8,0.916,75.00,STABLE / OPEN,0.04,2.27,0.000,1.906,332,162,741,287,34,0,0.0,ERR:0,34.0,31.2,30.5,30.0,0,0,0,
45,0101,3/30/2021 10:18:37 PM ,3980,20.902,20.723,0.179,0.4,3455,0.048,0.208,0.159,0.4,0.868,19.4,0.914,75.00,UNSTABLE / OPEN,0.09,2.36,0.000,1.906,405,186,507,293,72,0,0.0,ERR:0,33.6,31.3,30.0,30.0,0,0,0,
46,0101,3/30/2021 10:24:17 PM ,4051,20.902,20.720,0.182,0.4,3574,0.047,0.212,0.165,0.4,0.882,19.9,0.915,75.00,UNSTABLE / OPEN,0.04,2.40,0.000,1.906,507,275,755,459,84,0,0.0,ERR:0,33.7,31.3,30.5,30.0,0,0,0,
47,0101,3/30/2021 10:29:57 PM ,3934,20.902,20.726,0.176,0.5,3401,0.046,0.203,0.157,0.4,0.865,19.2,0.915,75.00,STABLE / OPEN,0.00,2.40,0.037,1.944,473,228,761,387,15,0,0.0,ERR:0,33.5,31.3,30.0,30.0,0,0,0,
48,0101,3/30/2021 10:35:37 PM ,3925,20.902,20.727,0.175,0.5,3323,0.047,0.200,0.153,0.4,0.846,19.1,0.915,75.00,UNSTABLE / OPEN,0.00,2.40,0.000,1.944,174,88,238,126,39,0,0.0,ERR:0,33.5,31.2,30.5,30.0,0,0,0,
49,0101,3/30/2021 10:41:17 PM ,3947,20.902,20.726,0.176,0.5,3361,0.048,0.203,0.155,0.4,0.852,19.2,0.917,75.00,STABLE / OPEN,0.18,2.57,0.145,2.088,305,111,424,207,3,0,0.0,ERR:0,33.3,31.3,30.0,30.0,0,0,0,
50,0101,3/30/2021 10:46:57 PM ,3905,20.902,20.727,0.175,0.5,3349,0.047,0.202,0.154,0.4,0.858,19.0,0.915,75.00,UNSTABLE / OPEN,0.00,2.57,0.127,2.216,341,156,719,373,26,0,0.0,ERR:0,33.2,31.2,30.5,30.0,0,0,0,
51,0101,3/30/2021 10:52:37 PM ,3755,20.902,20.734,0.168,0.5,3241,0.048,0.197,0.149,0.4,0.863,18.3,0.917,75.00,STABLE / OPEN,0.00,2.57,0.000,2.216,407,164,656,311,7,0,0.0,ERR:0,33.0,31.3,30.1,30.0,0,0,0,
52,0101,3/30/2021 10:58:17 PM ,3859,20.902,20.729,0.173,0.5,3347,0.046,0.201,0.154,0.4,0.867,18.8,0.915,75.00,UNSTABLE / OPEN,0.12,2.69,0.000,2.216,103,16,158,43,50,0,0.0,ERR:0,33.0,31.2,30.6,30.0,0,0,0,
