Oxymax CSV File 

CSV Generation Date,10/10/2022 9:08:42 AM 
Experiment Started,3/30/2021 6:08:32 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-03-30 UCP1 mCre AdipoqCre and KO.CDTA

Group/Cage,0113
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,UCP1 KO
Subject Mass (G), 17.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0113,3/30/2021 6:13:17 PM ,7511,20.902,20.674,0.228,0.0,5799,0.065,0.250,0.185,0.0,0.772,35.8,0.893,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,170,33,317,57,11,0,0.0,ERR:0,31.9,23.1,22.6,30.0,0,0,0,
2,0113,3/30/2021 6:18:57 PM ,6836,20.902,20.695,0.207,0.0,5161,0.063,0.228,0.165,0.0,0.755,32.4,0.893,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,156,50,264,105,13,0,0.0,ERR:0,32.0,23.3,24.4,30.0,0,0,0,
3,0113,3/30/2021 6:24:37 PM ,6387,20.902,20.709,0.193,0.0,4715,0.064,0.214,0.151,0.0,0.738,30.2,0.893,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,114,64,432,133,6,0,0.0,ERR:0,32.1,23.8,26.0,30.0,0,0,0,
4,0113,3/30/2021 6:30:17 PM ,6308,20.902,20.711,0.190,0.0,4668,0.063,0.212,0.149,0.0,0.740,29.8,0.893,75.00,STABLE / OPEN,0.00,0.00,0.160,0.160,338,99,763,252,20,0,0.0,ERR:0,32.4,24.3,27.3,30.0,0,0,0,
5,0113,3/30/2021 6:35:57 PM ,6236,20.902,20.713,0.189,0.0,4665,0.061,0.210,0.149,0.0,0.748,29.5,0.892,75.00,STABLE / OPEN,0.00,0.00,0.097,0.257,411,142,795,270,37,0,0.0,ERR:0,32.9,25.1,28.5,30.0,0,0,0,
6,0113,3/30/2021 6:41:37 PM ,6057,20.902,20.719,0.182,0.1,4390,0.061,0.202,0.140,0.0,0.725,28.5,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.257,315,117,685,268,4,0,0.0,ERR:0,32.9,25.9,29.4,30.0,0,0,0,
7,0113,3/30/2021 6:47:17 PM ,5830,20.902,20.725,0.176,0.1,4379,0.060,0.200,0.140,0.0,0.751,27.6,0.893,75.00,STABLE / OPEN,0.00,0.00,0.281,0.538,277,111,638,261,9,0,0.0,ERR:0,33.3,26.7,30.1,30.0,0,0,0,
8,0113,3/30/2021 6:52:57 PM ,5749,20.902,20.728,0.174,0.1,4339,0.060,0.198,0.139,0.1,0.755,27.3,0.893,75.00,STABLE / OPEN,0.00,0.00,0.099,0.636,349,74,681,229,36,0,0.0,ERR:0,34.0,27.6,30.6,30.0,0,0,0,
9,0113,3/30/2021 6:58:37 PM ,5544,20.902,20.734,0.168,0.1,4160,0.058,0.191,0.133,0.1,0.750,26.3,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.636,220,21,393,88,8,0,0.0,ERR:0,34.1,28.2,30.2,30.0,0,0,0,
10,0113,3/30/2021 7:04:17 PM ,5351,20.902,20.741,0.161,0.1,3909,0.058,0.183,0.125,0.1,0.730,25.2,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,0.636,388,164,778,319,46,0,0.0,ERR:0,33.7,28.9,30.6,30.0,0,0,0,
11,0113,3/30/2021 7:09:57 PM ,4975,20.902,20.750,0.151,0.1,3880,0.058,0.182,0.124,0.1,0.780,23.8,0.893,75.00,STABLE / OPEN,0.00,0.00,0.475,1.112,269,128,674,292,31,0,0.0,ERR:0,33.6,29.3,30.3,30.0,0,0,0,
12,0113,3/30/2021 7:15:37 PM ,5054,20.902,20.750,0.152,0.1,3710,0.057,0.175,0.118,0.1,0.734,23.9,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,1.112,339,77,589,182,16,0,0.0,ERR:0,34.4,29.7,30.6,30.0,0,0,0,
13,0113,3/30/2021 7:21:17 PM ,4878,20.902,20.753,0.149,0.1,3925,0.055,0.180,0.125,0.1,0.805,23.4,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,1.112,134,23,366,164,0,0,0.0,ERR:0,34.8,30.0,30.3,30.0,0,0,0,
14,0113,3/30/2021 7:26:57 PM ,4792,20.902,20.755,0.146,0.1,3841,0.055,0.178,0.122,0.1,0.802,23.0,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,1.112,280,112,451,201,7,0,0.0,ERR:0,34.1,30.3,30.6,30.0,0,0,0,
15,0113,3/30/2021 7:32:37 PM ,4810,20.902,20.755,0.147,0.1,3820,0.055,0.177,0.122,0.1,0.794,23.1,0.893,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,1.112,403,143,772,340,14,0,0.0,ERR:0,33.9,30.5,30.2,30.0,0,0,0,
16,0113,3/30/2021 7:38:17 PM ,4725,20.902,20.758,0.144,0.1,3737,0.054,0.173,0.119,0.1,0.791,22.6,0.895,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,1.112,365,114,1032,364,56,0,0.0,ERR:0,33.8,30.6,30.6,30.0,0,0,0,
17,0113,3/30/2021 7:43:57 PM ,4728,20.902,20.758,0.144,0.1,3748,0.053,0.173,0.120,0.1,0.793,22.7,0.894,75.00,STABLE / OPEN,0.08,0.08,0.492,1.603,223,14,837,111,34,0,0.0,ERR:0,34.1,30.8,30.2,30.0,0,0,0,
18,0113,3/30/2021 7:49:37 PM ,4585,20.902,20.761,0.140,0.2,3689,0.053,0.170,0.118,0.1,0.805,22.0,0.894,75.00,STABLE / OPEN,0.00,0.08,0.000,1.603,193,84,580,220,21,0,0.0,ERR:0,33.6,30.9,30.6,30.0,0,0,0,
19,0113,3/30/2021 7:55:17 PM ,4524,20.902,20.763,0.139,0.2,3684,0.051,0.169,0.117,0.1,0.814,21.8,0.895,75.00,STABLE / OPEN,0.05,0.12,0.000,1.603,283,94,385,173,20,0,0.0,ERR:0,33.9,30.9,30.3,30.0,0,0,0,
20,0113,3/30/2021 8:00:57 PM ,4382,20.902,20.767,0.135,0.2,3670,0.051,0.168,0.117,0.1,0.838,21.2,0.894,75.00,STABLE / OPEN,0.00,0.12,0.129,1.733,462,195,597,290,59,0,0.0,ERR:0,35.8,31.0,30.6,30.0,0,0,0,
21,0113,3/30/2021 8:06:37 PM ,4249,20.902,20.771,0.131,0.2,3517,0.051,0.164,0.112,0.1,0.828,20.5,0.894,75.00,STABLE / OPEN,0.04,0.17,0.000,1.733,262,119,704,332,26,0,0.0,ERR:0,35.7,31.0,30.3,30.0,0,0,0,
22,0113,3/30/2021 8:12:17 PM ,4281,20.902,20.770,0.132,0.2,3618,0.050,0.165,0.115,0.1,0.845,20.8,0.895,75.00,STABLE / OPEN,0.00,0.17,0.060,1.793,511,193,828,383,9,0,0.0,ERR:0,35.4,31.1,30.6,30.0,0,0,0,
23,0113,3/30/2021 8:17:57 PM ,4311,20.902,20.769,0.132,0.2,3575,0.051,0.165,0.114,0.1,0.829,20.8,0.895,75.00,UNSTABLE / OPEN,0.00,0.17,0.000,1.793,337,148,668,381,79,0,0.0,ERR:0,35.9,31.1,30.2,30.0,0,0,0,
24,0113,3/30/2021 8:23:37 PM ,4243,20.902,20.771,0.131,0.2,3599,0.050,0.165,0.115,0.2,0.848,20.6,0.895,75.00,UNSTABLE / OPEN,0.05,0.21,0.000,1.793,168,36,450,135,49,0,0.0,ERR:0,36.5,31.2,30.6,30.0,0,0,0,
25,0113,3/30/2021 8:29:17 PM ,4280,20.902,20.770,0.132,0.2,3648,0.051,0.167,0.116,0.2,0.852,20.8,0.896,75.00,UNSTABLE / OPEN,0.07,0.28,0.000,1.793,307,158,656,283,46,0,0.0,ERR:0,37.1,31.2,30.2,30.0,0,0,0,
26,0113,3/30/2021 8:34:57 PM ,4280,20.902,20.769,0.133,0.2,3786,0.048,0.169,0.121,0.2,0.885,21.0,0.895,75.00,STABLE / OPEN,0.14,0.42,0.000,1.793,130,63,213,117,32,0,0.0,ERR:0,36.6,31.2,30.6,30.0,0,0,0,
27,0113,3/30/2021 8:40:37 PM ,4310,20.902,20.768,0.134,0.2,3810,0.047,0.169,0.121,0.2,0.884,21.1,0.896,75.00,STABLE / OPEN,0.00,0.42,0.000,1.793,193,63,445,145,65,0,0.0,ERR:0,36.1,31.2,30.2,30.0,0,0,0,
28,0113,3/30/2021 8:46:17 PM ,4166,20.902,20.773,0.129,0.2,3641,0.049,0.164,0.116,0.2,0.874,20.4,0.895,75.00,STABLE / OPEN,0.00,0.42,0.000,1.793,248,91,668,254,11,0,0.0,ERR:0,35.5,31.2,30.6,30.0,0,0,0,
29,0113,3/30/2021 8:51:57 PM ,4128,20.902,20.774,0.128,0.2,3545,0.050,0.163,0.113,0.2,0.859,20.1,0.895,75.00,UNSTABLE / OPEN,0.00,0.42,0.000,1.793,204,65,406,156,27,0,0.0,ERR:0,35.7,31.3,30.3,30.0,0,0,0,
30,0113,3/30/2021 8:57:37 PM ,4117,20.902,20.774,0.128,0.2,3597,0.049,0.164,0.115,0.2,0.874,20.1,0.895,75.00,STABLE / OPEN,0.09,0.52,0.000,1.793,202,45,431,87,26,0,0.0,ERR:0,35.3,31.3,30.6,30.0,0,0,0,
31,0113,3/30/2021 9:03:17 PM ,4106,20.902,20.774,0.128,0.2,3619,0.049,0.164,0.115,0.2,0.881,20.1,0.895,75.00,STABLE / OPEN,0.00,0.52,0.000,1.793,1972,13,172,47,0,0,0.0,ERR:0,35.1,31.2,30.3,30.0,0,0,0,
32,0113,3/30/2021 9:08:57 PM ,3581,20.902,20.791,0.111,0.2,3082,0.049,0.147,0.098,0.2,0.861,17.5,0.895,75.00,STABLE / OPEN,0.00,0.52,0.000,1.793,11,0,75,4,0,0,0.0,ERR:0,34.3,31.2,30.6,30.0,0,0,0,
33,0113,3/30/2021 9:14:37 PM ,4632,20.902,20.759,0.142,0.3,3935,0.048,0.173,0.125,0.2,0.850,22.5,0.899,75.00,STABLE / OPEN,0.00,0.52,0.000,1.793,130,59,492,110,20,0,0.0,ERR:0,34.5,31.2,30.3,30.0,0,0,0,
34,0113,3/30/2021 9:20:17 PM ,3454,20.902,20.794,0.107,0.3,3043,0.048,0.144,0.097,0.2,0.881,16.9,0.895,75.00,STABLE / OPEN,0.00,0.52,0.439,2.232,141,42,237,74,7,0,0.0,ERR:0,34.1,31.3,30.6,30.0,0,0,0,
35,0113,3/30/2021 9:25:57 PM ,3254,20.902,20.800,0.101,0.3,2937,0.048,0.141,0.094,0.2,0.903,16.0,0.895,75.00,STABLE / OPEN,0.00,0.52,0.000,2.232,1757,33,107,30,0,0,0.0,ERR:0,33.8,31.2,30.3,30.0,0,0,0,
36,0113,3/30/2021 9:31:37 PM ,3761,20.902,20.784,0.117,0.3,3402,0.047,0.156,0.108,0.2,0.905,18.5,0.895,75.00,UNSTABLE / OPEN,0.00,0.52,0.000,2.232,142,56,350,112,63,0,0.0,ERR:0,34.0,31.3,30.7,30.0,0,0,0,
37,0113,3/30/2021 9:37:17 PM ,4060,20.902,20.775,0.126,0.3,3646,0.047,0.163,0.116,0.2,0.898,20.0,0.896,75.00,STABLE / OPEN,0.21,0.73,0.000,2.232,246,83,285,95,22,0,0.0,ERR:0,33.8,31.3,30.3,30.0,0,0,0,
38,0113,3/30/2021 9:42:57 PM ,4224,20.902,20.770,0.132,0.3,3821,0.047,0.169,0.122,0.2,0.905,20.8,0.895,75.00,UNSTABLE / OPEN,0.00,0.73,0.000,2.232,135,51,335,80,0,0,0.0,ERR:0,33.9,31.3,30.4,30.0,0,0,0,
39,0113,3/30/2021 9:48:37 PM ,4360,20.902,20.766,0.136,0.3,3907,0.047,0.172,0.124,0.2,0.896,21.4,0.896,75.00,STABLE / OPEN,0.05,0.78,0.000,2.232,91,32,473,87,28,0,0.0,ERR:0,33.7,31.3,30.4,30.0,0,0,0,
40,0113,3/30/2021 9:54:17 PM ,4280,20.902,20.768,0.134,0.3,3880,0.046,0.170,0.124,0.2,0.906,21.1,0.893,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,2.232,207,28,532,139,70,0,0.0,ERR:0,33.4,31.3,30.3,30.0,0,0,0,
41,0113,3/30/2021 9:59:57 PM ,4397,20.902,20.765,0.137,0.3,3976,0.047,0.174,0.126,0.2,0.904,21.7,0.896,75.00,STABLE / OPEN,0.24,1.02,0.000,2.232,193,22,272,52,71,0,0.0,ERR:0,33.7,31.3,30.4,30.0,0,0,0,
42,0113,3/30/2021 10:05:37 PM ,4261,20.902,20.768,0.134,0.3,3950,0.047,0.172,0.126,0.3,0.927,21.1,0.896,75.00,STABLE / OPEN,0.00,1.02,0.418,2.650,241,18,481,98,0,0,0.0,ERR:0,33.4,31.3,30.4,30.0,0,0,0,
43,0113,3/30/2021 10:11:17 PM ,4350,20.902,20.766,0.136,0.3,3993,0.047,0.174,0.127,0.3,0.918,21.5,0.896,75.00,STABLE / OPEN,0.00,1.02,0.000,2.650,176,59,326,113,6,0,0.0,ERR:0,33.5,31.3,30.4,30.0,0,0,0,
44,0113,3/30/2021 10:16:57 PM ,4498,20.902,20.761,0.140,0.3,4095,0.046,0.176,0.130,0.3,0.910,22.2,0.896,75.00,UNSTABLE / OPEN,0.00,1.02,0.000,2.650,282,132,590,247,29,0,0.0,ERR:0,33.4,31.4,30.4,30.0,0,0,0,
45,0113,3/30/2021 10:22:37 PM ,4491,20.902,20.762,0.140,0.3,4069,0.048,0.178,0.130,0.3,0.906,22.1,0.895,75.00,STABLE / OPEN,0.10,1.12,0.211,2.860,182,98,496,169,30,0,0.0,ERR:0,33.2,31.3,30.4,30.0,0,0,0,
46,0113,3/30/2021 10:28:17 PM ,4740,20.902,20.756,0.146,0.3,3958,0.047,0.173,0.126,0.3,0.835,23.0,0.896,75.00,UNSTABLE / OPEN,0.00,1.12,0.000,2.860,108,29,224,52,54,0,0.0,ERR:0,32.9,31.3,30.4,30.0,0,0,0,
47,0113,3/30/2021 10:33:57 PM ,4824,20.902,20.753,0.148,0.4,4047,0.046,0.175,0.129,0.3,0.839,23.4,0.895,75.00,UNSTABLE / OPEN,0.13,1.25,0.000,2.860,60,34,220,46,64,0,0.0,ERR:0,33.2,31.3,30.4,30.0,0,0,0,
48,0113,3/30/2021 10:39:37 PM ,4726,20.902,20.755,0.146,0.4,4121,0.047,0.178,0.131,0.3,0.872,23.1,0.896,75.00,STABLE / OPEN,0.05,1.31,0.000,2.860,94,33,315,132,35,0,0.0,ERR:0,33.7,31.4,30.3,30.0,0,0,0,
49,0113,3/30/2021 10:45:17 PM ,4677,20.902,20.757,0.145,0.4,3976,0.048,0.175,0.127,0.3,0.850,22.7,0.892,75.00,UNSTABLE / OPEN,0.05,1.35,0.181,3.041,345,161,642,321,42,0,0.0,ERR:0,34.1,31.3,30.5,30.0,0,0,0,
50,0113,3/30/2021 10:50:57 PM ,4576,20.902,20.759,0.143,0.4,4132,0.047,0.179,0.132,0.3,0.903,22.5,0.895,75.00,UNSTABLE / OPEN,0.00,1.35,0.000,3.041,336,182,575,262,27,0,0.0,ERR:0,33.5,31.3,30.1,30.0,0,0,0,
51,0113,3/30/2021 10:56:37 PM ,4614,20.902,20.759,0.142,0.4,3925,0.048,0.173,0.125,0.3,0.851,22.4,0.895,75.00,STABLE / OPEN,0.03,1.38,0.000,3.041,204,82,661,244,9,0,0.0,ERR:0,36.1,31.4,30.5,30.0,0,0,0,
52,0113,3/30/2021 11:02:17 PM ,4513,20.902,20.760,0.141,0.4,4180,0.046,0.179,0.133,0.3,0.926,22.4,0.895,75.00,UNSTABLE / OPEN,0.08,1.46,0.056,3.097,233,99,677,281,22,0,0.0,ERR:0,35.7,31.3,30.0,30.0,0,0,0,
