RecNumber,Label,Fat.mass,Lean.mass,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments,filename
1,2976,0.9,22.55,0.06,19.63,15:59:50; 30 Mar 2021; 70; ems,1,25.3,mCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0101.CSV
2,2980,0.68,22.04,0.07,19.58,16:08:41; 30 Mar 2021; 70; ems,1,24.6,mCre-,2021-03-30 UCP1 mCre AdipoqCre and KO.0102.CSV
3,2794,0.99,20.47,0.07,18.02,16:16:09; 30 Mar 2021; 70; ems,1,23.2,mCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0103.CSV
4,2795,1.11,18.71,0.01,16.53,16:25:48; 30 Mar 2021; 75; ems,1,21.6,mCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0104.CSV
5,2789,1.08,19.65,0.1,17.07,16:32:12; 30 Mar 2021; 75; ems,1,22.5,mCre-,2021-03-30 UCP1 mCre AdipoqCre and KO.0105.CSV
6,2787,1.19,18.67,0.11,16.54,16:39:17; 30 Mar 2021; 75; ems,1,21.8,mCre-,2021-03-30 UCP1 mCre AdipoqCre and KO.0106.CSV
7,2929,1.15,17.22,0.44,15.82,16:45:16; 30 Mar 2021; 75; ems,1,20.7,mCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0107.CSV
8,2928,1.4,18.86,0.12,16.57,16:54:04; 30 Mar 2021; 70; ems,1,22,mCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0108.CSV
9,3330,0.89,14.06,0.05,12.71,17:01:04; 30 Mar 2021; 81; ems,1,16.5,AdipoqCre-,2021-03-30 UCP1 mCre AdipoqCre and KO.0109.CSV
10,3331,0.99,11.34,0.06,10.41,17:09:13; 30 Mar 2021; 70; ems,1,13.5,AdipoqCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0110.CSV
11,3328,0.98,13.26,0.06,12.15,17:15:35; 30 Mar 2021; 75; ems,1,15.8,AdipoqCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0111.CSV
12,3332,0.76,8.48,0.05,8.03,17:22:04; 30 Mar 2021; 75; ems,1,10.7,AdipoqCre+,2021-03-30 UCP1 mCre AdipoqCre and KO.0112.CSV
13,UCP1 KO,1.81,14.21,0.08,13.15,17:28:33; 30 Mar 2021; 75; ems,1,17.1,UCP1 KO,2021-03-30 UCP1 mCre AdipoqCre and KO.0113.CSV
14,UCP1 KO,1.47,12.63,0.07,11.58,17:34:45; 30 Mar 2021; 75; ems,1,15,UCP1 KO,2021-03-30 UCP1 mCre AdipoqCre and KO.0114.CSV
15,UCP1 KO,1.73,15.74,0.09,14.35,17:40:39; 30 Mar 2021; 75; ems,1,18.5,UCP1 KO,2021-03-30 UCP1 mCre AdipoqCre and KO.0115.CSV
16,UCP1 KO,1.27,9.8,0.08,9,17:47:40; 30 Mar 2021; 75; ems,1,12.3,UCP1 KO,2021-03-30 UCP1 mCre AdipoqCre and KO.0116.CSV
