Oxymax CSV File 

CSV Generation Date,10/10/2022 9:12:55 AM 
Experiment Started,4/3/2021 2:50:58 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-04-03 UCP1 restart2.CDTA

Group/Cage,0109
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3332
Subject Mass (G), 10.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0109,4/3/2021 2:54:24 PM ,563,20.906,20.895,0.011,0.0,606,0.046,0.058,0.012,0.0,1.076,2.9,0.897,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2,1,12,1,0,41,0.0,ERR:0,22.3,20.4,20.2,20.0,0,0,100,
2,0109,4/3/2021 3:00:04 PM ,554,20.906,20.896,0.010,0.0,365,0.051,0.058,0.007,0.0,0.659,2.6,0.898,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,7,0,3,0,0,36,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,100,
3,0109,4/3/2021 3:05:44 PM ,661,20.906,20.894,0.012,0.0,407,0.050,0.058,0.008,0.0,0.616,3.0,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,12,0,21,2,0,43,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,100,
4,0109,4/3/2021 3:11:24 PM ,712,20.906,20.893,0.013,0.0,425,0.050,0.059,0.008,0.0,0.598,3.2,0.898,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,21,2,26,4,0,40,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
5,0109,4/3/2021 3:17:04 PM ,657,20.906,20.894,0.012,0.0,455,0.049,0.058,0.009,0.0,0.693,3.1,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,30,8,27,3,1,40,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
6,0109,4/3/2021 3:22:44 PM ,791,20.906,20.892,0.015,0.0,545,0.050,0.060,0.011,0.0,0.688,3.7,0.898,75.00,STABLE / OPEN,7.31,7.31,0.000,0.000,144,24,185,78,0,38,0.0,ERR:0,22.3,20.4,20.4,20.0,0,0,100,
7,0109,4/3/2021 3:28:24 PM ,924,20.906,20.889,0.017,0.0,708,0.049,0.064,0.014,0.0,0.767,4.4,0.898,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,36,14,178,48,0,39,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,100,
8,0109,4/3/2021 3:34:04 PM ,1026,20.906,20.887,0.019,0.0,779,0.048,0.064,0.015,0.0,0.759,4.9,0.897,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,24,3,82,39,0,38,0.0,ERR:0,22.3,20.4,20.4,20.0,0,0,100,
9,0109,4/3/2021 3:39:44 PM ,932,20.906,20.889,0.017,0.0,637,0.050,0.062,0.013,0.0,0.683,4.3,0.898,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,0,0,0,0,0,40,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
10,0109,4/3/2021 3:45:24 PM ,869,20.906,20.890,0.016,0.0,668,0.049,0.062,0.013,0.0,0.769,4.1,0.898,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
11,0109,4/3/2021 3:51:04 PM ,849,20.906,20.890,0.016,0.0,657,0.049,0.062,0.013,0.0,0.774,4.0,0.898,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,0,0,0,0,0,29,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,100,
12,0109,4/3/2021 3:56:44 PM ,1002,20.906,20.888,0.019,0.0,670,0.050,0.063,0.013,0.0,0.668,4.6,0.897,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,0,0,6,1,1,38,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,100,
13,0109,4/3/2021 4:02:24 PM ,1014,20.906,20.887,0.019,0.0,817,0.050,0.066,0.016,0.0,0.806,4.9,0.897,75.00,STABLE / OPEN,0.00,7.31,0.000,0.000,127,10,115,43,0,38,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
14,0109,4/3/2021 4:08:04 PM ,1143,20.906,20.885,0.022,0.0,891,0.050,0.068,0.018,0.0,0.779,5.5,0.898,75.00,UNSTABLE / OPEN,0.00,7.31,0.000,0.000,639,33,185,26,0,37,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
15,0109,4/3/2021 4:13:44 PM ,1083,20.906,20.886,0.021,0.0,897,0.049,0.067,0.018,0.0,0.828,5.2,0.898,75.00,STABLE / OPEN,0.00,7.31,0.033,0.033,163,2,9,1,0,33,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,100,
16,0109,4/3/2021 4:19:24 PM ,1112,20.906,20.886,0.021,0.0,761,0.051,0.066,0.015,0.0,0.685,5.2,0.900,75.00,STABLE / OPEN,0.00,7.31,0.000,0.033,87,0,0,0,0,38,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,100,
17,0109,4/3/2021 4:25:04 PM ,1203,20.906,20.884,0.022,0.0,848,0.050,0.067,0.017,0.0,0.705,5.6,0.898,75.00,STABLE / OPEN,0.00,7.31,0.000,0.033,105,2,248,8,0,36,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
18,0109,4/3/2021 4:30:44 PM ,1186,20.906,20.884,0.022,0.0,832,0.050,0.066,0.017,0.0,0.701,5.5,0.897,75.00,STABLE / OPEN,0.00,7.31,0.000,0.033,0,0,100,1,0,42,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
19,0109,4/3/2021 4:36:24 PM ,1248,20.906,20.884,0.023,0.0,743,0.050,0.065,0.015,0.0,0.595,5.7,0.899,75.00,STABLE / OPEN,0.00,7.31,0.000,0.033,0,0,1241,0,0,37,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
20,0109,4/3/2021 4:42:04 PM ,1199,20.906,20.884,0.022,0.0,822,0.050,0.067,0.016,0.0,0.685,5.6,0.898,75.00,STABLE / OPEN,0.00,7.31,0.000,0.033,0,0,825,2,0,35,0.0,ERR:0,22.3,20.4,20.6,20.0,0,0,100,
21,0109,4/3/2021 4:47:44 PM ,1318,20.906,20.882,0.025,0.0,984,0.050,0.069,0.020,0.0,0.746,6.2,0.899,75.00,STABLE / OPEN,0.04,7.35,0.000,0.033,114,73,468,154,0,39,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,100,
22,0109,4/3/2021 4:53:24 PM ,1482,20.906,20.879,0.028,0.0,1092,0.050,0.071,0.022,0.0,0.737,7.0,0.898,75.00,UNSTABLE / OPEN,0.00,7.35,0.000,0.033,92,16,171,96,0,40,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
23,0109,4/3/2021 4:59:04 PM ,1513,20.906,20.878,0.029,0.0,1193,0.049,0.072,0.024,0.0,0.789,7.2,0.899,75.00,UNSTABLE / OPEN,0.00,7.35,0.000,0.033,65,16,201,96,31,37,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
24,0109,4/3/2021 5:04:44 PM ,1486,20.906,20.879,0.028,0.0,1041,0.050,0.070,0.021,0.0,0.700,7.0,0.897,75.00,UNSTABLE / OPEN,0.00,7.35,0.000,0.033,10,5,22,9,0,34,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,100,
25,0109,4/3/2021 5:10:24 PM ,1313,20.906,20.881,0.025,0.0,1138,0.048,0.070,0.023,0.0,0.867,6.4,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.033,0,0,0,0,0,37,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,100,
26,0109,4/3/2021 5:16:04 PM ,1425,20.906,20.880,0.027,0.0,1045,0.049,0.070,0.021,0.0,0.734,6.7,0.897,75.00,CELL NOT RESPONDING / OPEN,0.00,7.35,0.000,0.033,28,15,217,39,0,37,0.0,ERR:0,22.3,20.4,20.4,20.0,0,0,100,
27,0109,4/3/2021 5:21:44 PM ,1366,20.906,20.881,0.026,0.0,1024,0.049,0.070,0.020,0.0,0.750,6.5,0.898,75.00,UNSTABLE / OPEN,0.00,7.35,0.000,0.033,104,60,178,104,8,36,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
28,0109,4/3/2021 5:27:24 PM ,1176,20.906,20.884,0.023,0.0,972,0.049,0.068,0.019,0.0,0.826,5.7,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.033,28,10,54,21,12,38,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,100,
29,0109,4/3/2021 5:33:04 PM ,1162,20.906,20.885,0.022,0.0,845,0.049,0.066,0.017,0.0,0.728,5.5,0.899,75.00,UNSTABLE / OPEN,0.00,7.35,0.000,0.033,28,5,62,33,0,36,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,100,
30,0109,4/3/2021 5:38:44 PM ,997,20.906,20.888,0.019,0.0,688,0.050,0.063,0.014,0.0,0.689,4.7,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.033,0,0,25,8,0,36,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,100,
31,0109,4/3/2021 5:44:24 PM ,947,20.906,20.889,0.017,0.0,613,0.048,0.060,0.012,0.0,0.647,4.4,0.898,75.00,STABLE / OPEN,0.00,7.35,0.037,0.070,0,0,0,0,0,40,0.0,ERR:0,22.3,20.4,20.4,20.0,0,0,100,
32,0109,4/3/2021 5:50:04 PM ,734,20.906,20.893,0.014,0.0,508,0.049,0.059,0.010,0.0,0.692,3.4,0.896,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,40,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,100,
33,0109,4/3/2021 5:55:44 PM ,645,20.906,20.894,0.012,0.0,427,0.049,0.058,0.008,0.0,0.662,3.0,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,39,0.0,ERR:0,22.3,20.4,20.2,20.0,0,0,100,
34,0109,4/3/2021 6:01:24 PM ,600,20.906,20.895,0.011,0.0,412,0.049,0.057,0.008,0.0,0.686,2.8,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.4,20.0,0,0,0,
35,0109,4/3/2021 6:07:04 PM ,651,20.906,20.894,0.012,0.0,400,0.049,0.057,0.008,0.0,0.614,3.0,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,0,
36,0109,4/3/2021 6:12:44 PM ,624,20.906,20.895,0.011,0.0,372,0.049,0.056,0.007,0.0,0.596,2.8,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,0,
37,0109,4/3/2021 6:18:24 PM ,525,20.906,20.896,0.010,0.0,415,0.049,0.057,0.008,0.0,0.791,2.5,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,36,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,0,
38,0109,4/3/2021 6:24:04 PM ,525,20.906,20.897,0.010,0.0,353,0.050,0.057,0.007,0.0,0.672,2.4,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,38,0.0,ERR:0,22.3,20.4,20.2,20.0,0,0,0,
39,0109,4/3/2021 6:29:44 PM ,476,20.906,20.898,0.009,0.0,328,0.049,0.056,0.007,0.0,0.688,2.2,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,0,
40,0109,4/3/2021 6:35:24 PM ,472,20.906,20.897,0.009,0.0,357,0.048,0.055,0.007,0.0,0.758,2.2,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,1,1,0,37,0.0,ERR:0,22.3,20.4,20.2,20.0,0,0,0,
41,0109,4/3/2021 6:41:04 PM ,439,20.906,20.898,0.009,0.0,398,0.047,0.055,0.008,0.0,0.906,2.2,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,34,0.0,ERR:0,22.3,20.4,20.4,20.0,0,0,0,
42,0109,4/3/2021 6:46:44 PM ,607,20.906,20.896,0.011,0.0,286,0.050,0.055,0.006,0.0,0.472,2.7,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,2,0,0,38,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,0,
43,0109,4/3/2021 6:52:24 PM ,526,20.906,20.897,0.010,0.0,314,0.049,0.055,0.006,0.0,0.598,2.4,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,0,
44,0109,4/3/2021 6:58:04 PM ,464,20.906,20.898,0.008,0.0,258,0.049,0.054,0.005,0.0,0.556,2.1,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,1,35,0.0,ERR:0,22.3,20.4,20.6,20.0,0,0,0,
45,0109,4/3/2021 7:03:44 PM ,375,20.906,20.899,0.007,0.0,299,0.049,0.055,0.006,0.0,0.798,1.8,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,36,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,0,
46,0109,4/3/2021 7:09:24 PM ,460,20.906,20.898,0.008,0.0,259,0.049,0.055,0.005,0.0,0.563,2.1,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,2,0,0,36,0.0,ERR:0,22.3,20.4,20.1,20.0,0,0,0,
47,0109,4/3/2021 7:15:04 PM ,452,20.906,20.898,0.008,0.0,226,0.049,0.054,0.004,0.0,0.501,2.0,0.899,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,34,0.0,ERR:0,22.3,20.4,20.2,20.0,0,0,0,
48,0109,4/3/2021 7:20:44 PM ,442,20.906,20.898,0.009,0.0,376,0.047,0.055,0.007,0.0,0.851,2.1,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,2,0,0,37,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,0,
49,0109,4/3/2021 7:26:24 PM ,488,20.906,20.898,0.009,0.0,211,0.049,0.053,0.004,0.0,0.433,2.1,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,35,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,0,
50,0109,4/3/2021 7:32:04 PM ,402,20.906,20.899,0.008,0.0,349,0.047,0.054,0.007,0.0,0.870,2.0,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,34,0.0,ERR:0,22.3,20.4,20.6,20.0,0,0,0,
51,0109,4/3/2021 7:37:44 PM ,465,20.906,20.898,0.009,0.0,372,0.047,0.054,0.007,0.0,0.799,2.2,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,4,0,0,38,0.0,ERR:0,22.3,20.4,20.7,20.0,0,0,0,
52,0109,4/3/2021 7:43:24 PM ,462,20.906,20.898,0.009,0.0,305,0.048,0.055,0.006,0.0,0.660,2.1,0.898,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,86,0,0,38,0.0,ERR:0,22.3,20.4,20.5,20.0,0,0,0,
53,0109,4/3/2021 7:49:04 PM ,363,20.906,20.899,0.007,0.0,295,0.048,0.054,0.006,0.0,0.814,1.7,0.897,75.00,STABLE / OPEN,0.00,7.35,0.000,0.070,0,0,0,0,0,40,0.0,ERR:0,22.3,20.4,20.3,20.0,0,0,0,
