Oxymax CSV File 

CSV Generation Date,10/10/2022 9:13:23 AM 
Experiment Started,4/3/2021 2:50:58 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-04-03 UCP1 restart2.CDTA

Group/Cage,0115
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,UCP1KO
Subject Mass (G), 18.5 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0115,4/3/2021 2:56:24 PM ,4351,20.906,20.762,0.144,0.0,3368,0.046,0.163,0.117,0.0,0.774,20.8,0.888,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,57,1,27,1,0,8,0.0,ERR:0,36.0,20.3,20.7,20.0,0,0,100,
2,0115,4/3/2021 3:02:04 PM ,4144,20.906,20.770,0.136,0.0,3090,0.051,0.158,0.107,0.0,0.746,19.6,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,89,1,122,4,0,18,0.0,ERR:0,35.9,20.3,20.4,20.0,0,0,100,
3,0115,4/3/2021 3:07:44 PM ,4434,20.906,20.762,0.144,0.0,3165,0.050,0.160,0.109,0.0,0.714,20.8,0.892,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,16,2,17,3,0,11,0.0,ERR:0,36.0,20.3,20.1,20.0,0,0,100,
4,0115,4/3/2021 3:13:24 PM ,4458,20.906,20.761,0.145,0.0,3193,0.050,0.161,0.111,0.0,0.716,20.9,0.890,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,5,0,0,14,0.0,ERR:0,35.9,20.3,20.4,20.0,0,0,100,
5,0115,4/3/2021 3:19:04 PM ,4632,20.906,20.755,0.151,0.0,3364,0.049,0.165,0.116,0.0,0.726,21.8,0.891,75.00,NO RESPONSE / OPEN,0.00,0.00,0.000,0.000,27,0,192,7,0,9,0.0,ERR:0,36.0,20.2,20.6,20.0,0,0,100,
6,0115,4/3/2021 3:24:44 PM ,5294,20.906,20.735,0.171,0.0,3573,0.050,0.173,0.124,0.0,0.675,24.6,0.890,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,188,41,276,101,9,11,0.0,ERR:0,37.3,20.3,20.5,20.0,0,0,100,
7,0115,4/3/2021 3:30:24 PM ,5514,20.906,20.728,0.178,0.0,3787,0.049,0.180,0.131,0.0,0.687,25.7,0.891,75.00,STABLE / OPEN,0.11,0.11,0.000,0.000,194,14,195,38,53,10,0.0,ERR:0,37.6,20.3,20.1,20.0,0,0,100,
8,0115,4/3/2021 3:36:04 PM ,5673,20.906,20.722,0.184,0.1,3907,0.048,0.184,0.136,0.0,0.689,26.5,0.889,75.00,STABLE / OPEN,0.09,0.20,0.000,0.000,329,48,453,176,9,8,0.0,ERR:0,39.0,20.3,20.3,20.0,0,0,100,
9,0115,4/3/2021 3:41:44 PM ,5624,20.906,20.725,0.181,0.1,3801,0.050,0.181,0.131,0.0,0.676,26.1,0.892,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,227,26,308,31,0,14,0.0,ERR:0,38.7,20.3,20.5,20.0,0,0,100,
10,0115,4/3/2021 3:47:24 PM ,5544,20.906,20.727,0.180,0.1,3854,0.049,0.183,0.134,0.1,0.695,25.9,0.890,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,298,65,504,173,5,5,0.0,ERR:0,38.7,20.3,20.7,20.0,0,0,100,
11,0115,4/3/2021 3:53:04 PM ,5599,20.906,20.724,0.182,0.1,4024,0.049,0.188,0.139,0.1,0.719,26.3,0.893,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,731,91,341,38,0,10,0.0,ERR:0,39.0,20.3,20.3,20.0,0,0,100,
12,0115,4/3/2021 3:58:44 PM ,5017,20.906,20.741,0.165,0.1,3781,0.050,0.181,0.131,0.1,0.754,23.8,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,322,14,91,10,0,11,0.0,ERR:0,38.5,20.3,20.1,20.0,0,0,100,
13,0115,4/3/2021 4:04:24 PM ,4569,20.906,20.756,0.150,0.1,3480,0.050,0.170,0.120,0.1,0.762,21.7,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,40,6,43,2,0,10,0.0,ERR:0,38.1,20.3,20.6,20.0,0,0,100,
14,0115,4/3/2021 4:10:04 PM ,4410,20.906,20.761,0.145,0.1,3327,0.050,0.166,0.115,0.1,0.755,20.9,0.890,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,266,1,0,0,0,10,0.0,ERR:0,37.9,20.4,20.7,20.0,0,0,100,
15,0115,4/3/2021 4:15:44 PM ,4366,20.906,20.763,0.143,0.1,3328,0.049,0.164,0.115,0.1,0.762,20.8,0.892,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,48,3,6,1,0,14,0.0,ERR:0,37.8,20.4,20.3,20.0,0,0,100,
16,0115,4/3/2021 4:21:24 PM ,4369,20.906,20.763,0.143,0.1,3254,0.051,0.163,0.112,0.1,0.745,20.7,0.892,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,47,7,15,1,0,9,0.0,ERR:0,37.5,20.3,20.1,20.0,0,0,100,
17,0115,4/3/2021 4:27:04 PM ,4395,20.906,20.763,0.144,0.1,3228,0.050,0.162,0.112,0.1,0.735,20.7,0.892,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,98,9,129,0,0,8,0.0,ERR:0,37.4,20.3,20.4,20.0,0,0,100,
18,0115,4/3/2021 4:32:44 PM ,4342,20.906,20.764,0.142,0.1,3221,0.050,0.162,0.112,0.1,0.742,20.5,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,151,6,436,1,0,11,0.0,ERR:0,37.4,20.3,20.6,20.0,0,0,100,
19,0115,4/3/2021 4:38:24 PM ,4292,20.906,20.767,0.140,0.2,3145,0.050,0.159,0.109,0.1,0.733,20.2,0.893,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,332,0,3,0,0,9,0.0,ERR:0,37.2,20.4,20.6,20.0,0,0,100,
20,0115,4/3/2021 4:44:04 PM ,4187,20.906,20.769,0.137,0.2,3060,0.050,0.157,0.106,0.1,0.731,19.7,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,281,0,2,0,0,16,0.0,ERR:0,37.1,20.4,20.2,20.0,0,0,100,
21,0115,4/3/2021 4:49:44 PM ,4644,20.906,20.755,0.152,0.2,3393,0.050,0.167,0.117,0.1,0.731,21.9,0.892,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,530,31,306,47,0,10,0.0,ERR:0,37.3,20.3,20.3,20.0,0,0,100,
22,0115,4/3/2021 4:55:24 PM ,5044,20.906,20.741,0.165,0.2,3729,0.050,0.179,0.129,0.1,0.739,23.8,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,753,93,211,47,0,11,0.0,ERR:0,37.6,20.3,20.5,20.0,0,0,100,
23,0115,4/3/2021 5:01:04 PM ,4666,20.906,20.754,0.152,0.2,3389,0.049,0.166,0.117,0.1,0.726,22.0,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,500,12,0,0,0,9,0.0,ERR:0,37.0,20.3,20.7,20.0,0,0,100,
24,0115,4/3/2021 5:06:44 PM ,4321,20.906,20.766,0.141,0.2,3057,0.050,0.156,0.106,0.1,0.707,20.3,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,44,1,0,0,0,9,0.0,ERR:0,36.9,20.3,20.4,20.0,0,0,100,
25,0115,4/3/2021 5:12:24 PM ,4076,20.906,20.773,0.134,0.2,3040,0.048,0.153,0.105,0.1,0.746,19.3,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,1815,6,10,2,0,13,0.0,ERR:0,36.7,20.4,20.1,20.0,0,0,100,
26,0115,4/3/2021 5:18:04 PM ,4138,20.906,20.771,0.135,0.2,2968,0.049,0.153,0.103,0.1,0.717,19.4,0.888,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,78,2,42,0,0,11,0.0,ERR:0,36.6,20.3,20.3,20.0,0,0,100,
27,0115,4/3/2021 5:23:44 PM ,4131,20.906,20.772,0.135,0.2,2998,0.049,0.153,0.104,0.2,0.726,19.5,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,68,0,0,0,0,14,0.0,ERR:0,36.6,20.3,20.5,20.0,0,0,100,
28,0115,4/3/2021 5:29:24 PM ,4293,20.906,20.766,0.141,0.2,3182,0.049,0.159,0.110,0.2,0.741,20.3,0.890,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,436,9,88,2,0,12,0.0,ERR:0,36.6,20.3,20.7,20.0,0,0,100,
29,0115,4/3/2021 5:35:04 PM ,4359,20.906,20.764,0.143,0.2,3248,0.049,0.162,0.112,0.2,0.745,20.6,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,165,15,6,1,0,14,0.0,ERR:0,36.4,20.3,20.3,20.0,0,0,100,
30,0115,4/3/2021 5:40:44 PM ,4442,20.906,20.761,0.145,0.2,3265,0.050,0.163,0.113,0.2,0.735,21.0,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,1056,14,41,4,0,17,0.0,ERR:0,36.4,20.4,20.1,20.0,0,0,100,
31,0115,4/3/2021 5:46:24 PM ,4798,20.906,20.749,0.157,0.2,3586,0.048,0.172,0.124,0.2,0.747,22.7,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,519,40,149,13,0,9,0.0,ERR:0,36.8,20.3,20.2,20.0,0,0,100,
32,0115,4/3/2021 5:52:04 PM ,5078,20.906,20.740,0.167,0.3,3744,0.049,0.179,0.130,0.2,0.737,24.0,0.888,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,729,94,224,25,0,8,0.0,ERR:0,36.9,20.3,20.5,20.0,0,0,100,
33,0115,4/3/2021 5:57:44 PM ,5609,20.906,20.724,0.182,0.3,3897,0.049,0.184,0.135,0.2,0.695,26.2,0.890,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,410,34,493,91,60,10,0.0,ERR:0,37.5,20.4,20.7,20.0,0,0,100,
34,0115,4/3/2021 6:03:24 PM ,6041,20.906,20.709,0.198,0.3,4412,0.049,0.202,0.153,0.2,0.730,28.5,0.889,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.000,238,52,268,98,29,14,0.0,ERR:0,37.5,20.3,20.5,20.0,0,0,0,
35,0115,4/3/2021 6:09:04 PM ,6548,20.906,20.692,0.214,0.3,4803,0.049,0.215,0.167,0.2,0.734,30.9,0.889,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.000,160,35,147,43,216,10,0.0,ERR:0,37.5,20.4,20.3,20.0,0,0,0,
36,0115,4/3/2021 6:14:44 PM ,6581,20.906,20.690,0.216,0.3,5025,0.049,0.223,0.174,0.2,0.764,31.3,0.891,75.00,STABLE / OPEN,0.00,0.20,0.199,0.199,437,165,596,247,31,15,0.0,ERR:0,37.2,20.4,20.1,20.0,0,0,0,
37,0115,4/3/2021 6:20:24 PM ,5673,20.906,20.720,0.186,0.3,4194,0.049,0.194,0.145,0.2,0.739,26.8,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,164,12,117,22,0,17,0.0,ERR:0,36.7,20.4,20.2,20.0,0,0,0,
38,0115,4/3/2021 6:26:04 PM ,4943,20.906,20.745,0.161,0.3,3542,0.050,0.172,0.123,0.2,0.717,23.2,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,25,1,29,6,0,10,0.0,ERR:0,36.5,20.4,20.4,20.0,0,0,0,
39,0115,4/3/2021 6:31:44 PM ,4873,20.906,20.747,0.160,0.3,3596,0.049,0.174,0.125,0.2,0.738,23.0,0.889,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,146,13,211,28,0,14,0.0,ERR:0,36.5,20.4,20.5,20.0,0,0,0,
40,0115,4/3/2021 6:37:24 PM ,4652,20.906,20.752,0.155,0.3,3784,0.048,0.179,0.131,0.2,0.813,22.4,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,616,0,214,11,0,10,0.0,ERR:0,36.2,20.4,20.6,20.0,0,0,0,
41,0115,4/3/2021 6:43:04 PM ,4519,20.906,20.755,0.152,0.3,3825,0.047,0.180,0.133,0.2,0.846,22.0,0.890,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,0,0,11,0,0,17,0.0,ERR:0,36.3,20.4,20.6,20.0,0,0,0,
42,0115,4/3/2021 6:48:44 PM ,4577,20.906,20.754,0.153,0.3,3740,0.050,0.179,0.130,0.3,0.817,22.1,0.890,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,0,0,2,0,0,19,0.0,ERR:0,36.2,20.4,20.3,20.0,0,0,0,
43,0115,4/3/2021 6:54:24 PM ,4463,20.906,20.757,0.149,0.4,3702,0.049,0.177,0.128,0.3,0.829,21.6,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,46,7,58,4,0,8,0.0,ERR:0,36.2,20.4,20.1,20.0,0,0,0,
44,0115,4/3/2021 7:00:04 PM ,4627,20.906,20.752,0.155,0.4,3793,0.049,0.181,0.132,0.3,0.820,22.3,0.888,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,144,19,275,19,0,12,0.0,ERR:0,36.1,20.4,20.2,20.0,0,0,0,
45,0115,4/3/2021 7:05:44 PM ,4522,20.906,20.756,0.151,0.4,3740,0.049,0.179,0.129,0.3,0.827,21.9,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,88,0,46,1,0,11,0.0,ERR:0,36.1,20.4,20.3,20.0,0,0,0,
46,0115,4/3/2021 7:11:24 PM ,4435,20.906,20.759,0.148,0.4,3580,0.049,0.174,0.124,0.3,0.807,21.3,0.888,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,393,0,38,1,0,11,0.0,ERR:0,36.1,20.4,20.4,20.0,0,0,0,
47,0115,4/3/2021 7:17:04 PM ,4811,20.906,20.749,0.158,0.4,3614,0.049,0.174,0.125,0.3,0.751,22.8,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,700,18,166,21,0,11,0.0,ERR:0,36.3,20.4,20.6,20.0,0,0,0,
48,0115,4/3/2021 7:22:44 PM ,5324,20.906,20.730,0.176,0.4,4210,0.047,0.193,0.146,0.3,0.791,25.5,0.891,75.00,STABLE / OPEN,0.00,0.20,0.000,0.199,891,55,372,35,0,18,0.0,ERR:0,36.8,20.4,20.7,20.0,0,0,0,
49,0115,4/3/2021 7:28:24 PM ,5945,20.906,20.709,0.197,0.4,4767,0.049,0.214,0.165,0.3,0.802,28.6,0.890,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.199,289,36,245,50,54,16,0.0,ERR:0,37.2,20.4,20.5,20.0,0,0,0,
50,0115,4/3/2021 7:34:04 PM ,6140,20.906,20.702,0.204,0.4,5052,0.047,0.222,0.175,0.3,0.823,29.6,0.892,75.00,STABLE / OPEN,0.10,0.30,0.000,0.199,535,158,451,234,143,15,0.0,ERR:0,37.1,20.4,20.2,20.0,0,0,0,
51,0115,4/3/2021 7:39:44 PM ,5326,20.906,20.730,0.177,0.4,4199,0.047,0.193,0.146,0.3,0.788,25.5,0.889,75.00,STABLE / OPEN,0.00,0.30,0.000,0.199,11,0,108,0,0,17,0.0,ERR:0,36.4,20.4,20.1,20.0,0,0,0,
52,0115,4/3/2021 7:45:24 PM ,4788,20.906,20.748,0.158,0.4,3700,0.048,0.177,0.128,0.3,0.773,22.8,0.890,75.00,STABLE / OPEN,0.00,0.30,0.000,0.199,44,1,357,0,0,11,0.0,ERR:0,36.3,20.4,20.2,20.0,0,0,0,
53,0115,4/3/2021 7:51:04 PM ,4546,20.906,20.754,0.152,0.4,3789,0.048,0.180,0.132,0.3,0.834,22.0,0.888,75.00,STABLE / OPEN,0.00,0.30,0.000,0.199,15,0,787,10,0,12,0.0,ERR:0,36.2,20.4,20.4,20.0,0,0,0,
