Oxymax CSV File 

CSV Generation Date,10/10/2022 9:14:47 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0102
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3318 Cx3Cr1Cre
Subject Mass (G), 21.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0102,6/7/2021 2:22:06 PM ,12465,20.909,20.443,0.466,0.0,10137,0.065,0.459,0.394,0.0,0.813,60.0,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,8,0,72,26,5,0,0.0,ERR:0,30.9,24.3,22.9,22.2,0,0,100,
2,0102,6/7/2021 2:27:46 PM ,8975,20.909,20.574,0.334,0.0,7248,0.069,0.350,0.281,0.0,0.808,43.2,0.906,75.00,STABLE / OPEN,0.11,0.11,0.000,0.000,114,60,523,146,20,0,0.0,ERR:0,31.0,24.4,22.7,22.2,0,0,100,
3,0102,6/7/2021 2:33:26 PM ,7204,20.909,20.641,0.268,0.0,5648,0.066,0.286,0.220,0.0,0.784,34.4,0.903,75.00,STABLE / OPEN,0.00,0.11,0.000,0.000,49,0,359,101,2,0,0.0,ERR:0,31.2,24.4,22.4,22.2,0,0,100,
4,0102,6/7/2021 2:39:06 PM ,6365,20.909,20.673,0.236,0.1,4930,0.064,0.256,0.192,0.0,0.775,30.4,0.904,75.00,STABLE / OPEN,0.00,0.11,0.085,0.085,129,69,348,132,54,0,0.0,ERR:0,31.6,24.4,22.3,22.2,0,0,100,
5,0102,6/7/2021 2:44:46 PM ,5492,20.909,20.705,0.203,0.1,4190,0.063,0.226,0.163,0.0,0.763,26.1,0.902,75.00,STABLE / OPEN,0.13,0.24,0.038,0.123,25,1,283,55,0,0,0.0,ERR:0,31.5,24.4,22.3,22.2,0,0,100,
6,0102,6/7/2021 2:50:26 PM ,5067,20.909,20.722,0.187,0.1,3855,0.061,0.211,0.150,0.1,0.761,24.1,0.905,75.00,STABLE / OPEN,0.00,0.24,0.000,0.123,119,55,406,158,13,0,0.0,ERR:0,31.5,24.4,22.4,22.2,0,0,100,
7,0102,6/7/2021 2:56:06 PM ,4902,20.909,20.728,0.181,0.1,3743,0.061,0.206,0.145,0.1,0.764,23.3,0.905,75.00,STABLE / OPEN,0.00,0.24,0.000,0.123,133,23,329,113,21,0,0.0,ERR:0,31.6,24.4,22.5,22.2,0,0,100,
8,0102,6/7/2021 3:01:46 PM ,4683,20.909,20.737,0.171,0.1,3370,0.061,0.192,0.131,0.1,0.720,22.0,0.905,75.00,STABLE / OPEN,0.25,0.49,0.000,0.123,45,3,207,28,0,0,0.0,ERR:0,31.8,24.4,22.6,22.2,0,0,100,
9,0102,6/7/2021 3:07:26 PM ,4061,20.909,20.759,0.150,0.1,3067,0.060,0.180,0.119,0.1,0.755,19.3,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.123,175,3,188,14,0,0,0.0,ERR:0,31.3,24.4,22.7,22.2,0,0,100,
10,0102,6/7/2021 3:13:06 PM ,3617,20.909,20.775,0.133,0.1,2699,0.058,0.163,0.105,0.1,0.746,17.1,0.903,75.00,STABLE / OPEN,0.00,0.49,0.000,0.123,0,0,4,1,0,0,0.0,ERR:0,31.1,24.5,22.8,22.2,0,0,100,
11,0102,6/7/2021 3:18:46 PM ,3437,20.909,20.782,0.126,0.1,2547,0.058,0.157,0.099,0.1,0.741,16.2,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.123,0,0,36,0,0,0,0.0,ERR:0,31.1,24.4,22.9,22.2,0,0,100,
12,0102,6/7/2021 3:24:26 PM ,3519,20.909,20.779,0.129,0.1,2567,0.057,0.157,0.100,0.1,0.730,16.6,0.903,75.00,STABLE / OPEN,0.00,0.49,0.000,0.123,0,0,136,7,0,0,0.0,ERR:0,31.1,24.4,22.8,22.2,0,0,100,
13,0102,6/7/2021 3:30:06 PM ,3410,20.909,20.783,0.125,0.1,2508,0.056,0.154,0.098,0.1,0.736,16.1,0.904,75.00,STABLE / OPEN,0.00,0.49,0.060,0.183,0,0,360,3,0,0,0.0,ERR:0,31.1,24.4,22.6,22.2,0,0,100,
14,0102,6/7/2021 3:35:46 PM ,3384,20.909,20.784,0.125,0.1,2515,0.054,0.152,0.098,0.1,0.743,16.0,0.902,75.00,STABLE / OPEN,0.00,0.49,0.000,0.183,0,0,166,9,0,0,0.0,ERR:0,31.0,24.4,22.5,22.2,0,0,100,
15,0102,6/7/2021 3:41:26 PM ,3336,20.909,20.786,0.122,0.1,2412,0.055,0.149,0.094,0.1,0.723,15.7,0.903,75.00,STABLE / OPEN,0.00,0.49,0.000,0.183,1,0,72,6,0,0,0.0,ERR:0,31.0,24.4,22.3,22.2,0,0,100,
16,0102,6/7/2021 3:47:06 PM ,3656,20.909,20.775,0.134,0.2,2619,0.055,0.157,0.102,0.1,0.717,17.2,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.183,18,7,119,36,0,0,0.0,ERR:0,31.2,24.5,22.4,22.2,0,0,100,
17,0102,6/7/2021 3:52:46 PM ,4273,20.909,20.751,0.157,0.2,3137,0.055,0.177,0.122,0.1,0.734,20.2,0.902,75.00,UNSTABLE / OPEN,0.00,0.49,0.000,0.183,79,48,155,66,44,0,0.0,ERR:0,31.5,24.4,22.5,22.2,0,0,100,
18,0102,6/7/2021 3:58:26 PM ,4589,20.909,20.742,0.167,0.2,3150,0.054,0.176,0.123,0.1,0.686,21.4,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.183,70,11,297,41,0,0,0.0,ERR:0,31.5,24.4,22.6,22.2,0,0,100,
19,0102,6/7/2021 4:04:06 PM ,4738,20.909,20.736,0.173,0.2,3334,0.053,0.183,0.130,0.1,0.704,22.2,0.905,75.00,STABLE / OPEN,0.00,0.49,0.000,0.183,137,57,353,117,112,0,0.0,ERR:0,31.6,24.5,22.8,22.2,0,0,100,
20,0102,6/7/2021 4:09:46 PM ,3864,20.909,20.766,0.143,0.2,2923,0.052,0.166,0.114,0.1,0.757,18.3,0.903,75.00,STABLE / OPEN,0.00,0.49,0.000,0.183,5,1,167,19,0,0,0.0,ERR:0,31.3,24.4,22.9,22.2,0,0,100,
21,0102,6/7/2021 4:15:26 PM ,3433,20.909,20.782,0.127,0.2,2574,0.053,0.153,0.100,0.1,0.750,16.3,0.904,75.00,STABLE / OPEN,0.00,0.49,0.034,0.217,1,0,73,9,0,0,0.0,ERR:0,31.2,24.5,22.8,22.2,0,0,100,
22,0102,6/7/2021 4:21:06 PM ,3295,20.909,20.787,0.122,0.2,2463,0.053,0.149,0.096,0.2,0.748,15.6,0.902,75.00,STABLE / OPEN,0.00,0.49,0.000,0.217,0,0,18,5,0,0,0.0,ERR:0,31.1,24.4,22.6,22.2,0,0,100,
23,0102,6/7/2021 4:26:46 PM ,3307,20.909,20.786,0.122,0.2,2518,0.051,0.149,0.098,0.2,0.761,15.7,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.217,0,0,650,0,0,0,0.0,ERR:0,30.9,24.4,22.5,22.2,0,0,100,
24,0102,6/7/2021 4:32:26 PM ,3163,20.909,20.792,0.117,0.2,2383,0.052,0.144,0.093,0.2,0.753,15.0,0.905,75.00,STABLE / OPEN,0.00,0.49,0.042,0.259,62,0,29,2,0,0,0.0,ERR:0,30.9,24.4,22.3,22.2,0,0,100,
25,0102,6/7/2021 4:38:06 PM ,3113,20.909,20.794,0.115,0.2,2347,0.051,0.142,0.091,0.2,0.754,14.8,0.903,75.00,STABLE / OPEN,0.00,0.49,0.000,0.259,0,0,10,1,0,0,0.0,ERR:0,31.0,24.4,22.3,22.2,0,0,100,
26,0102,6/7/2021 4:43:46 PM ,4387,20.909,20.747,0.162,0.2,3326,0.051,0.181,0.129,0.2,0.758,20.8,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.259,111,59,289,126,22,0,0.0,ERR:0,31.5,24.5,22.4,22.2,0,0,100,
27,0102,6/7/2021 4:49:26 PM ,4750,20.909,20.735,0.173,0.2,3300,0.051,0.180,0.129,0.2,0.695,22.2,0.902,75.00,STABLE / OPEN,0.00,0.49,0.000,0.259,133,44,309,94,5,0,0.0,ERR:0,31.4,24.4,22.5,22.2,0,0,100,
28,0102,6/7/2021 4:55:06 PM ,4871,20.909,20.730,0.179,0.2,3561,0.051,0.190,0.138,0.2,0.731,23.0,0.904,75.00,STABLE / OPEN,0.00,0.49,0.000,0.259,145,59,458,175,22,0,0.0,ERR:0,31.7,24.5,22.6,22.2,0,0,100,
29,0102,6/7/2021 5:00:46 PM ,5005,20.909,20.724,0.184,0.3,3746,0.051,0.196,0.146,0.2,0.748,23.7,0.905,75.00,STABLE / OPEN,0.00,0.49,0.000,0.259,111,42,255,87,63,0,0.0,ERR:0,31.8,24.5,22.8,22.2,0,0,100,
30,0102,6/7/2021 5:06:26 PM ,5166,20.909,20.717,0.191,0.3,3974,0.051,0.206,0.155,0.2,0.769,24.6,0.903,75.00,UNSTABLE / OPEN,0.07,0.57,0.201,0.459,271,142,608,262,59,0,0.0,ERR:0,32.1,24.5,22.9,22.2,0,0,100,
31,0102,6/7/2021 5:12:06 PM ,5017,20.909,20.722,0.187,0.3,4027,0.050,0.206,0.157,0.2,0.803,24.1,0.904,75.00,STABLE / OPEN,0.00,0.57,0.043,0.502,173,89,549,181,18,0,0.0,ERR:0,31.7,24.5,22.8,22.2,0,0,100,
32,0102,6/7/2021 5:17:46 PM ,4803,20.909,20.729,0.179,0.3,3862,0.049,0.200,0.151,0.2,0.804,23.1,0.902,75.00,UNSTABLE / OPEN,0.00,0.57,0.000,0.502,234,35,351,71,3,0,0.0,ERR:0,31.7,24.5,22.6,22.2,0,0,100,
33,0102,6/7/2021 5:23:26 PM ,4797,20.909,20.729,0.179,0.3,3911,0.051,0.203,0.152,0.2,0.815,23.1,0.904,75.00,UNSTABLE / OPEN,0.00,0.57,0.000,0.502,260,95,533,205,37,0,0.0,ERR:0,31.7,24.4,22.3,22.2,0,0,100,
34,0102,6/7/2021 5:29:06 PM ,4910,20.909,20.723,0.185,0.3,4240,0.049,0.214,0.165,0.2,0.864,24.0,0.904,75.00,STABLE / OPEN,0.12,0.68,0.000,0.502,333,164,607,296,81,0,0.0,ERR:0,32.1,24.5,22.3,22.2,0,0,100,
35,0102,6/7/2021 5:34:46 PM ,4995,20.909,20.720,0.189,0.3,4260,0.050,0.216,0.166,0.2,0.853,24.3,0.903,75.00,STABLE / OPEN,0.04,0.73,0.054,0.556,439,224,801,369,59,0,0.0,ERR:0,34.7,24.5,22.5,22.2,0,0,100,
36,0102,6/7/2021 5:40:26 PM ,4978,20.909,20.721,0.188,0.3,4223,0.049,0.214,0.164,0.2,0.848,24.2,0.904,75.00,STABLE / OPEN,0.00,0.73,0.168,0.725,240,118,657,273,41,0,0.0,ERR:0,34.7,24.5,22.6,22.2,0,0,100,
37,0102,6/7/2021 5:46:06 PM ,4812,20.909,20.726,0.182,0.3,4168,0.049,0.212,0.162,0.3,0.866,23.5,0.903,75.00,STABLE / OPEN,0.15,0.88,0.050,0.775,259,44,462,117,2,0,0.0,ERR:0,33.6,24.4,22.7,22.2,0,0,100,
38,0102,6/7/2021 5:51:46 PM ,4751,20.909,20.730,0.179,0.3,3977,0.051,0.206,0.155,0.3,0.837,23.0,0.904,75.00,STABLE / OPEN,0.00,0.88,0.000,0.775,104,0,160,36,0,0,0.0,ERR:0,33.5,24.5,22.8,22.2,0,0,100,
39,0102,6/7/2021 5:57:26 PM ,4035,20.909,20.759,0.150,0.4,3175,0.050,0.173,0.123,0.3,0.787,19.3,0.904,75.00,STABLE / OPEN,0.00,0.88,0.000,0.775,0,0,2,1,0,0,0.0,ERR:0,33.0,24.5,22.8,22.2,0,0,100,
40,0102,6/7/2021 6:03:06 PM ,3546,20.909,20.774,0.134,0.4,3069,0.049,0.169,0.120,0.3,0.865,17.3,0.902,75.00,STABLE / OPEN,0.00,0.88,0.000,0.775,0,0,14,1,0,0,0.0,ERR:0,32.8,24.4,22.8,22.2,0,0,0,
41,0102,6/7/2021 6:08:46 PM ,3565,20.909,20.775,0.134,0.4,2979,0.050,0.166,0.116,0.3,0.836,17.3,0.904,75.00,STABLE / OPEN,0.00,0.88,0.000,0.775,181,0,1,0,0,0,0.0,ERR:0,32.7,24.3,22.7,22.2,0,0,0,
42,0102,6/7/2021 6:14:26 PM ,3715,20.909,20.769,0.139,0.4,3065,0.050,0.170,0.119,0.3,0.825,17.9,0.902,75.00,STABLE / OPEN,0.00,0.88,0.033,0.808,535,22,84,44,2,0,0.0,ERR:0,32.9,24.2,22.8,22.2,0,0,0,
43,0102,6/7/2021 6:20:06 PM ,3586,20.909,20.774,0.135,0.4,3024,0.048,0.165,0.118,0.3,0.843,17.4,0.904,75.00,STABLE / OPEN,0.00,0.88,0.000,0.808,0,0,79,6,0,0,0.0,ERR:0,32.9,24.1,22.7,22.2,0,0,0,
44,0102,6/7/2021 6:25:46 PM ,4645,20.909,20.736,0.173,0.4,3694,0.048,0.192,0.144,0.3,0.795,22.3,0.905,75.00,UNSTABLE / OPEN,0.00,0.88,0.000,0.808,291,147,410,210,72,0,0.0,ERR:0,33.5,24.1,22.7,22.2,0,0,0,
45,0102,6/7/2021 6:31:26 PM ,5146,20.909,20.716,0.192,0.4,4134,0.049,0.211,0.161,0.3,0.803,24.7,0.902,75.00,UNSTABLE / OPEN,0.00,0.88,0.000,0.808,518,273,663,379,111,0,0.0,ERR:0,33.9,24.0,22.7,22.2,0,0,0,
46,0102,6/7/2021 6:37:06 PM ,5217,20.909,20.714,0.195,0.4,4201,0.049,0.213,0.163,0.3,0.805,25.1,0.904,75.00,UNSTABLE / OPEN,0.00,0.88,0.000,0.808,262,113,402,189,79,0,0.0,ERR:0,33.8,24.0,22.7,22.2,0,0,0,
47,0102,6/7/2021 6:42:46 PM ,5212,20.909,20.713,0.196,0.4,4325,0.049,0.217,0.168,0.3,0.830,25.2,0.904,75.00,UNSTABLE / OPEN,0.00,0.88,0.000,0.808,225,119,703,297,61,0,0.0,ERR:0,33.9,24.0,22.8,22.2,0,0,0,
48,0102,6/7/2021 6:48:26 PM ,5090,20.909,20.717,0.192,0.4,4298,0.049,0.216,0.167,0.3,0.844,24.7,0.904,75.00,STABLE / OPEN,0.15,1.03,0.156,0.964,388,170,921,379,28,0,0.0,ERR:0,34.2,24.0,22.6,22.2,0,0,0,
49,0102,6/7/2021 6:54:06 PM ,5248,20.909,20.709,0.199,0.4,4655,0.050,0.231,0.181,0.3,0.887,25.8,0.905,75.00,STABLE / OPEN,0.00,1.03,0.000,0.964,301,64,655,271,33,0,0.0,ERR:0,34.7,24.0,22.5,22.2,0,0,0,
50,0102,6/7/2021 6:59:46 PM ,5270,20.909,20.708,0.200,0.5,4640,0.049,0.230,0.181,0.4,0.881,25.8,0.902,75.00,STABLE / OPEN,0.16,1.19,0.094,1.058,264,135,480,228,37,0,0.0,ERR:0,34.1,24.0,22.5,22.2,0,0,0,
51,0102,6/7/2021 7:05:26 PM ,5171,20.909,20.712,0.196,0.5,4556,0.049,0.226,0.177,0.4,0.881,25.3,0.904,75.00,UNSTABLE / OPEN,0.00,1.19,0.062,1.120,204,95,579,246,63,0,0.0,ERR:0,33.9,24.0,22.4,22.2,0,0,0,
52,0102,6/7/2021 7:11:06 PM ,5149,20.909,20.713,0.195,0.5,4500,0.050,0.225,0.175,0.4,0.874,25.2,0.904,75.00,STABLE / OPEN,0.00,1.19,0.032,1.152,131,75,397,158,25,0,0.0,ERR:0,34.2,24.0,22.4,22.2,0,0,0,
