Oxymax CSV File 

CSV Generation Date,10/10/2022 9:14:49 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0103
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3463 mCre
Subject Mass (G), 19.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,6/7/2021 2:22:26 PM ,11330,20.909,20.529,0.380,0.0,8779,0.065,0.373,0.309,0.0,0.775,54.0,0.914,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,58,1,0,0,0.0,ERR:0,28.4,23.0,22.8,22.2,0,0,100,
2,0103,6/7/2021 2:28:06 PM ,9038,20.909,20.606,0.302,0.0,6933,0.069,0.312,0.244,0.0,0.767,43.0,0.915,75.00,STABLE / OPEN,0.23,0.23,0.000,0.000,307,53,376,97,60,0,0.0,ERR:0,28.8,23.0,22.6,22.2,0,0,100,
3,0103,6/7/2021 2:33:46 PM ,7752,20.909,20.649,0.259,0.0,5895,0.066,0.274,0.208,0.0,0.760,36.8,0.913,75.00,STABLE / OPEN,0.00,0.23,0.038,0.038,186,64,412,158,17,0,0.0,ERR:0,28.7,23.0,22.3,22.2,0,0,100,
4,0103,6/7/2021 2:39:26 PM ,6788,20.909,20.682,0.227,0.0,5140,0.064,0.245,0.181,0.0,0.757,32.2,0.914,75.00,STABLE / OPEN,0.00,0.23,0.000,0.038,36,7,261,22,6,0,0.0,ERR:0,28.9,23.1,22.3,22.2,0,0,100,
5,0103,6/7/2021 2:45:06 PM ,6343,20.909,20.696,0.212,0.1,4766,0.063,0.231,0.168,0.0,0.751,30.1,0.912,75.00,STABLE / OPEN,0.03,0.26,0.042,0.079,78,21,425,81,3,0,0.0,ERR:0,29.1,23.0,22.4,22.2,0,0,100,
6,0103,6/7/2021 2:50:46 PM ,6006,20.909,20.708,0.200,0.1,4523,0.061,0.220,0.159,0.1,0.753,28.5,0.915,75.00,STABLE / OPEN,0.00,0.26,0.000,0.079,294,75,297,143,19,0,0.0,ERR:0,29.1,23.0,22.5,22.2,0,0,100,
7,0103,6/7/2021 2:56:26 PM ,6074,20.909,20.706,0.202,0.1,4547,0.061,0.221,0.160,0.1,0.749,28.8,0.915,75.00,STABLE / OPEN,0.00,0.26,0.064,0.144,300,153,558,272,35,0,0.0,ERR:0,29.3,23.0,22.6,22.2,0,0,100,
8,0103,6/7/2021 3:02:06 PM ,6104,20.909,20.706,0.203,0.1,4467,0.061,0.218,0.157,0.1,0.732,28.8,0.915,75.00,UNSTABLE / OPEN,0.00,0.26,0.046,0.189,292,76,354,148,50,0,0.0,ERR:0,29.4,23.1,22.7,22.2,0,0,100,
9,0103,6/7/2021 3:07:46 PM ,6018,20.909,20.709,0.199,0.1,4322,0.060,0.212,0.152,0.1,0.718,28.3,0.914,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,314,124,456,253,13,0,0.0,ERR:0,29.2,23.1,22.8,22.2,0,0,100,
10,0103,6/7/2021 3:13:26 PM ,5718,20.909,20.719,0.190,0.1,4138,0.058,0.204,0.146,0.1,0.724,26.9,0.914,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,230,28,413,99,0,0,0.0,ERR:0,29.6,23.1,22.8,22.2,0,0,100,
11,0103,6/7/2021 3:19:06 PM ,5755,20.909,20.718,0.190,0.1,4061,0.058,0.201,0.143,0.1,0.706,27.0,0.914,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,71,0,271,10,0,0,0.0,ERR:0,29.5,23.1,22.9,22.2,0,0,100,
12,0103,6/7/2021 3:24:46 PM ,5581,20.909,20.724,0.184,0.1,3947,0.057,0.196,0.139,0.1,0.707,26.2,0.914,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,251,12,269,28,0,0,0.0,ERR:0,29.9,23.1,22.6,22.2,0,0,100,
13,0103,6/7/2021 3:30:26 PM ,5350,20.909,20.733,0.176,0.1,3665,0.056,0.185,0.129,0.1,0.685,24.9,0.915,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,29,4,56,3,0,0,0.0,ERR:0,29.6,23.1,22.5,22.2,0,0,100,
14,0103,6/7/2021 3:36:06 PM ,5267,20.909,20.735,0.174,0.2,3686,0.054,0.184,0.130,0.1,0.700,24.6,0.913,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,178,4,170,35,2,0,0.0,ERR:0,29.6,23.1,22.4,22.2,0,0,100,
15,0103,6/7/2021 3:41:46 PM ,5384,20.909,20.731,0.177,0.2,3690,0.055,0.185,0.130,0.1,0.685,25.1,0.913,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,203,2,299,26,0,1,0.0,ERR:0,30.1,23.2,22.4,22.2,0,0,100,
16,0103,6/7/2021 3:47:26 PM ,4684,20.909,20.753,0.155,0.2,3417,0.055,0.175,0.120,0.1,0.729,22.1,0.915,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,9,0,64,1,0,0,0.0,ERR:0,29.6,23.1,22.4,22.2,0,0,100,
17,0103,6/7/2021 3:53:06 PM ,4190,20.909,20.769,0.140,0.2,3108,0.055,0.165,0.110,0.1,0.742,19.8,0.911,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,0,0,3,0,0,0,0.0,ERR:0,29.5,23.1,22.6,22.2,0,0,100,
18,0103,6/7/2021 3:58:46 PM ,3923,20.909,20.778,0.130,0.2,2860,0.054,0.154,0.101,0.1,0.729,18.5,0.914,75.00,STABLE / OPEN,0.00,0.26,0.000,0.189,0,0,1,0,0,0,0.0,ERR:0,29.4,23.1,22.7,22.2,0,0,100,
19,0103,6/7/2021 4:04:26 PM ,4676,20.909,20.753,0.156,0.2,3505,0.053,0.176,0.123,0.1,0.750,22.2,0.914,75.00,STABLE / OPEN,0.00,0.26,0.036,0.226,166,40,198,76,23,0,0.0,ERR:0,30.2,23.1,22.8,22.2,0,0,100,
20,0103,6/7/2021 4:10:06 PM ,5202,20.909,20.738,0.171,0.2,3473,0.052,0.174,0.122,0.2,0.668,24.1,0.913,75.00,STABLE / OPEN,0.00,0.26,0.000,0.226,119,13,138,33,2,0,0.0,ERR:0,30.0,23.1,22.9,22.2,0,0,100,
21,0103,6/7/2021 4:15:46 PM ,5770,20.909,20.719,0.190,0.2,4001,0.053,0.193,0.141,0.2,0.693,26.9,0.914,75.00,UNSTABLE / OPEN,0.00,0.26,0.000,0.226,96,4,219,46,222,0,0.0,ERR:0,30.5,23.1,22.7,22.2,0,0,100,
22,0103,6/7/2021 4:21:26 PM ,5904,20.909,20.713,0.196,0.2,4207,0.053,0.201,0.148,0.2,0.713,27.7,0.912,75.00,STABLE / OPEN,0.26,0.52,0.000,0.226,262,107,457,220,62,0,0.0,ERR:0,30.2,23.1,22.5,22.2,0,0,100,
23,0103,6/7/2021 4:27:06 PM ,5957,20.909,20.709,0.199,0.2,4519,0.051,0.210,0.159,0.2,0.759,28.3,0.914,75.00,STABLE / OPEN,0.00,0.52,0.318,0.544,316,90,438,180,5,0,0.0,ERR:0,30.1,23.1,22.4,22.2,0,0,100,
24,0103,6/7/2021 4:32:46 PM ,6006,20.909,20.707,0.201,0.2,4621,0.052,0.214,0.163,0.2,0.769,28.6,0.914,75.00,UNSTABLE / OPEN,0.00,0.52,0.000,0.544,347,92,442,188,105,1,0.0,ERR:0,29.9,23.1,22.3,22.2,0,0,100,
25,0103,6/7/2021 4:38:26 PM ,5800,20.909,20.714,0.195,0.3,4486,0.051,0.209,0.158,0.2,0.774,27.7,0.914,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,80,6,262,12,27,0,0.0,ERR:0,30.1,23.1,22.4,22.2,0,0,100,
26,0103,6/7/2021 4:44:06 PM ,5552,20.909,20.722,0.186,0.3,4299,0.051,0.203,0.151,0.2,0.774,26.5,0.913,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,187,5,250,29,0,0,0.0,ERR:0,30.1,23.1,22.4,22.2,0,0,100,
27,0103,6/7/2021 4:49:46 PM ,5294,20.909,20.731,0.178,0.3,4049,0.051,0.194,0.143,0.2,0.765,25.2,0.911,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,316,14,72,10,0,0,0.0,ERR:0,29.9,23.1,22.6,22.2,0,0,100,
28,0103,6/7/2021 4:55:26 PM ,4877,20.909,20.745,0.163,0.3,3711,0.051,0.182,0.131,0.2,0.761,23.2,0.914,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,0,0,0,0,0,0,0.0,ERR:0,29.7,23.1,22.7,22.2,0,0,100,
29,0103,6/7/2021 5:01:06 PM ,4235,20.909,20.765,0.143,0.3,3463,0.051,0.172,0.122,0.2,0.818,20.4,0.915,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,0,0,66,0,0,0,0.0,ERR:0,29.6,23.1,22.8,22.2,0,0,100,
30,0103,6/7/2021 5:06:46 PM ,4142,20.909,20.768,0.141,0.3,3422,0.051,0.172,0.121,0.2,0.826,20.0,0.913,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,2,0,254,0,0,0,0.0,ERR:0,29.6,23.1,22.9,22.2,0,0,100,
31,0103,6/7/2021 5:12:26 PM ,4005,20.909,20.773,0.136,0.3,3283,0.050,0.165,0.115,0.2,0.820,19.3,0.915,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,166,0,87,1,0,0,0.0,ERR:0,29.6,23.1,22.7,22.2,0,0,100,
32,0103,6/7/2021 5:18:06 PM ,3907,20.909,20.776,0.133,0.3,3202,0.049,0.162,0.113,0.2,0.820,18.9,0.911,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,0,0,25,0,0,0,0.0,ERR:0,29.6,23.1,22.5,22.2,0,0,100,
33,0103,6/7/2021 5:23:46 PM ,4201,20.909,20.766,0.142,0.3,3427,0.051,0.172,0.121,0.2,0.816,20.2,0.913,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,29,2,57,4,0,0,0.0,ERR:0,29.7,23.1,22.3,22.2,0,0,100,
34,0103,6/7/2021 5:29:26 PM ,4150,20.909,20.768,0.141,0.3,3429,0.049,0.169,0.121,0.2,0.826,20.1,0.914,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,2,0,426,0,0,0,0.0,ERR:0,29.6,23.1,22.4,22.2,0,0,100,
35,0103,6/7/2021 5:35:06 PM ,4133,20.909,20.769,0.139,0.3,3285,0.050,0.166,0.116,0.3,0.795,19.8,0.913,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,0,0,456,0,0,0,0.0,ERR:0,29.6,23.1,22.6,22.2,0,0,100,
36,0103,6/7/2021 5:40:46 PM ,4056,20.909,20.772,0.137,0.3,3225,0.049,0.163,0.114,0.3,0.795,19.4,0.914,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,5,0,511,0,0,0,0.0,ERR:0,29.6,23.1,22.7,22.2,0,0,100,
37,0103,6/7/2021 5:46:26 PM ,3871,20.909,20.777,0.131,0.4,3140,0.049,0.160,0.111,0.3,0.811,18.6,0.912,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,68,0,160,0,0,0,0.0,ERR:0,29.6,23.1,22.8,22.2,0,0,100,
38,0103,6/7/2021 5:52:06 PM ,3971,20.909,20.775,0.134,0.4,3129,0.051,0.161,0.110,0.3,0.788,19.0,0.914,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,4,0,0,0,0,0,0.0,ERR:0,29.5,23.0,22.9,22.2,0,0,100,
39,0103,6/7/2021 5:57:46 PM ,3863,20.909,20.779,0.129,0.4,2981,0.050,0.154,0.105,0.3,0.772,18.4,0.915,75.00,STABLE / OPEN,0.00,0.52,0.000,0.544,93,0,2,0,0,0,0.0,ERR:0,29.6,23.1,22.9,22.2,0,0,100,
40,0103,6/7/2021 6:03:26 PM ,4618,20.909,20.753,0.156,0.4,3640,0.049,0.178,0.128,0.3,0.788,22.1,0.911,75.00,STABLE / OPEN,0.12,0.64,0.000,0.544,187,50,243,106,30,0,0.0,ERR:0,30.2,23.1,22.7,22.2,0,0,0,
41,0103,6/7/2021 6:09:06 PM ,5581,20.909,20.722,0.187,0.4,4256,0.050,0.200,0.150,0.3,0.763,26.5,0.914,75.00,STABLE / OPEN,0.16,0.80,0.000,0.544,337,127,509,223,68,0,0.0,ERR:0,30.7,23.0,22.5,22.2,0,0,0,
42,0103,6/7/2021 6:14:46 PM ,5707,20.909,20.717,0.191,0.4,4346,0.050,0.204,0.153,0.3,0.761,27.1,0.912,75.00,STABLE / OPEN,0.00,0.80,0.000,0.544,224,60,421,165,8,0,0.0,ERR:0,30.2,23.1,22.6,22.2,0,0,0,
43,0103,6/7/2021 6:20:26 PM ,5983,20.909,20.706,0.202,0.4,4834,0.048,0.218,0.170,0.3,0.808,28.8,0.914,75.00,STABLE / OPEN,0.00,0.80,0.000,0.544,292,121,504,275,59,0,0.0,ERR:0,30.6,23.1,22.5,22.2,0,0,0,
44,0103,6/7/2021 6:26:06 PM ,5767,20.909,20.714,0.195,0.4,4652,0.048,0.212,0.164,0.3,0.807,27.7,0.915,75.00,STABLE / OPEN,0.36,1.15,0.000,0.544,213,12,472,66,0,0,0.0,ERR:0,31.0,23.1,22.6,22.2,0,0,0,
45,0103,6/7/2021 6:31:46 PM ,5997,20.909,20.705,0.203,0.4,4858,0.049,0.221,0.171,0.3,0.810,28.9,0.911,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,264,142,393,203,32,0,0.0,ERR:0,31.1,23.1,22.5,22.2,0,0,0,
46,0103,6/7/2021 6:37:26 PM ,5886,20.909,20.710,0.199,0.4,4727,0.049,0.216,0.166,0.3,0.803,28.3,0.914,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,225,126,395,213,73,1,0.0,ERR:0,31.1,23.1,22.5,22.2,0,0,0,
47,0103,6/7/2021 6:43:06 PM ,5670,20.909,20.716,0.193,0.5,4734,0.049,0.215,0.167,0.3,0.835,27.5,0.913,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,417,54,300,12,0,0,0.0,ERR:0,31.2,23.1,22.6,22.2,0,0,0,
48,0103,6/7/2021 6:48:46 PM ,5064,20.909,20.738,0.171,0.5,4068,0.049,0.192,0.143,0.4,0.803,24.3,0.914,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,0,0,24,0,0,0,0.0,ERR:0,30.8,23.1,22.4,22.2,0,0,0,
49,0103,6/7/2021 6:54:26 PM ,4717,20.909,20.750,0.158,0.5,3692,0.050,0.180,0.130,0.4,0.783,22.5,0.914,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,197,1,96,1,0,0,0.0,ERR:0,30.7,23.1,22.4,22.2,0,0,0,
50,0103,6/7/2021 7:00:06 PM ,4259,20.909,20.763,0.146,0.5,3605,0.049,0.176,0.127,0.4,0.847,20.7,0.911,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,442,4,20,0,0,0,0.0,ERR:0,30.5,23.1,22.4,22.2,0,0,0,
51,0103,6/7/2021 7:05:46 PM ,3932,20.909,20.775,0.134,0.5,3305,0.049,0.166,0.116,0.4,0.841,19.1,0.913,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,141,8,16,0,0,0,0.0,ERR:0,30.4,23.0,22.3,22.2,0,0,0,
52,0103,6/7/2021 7:11:26 PM ,4462,20.909,20.757,0.152,0.5,3725,0.050,0.181,0.131,0.4,0.835,21.6,0.912,75.00,STABLE / OPEN,0.00,1.15,0.000,0.544,77,28,250,71,52,0,0.0,ERR:0,30.8,23.0,22.3,22.2,0,0,0,
53,0103,6/7/2021 7:17:06 PM ,5355,20.909,20.727,0.182,0.5,4422,0.050,0.206,0.156,0.4,0.826,25.9,0.913,75.00,UNSTABLE / OPEN,0.00,1.15,0.000,0.544,190,95,496,192,80,0,0.0,ERR:0,31.5,23.0,22.3,22.2,0,0,0,
