Oxymax CSV File 

CSV Generation Date,10/10/2022 9:14:50 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0104
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,KO
Subject Mass (G), 19.2 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,6/7/2021 2:22:46 PM ,8669,20.909,20.613,0.296,0.0,7237,0.065,0.320,0.256,0.0,0.835,42.0,0.905,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,148,63,170,101,29,1,0.0,ERR:0,28.7,23.6,22.6,22.2,0,0,100,
2,0104,6/7/2021 2:28:26 PM ,7275,20.909,20.662,0.247,0.0,5721,0.069,0.271,0.203,0.0,0.786,34.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,517,261,777,481,36,0,0.0,ERR:0,29.2,23.6,22.4,22.2,0,0,100,
3,0104,6/7/2021 2:34:06 PM ,6536,20.909,20.688,0.220,0.0,5082,0.066,0.246,0.180,0.0,0.777,31.2,0.906,75.00,STABLE / OPEN,0.10,0.10,0.000,0.000,323,167,587,330,61,1,0.0,ERR:0,29.8,23.7,22.3,22.2,0,0,100,
4,0104,6/7/2021 2:39:46 PM ,6081,20.909,20.704,0.205,0.0,4653,0.064,0.229,0.165,0.0,0.765,28.9,0.904,75.00,STABLE / OPEN,0.00,0.10,0.000,0.000,382,161,637,338,14,3,0.0,ERR:0,30.3,23.7,22.3,22.2,0,0,100,
5,0104,6/7/2021 2:45:26 PM ,5788,20.909,20.712,0.196,0.0,4533,0.063,0.223,0.161,0.0,0.783,27.7,0.901,75.00,STABLE / OPEN,0.05,0.15,0.000,0.000,382,154,653,360,36,1,0.0,ERR:0,30.7,23.7,22.5,22.2,0,0,100,
6,0104,6/7/2021 2:51:06 PM ,5828,20.909,20.712,0.197,0.1,4584,0.061,0.223,0.162,0.0,0.787,27.9,0.907,75.00,STABLE / OPEN,0.00,0.15,0.000,0.000,504,264,827,478,57,2,0.0,ERR:0,30.7,23.8,22.6,22.2,0,0,100,
7,0104,6/7/2021 2:56:46 PM ,5752,20.909,20.715,0.194,0.1,4468,0.061,0.219,0.158,0.1,0.777,27.4,0.906,75.00,STABLE / OPEN,0.03,0.18,0.000,0.000,437,223,771,485,39,1,0.0,ERR:0,31.0,23.7,22.6,22.2,0,0,100,
8,0104,6/7/2021 3:02:26 PM ,5647,20.909,20.718,0.191,0.1,4391,0.061,0.217,0.156,0.1,0.778,27.0,0.904,75.00,STABLE / OPEN,0.12,0.30,0.000,0.000,331,184,581,336,74,1,0.0,ERR:0,31.0,23.7,22.7,22.2,0,0,100,
9,0104,6/7/2021 3:08:06 PM ,5520,20.909,20.723,0.186,0.1,4272,0.060,0.211,0.151,0.1,0.774,26.3,0.906,75.00,STABLE / OPEN,0.00,0.30,0.000,0.000,204,108,441,201,5,2,0.0,ERR:0,30.9,23.7,22.8,22.2,0,0,100,
10,0104,6/7/2021 3:13:46 PM ,5479,20.909,20.724,0.185,0.1,4233,0.058,0.208,0.150,0.1,0.773,26.1,0.904,75.00,UNSTABLE / OPEN,0.00,0.30,0.000,0.000,265,131,560,291,55,1,0.0,ERR:0,30.8,23.7,22.9,22.2,0,0,100,
11,0104,6/7/2021 3:19:26 PM ,5415,20.909,20.725,0.183,0.1,4257,0.058,0.209,0.151,0.1,0.786,25.9,0.902,75.00,STABLE / OPEN,0.06,0.36,0.000,0.000,362,142,406,245,35,1,0.0,ERR:0,30.9,23.8,22.8,22.2,0,0,100,
12,0104,6/7/2021 3:25:06 PM ,5480,20.909,20.723,0.185,0.1,4386,0.057,0.212,0.155,0.1,0.800,26.3,0.906,75.00,UNSTABLE / OPEN,0.00,0.36,0.000,0.000,406,216,850,537,49,1,0.0,ERR:0,31.1,23.8,22.5,22.2,0,0,100,
13,0104,6/7/2021 3:30:46 PM ,4988,20.909,20.739,0.170,0.1,4044,0.056,0.199,0.143,0.1,0.811,24.0,0.904,75.00,STABLE / OPEN,0.08,0.44,0.000,0.000,45,15,235,56,8,3,0.0,ERR:0,31.0,23.8,22.4,22.2,0,0,100,
14,0104,6/7/2021 3:36:26 PM ,4909,20.909,20.740,0.168,0.1,4049,0.054,0.198,0.144,0.1,0.825,23.7,0.899,75.00,STABLE / OPEN,0.04,0.48,0.000,0.000,271,115,450,204,21,1,0.0,ERR:0,31.4,23.8,22.3,22.2,0,0,100,
15,0104,6/7/2021 3:42:06 PM ,4966,20.909,20.739,0.169,0.1,4062,0.055,0.199,0.144,0.1,0.818,23.9,0.904,75.00,STABLE / OPEN,0.00,0.48,0.000,0.000,328,168,600,329,25,3,0.0,ERR:0,31.8,23.8,22.4,22.2,0,0,100,
16,0104,6/7/2021 3:47:46 PM ,4933,20.909,20.742,0.167,0.2,3864,0.055,0.192,0.137,0.1,0.783,23.6,0.905,75.00,STABLE / OPEN,0.00,0.48,0.039,0.039,106,7,326,51,2,2,0.0,ERR:0,31.7,23.7,22.5,22.2,0,0,100,
17,0104,6/7/2021 3:53:26 PM ,5105,20.909,20.735,0.174,0.2,4102,0.055,0.200,0.145,0.1,0.803,24.5,0.903,75.00,STABLE / OPEN,0.00,0.48,0.000,0.039,293,152,538,290,61,2,0.0,ERR:0,32.1,23.7,22.7,22.2,0,0,100,
18,0104,6/7/2021 3:59:06 PM ,5177,20.909,20.734,0.175,0.2,4025,0.054,0.196,0.143,0.1,0.777,24.7,0.904,75.00,STABLE / OPEN,0.47,0.95,0.000,0.039,177,100,441,194,26,1,0.0,ERR:0,32.2,23.7,22.8,22.2,0,0,100,
19,0104,6/7/2021 4:04:46 PM ,5149,20.909,20.735,0.174,0.2,3998,0.053,0.195,0.142,0.1,0.776,24.6,0.903,75.00,STABLE / OPEN,0.00,0.95,0.000,0.039,229,126,600,281,8,2,0.0,ERR:0,32.1,23.7,22.8,22.2,0,0,100,
20,0104,6/7/2021 4:10:26 PM ,5112,20.909,20.736,0.173,0.2,4092,0.052,0.196,0.145,0.2,0.800,24.5,0.906,75.00,UNSTABLE / OPEN,0.00,0.95,0.000,0.039,277,133,690,410,71,1,0.0,ERR:0,32.1,23.8,22.8,22.2,0,0,100,
21,0104,6/7/2021 4:16:06 PM ,5152,20.909,20.734,0.175,0.2,4115,0.053,0.198,0.146,0.2,0.799,24.7,0.905,75.00,STABLE / OPEN,0.00,0.95,0.000,0.039,411,221,645,400,20,1,0.0,ERR:0,31.8,23.7,22.5,22.2,0,0,100,
22,0104,6/7/2021 4:21:46 PM ,5163,20.909,20.733,0.176,0.2,4150,0.053,0.200,0.147,0.2,0.804,24.8,0.901,75.00,STABLE / OPEN,0.00,0.95,0.107,0.146,340,179,574,334,48,2,0.0,ERR:0,31.5,23.7,22.4,22.2,0,0,100,
23,0104,6/7/2021 4:27:26 PM ,5035,20.909,20.736,0.172,0.2,4254,0.051,0.202,0.151,0.2,0.845,24.4,0.905,75.00,STABLE / OPEN,0.00,0.95,0.044,0.190,220,106,499,286,31,2,0.0,ERR:0,31.8,23.8,22.3,22.2,0,0,100,
24,0104,6/7/2021 4:33:06 PM ,5136,20.909,20.732,0.176,0.2,4392,0.052,0.207,0.156,0.2,0.855,25.0,0.903,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,421,202,544,319,20,2,0.0,ERR:0,31.8,23.8,22.3,22.2,0,0,100,
25,0104,6/7/2021 4:38:46 PM ,5066,20.909,20.735,0.174,0.2,4365,0.051,0.205,0.154,0.2,0.862,24.7,0.906,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,263,118,460,258,36,1,0.0,ERR:0,31.9,23.7,22.4,22.2,0,0,100,
26,0104,6/7/2021 4:44:26 PM ,4833,20.909,20.742,0.166,0.2,4149,0.051,0.198,0.147,0.2,0.858,23.5,0.903,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,190,87,436,98,6,2,0.0,ERR:0,31.9,23.8,22.5,22.2,0,0,100,
27,0104,6/7/2021 4:50:06 PM ,4191,20.909,20.764,0.145,0.3,3625,0.051,0.180,0.129,0.2,0.865,20.5,0.900,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,0,0,124,1,0,2,0.0,ERR:0,31.7,23.7,22.6,22.2,0,0,100,
28,0104,6/7/2021 4:55:46 PM ,4996,20.909,20.738,0.171,0.3,4174,0.051,0.199,0.148,0.2,0.836,24.2,0.904,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,430,221,556,291,56,1,0.0,ERR:0,32.4,23.8,22.8,22.2,0,0,100,
29,0104,6/7/2021 5:01:26 PM ,4908,20.909,20.742,0.166,0.3,3906,0.051,0.189,0.138,0.2,0.796,23.5,0.904,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,112,51,274,87,13,1,0.0,ERR:0,32.3,23.7,22.8,22.2,0,0,100,
30,0104,6/7/2021 5:07:06 PM ,4211,20.909,20.765,0.143,0.3,3506,0.051,0.175,0.124,0.2,0.833,20.4,0.906,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,7,1,50,13,0,0,0.0,ERR:0,31.7,23.7,22.7,22.2,0,0,100,
31,0104,6/7/2021 5:12:46 PM ,3761,20.909,20.780,0.129,0.3,3163,0.050,0.162,0.112,0.2,0.841,18.2,0.903,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,0,0,21,0,0,0,0.0,ERR:0,31.5,23.7,22.5,22.2,0,0,100,
32,0104,6/7/2021 5:18:26 PM ,3507,20.909,20.788,0.120,0.3,2909,0.049,0.153,0.103,0.2,0.829,17.0,0.899,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,0,0,21,0,0,3,0.0,ERR:0,31.4,23.7,22.4,22.2,0,0,100,
33,0104,6/7/2021 5:24:06 PM ,3779,20.909,20.779,0.129,0.3,3140,0.051,0.162,0.111,0.2,0.831,18.3,0.904,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,86,49,169,81,9,2,0.0,ERR:0,32.0,23.7,22.3,22.2,0,0,100,
34,0104,6/7/2021 5:29:46 PM ,4868,20.909,20.745,0.163,0.3,3660,0.049,0.178,0.130,0.3,0.752,23.1,0.903,74.99,STABLE / OPEN,0.00,0.95,0.000,0.190,446,245,678,381,44,1,0.0,ERR:0,32.3,23.7,22.4,22.2,0,0,100,
35,0104,6/7/2021 5:35:26 PM ,5053,20.909,20.740,0.169,0.3,3713,0.050,0.181,0.131,0.3,0.735,23.9,0.905,75.00,STABLE / OPEN,0.00,0.95,0.000,0.190,218,102,300,148,11,0,0.0,ERR:0,32.3,23.7,22.6,22.2,0,0,100,
36,0104,6/7/2021 5:41:06 PM ,5079,20.909,20.737,0.171,0.3,3930,0.049,0.188,0.139,0.3,0.774,24.2,0.905,75.00,UNSTABLE / OPEN,0.00,0.95,0.000,0.190,241,121,445,261,37,1,0.0,ERR:0,32.1,23.7,22.7,22.2,0,0,100,
37,0104,6/7/2021 5:46:46 PM ,5014,20.909,20.738,0.171,0.3,4048,0.049,0.193,0.144,0.3,0.807,24.1,0.902,75.00,NO RESPONSE / OPEN,0.00,0.95,0.044,0.234,383,162,672,434,31,0,0.0,ERR:0,32.4,23.7,22.8,22.2,0,0,100,
38,0104,6/7/2021 5:52:26 PM ,4777,20.909,20.747,0.161,0.3,3799,0.051,0.185,0.134,0.3,0.795,22.9,0.906,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,63,6,192,34,0,1,0.0,ERR:0,32.5,23.7,22.9,22.2,0,0,100,
39,0104,6/7/2021 5:58:06 PM ,4243,20.909,20.763,0.145,0.4,3589,0.050,0.176,0.127,0.3,0.846,20.6,0.905,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,25,3,68,20,0,0,0.0,ERR:0,32.0,23.7,22.8,22.2,0,0,100,
40,0104,6/7/2021 6:03:46 PM ,4064,20.909,20.768,0.141,0.4,3647,0.049,0.178,0.129,0.3,0.897,20.0,0.904,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,185,109,414,168,14,2,0.0,ERR:0,32.3,23.7,22.5,22.2,0,0,0,
41,0104,6/7/2021 6:09:26 PM ,4953,20.909,20.740,0.169,0.4,4067,0.050,0.194,0.144,0.3,0.821,23.9,0.905,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,323,141,484,260,58,0,0.0,ERR:0,33.0,23.6,22.4,22.2,0,0,0,
42,0104,6/7/2021 6:15:06 PM ,5066,20.909,20.735,0.174,0.4,4220,0.050,0.200,0.150,0.3,0.833,24.5,0.901,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,299,106,461,213,13,0,0.0,ERR:0,33.3,23.5,22.5,22.2,0,0,0,
43,0104,6/7/2021 6:20:46 PM ,5155,20.909,20.733,0.176,0.4,4312,0.048,0.200,0.152,0.3,0.837,25.0,0.906,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,382,203,650,403,37,1,0.0,ERR:0,33.1,23.4,22.4,22.2,0,0,0,
44,0104,6/7/2021 6:26:26 PM ,5303,20.909,20.728,0.180,0.4,4358,0.048,0.202,0.154,0.3,0.822,25.6,0.906,75.00,STABLE / OPEN,0.00,0.95,0.000,0.234,464,268,836,542,112,4,0.0,ERR:0,33.2,23.4,22.5,22.2,0,0,0,
45,0104,6/7/2021 6:32:06 PM ,5381,20.909,20.725,0.183,0.4,4389,0.049,0.205,0.156,0.3,0.816,25.9,0.903,75.00,STABLE / OPEN,0.06,1.00,0.042,0.276,368,179,713,311,21,2,0.0,ERR:0,33.3,23.3,22.4,22.2,0,0,0,
46,0104,6/7/2021 6:37:46 PM ,5285,20.909,20.729,0.179,0.4,4252,0.049,0.200,0.151,0.3,0.805,25.4,0.904,75.00,STABLE / OPEN,0.00,1.00,0.000,0.276,490,229,840,532,38,2,0.0,ERR:0,33.3,23.3,22.4,22.2,0,0,0,
47,0104,6/7/2021 6:43:26 PM ,5153,20.909,20.733,0.176,0.4,4202,0.049,0.198,0.149,0.3,0.815,24.8,0.902,75.00,UNSTABLE / OPEN,0.00,1.00,0.000,0.276,302,64,494,213,17,1,0.0,ERR:0,33.5,23.2,22.5,22.2,0,0,0,
48,0104,6/7/2021 6:49:06 PM ,5300,20.909,20.729,0.180,0.4,4260,0.049,0.199,0.151,0.4,0.804,25.5,0.905,75.00,UNSTABLE / OPEN,0.08,1.09,0.000,0.276,330,185,555,389,53,3,0.0,ERR:0,33.3,23.3,22.3,22.2,0,0,0,
49,0104,6/7/2021 6:54:46 PM ,5355,20.909,20.726,0.182,0.4,4333,0.050,0.204,0.154,0.4,0.809,25.8,0.903,75.00,STABLE / OPEN,0.00,1.09,0.000,0.276,635,359,1101,799,54,3,0.0,ERR:0,33.6,23.3,22.3,22.2,0,0,0,
50,0104,6/7/2021 7:00:26 PM ,5374,20.909,20.726,0.182,0.5,4228,0.049,0.199,0.150,0.4,0.787,25.7,0.902,75.00,STABLE / OPEN,0.09,1.18,0.000,0.276,551,367,856,583,48,2,0.0,ERR:0,33.8,23.3,22.3,22.2,0,0,0,
51,0104,6/7/2021 7:06:06 PM ,5386,20.909,20.724,0.184,0.5,4486,0.049,0.208,0.159,0.4,0.833,26.1,0.903,75.00,STABLE / OPEN,0.00,1.18,0.000,0.276,471,271,709,429,48,0,0.0,ERR:0,34.0,23.3,22.3,22.2,0,0,0,
52,0104,6/7/2021 7:11:46 PM ,5381,20.909,20.725,0.184,0.5,4375,0.050,0.205,0.155,0.4,0.813,25.9,0.901,75.00,STABLE / OPEN,0.00,1.18,0.000,0.276,628,385,1059,742,65,1,0.0,ERR:0,33.9,23.3,22.3,22.2,0,0,0,
53,0104,6/7/2021 7:17:26 PM ,5517,20.909,20.721,0.188,0.5,4545,0.050,0.211,0.161,0.4,0.824,26.6,0.905,75.00,STABLE / OPEN,0.05,1.23,0.000,0.276,678,438,1284,960,94,6,0.0,ERR:0,34.2,23.3,22.3,22.2,0,0,0,
