Oxymax CSV File 

CSV Generation Date,10/10/2022 9:14:54 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0106
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,2975 f/f
Subject Mass (G), 21.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0106,6/7/2021 2:23:26 PM ,15962,20.909,20.306,0.602,0.0,12593,0.065,0.562,0.497,0.0,0.789,76.4,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,80,17,227,94,1,2,0.0,ERR:0,34.6,23.0,22.4,22.2,0,0,100,
2,0106,6/7/2021 2:29:06 PM ,11151,20.909,20.487,0.421,0.0,8701,0.069,0.413,0.345,0.0,0.780,53.3,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,356,137,726,382,49,3,0.0,ERR:0,34.0,22.9,22.3,22.2,0,0,100,
3,0106,6/7/2021 2:34:46 PM ,8312,20.909,20.596,0.313,0.0,6423,0.066,0.320,0.254,0.0,0.773,39.6,0.903,75.00,UNSTABLE / OPEN,0.04,0.04,0.000,0.000,472,77,421,146,5,3,0.0,ERR:0,33.6,22.9,22.4,22.2,0,0,100,
4,0106,6/7/2021 2:40:26 PM ,6818,20.909,20.652,0.257,0.1,5293,0.064,0.274,0.209,0.0,0.776,32.5,0.902,75.00,STABLE / OPEN,0.00,0.04,0.000,0.000,740,86,314,188,24,5,0.0,ERR:0,34.3,22.9,22.5,22.2,0,0,100,
5,0106,6/7/2021 2:46:06 PM ,6099,20.909,20.679,0.230,0.1,4622,0.063,0.246,0.183,0.1,0.758,29.0,0.900,75.00,STABLE / OPEN,0.00,0.04,0.057,0.057,99,15,244,36,0,2,0.0,ERR:0,34.3,22.9,22.6,22.2,0,0,100,
6,0106,6/7/2021 2:51:46 PM ,5161,20.909,20.716,0.193,0.1,3815,0.061,0.212,0.151,0.1,0.739,24.4,0.904,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,22,4,105,17,0,3,0.0,ERR:0,33.6,22.8,22.7,22.2,0,0,100,
7,0106,6/7/2021 2:57:26 PM ,4531,20.909,20.741,0.168,0.1,3145,0.061,0.185,0.124,0.1,0.694,21.2,0.903,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,1,0,9,1,0,1,0.0,ERR:0,33.3,22.8,22.8,22.2,0,0,100,
8,0106,6/7/2021 3:03:06 PM ,4164,20.909,20.753,0.155,0.1,3016,0.061,0.181,0.119,0.1,0.724,19.6,0.902,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,0,0,2,0,0,2,0.0,ERR:0,32.9,22.9,22.8,22.2,0,0,100,
9,0106,6/7/2021 3:08:46 PM ,3945,20.909,20.762,0.147,0.1,2827,0.060,0.172,0.112,0.1,0.717,18.5,0.903,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,35,0,28,14,0,3,0.0,ERR:0,32.9,22.8,22.8,22.2,0,0,100,
10,0106,6/7/2021 3:14:26 PM ,4033,20.909,20.758,0.150,0.1,2909,0.058,0.173,0.115,0.1,0.721,19.0,0.902,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,5,0,26,9,0,2,0.0,ERR:0,32.6,22.9,22.7,22.2,0,0,100,
11,0106,6/7/2021 3:20:06 PM ,3923,20.909,20.762,0.146,0.1,2807,0.058,0.169,0.111,0.1,0.715,18.4,0.900,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,5,0,14,3,0,2,0.0,ERR:0,32.5,22.9,22.5,22.2,0,0,100,
12,0106,6/7/2021 3:25:46 PM ,3810,20.909,20.767,0.141,0.1,2725,0.057,0.165,0.108,0.1,0.715,17.9,0.903,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,0,0,0,0,0,2,0.0,ERR:0,32.3,22.8,22.3,22.2,0,0,100,
13,0106,6/7/2021 3:31:26 PM ,3661,20.909,20.772,0.136,0.1,2623,0.056,0.160,0.104,0.1,0.717,17.2,0.901,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,1,1,10,0,0,1,0.0,ERR:0,32.2,22.8,22.3,22.2,0,0,100,
14,0106,6/7/2021 3:37:06 PM ,3635,20.909,20.772,0.136,0.2,2666,0.054,0.160,0.106,0.1,0.733,17.2,0.897,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,0,0,2,0,0,2,0.0,ERR:0,32.1,22.8,22.4,22.2,0,0,100,
15,0106,6/7/2021 3:42:46 PM ,3763,20.909,20.768,0.140,0.2,2716,0.055,0.162,0.107,0.1,0.722,17.7,0.901,75.00,STABLE / OPEN,0.00,0.04,0.000,0.057,1,1,3,1,0,1,0.0,ERR:0,32.1,22.8,22.6,22.2,0,0,100,
16,0106,6/7/2021 3:48:26 PM ,3545,20.909,20.777,0.132,0.2,2508,0.055,0.155,0.099,0.1,0.708,16.6,0.902,75.00,STABLE / OPEN,0.00,0.04,0.090,0.148,33,0,1,0,0,4,0.0,ERR:0,32.1,22.8,22.6,22.2,0,0,100,
17,0106,6/7/2021 3:54:06 PM ,3421,20.909,20.781,0.128,0.2,2462,0.055,0.152,0.098,0.1,0.720,16.1,0.900,75.00,STABLE / OPEN,0.00,0.04,0.000,0.148,4,0,6,0,0,2,0.0,ERR:0,32.0,22.8,22.8,22.2,0,0,100,
18,0106,6/7/2021 3:59:46 PM ,3690,20.909,20.772,0.137,0.2,2603,0.054,0.157,0.103,0.1,0.705,17.3,0.902,75.00,STABLE / OPEN,0.00,0.04,0.000,0.148,12,0,3,0,0,2,0.0,ERR:0,32.0,22.8,22.9,22.2,0,0,100,
19,0106,6/7/2021 4:05:26 PM ,4421,20.909,20.743,0.165,0.2,3207,0.053,0.180,0.127,0.1,0.725,20.8,0.900,75.00,STABLE / OPEN,0.05,0.09,0.000,0.148,160,31,176,46,6,3,0.0,ERR:0,33.0,22.9,22.8,22.2,0,0,100,
20,0106,6/7/2021 4:11:06 PM ,4987,20.909,20.725,0.184,0.2,3379,0.052,0.185,0.134,0.1,0.678,23.2,0.903,75.00,STABLE / OPEN,0.00,0.09,0.000,0.148,166,84,601,195,6,2,0.0,ERR:0,32.8,22.8,22.5,22.2,0,0,100,
21,0106,6/7/2021 4:16:46 PM ,5273,20.909,20.714,0.195,0.2,3627,0.053,0.196,0.143,0.2,0.688,24.6,0.903,75.00,UNSTABLE / OPEN,0.03,0.13,0.000,0.148,96,45,297,103,31,2,0.0,ERR:0,33.4,22.8,22.3,22.2,0,0,100,
22,0106,6/7/2021 4:22:26 PM ,5533,20.909,20.701,0.207,0.2,4071,0.053,0.215,0.162,0.2,0.736,26.1,0.899,75.00,STABLE / OPEN,0.05,0.18,0.000,0.148,306,117,447,259,101,1,0.0,ERR:0,33.9,22.8,22.3,22.2,0,0,100,
23,0106,6/7/2021 4:28:06 PM ,5299,20.909,20.711,0.198,0.2,3863,0.051,0.204,0.153,0.2,0.729,25.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.18,0.000,0.148,249,53,385,165,10,2,0.0,ERR:0,33.5,22.8,22.4,22.2,0,0,100,
24,0106,6/7/2021 4:33:46 PM ,5264,20.909,20.711,0.198,0.2,3935,0.052,0.208,0.156,0.2,0.748,24.9,0.900,75.00,STABLE / OPEN,0.10,0.27,0.000,0.148,203,41,271,85,11,3,0.0,ERR:0,34.2,22.8,22.5,22.2,0,0,100,
25,0106,6/7/2021 4:39:26 PM ,5262,20.909,20.711,0.197,0.3,3971,0.051,0.208,0.157,0.2,0.755,25.0,0.903,75.00,STABLE / OPEN,0.00,0.27,0.051,0.199,229,82,379,135,35,2,0.0,ERR:0,34.0,22.8,22.6,22.2,0,0,100,
26,0106,6/7/2021 4:45:06 PM ,5143,20.909,20.715,0.194,0.3,3954,0.051,0.208,0.156,0.2,0.769,24.5,0.901,75.00,STABLE / OPEN,0.00,0.27,0.000,0.199,117,4,524,71,0,2,0.0,ERR:0,34.3,22.9,22.7,22.2,0,0,100,
27,0106,6/7/2021 4:50:46 PM ,4847,20.909,20.726,0.183,0.3,3665,0.051,0.197,0.146,0.2,0.756,23.0,0.898,75.00,STABLE / OPEN,0.00,0.27,0.000,0.199,108,0,337,28,0,1,0.0,ERR:0,34.0,22.9,22.8,22.2,0,0,100,
28,0106,6/7/2021 4:56:26 PM ,4465,20.909,20.743,0.166,0.3,3209,0.051,0.178,0.127,0.2,0.719,21.0,0.903,75.00,STABLE / OPEN,0.00,0.27,0.000,0.199,0,0,95,1,0,2,0.0,ERR:0,33.6,22.9,22.9,22.2,0,0,100,
29,0106,6/7/2021 5:02:06 PM ,4094,20.909,20.754,0.154,0.3,3168,0.051,0.176,0.125,0.2,0.774,19.5,0.902,75.00,STABLE / OPEN,0.00,0.27,0.000,0.199,0,0,12,0,0,2,0.0,ERR:0,33.3,22.9,22.8,22.2,0,0,100,
30,0106,6/7/2021 5:07:46 PM ,4370,20.909,20.745,0.164,0.3,3276,0.051,0.181,0.129,0.2,0.750,20.7,0.903,75.00,UNSTABLE / OPEN,0.00,0.27,0.000,0.199,78,41,126,55,8,1,0.0,ERR:0,33.3,22.9,22.4,22.2,0,0,100,
31,0106,6/7/2021 5:13:26 PM ,5167,20.909,20.716,0.193,0.3,3766,0.050,0.199,0.149,0.2,0.729,24.4,0.902,75.00,STABLE / OPEN,0.00,0.27,0.000,0.199,237,81,325,149,53,2,0.0,ERR:0,33.7,22.8,22.3,22.2,0,0,100,
32,0106,6/7/2021 5:19:06 PM ,4151,20.909,20.752,0.157,0.3,3164,0.049,0.175,0.126,0.2,0.762,19.7,0.898,75.00,STABLE / OPEN,0.00,0.27,0.000,0.199,0,0,3,0,0,1,0.0,ERR:0,33.6,22.8,22.3,22.2,0,0,100,
33,0106,6/7/2021 5:24:46 PM ,4184,20.909,20.752,0.156,0.3,3075,0.051,0.173,0.122,0.2,0.735,19.8,0.901,75.00,STABLE / OPEN,0.04,0.31,0.000,0.199,52,20,76,40,5,3,0.0,ERR:0,33.7,22.8,22.5,22.2,0,0,100,
34,0106,6/7/2021 5:30:26 PM ,3794,20.909,20.766,0.143,0.3,2876,0.049,0.163,0.114,0.2,0.758,18.0,0.900,75.00,STABLE / OPEN,0.00,0.31,0.034,0.233,0,0,0,0,0,1,0.0,ERR:0,33.6,22.8,22.6,22.2,0,0,100,
35,0106,6/7/2021 5:36:06 PM ,3770,20.909,20.768,0.141,0.3,2779,0.050,0.160,0.110,0.3,0.737,17.8,0.903,75.00,STABLE / OPEN,0.00,0.31,0.000,0.233,0,0,0,0,0,1,0.0,ERR:0,33.5,22.8,22.8,22.2,0,0,100,
36,0106,6/7/2021 5:41:46 PM ,3726,20.909,20.769,0.140,0.4,2795,0.049,0.160,0.111,0.3,0.750,17.7,0.902,75.00,STABLE / OPEN,0.00,0.31,0.000,0.233,0,0,0,0,0,1,0.0,ERR:0,33.5,22.8,22.8,22.2,0,0,100,
37,0106,6/7/2021 5:47:26 PM ,3682,20.909,20.770,0.139,0.4,2794,0.049,0.160,0.111,0.3,0.759,17.5,0.898,75.00,STABLE / OPEN,0.00,0.31,0.000,0.233,0,0,9,1,0,1,0.0,ERR:0,33.4,22.8,22.9,22.2,0,0,100,
38,0106,6/7/2021 5:53:06 PM ,3996,20.909,20.759,0.149,0.4,2984,0.051,0.169,0.118,0.3,0.747,18.9,0.903,75.00,STABLE / OPEN,0.00,0.31,0.000,0.233,34,22,49,15,0,1,0.0,ERR:0,33.4,22.8,22.7,22.2,0,0,100,
39,0106,6/7/2021 5:58:46 PM ,4216,20.909,20.751,0.158,0.4,3129,0.050,0.173,0.124,0.3,0.742,19.9,0.902,75.00,STABLE / OPEN,0.00,0.31,0.000,0.233,28,0,127,5,0,1,0.0,ERR:0,34.1,22.8,22.5,22.2,0,0,100,
40,0106,6/7/2021 6:04:26 PM ,5193,20.909,20.714,0.194,0.4,3835,0.049,0.201,0.152,0.3,0.739,24.5,0.902,75.00,STABLE / OPEN,0.06,0.38,0.000,0.233,409,130,531,217,29,2,0.0,ERR:0,33.8,22.8,22.3,22.2,0,0,0,
41,0106,6/7/2021 6:10:06 PM ,5490,20.909,20.704,0.205,0.4,4027,0.050,0.209,0.159,0.3,0.733,25.9,0.902,75.00,UNSTABLE / OPEN,0.05,0.43,0.000,0.233,340,162,593,333,90,2,0.0,ERR:0,33.7,22.8,22.3,22.2,0,0,0,
42,0106,6/7/2021 6:15:46 PM ,5598,20.909,20.697,0.211,0.4,4281,0.050,0.220,0.170,0.3,0.765,26.6,0.898,75.00,STABLE / OPEN,0.13,0.56,0.000,0.233,361,150,525,261,109,1,0.0,ERR:0,33.8,22.8,22.3,22.2,0,0,0,
43,0106,6/7/2021 6:21:26 PM ,5457,20.909,20.702,0.207,0.4,4375,0.048,0.221,0.173,0.3,0.802,26.2,0.903,75.00,UNSTABLE / OPEN,0.00,0.56,0.000,0.233,215,85,493,268,61,1,0.0,ERR:0,34.2,22.8,22.3,22.2,0,0,0,
44,0106,6/7/2021 6:27:06 PM ,5432,20.909,20.701,0.207,0.4,4531,0.048,0.227,0.179,0.3,0.834,26.3,0.903,75.00,STABLE / OPEN,0.07,0.62,0.000,0.233,517,157,500,267,47,2,0.0,ERR:0,34.3,22.8,22.3,22.2,0,0,0,
45,0106,6/7/2021 6:32:46 PM ,5329,20.909,20.704,0.204,0.4,4508,0.049,0.228,0.178,0.3,0.846,25.9,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.233,275,103,469,258,118,3,0.0,ERR:0,34.9,22.8,22.3,22.2,0,0,0,
46,0106,6/7/2021 6:38:26 PM ,5178,20.909,20.710,0.198,0.4,4392,0.049,0.223,0.174,0.3,0.848,25.2,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.233,323,69,314,146,37,1,0.0,ERR:0,34.7,22.8,22.3,22.2,0,0,0,
47,0106,6/7/2021 6:44:06 PM ,5339,20.909,20.703,0.206,0.5,4617,0.049,0.232,0.183,0.3,0.865,26.1,0.899,75.00,STABLE / OPEN,0.00,0.62,0.204,0.437,419,214,857,485,34,2,0.0,ERR:0,35.9,22.8,22.3,22.2,0,0,0,
48,0106,6/7/2021 6:49:46 PM ,5496,20.909,20.698,0.210,0.5,4639,0.049,0.232,0.183,0.4,0.844,26.7,0.902,75.00,STABLE / OPEN,0.00,0.62,0.108,0.545,364,55,676,233,18,2,0.0,ERR:0,35.9,22.8,22.3,22.2,0,0,0,
49,0106,6/7/2021 6:55:26 PM ,5631,20.909,20.694,0.215,0.5,4664,0.050,0.235,0.185,0.4,0.828,27.2,0.901,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.545,286,84,489,169,140,1,0.0,ERR:0,35.7,22.8,22.3,22.2,0,0,0,
50,0106,6/7/2021 7:01:06 PM ,5805,20.909,20.688,0.221,0.5,4718,0.049,0.236,0.187,0.4,0.813,28.0,0.901,75.00,STABLE / OPEN,0.11,0.73,0.066,0.611,462,226,774,514,155,2,0.0,ERR:0,35.8,22.8,22.4,22.2,0,0,0,
51,0106,6/7/2021 7:06:46 PM ,5868,20.909,20.684,0.224,0.5,4905,0.049,0.243,0.194,0.4,0.836,28.4,0.902,75.00,STABLE / OPEN,0.04,0.76,0.176,0.787,484,204,865,538,64,2,0.0,ERR:0,35.5,22.7,22.4,22.2,0,0,0,
52,0106,6/7/2021 7:12:26 PM ,5750,20.909,20.688,0.221,0.5,4862,0.050,0.243,0.193,0.4,0.846,27.9,0.898,75.00,STABLE / OPEN,0.09,0.85,0.000,0.787,301,114,552,346,134,2,0.0,ERR:0,35.5,22.8,22.4,22.2,0,0,0,
53,0106,6/7/2021 7:18:06 PM ,5802,20.909,20.686,0.223,0.5,5006,0.050,0.248,0.198,0.4,0.863,28.3,0.903,75.00,UNSTABLE / OPEN,0.05,0.90,0.000,0.787,538,238,1014,642,75,2,0.0,ERR:0,35.5,22.8,22.5,22.2,0,0,0,
