Oxymax CSV File 

CSV Generation Date,10/10/2022 9:14:57 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0108
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3373 Cx3Cr1Cre
Subject Mass (G), 20.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0108,6/7/2021 2:24:06 PM ,10462,20.909,20.533,0.376,0.0,8398,0.065,0.379,0.315,0.0,0.803,50.3,0.903,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,230,115,579,382,51,3,0.0,ERR:0,29.4,23.7,22.3,22.2,0,0,100,
2,0108,6/7/2021 2:29:46 PM ,8259,20.909,20.612,0.297,0.0,6523,0.069,0.314,0.245,0.0,0.790,39.5,0.901,75.00,STABLE / OPEN,0.15,0.15,0.000,0.000,352,139,742,382,84,3,0.0,ERR:0,29.6,23.7,22.4,22.2,0,0,100,
3,0108,6/7/2021 2:35:26 PM ,7292,20.909,20.648,0.260,0.0,5691,0.066,0.279,0.213,0.0,0.780,34.8,0.904,75.00,UNSTABLE / OPEN,0.04,0.19,0.000,0.000,417,246,1101,721,49,3,0.0,ERR:0,29.5,23.7,22.6,22.2,0,0,100,
4,0108,6/7/2021 2:41:06 PM ,6254,20.909,20.684,0.224,0.0,4948,0.064,0.250,0.185,0.0,0.791,30.0,0.903,75.00,STABLE / OPEN,0.13,0.33,0.000,0.000,638,19,358,59,0,4,0.0,ERR:0,30.1,23.7,22.6,22.2,0,0,100,
5,0108,6/7/2021 2:46:46 PM ,6112,20.909,20.687,0.221,0.1,5033,0.063,0.252,0.189,0.0,0.823,29.5,0.901,75.00,STABLE / OPEN,0.00,0.33,0.000,0.000,340,156,630,339,88,2,0.0,ERR:0,30.4,23.7,22.8,22.2,0,0,100,
6,0108,6/7/2021 2:52:26 PM ,5859,20.909,20.698,0.211,0.1,4799,0.061,0.241,0.180,0.1,0.819,28.3,0.905,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.000,283,147,938,498,27,2,0.0,ERR:0,30.1,23.8,22.8,22.2,0,0,100,
7,0108,6/7/2021 2:58:06 PM ,5815,20.909,20.699,0.210,0.1,4781,0.061,0.240,0.179,0.1,0.822,28.1,0.903,75.00,UNSTABLE / OPEN,0.09,0.41,0.098,0.098,356,175,814,449,76,3,0.0,ERR:0,30.4,23.8,22.9,22.2,0,0,100,
8,0108,6/7/2021 3:03:46 PM ,5709,20.909,20.704,0.205,0.1,4559,0.061,0.232,0.171,0.1,0.798,27.4,0.903,75.00,UNSTABLE / OPEN,0.00,0.41,0.000,0.098,387,201,1183,747,69,4,0.0,ERR:0,29.7,23.8,22.8,22.2,0,0,100,
9,0108,6/7/2021 3:09:26 PM ,5707,20.909,20.705,0.204,0.1,4465,0.060,0.227,0.167,0.1,0.782,27.3,0.904,75.00,UNSTABLE / OPEN,0.13,0.54,0.000,0.098,458,213,1055,679,76,3,0.0,ERR:0,29.6,23.9,22.5,22.2,0,0,100,
10,0108,6/7/2021 3:15:06 PM ,5568,20.909,20.708,0.200,0.1,4524,0.058,0.228,0.170,0.1,0.813,26.8,0.903,75.00,STABLE / OPEN,0.00,0.54,0.030,0.129,316,140,776,481,83,2,0.0,ERR:0,30.0,23.9,22.4,22.2,0,0,100,
11,0108,6/7/2021 3:20:46 PM ,5406,20.909,20.715,0.194,0.1,4196,0.058,0.216,0.158,0.1,0.776,25.8,0.900,75.00,STABLE / OPEN,0.00,0.54,0.000,0.129,220,83,520,262,26,2,0.0,ERR:0,29.9,23.9,22.3,22.2,0,0,100,
12,0108,6/7/2021 3:26:26 PM ,5567,20.909,20.710,0.199,0.1,4348,0.057,0.220,0.163,0.1,0.781,26.6,0.904,75.00,UNSTABLE / OPEN,0.00,0.54,0.000,0.129,400,149,731,407,103,2,0.0,ERR:0,29.9,23.9,22.3,22.2,0,0,100,
13,0108,6/7/2021 3:32:06 PM ,5293,20.909,20.718,0.190,0.1,4261,0.056,0.216,0.160,0.1,0.805,25.4,0.902,75.00,STABLE / OPEN,0.00,0.54,0.000,0.129,501,59,441,136,0,2,0.0,ERR:0,30.3,23.9,22.4,22.2,0,0,100,
14,0108,6/7/2021 3:37:46 PM ,5550,20.909,20.707,0.202,0.2,4619,0.054,0.228,0.174,0.1,0.832,26.9,0.898,75.00,STABLE / OPEN,0.00,0.54,0.112,0.240,405,216,986,588,78,3,0.0,ERR:0,30.1,23.8,22.6,22.2,0,0,100,
15,0108,6/7/2021 3:43:26 PM ,5595,20.909,20.707,0.202,0.2,4603,0.055,0.227,0.172,0.1,0.823,27.0,0.903,75.00,STABLE / OPEN,0.00,0.54,0.120,0.361,399,200,985,628,33,3,0.0,ERR:0,29.8,23.9,22.7,22.2,0,0,100,
16,0108,6/7/2021 3:49:06 PM ,5698,20.909,20.704,0.205,0.2,4630,0.055,0.229,0.173,0.1,0.813,27.4,0.904,75.00,STABLE / OPEN,0.00,0.54,0.000,0.361,420,209,879,549,74,4,0.0,ERR:0,29.9,23.9,22.8,22.2,0,0,100,
17,0108,6/7/2021 3:54:46 PM ,5751,20.909,20.701,0.207,0.2,4646,0.055,0.229,0.174,0.2,0.808,27.7,0.901,75.00,STABLE / OPEN,0.00,0.54,0.000,0.361,415,203,838,546,86,3,0.0,ERR:0,30.4,23.9,22.9,22.2,0,0,100,
18,0108,6/7/2021 4:00:26 PM ,5680,20.909,20.705,0.204,0.2,4552,0.054,0.224,0.171,0.2,0.801,27.3,0.903,75.00,STABLE / OPEN,0.00,0.54,0.000,0.361,342,193,696,407,77,2,0.0,ERR:0,29.9,23.9,22.7,22.2,0,0,100,
19,0108,6/7/2021 4:06:06 PM ,5558,20.909,20.708,0.200,0.2,4483,0.053,0.221,0.168,0.2,0.807,26.7,0.901,75.00,UNSTABLE / OPEN,0.03,0.57,0.000,0.361,400,189,694,430,55,3,0.0,ERR:0,30.4,23.9,22.5,22.2,0,0,100,
20,0108,6/7/2021 4:11:46 PM ,5478,20.909,20.712,0.197,0.2,4430,0.052,0.218,0.166,0.2,0.809,26.4,0.904,75.00,STABLE / OPEN,0.04,0.61,0.000,0.361,320,101,534,307,30,3,0.0,ERR:0,30.2,23.9,22.3,22.2,0,0,100,
21,0108,6/7/2021 4:17:26 PM ,5447,20.909,20.712,0.197,0.2,4520,0.053,0.222,0.169,0.2,0.830,26.3,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,0.361,429,238,882,598,68,2,0.0,ERR:0,30.6,23.9,22.3,22.2,0,0,100,
22,0108,6/7/2021 4:23:06 PM ,5450,20.909,20.711,0.198,0.2,4503,0.053,0.222,0.169,0.2,0.826,26.3,0.899,75.00,UNSTABLE / OPEN,0.04,0.66,0.000,0.361,399,206,1066,674,86,3,0.0,ERR:0,31.1,23.9,22.4,22.2,0,0,100,
23,0108,6/7/2021 4:28:46 PM ,5321,20.909,20.716,0.193,0.3,4478,0.051,0.219,0.168,0.2,0.842,25.8,0.903,75.00,UNSTABLE / OPEN,0.04,0.69,0.052,0.413,326,208,725,469,38,3,0.0,ERR:0,31.5,23.9,22.5,22.2,0,0,100,
24,0108,6/7/2021 4:34:26 PM ,5310,20.909,20.716,0.193,0.3,4474,0.052,0.220,0.168,0.2,0.842,25.8,0.901,75.00,STABLE / OPEN,0.00,0.69,0.000,0.413,309,177,695,428,47,2,0.0,ERR:0,31.8,23.9,22.6,22.2,0,0,100,
25,0108,6/7/2021 4:40:06 PM ,5315,20.909,20.717,0.192,0.3,4448,0.051,0.217,0.166,0.2,0.837,25.8,0.905,75.00,STABLE / OPEN,0.08,0.78,0.000,0.413,473,258,1194,680,52,3,0.0,ERR:0,31.4,23.9,22.7,22.2,0,0,100,
26,0108,6/7/2021 4:45:46 PM ,5244,20.909,20.719,0.189,0.3,4310,0.051,0.213,0.162,0.2,0.822,25.3,0.902,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.413,303,143,690,424,58,2,0.0,ERR:0,31.7,23.9,22.8,22.2,0,0,100,
27,0108,6/7/2021 4:51:26 PM ,5453,20.909,20.711,0.197,0.3,4472,0.051,0.219,0.168,0.2,0.820,26.3,0.899,75.00,UNSTABLE / OPEN,0.00,0.78,0.000,0.413,373,217,869,543,119,2,0.0,ERR:0,31.7,23.9,22.9,22.2,0,0,100,
28,0108,6/7/2021 4:57:06 PM ,5387,20.909,20.715,0.194,0.3,4399,0.051,0.216,0.165,0.2,0.817,26.0,0.903,75.00,STABLE / OPEN,0.00,0.78,0.000,0.413,419,189,869,527,53,3,0.0,ERR:0,31.3,23.9,22.7,22.2,0,0,100,
29,0108,6/7/2021 5:02:46 PM ,5262,20.909,20.718,0.191,0.3,4364,0.051,0.215,0.164,0.3,0.829,25.5,0.901,75.00,STABLE / OPEN,0.06,0.84,0.000,0.413,330,146,809,499,44,2,0.0,ERR:0,31.4,23.8,22.5,22.2,0,0,100,
30,0108,6/7/2021 5:08:26 PM ,5208,20.909,20.722,0.187,0.3,4199,0.051,0.208,0.157,0.3,0.806,25.0,0.904,75.00,STABLE / OPEN,0.03,0.87,0.103,0.516,218,80,544,260,11,1,0.0,ERR:0,31.2,23.9,22.3,22.2,0,0,100,
31,0108,6/7/2021 5:14:06 PM ,5183,20.909,20.721,0.188,0.3,4326,0.050,0.212,0.162,0.3,0.835,25.1,0.903,75.00,STABLE / OPEN,0.00,0.87,0.000,0.516,392,208,883,511,58,1,0.0,ERR:0,31.2,23.9,22.4,22.2,0,0,100,
32,0108,6/7/2021 5:19:46 PM ,5195,20.909,20.720,0.189,0.3,4350,0.049,0.213,0.164,0.3,0.837,25.2,0.899,75.00,STABLE / OPEN,0.00,0.87,0.032,0.548,356,144,818,476,30,2,0.0,ERR:0,31.1,23.9,22.5,22.2,0,0,100,
33,0108,6/7/2021 5:25:26 PM ,5087,20.909,20.725,0.184,0.4,4203,0.051,0.209,0.158,0.3,0.826,24.6,0.903,75.00,STABLE / OPEN,0.00,0.87,0.000,0.548,197,38,751,194,4,4,0.0,ERR:0,31.6,23.9,22.6,22.2,0,0,100,
34,0108,6/7/2021 5:31:06 PM ,4604,20.909,20.743,0.166,0.4,3743,0.049,0.189,0.140,0.3,0.813,22.2,0.902,75.00,STABLE / OPEN,0.05,0.92,0.000,0.548,307,15,133,28,0,2,0.0,ERR:0,31.2,23.8,22.7,22.2,0,0,100,
35,0108,6/7/2021 5:36:46 PM ,4442,20.909,20.750,0.159,0.4,3513,0.050,0.181,0.132,0.3,0.791,21.3,0.904,75.00,STABLE / OPEN,0.00,0.92,0.000,0.548,236,19,272,30,0,1,0.0,ERR:0,31.4,23.9,22.9,22.2,0,0,100,
36,0108,6/7/2021 5:42:26 PM ,3918,20.909,20.767,0.142,0.4,3241,0.049,0.171,0.121,0.3,0.827,18.9,0.903,75.00,STABLE / OPEN,0.00,0.92,0.000,0.548,425,10,60,1,0,2,0.0,ERR:0,31.1,23.9,22.9,22.2,0,0,100,
37,0108,6/7/2021 5:48:06 PM ,3733,20.909,20.772,0.136,0.4,3190,0.049,0.169,0.120,0.3,0.854,18.2,0.899,75.00,STABLE / OPEN,0.00,0.92,0.000,0.548,130,0,18,0,0,0,0.0,ERR:0,31.0,23.8,22.6,22.2,0,0,100,
38,0108,6/7/2021 5:53:46 PM ,3619,20.909,20.778,0.131,0.4,3026,0.051,0.164,0.113,0.3,0.836,17.5,0.903,75.00,STABLE / OPEN,0.00,0.92,0.000,0.548,11,1,17,1,0,4,0.0,ERR:0,31.0,23.8,22.4,22.2,0,0,100,
39,0108,6/7/2021 5:59:26 PM ,3478,20.909,20.783,0.126,0.4,2860,0.050,0.157,0.107,0.3,0.822,16.8,0.903,75.00,STABLE / OPEN,0.00,0.92,0.000,0.548,55,1,11,2,0,2,0.0,ERR:0,30.9,23.9,22.3,22.2,0,0,100,
40,0108,6/7/2021 6:05:06 PM ,4523,20.909,20.747,0.161,0.4,3467,0.049,0.179,0.130,0.3,0.766,21.5,0.902,75.00,UNSTABLE / OPEN,0.04,0.96,0.000,0.548,304,132,503,246,6,2,0.0,ERR:0,31.9,23.8,22.4,22.2,0,0,0,
41,0108,6/7/2021 6:10:46 PM ,5053,20.909,20.728,0.180,0.4,3902,0.050,0.196,0.146,0.3,0.772,24.1,0.903,75.00,STABLE / OPEN,0.00,0.96,0.000,0.548,302,171,694,387,71,3,0.0,ERR:0,31.8,23.8,22.4,22.2,0,0,0,
42,0108,6/7/2021 6:16:26 PM ,5268,20.909,20.720,0.189,0.4,4039,0.050,0.202,0.152,0.3,0.767,25.1,0.899,75.00,UNSTABLE / OPEN,0.05,1.01,0.039,0.587,151,51,436,169,47,2,0.0,ERR:0,32.4,23.7,22.4,22.2,0,0,0,
43,0108,6/7/2021 6:22:06 PM ,5503,20.909,20.711,0.198,0.4,4421,0.048,0.213,0.166,0.4,0.803,26.4,0.903,75.00,STABLE / OPEN,0.04,1.06,0.283,0.870,467,218,921,608,63,2,0.0,ERR:0,32.2,23.7,22.4,22.2,0,0,0,
44,0108,6/7/2021 6:27:46 PM ,5631,20.909,20.706,0.203,0.4,4551,0.048,0.219,0.171,0.4,0.808,27.1,0.903,75.00,UNSTABLE / OPEN,0.00,1.06,0.000,0.870,429,221,1112,684,35,2,0.0,ERR:0,31.7,23.7,22.4,22.2,0,0,0,
45,0108,6/7/2021 6:33:26 PM ,5645,20.909,20.705,0.203,0.5,4584,0.049,0.221,0.172,0.4,0.812,27.2,0.902,75.00,STABLE / OPEN,0.13,1.18,0.000,0.870,282,161,578,367,46,3,0.0,ERR:0,31.8,23.7,22.4,22.2,0,0,0,
46,0108,6/7/2021 6:39:06 PM ,5518,20.909,20.709,0.200,0.5,4585,0.049,0.221,0.172,0.4,0.831,26.7,0.902,75.00,STABLE / OPEN,0.00,1.18,0.147,1.017,267,147,824,420,31,1,0.0,ERR:0,31.6,23.7,22.4,22.2,0,0,0,
47,0108,6/7/2021 6:44:46 PM ,5197,20.909,20.720,0.189,0.5,4373,0.049,0.213,0.164,0.4,0.841,25.2,0.900,75.00,STABLE / OPEN,0.00,1.18,0.000,1.017,434,8,263,19,0,1,0.0,ERR:0,31.9,23.7,22.4,22.2,0,0,0,
48,0108,6/7/2021 6:50:26 PM ,5608,20.909,20.705,0.204,0.5,4781,0.049,0.228,0.179,0.4,0.853,27.3,0.903,75.00,UNSTABLE / OPEN,0.00,1.18,0.000,1.017,485,294,969,631,54,2,0.0,ERR:0,32.4,23.7,22.5,22.2,0,0,0,
49,0108,6/7/2021 6:56:06 PM ,5455,20.909,20.710,0.198,0.5,4635,0.050,0.224,0.174,0.4,0.850,26.5,0.902,75.00,STABLE / OPEN,0.00,1.18,0.000,1.017,330,187,807,456,46,3,0.0,ERR:0,32.4,23.7,22.4,22.2,0,0,0,
50,0108,6/7/2021 7:01:46 PM ,5579,20.909,20.706,0.203,0.5,4713,0.049,0.226,0.177,0.4,0.845,27.1,0.902,75.00,UNSTABLE / OPEN,0.00,1.18,0.051,1.068,228,75,399,181,137,3,0.0,ERR:0,32.4,23.7,22.5,22.2,0,0,0,
51,0108,6/7/2021 7:07:26 PM ,5480,20.909,20.709,0.199,0.5,4710,0.049,0.226,0.176,0.4,0.860,26.7,0.903,75.00,STABLE / OPEN,0.24,1.42,0.091,1.159,367,217,949,612,29,2,0.0,ERR:0,32.1,23.6,22.5,22.2,0,0,0,
52,0108,6/7/2021 7:13:06 PM ,5511,20.909,20.707,0.202,0.5,4779,0.050,0.230,0.180,0.4,0.867,26.9,0.899,75.00,STABLE / OPEN,0.00,1.42,0.000,1.159,331,195,633,418,45,3,0.0,ERR:0,32.5,23.6,22.5,22.2,0,0,0,
