Oxymax CSV File 

CSV Generation Date,10/10/2022 9:15:06 AM 
Experiment Started,6/7/2021 2:21:00 PM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-07 Ucp1 mCre Cx3Cr1Cre and KO.CDTA

Group/Cage,0113
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,3464 f/f
Subject Mass (G), 19.3 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0113,6/7/2021 2:25:46 PM ,7354,20.909,20.658,0.251,0.0,5497,0.065,0.262,0.198,0.0,0.747,34.8,0.894,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,317,128,568,281,47,2,0.0,ERR:0,30.1,23.5,22.7,22.2,0,0,100,
2,0113,6/7/2021 2:31:26 PM ,6538,20.909,20.687,0.222,0.0,4731,0.069,0.239,0.170,0.0,0.724,30.8,0.894,75.00,STABLE / OPEN,0.12,0.12,0.000,0.000,420,213,655,340,18,1,0.0,ERR:0,29.7,23.5,22.8,22.2,0,0,100,
3,0113,6/7/2021 2:37:06 PM ,6172,20.909,20.700,0.209,0.0,4413,0.066,0.225,0.159,0.0,0.715,29.0,0.894,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,501,310,884,407,20,2,0.0,ERR:0,29.6,23.6,22.9,22.2,0,0,100,
4,0113,6/7/2021 2:42:46 PM ,5757,20.909,20.714,0.195,0.0,4106,0.064,0.212,0.148,0.0,0.713,27.0,0.893,75.00,STABLE / OPEN,0.00,0.12,0.035,0.035,333,136,543,190,17,1,0.0,ERR:0,30.8,23.6,22.9,22.2,0,0,100,
5,0113,6/7/2021 2:48:26 PM ,5778,20.909,20.713,0.196,0.0,4161,0.063,0.212,0.150,0.0,0.720,27.2,0.893,75.00,STABLE / OPEN,0.00,0.12,0.000,0.035,156,36,339,49,0,2,0.0,ERR:0,31.0,23.6,22.6,22.2,0,0,100,
6,0113,6/7/2021 2:54:06 PM ,5638,20.909,20.717,0.191,0.1,4082,0.061,0.208,0.147,0.0,0.724,26.5,0.894,75.00,STABLE / OPEN,0.00,0.12,0.000,0.035,174,61,487,46,0,1,0.0,ERR:0,31.3,23.6,22.5,22.2,0,0,100,
7,0113,6/7/2021 2:59:46 PM ,5743,20.909,20.715,0.194,0.1,4059,0.061,0.207,0.146,0.0,0.707,26.9,0.895,75.00,STABLE / OPEN,0.06,0.18,0.068,0.103,345,165,631,268,34,1,0.0,ERR:0,30.7,23.7,22.3,22.2,0,0,100,
8,0113,6/7/2021 3:05:26 PM ,5402,20.909,20.726,0.183,0.1,3808,0.061,0.199,0.137,0.1,0.705,25.3,0.892,75.00,STABLE / OPEN,0.00,0.18,0.000,0.103,352,156,548,262,23,2,0.0,ERR:0,30.7,23.6,22.3,22.2,0,0,100,
9,0113,6/7/2021 3:11:06 PM ,5451,20.909,20.724,0.184,0.1,3858,0.060,0.199,0.139,0.1,0.708,25.5,0.894,75.00,STABLE / OPEN,0.00,0.18,0.000,0.103,367,176,857,335,30,1,0.0,ERR:0,30.6,23.7,22.4,22.2,0,0,100,
10,0113,6/7/2021 3:16:46 PM ,5165,20.909,20.734,0.174,0.1,3654,0.058,0.190,0.131,0.1,0.707,24.2,0.894,75.00,STABLE / OPEN,0.10,0.29,0.000,0.103,227,99,490,139,3,1,0.0,ERR:0,30.6,23.6,22.5,22.2,0,0,100,
11,0113,6/7/2021 3:22:26 PM ,5234,20.909,20.731,0.178,0.1,3806,0.058,0.195,0.137,0.1,0.727,24.7,0.893,75.00,STABLE / OPEN,0.11,0.40,0.000,0.103,340,184,655,298,52,1,0.0,ERR:0,30.8,23.7,22.6,22.2,0,0,100,
12,0113,6/7/2021 3:28:06 PM ,5357,20.909,20.727,0.181,0.1,3839,0.057,0.196,0.138,0.1,0.717,25.2,0.894,75.00,STABLE / OPEN,0.00,0.40,0.047,0.150,386,196,701,341,51,2,0.0,ERR:0,30.6,23.6,22.7,22.2,0,0,100,
13,0113,6/7/2021 3:33:46 PM ,5290,20.909,20.729,0.179,0.1,3825,0.056,0.194,0.138,0.1,0.723,24.9,0.895,75.00,STABLE / OPEN,0.00,0.40,0.000,0.150,344,190,683,241,36,1,0.0,ERR:0,30.7,23.6,22.8,22.2,0,0,100,
14,0113,6/7/2021 3:39:26 PM ,5150,20.909,20.734,0.174,0.1,3663,0.054,0.186,0.132,0.1,0.711,24.2,0.892,75.00,STABLE / OPEN,0.00,0.40,0.000,0.150,192,60,670,162,2,2,0.0,ERR:0,30.6,23.7,22.9,22.2,0,0,100,
15,0113,6/7/2021 3:45:06 PM ,5412,20.909,20.725,0.183,0.1,3864,0.055,0.194,0.139,0.1,0.714,25.4,0.894,75.00,STABLE / OPEN,0.00,0.40,0.000,0.150,406,153,628,266,51,2,0.0,ERR:0,31.4,23.6,22.8,22.2,0,0,100,
16,0113,6/7/2021 3:50:46 PM ,5371,20.909,20.727,0.182,0.2,3783,0.055,0.192,0.136,0.1,0.704,25.2,0.893,75.00,STABLE / OPEN,0.00,0.40,0.042,0.192,108,0,410,9,0,2,0.0,ERR:0,31.9,23.7,22.6,22.2,0,0,100,
17,0113,6/7/2021 3:56:26 PM ,5112,20.909,20.737,0.172,0.2,3481,0.055,0.180,0.125,0.1,0.681,23.8,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.192,131,0,168,21,0,1,0.0,ERR:0,31.2,23.7,22.3,22.2,0,0,100,
18,0113,6/7/2021 4:02:06 PM ,4411,20.909,20.759,0.150,0.2,3183,0.054,0.168,0.115,0.1,0.722,20.7,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.192,269,0,11,0,0,1,0.0,ERR:0,31.0,23.7,22.3,22.2,0,0,100,
19,0113,6/7/2021 4:07:46 PM ,4307,20.909,20.762,0.146,0.2,3125,0.053,0.166,0.113,0.1,0.726,20.3,0.892,75.00,STABLE / OPEN,0.00,0.40,0.000,0.192,51,0,30,0,0,1,0.0,ERR:0,30.8,23.7,22.4,22.2,0,0,100,
20,0113,6/7/2021 4:13:26 PM ,4022,20.909,20.772,0.136,0.2,2912,0.052,0.157,0.105,0.1,0.724,18.9,0.894,75.00,STABLE / OPEN,0.00,0.40,0.000,0.192,9,0,62,6,0,1,0.0,ERR:0,30.6,23.7,22.6,22.2,0,0,100,
21,0113,6/7/2021 4:19:06 PM ,4016,20.909,20.772,0.136,0.2,2908,0.053,0.157,0.105,0.1,0.724,18.9,0.894,75.00,STABLE / OPEN,0.00,0.40,0.000,0.192,0,0,5,1,0,1,0.0,ERR:0,30.7,23.7,22.7,22.2,0,0,100,
22,0113,6/7/2021 4:24:46 PM ,3841,20.909,20.778,0.130,0.2,2770,0.053,0.153,0.100,0.1,0.721,18.1,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.192,0,0,0,0,0,2,0.0,ERR:0,30.7,23.7,22.8,22.2,0,0,100,
23,0113,6/7/2021 4:30:26 PM ,3965,20.909,20.774,0.134,0.2,2863,0.051,0.154,0.103,0.1,0.722,18.7,0.894,75.00,STABLE / OPEN,0.00,0.40,0.053,0.245,2,1,4,2,0,2,0.0,ERR:0,30.7,23.6,22.8,22.2,0,0,100,
24,0113,6/7/2021 4:36:06 PM ,3867,20.909,20.778,0.131,0.2,2748,0.052,0.151,0.099,0.2,0.711,18.1,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.245,20,0,70,27,0,2,0.0,ERR:0,30.8,23.7,22.9,22.2,0,0,100,
25,0113,6/7/2021 4:41:46 PM ,4052,20.909,20.771,0.137,0.2,2917,0.051,0.156,0.105,0.2,0.720,19.1,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.245,14,0,22,3,0,1,0.0,ERR:0,30.7,23.7,22.7,22.2,0,0,100,
26,0113,6/7/2021 4:47:26 PM ,3891,20.909,20.777,0.132,0.2,2783,0.051,0.151,0.100,0.2,0.715,18.3,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.245,0,0,2,0,0,2,0.0,ERR:0,30.6,23.6,22.6,22.2,0,0,100,
27,0113,6/7/2021 4:53:06 PM ,3967,20.909,20.774,0.135,0.2,2835,0.051,0.153,0.102,0.2,0.715,18.6,0.892,75.00,STABLE / OPEN,0.00,0.40,0.000,0.245,22,0,21,4,0,2,0.0,ERR:0,30.6,23.6,22.3,22.2,0,0,100,
28,0113,6/7/2021 4:58:46 PM ,3825,20.909,20.779,0.130,0.2,2735,0.051,0.150,0.099,0.2,0.715,18.0,0.893,75.00,STABLE / OPEN,0.00,0.40,0.000,0.245,0,0,159,3,0,2,0.0,ERR:0,30.7,23.7,22.3,22.2,0,0,100,
29,0113,6/7/2021 5:04:26 PM ,3699,20.909,20.783,0.126,0.3,2727,0.051,0.149,0.098,0.2,0.737,17.5,0.892,75.00,STABLE / OPEN,0.00,0.40,0.000,0.245,1,0,66,25,0,1,0.0,ERR:0,30.5,23.7,22.5,22.2,0,0,100,
30,0113,6/7/2021 5:10:06 PM ,4971,20.909,20.740,0.168,0.3,3573,0.051,0.180,0.129,0.2,0.719,23.4,0.894,75.00,STABLE / OPEN,0.05,0.45,0.000,0.245,272,96,715,199,15,1,0.0,ERR:0,31.4,23.7,22.6,22.2,0,0,100,
31,0113,6/7/2021 5:15:46 PM ,5391,20.909,20.728,0.180,0.3,3576,0.050,0.179,0.129,0.2,0.663,25.0,0.893,75.00,UNSTABLE / OPEN,0.04,0.49,0.042,0.287,456,276,742,368,43,0,0.0,ERR:0,31.4,23.6,22.7,22.2,0,0,100,
32,0113,6/7/2021 5:21:26 PM ,5358,20.909,20.728,0.180,0.3,3650,0.049,0.181,0.132,0.2,0.681,24.9,0.892,75.00,STABLE / OPEN,0.20,0.68,0.000,0.287,317,90,427,171,15,2,0.0,ERR:0,31.5,23.6,22.8,22.2,0,0,100,
33,0113,6/7/2021 5:27:06 PM ,5561,20.909,20.722,0.187,0.3,3777,0.051,0.187,0.136,0.2,0.679,25.9,0.893,75.00,STABLE / OPEN,0.00,0.68,0.032,0.319,585,336,1033,558,81,2,0.0,ERR:0,31.5,23.7,22.9,22.2,0,0,100,
34,0113,6/7/2021 5:32:46 PM ,5480,20.909,20.723,0.186,0.3,3904,0.049,0.190,0.141,0.2,0.712,25.7,0.892,75.00,STABLE / OPEN,0.00,0.68,0.070,0.389,608,392,903,494,62,1,0.0,ERR:0,32.2,23.6,22.6,22.2,0,0,100,
35,0113,6/7/2021 5:38:26 PM ,5400,20.909,20.726,0.182,0.3,3772,0.050,0.186,0.136,0.2,0.699,25.2,0.893,75.00,STABLE / OPEN,0.00,0.68,0.000,0.389,316,166,540,236,40,0,0.0,ERR:0,32.4,23.6,22.3,22.2,0,0,100,
36,0113,6/7/2021 5:44:06 PM ,5505,20.909,20.723,0.186,0.3,3855,0.049,0.188,0.139,0.2,0.700,25.8,0.894,75.00,UNSTABLE / OPEN,0.00,0.68,0.000,0.389,336,187,887,340,66,1,0.0,ERR:0,32.7,23.7,22.3,22.2,0,0,100,
37,0113,6/7/2021 5:49:46 PM ,5475,20.909,20.723,0.186,0.3,3916,0.049,0.191,0.141,0.2,0.715,25.7,0.891,75.00,UNSTABLE / OPEN,0.00,0.68,0.000,0.389,230,126,478,185,98,1,0.0,ERR:0,32.9,23.7,22.4,22.2,0,0,100,
38,0113,6/7/2021 5:55:26 PM ,5563,20.909,20.719,0.190,0.3,4183,0.051,0.201,0.151,0.2,0.752,26.4,0.894,75.00,STABLE / OPEN,0.00,0.68,0.246,0.635,369,181,639,280,52,1,0.0,ERR:0,33.2,23.7,22.5,22.2,0,0,100,
39,0113,6/7/2021 6:01:06 PM ,5623,20.909,20.714,0.194,0.3,4507,0.050,0.212,0.162,0.2,0.802,27.0,0.893,75.00,UNSTABLE / OPEN,0.03,0.71,0.000,0.635,1102,452,1046,630,61,1,0.0,ERR:0,33.1,23.7,22.6,22.2,0,0,0,
40,0113,6/7/2021 6:06:46 PM ,5802,20.909,20.708,0.201,0.4,4738,0.049,0.220,0.171,0.3,0.817,28.0,0.894,75.00,UNSTABLE / OPEN,0.00,0.71,0.000,0.635,641,370,1037,596,148,1,0.0,ERR:0,32.9,23.6,22.7,22.2,0,0,0,
41,0113,6/7/2021 6:12:26 PM ,5615,20.909,20.716,0.193,0.4,4405,0.050,0.208,0.159,0.3,0.784,26.8,0.894,75.00,STABLE / OPEN,0.00,0.71,0.000,0.635,310,35,620,118,9,0,0.0,ERR:0,33.5,23.6,22.7,22.2,0,0,0,
42,0113,6/7/2021 6:18:06 PM ,5941,20.909,20.704,0.205,0.4,4712,0.050,0.220,0.170,0.3,0.793,28.5,0.892,75.00,UNSTABLE / OPEN,0.00,0.71,0.000,0.635,538,327,869,493,91,0,0.0,ERR:0,33.4,23.6,22.7,22.2,0,0,0,
43,0113,6/7/2021 6:23:46 PM ,5842,20.909,20.708,0.201,0.4,4579,0.048,0.213,0.165,0.3,0.784,27.9,0.893,75.00,STABLE / OPEN,0.05,0.76,0.000,0.635,356,201,677,381,107,1,0.0,ERR:0,32.9,23.6,22.7,22.2,0,0,0,
44,0113,6/7/2021 6:29:26 PM ,5876,20.909,20.707,0.202,0.4,4551,0.048,0.212,0.164,0.3,0.774,28.0,0.893,75.00,UNSTABLE / OPEN,0.00,0.76,0.000,0.635,684,372,1023,586,79,1,0.0,ERR:0,33.0,23.5,22.7,22.2,0,0,0,
45,0113,6/7/2021 6:35:06 PM ,5996,20.909,20.702,0.206,0.4,4712,0.049,0.219,0.170,0.3,0.786,28.7,0.893,75.00,UNSTABLE / OPEN,0.10,0.87,0.000,0.635,383,201,691,378,57,1,0.0,ERR:0,33.2,23.5,22.7,22.2,0,0,0,
46,0113,6/7/2021 6:40:46 PM ,5947,20.909,20.703,0.206,0.4,4837,0.049,0.223,0.174,0.3,0.813,28.6,0.894,75.00,UNSTABLE / OPEN,0.00,0.87,0.071,0.705,477,236,697,345,38,1,0.0,ERR:0,33.5,23.5,22.7,22.2,0,0,0,
47,0113,6/7/2021 6:46:26 PM ,5961,20.909,20.701,0.207,0.4,4938,0.049,0.227,0.178,0.3,0.828,28.8,0.892,75.00,UNSTABLE / OPEN,0.00,0.87,0.000,0.705,428,217,920,496,79,1,0.0,ERR:0,33.2,23.5,22.7,22.2,0,0,0,
48,0113,6/7/2021 6:52:06 PM ,5875,20.909,20.705,0.204,0.4,4837,0.049,0.223,0.174,0.3,0.823,28.4,0.894,75.00,UNSTABLE / OPEN,0.04,0.91,0.067,0.772,362,222,621,322,50,1,0.0,ERR:0,33.4,23.5,22.8,22.2,0,0,0,
49,0113,6/7/2021 6:57:46 PM ,5977,20.909,20.700,0.208,0.5,5042,0.050,0.232,0.182,0.3,0.843,29.0,0.892,75.00,STABLE / OPEN,0.04,0.95,0.000,0.772,747,429,940,572,105,2,0.0,ERR:0,33.5,23.5,22.8,22.2,0,0,0,
50,0113,6/7/2021 7:03:26 PM ,5903,20.909,20.704,0.205,0.5,4877,0.049,0.225,0.175,0.3,0.826,28.5,0.894,75.00,STABLE / OPEN,0.00,0.95,0.000,0.772,404,206,517,263,38,1,0.0,ERR:0,33.8,23.5,22.8,22.2,0,0,0,
51,0113,6/7/2021 7:09:06 PM ,5672,20.909,20.712,0.196,0.5,4650,0.049,0.216,0.167,0.4,0.820,27.4,0.894,75.00,STABLE / OPEN,0.08,1.03,0.000,0.772,476,229,975,518,45,0,0.0,ERR:0,34.6,23.5,22.8,22.2,0,0,0,
52,0113,6/7/2021 7:14:46 PM ,5648,20.909,20.713,0.195,0.5,4543,0.050,0.214,0.164,0.4,0.804,27.1,0.892,75.00,STABLE / OPEN,0.00,1.03,0.000,0.772,152,50,408,100,155,0,0.0,ERR:0,34.4,23.5,22.8,22.2,0,0,0,
