RecNumber,Label,Fat.mass,Lean.mass,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments
1,2975,1.4,17.14,0.32,15.83,12:42:18; 7 Jun 2021; 75; ems,1,21.4,f/f
2,2974,1.76,17.52,0.1,16.06,12:47:29; 7 Jun 2021; 75; ems,1,21.5,f/f
3,3319,1.48,17.01,0.3,15.88,12:53:39; 7 Jun 2021; 75; ems,1,21.3,Cx3Cr1Cre
4,3371,1.84,16.19,0.14,14.75,12:59:14; 7 Jun 2021; 75; ems,1,20.1,f/f
5,3375,1.98,14.7,0.15,13.57,13:04:01; 7 Jun 2021; 75; ems,1,18.7,Cx3r1Cre
6,3318,2.27,16.45,0.12,14.89,13:08:57; 7 Jun 2021; 75; ems,1,21.1,Cx3Cr1Cre
7,3373,1.86,16.56,0.09,15.01,13:15:30; 7 Jun 2021; 75; ems,1,20.3,Cx3Cr1Cre
8,3467,1.39,15.29,0.09,13.87,13:21:29; 7 Jun 2021; 75; ems,1,18.5,mCre
9,3465,1.79,15.72,0.07,14.16,13:26:37; 7 Jun 2021; 75; ems,1,19.3,mCre
10,3466,1.47,16.21,0.12,14.76,13:31:54; 7 Jun 2021; 75; ems,1,19.4,mCre
11,3463,1.58,15.78,0.08,14.24,13:36:40; 7 Jun 2021; 75; ems,1,19.3,mCre
12,3464,1.38,16.13,0.09,14.67,13:41:51; 7 Jun 2021; 75; ems,1,19.3,f/f
13,n/a,2.21,15.45,0.23,14,13:47:12; 7 Jun 2021; 75; ems,1,19.2,KO
14,n/a,1.78,17.34,0.15,15.64,13:52:08; 7 Jun 2021; 75; ems,1,20.7,KO
15,n/a,1.37,15.53,0.05,13.91,13:57:21; 7 Jun 2021; 75; ems,1,18.2,KO
16,n/a,1.73,16.32,0.05,14.58,14:02:31; 7 Jun 2021; 75; ems,1,19.5,KO
