Oxymax CSV File 

CSV Generation Date,10/10/2022 9:17:01 AM 
Experiment Started,6/9/2021 10:33:28 AM
Data Filename,C:\Users\Brestoff Lab\Documents\Brestoff Lab\2021-06-09 Ucp1 mCre x3Cr1Cre and KO Restart.CDTA

Group/Cage,0112
O2 Calibration Date,8/16/2021 10:01:31 AM
CO2 Calibration Date,8/16/2021 10:01:31 AM
Subject ID,KO
Subject Mass (G), 18.2 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0112,6/9/2021 10:37:53 AM ,7251,20.911,20.677,0.233,0.0,5642,0.052,0.242,0.190,0.0,0.778,34.6,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,70,1,0,0,0.0,ERR:0,44.9,8.4,7.5,5.0,0,0,100,
2,0112,6/9/2021 10:43:33 AM ,7312,20.911,20.677,0.234,0.0,5565,0.056,0.243,0.188,0.0,0.761,34.7,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,199,6,0,0,0.0,ERR:0,45.1,8.6,9.0,5.0,0,0,100,
3,0112,6/9/2021 10:49:13 AM ,7149,20.911,20.683,0.228,0.0,5354,0.057,0.237,0.180,0.0,0.749,33.9,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,ERR:0,44.9,8.7,6.8,5.0,0,0,100,
4,0112,6/9/2021 10:54:53 AM ,7118,20.911,20.683,0.227,0.0,5417,0.055,0.237,0.182,0.0,0.761,33.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,41,9,0,0,0.0,ERR:0,45.2,8.4,6.0,5.0,0,0,100,
5,0112,6/9/2021 11:00:33 AM ,7211,20.911,20.680,0.231,0.0,5577,0.056,0.243,0.188,0.0,0.773,34.4,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,27,6,117,28,0,0,0.0,ERR:0,45.5,8.3,7.0,5.0,0,0,100,
6,0112,6/9/2021 11:06:13 AM ,7695,20.911,20.664,0.247,0.1,5952,0.057,0.258,0.201,0.0,0.773,36.7,0.901,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,185,28,383,122,26,0,0.0,ERR:0,46.6,8.5,8.6,5.0,0,0,100,
7,0112,6/9/2021 11:11:53 AM ,7606,20.911,20.667,0.244,0.1,5897,0.057,0.255,0.198,0.1,0.775,36.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,19,1,232,13,25,0,0.0,ERR:0,45.9,8.7,7.2,5.0,0,0,100,
8,0112,6/9/2021 11:17:33 AM ,7340,20.911,20.675,0.235,0.1,5689,0.056,0.248,0.191,0.1,0.775,35.0,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,283,13,0,0,0.0,ERR:0,45.9,8.5,6.2,5.0,0,0,100,
9,0112,6/9/2021 11:23:13 AM ,7046,20.911,20.685,0.225,0.1,5393,0.056,0.238,0.181,0.1,0.765,33.5,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,36,0,0,0,0.0,ERR:0,45.7,8.3,6.7,5.0,0,0,100,
10,0112,6/9/2021 11:28:53 AM ,6776,20.911,20.694,0.217,0.1,5135,0.058,0.231,0.173,0.1,0.758,32.2,0.901,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,126,0,0,0,0.0,ERR:0,45.7,8.4,8.2,5.0,0,0,100,
11,0112,6/9/2021 11:34:33 AM ,6649,20.911,20.698,0.213,0.1,5026,0.057,0.226,0.169,0.1,0.756,31.6,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,2,0,1074,145,0,0,0.0,ERR:0,45.6,8.7,7.4,5.0,0,0,100,
12,0112,6/9/2021 11:40:13 AM ,6814,20.911,20.693,0.217,0.1,5119,0.057,0.230,0.172,0.1,0.751,32.3,0.902,75.00,STABLE / OPEN,0.12,0.12,0.000,0.000,8,1,346,59,0,0,0.0,ERR:0,45.7,8.6,6.3,5.0,0,0,100,
13,0112,6/9/2021 11:45:53 AM ,6831,20.911,20.692,0.218,0.1,5254,0.056,0.233,0.177,0.1,0.769,32.5,0.903,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,0,0,336,2,0,0,0.0,ERR:0,45.7,8.3,6.5,5.0,0,0,100,
14,0112,6/9/2021 11:51:33 AM ,6870,20.911,20.690,0.220,0.2,5318,0.057,0.236,0.179,0.1,0.774,32.8,0.901,75.00,STABLE / OPEN,0.00,0.12,0.000,0.000,0,0,280,12,0,0,0.0,ERR:0,45.8,8.4,8.0,5.0,0,0,100,
15,0112,6/9/2021 11:57:13 AM ,7314,20.911,20.674,0.236,0.2,5853,0.056,0.254,0.197,0.1,0.800,35.1,0.900,75.00,UNSTABLE / OPEN,0.00,0.12,0.000,0.000,90,3,278,88,14,0,0.0,ERR:0,46.5,8.6,7.8,5.0,0,0,100,
16,0112,6/9/2021 12:02:53 PM ,7476,20.911,20.670,0.241,0.2,5928,0.056,0.256,0.200,0.1,0.793,35.8,0.901,75.00,UNSTABLE / OPEN,0.00,0.12,0.000,0.000,10,2,555,20,0,0,0.0,ERR:0,46.0,8.6,6.6,5.0,0,0,100,
17,0112,6/9/2021 12:08:33 PM ,7949,20.911,20.654,0.257,0.2,6463,0.056,0.273,0.217,0.2,0.813,38.3,0.902,75.00,UNSTABLE / OPEN,0.08,0.20,0.000,0.000,128,48,363,133,0,0,0.0,ERR:0,47.2,8.3,6.2,5.0,0,0,100,
18,0112,6/9/2021 12:14:13 PM ,8010,20.911,20.650,0.261,0.2,6729,0.055,0.282,0.227,0.2,0.840,38.8,0.901,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.000,90,28,516,154,1,0,0.0,ERR:0,48.1,8.4,7.7,5.0,0,0,100,
19,0112,6/9/2021 12:19:53 PM ,7603,20.911,20.664,0.246,0.2,6266,0.055,0.266,0.211,0.2,0.824,36.7,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,21,3,0,0,0.0,ERR:0,47.3,8.6,8.4,5.0,0,0,100,
20,0112,6/9/2021 12:25:33 PM ,7114,20.911,20.681,0.230,0.2,5751,0.055,0.249,0.193,0.2,0.809,34.2,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,25,0,0,0,0.0,ERR:0,46.7,8.6,6.6,5.0,0,0,100,
21,0112,6/9/2021 12:31:13 PM ,6817,20.911,20.691,0.220,0.2,5457,0.056,0.239,0.184,0.2,0.801,32.7,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,1,1,31,3,0,0,0.0,ERR:0,46.6,8.4,6.1,5.0,0,0,100,
22,0112,6/9/2021 12:36:53 PM ,6693,20.911,20.695,0.216,0.3,5335,0.055,0.235,0.180,0.2,0.797,32.1,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,8,0,0,0,0.0,ERR:0,46.5,8.3,7.5,5.0,0,0,100,
23,0112,6/9/2021 12:42:33 PM ,6587,20.911,20.697,0.213,0.3,5380,0.054,0.235,0.181,0.2,0.817,31.8,0.900,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,1,0,76,6,0,0,0.0,ERR:0,46.8,8.6,9.1,5.0,0,0,100,
24,0112,6/9/2021 12:48:13 PM ,6623,20.911,20.696,0.214,0.3,5369,0.053,0.234,0.181,0.2,0.811,31.9,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,9,0,21,3,0,0,0.0,ERR:0,46.6,8.6,6.8,5.0,0,0,100,
25,0112,6/9/2021 12:53:53 PM ,6534,20.911,20.700,0.211,0.3,5227,0.054,0.230,0.176,0.2,0.800,31.4,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,43,2,0,0,0.0,ERR:0,46.6,8.4,5.9,5.0,0,0,100,
26,0112,6/9/2021 12:59:33 PM ,6548,20.911,20.700,0.211,0.3,5194,0.054,0.229,0.175,0.2,0.793,31.4,0.901,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,26,0,0,0,0.0,ERR:0,46.6,8.2,7.1,5.0,0,0,100,
27,0112,6/9/2021 1:05:13 PM ,6597,20.911,20.697,0.213,0.3,5335,0.054,0.234,0.180,0.2,0.809,31.7,0.900,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,140,11,0,0,0.0,ERR:0,47.1,8.5,8.6,5.0,0,0,100,
28,0112,6/9/2021 1:10:53 PM ,6936,20.911,20.688,0.223,0.3,5484,0.054,0.238,0.184,0.3,0.791,33.2,0.902,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,89,2,0,0,0.0,ERR:0,46.7,8.6,7.0,5.0,0,0,100,
29,0112,6/9/2021 1:16:33 PM ,7529,20.911,20.667,0.244,0.3,6147,0.054,0.261,0.207,0.3,0.817,36.3,0.902,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.000,58,12,736,100,81,0,0.0,ERR:0,47.9,8.4,6.1,5.0,0,0,100,
30,0112,6/9/2021 1:22:13 PM ,7806,20.911,20.657,0.253,0.4,6503,0.054,0.273,0.219,0.3,0.833,37.8,0.902,75.00,UNSTABLE / OPEN,0.04,0.23,0.000,0.000,35,2,399,87,0,0,0.0,ERR:0,47.9,8.2,6.8,5.0,0,0,100,
31,0112,6/9/2021 1:27:53 PM ,7771,20.911,20.658,0.253,0.4,6489,0.054,0.273,0.219,0.3,0.835,37.6,0.900,75.00,STABLE / OPEN,0.09,0.32,0.000,0.000,8,1,281,11,0,0,0.0,ERR:0,47.4,8.4,8.4,5.0,0,0,100,
32,0112,6/9/2021 1:33:33 PM ,7829,20.911,20.656,0.255,0.4,6573,0.054,0.275,0.221,0.3,0.840,38.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.32,0.000,0.000,31,5,257,44,0,0,0.0,ERR:0,47.8,8.6,7.4,5.0,0,0,100,
33,0112,6/9/2021 1:39:13 PM ,7862,20.911,20.655,0.256,0.4,6695,0.054,0.279,0.225,0.3,0.852,38.2,0.903,75.00,STABLE / OPEN,0.11,0.43,0.000,0.000,68,30,421,94,0,0,0.0,ERR:0,48.2,8.5,6.3,5.0,0,0,100,
34,0112,6/9/2021 1:44:53 PM ,7618,20.911,20.661,0.249,0.4,6610,0.054,0.276,0.222,0.3,0.868,37.2,0.901,75.00,STABLE / OPEN,0.00,0.43,0.000,0.000,9,0,447,5,0,0,0.0,ERR:0,48.0,8.3,6.5,5.0,0,0,100,
35,0112,6/9/2021 1:50:33 PM ,7329,20.911,20.671,0.239,0.4,6270,0.054,0.265,0.211,0.3,0.855,35.7,0.900,75.00,STABLE / OPEN,0.00,0.43,0.000,0.000,9,1,307,16,0,0,0.0,ERR:0,48.1,8.4,8.1,5.0,0,0,100,
36,0112,6/9/2021 1:56:13 PM ,7092,20.911,20.678,0.232,0.4,6155,0.054,0.261,0.207,0.3,0.868,34.6,0.901,75.00,STABLE / OPEN,0.11,0.53,0.000,0.000,0,0,162,5,0,0,0.0,ERR:0,48.5,8.6,7.7,5.0,0,0,100,
37,0112,6/9/2021 2:01:53 PM ,7025,20.911,20.682,0.229,0.4,6012,0.055,0.257,0.202,0.4,0.856,34.2,0.902,75.00,STABLE / OPEN,0.00,0.53,0.000,0.000,23,4,122,40,7,0,0.0,ERR:0,48.4,8.6,6.5,5.0,0,0,100,
38,0112,6/9/2021 2:07:33 PM ,6903,20.911,20.686,0.225,0.5,5882,0.054,0.252,0.198,0.4,0.852,33.6,0.902,75.00,STABLE / OPEN,0.00,0.53,0.000,0.000,0,0,165,7,0,0,0.0,ERR:0,48.5,8.3,6.2,5.0,0,0,100,
39,0112,6/9/2021 2:13:13 PM ,6966,20.911,20.684,0.227,0.5,5915,0.054,0.253,0.199,0.4,0.849,33.9,0.901,75.00,STABLE / OPEN,0.09,0.62,0.000,0.000,135,1,431,2,0,0,0.0,ERR:0,48.5,8.3,7.7,5.0,0,0,100,
40,0112,6/9/2021 2:18:53 PM ,6896,20.911,20.686,0.224,0.5,5740,0.053,0.247,0.193,0.4,0.832,33.4,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,19,0,974,0,0,0,0.0,ERR:0,48.4,8.6,8.4,5.0,0,0,100,
41,0112,6/9/2021 2:24:33 PM ,6721,20.911,20.693,0.218,0.5,5539,0.055,0.241,0.186,0.4,0.824,32.5,0.903,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,4,0,0,0,0,0,0.0,ERR:0,48.3,8.6,6.7,5.0,0,0,100,
42,0112,6/9/2021 2:30:13 PM ,7025,20.911,20.683,0.228,0.5,5811,0.054,0.250,0.195,0.4,0.827,34.0,0.902,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,33,13,188,76,0,0,0.0,ERR:0,49.3,8.3,6.0,5.0,0,0,100,
43,0112,6/9/2021 2:35:53 PM ,7275,20.911,20.674,0.237,0.5,6115,0.054,0.260,0.206,0.4,0.841,35.3,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,15,5,390,51,0,0,0.0,ERR:0,48.9,8.3,7.4,5.0,0,0,100,
44,0112,6/9/2021 2:41:33 PM ,7022,20.911,20.682,0.229,0.5,5921,0.052,0.251,0.199,0.4,0.843,34.1,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,0,0,80,0,0,0,0.0,ERR:0,48.7,8.5,9.0,5.0,0,0,100,
45,0112,6/9/2021 2:47:13 PM ,6849,20.911,20.689,0.222,0.5,5661,0.055,0.245,0.190,0.4,0.827,33.1,0.902,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,0,0,449,0,0,0,0.0,ERR:0,48.5,8.6,6.8,5.0,0,0,100,
46,0112,6/9/2021 2:52:53 PM ,7242,20.911,20.676,0.235,0.6,6022,0.054,0.257,0.202,0.4,0.832,35.0,0.903,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.000,24,0,397,27,0,0,0.0,ERR:0,49.1,8.4,5.9,5.0,0,0,100,
47,0112,6/9/2021 2:58:33 PM ,7481,20.911,20.668,0.243,0.6,6186,0.055,0.263,0.208,0.5,0.827,36.2,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,18,7,167,36,8,0,0.0,ERR:0,48.8,8.3,7.1,5.0,0,0,100,
48,0112,6/9/2021 3:04:13 PM ,7107,20.911,20.679,0.231,0.6,6006,0.054,0.256,0.202,0.5,0.845,34.5,0.902,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,0,0,20,1,0,0,0.0,ERR:0,48.5,8.5,8.7,5.0,0,0,100,
49,0112,6/9/2021 3:09:53 PM ,6839,20.911,20.687,0.223,0.6,5781,0.055,0.250,0.195,0.5,0.845,33.2,0.900,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,0,0,11,0,0,0,0.0,ERR:0,48.3,8.7,7.0,5.0,0,0,100,
50,0112,6/9/2021 3:15:33 PM ,6476,20.911,20.701,0.210,0.6,5377,0.055,0.235,0.181,0.5,0.830,31.3,0.903,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.000,31,5,140,19,0,0,0.0,ERR:0,48.4,8.5,6.1,5.0,0,0,100,
51,0112,6/9/2021 3:21:13 PM ,7006,20.911,20.683,0.228,0.6,5865,0.054,0.251,0.197,0.5,0.837,34.0,0.902,75.00,UNSTABLE / OPEN,0.00,0.62,0.000,0.000,5,0,1085,2,0,0,0.0,ERR:0,48.7,8.2,6.8,5.0,0,0,100,
52,0112,6/9/2021 3:26:53 PM ,7526,20.911,20.665,0.245,0.6,6366,0.055,0.269,0.214,0.5,0.846,36.6,0.901,75.00,STABLE / OPEN,0.00,0.62,0.000,0.000,46,14,588,91,0,0,0.0,ERR:0,49.7,8.4,8.3,5.0,0,0,100,
53,0112,6/9/2021 3:32:33 PM ,7746,20.911,20.658,0.252,0.6,6632,0.055,0.278,0.223,0.5,0.856,37.7,0.903,75.00,STABLE / OPEN,0.13,0.75,0.000,0.000,50,9,531,76,5,0,0.0,ERR:0,49.6,8.6,7.3,5.0,0,0,100,
