Oxymax CSV File 

CSV Generation Date,10/10/2022 8:44:38 AM 
Experiment Started,10/1/2021 3:46:58 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-10-01 RG mCre AdipoCre cold snap.CDTA

Group/Cage,0102
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,4606
Subject Mass (G), 27.8 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0102,10/1/2021 3:48:01 PM ,8148,20.911,20.502,0.409,0.0,7292,0.073,0.447,0.374,0.0,0.895,40.1,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,24,3,26,5,5,0,0.0,0.0,54.4,31.6,30.3,30.0,0,0,0,
2,0102,10/1/2021 3:53:41 PM ,5871,20.911,20.617,0.293,0.0,5142,0.077,0.340,0.264,0.0,0.876,28.7,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,181,81,502,222,25,0,0.0,0.0,54.3,31.6,29.1,22.2,0,0,100,
3,0102,10/1/2021 3:59:21 PM ,4718,20.911,20.677,0.234,0.0,3961,0.075,0.278,0.203,0.0,0.840,22.9,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,127,27,337,67,24,0,0.0,0.0,54.1,31.3,27.1,22.2,0,0,100,
4,0102,10/1/2021 4:05:01 PM ,4109,20.911,20.709,0.202,0.0,3304,0.073,0.243,0.169,0.0,0.804,19.7,0.904,75.00,STABLE / OPEN,0.00,0.00,0.092,0.092,68,0,256,42,8,1,0.0,0.0,54.4,30.6,25.5,22.2,0,0,100,
5,0102,10/1/2021 4:10:41 PM ,3810,20.911,20.723,0.187,0.1,3053,0.070,0.227,0.157,0.0,0.801,18.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,130,44,295,112,9,1,0.0,0.0,54.4,29.8,24.0,22.2,0,0,100,
6,0102,10/1/2021 4:16:21 PM ,3887,20.911,20.721,0.189,0.1,2971,0.071,0.223,0.152,0.1,0.764,18.5,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,162,0,366,73,0,0,0.0,0.0,55.0,28.8,22.5,22.2,0,0,100,
7,0102,10/1/2021 4:22:01 PM ,3609,20.911,20.734,0.177,0.1,2834,0.068,0.213,0.145,0.1,0.785,17.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,99,38,251,80,16,1,0.0,0.0,55.3,27.8,22.5,22.2,0,0,100,
8,0102,10/1/2021 4:27:41 PM ,3671,20.911,20.733,0.178,0.1,2714,0.067,0.206,0.139,0.1,0.739,17.3,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,114,3,321,99,19,1,0.0,0.0,55.4,26.9,22.7,22.2,0,0,100,
9,0102,10/1/2021 4:33:21 PM ,3152,20.911,20.759,0.152,0.1,2198,0.065,0.177,0.113,0.1,0.697,14.7,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,5,2,173,2,0,1,0.0,0.0,55.1,26.2,22.8,22.2,0,0,100,
10,0102,10/1/2021 4:39:01 PM ,3420,20.911,20.746,0.165,0.1,2445,0.064,0.189,0.126,0.1,0.715,16.1,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,128,14,243,40,6,0,0.0,0.0,55.2,25.8,22.5,22.2,0,0,100,
11,0102,10/1/2021 4:44:41 PM ,3578,20.911,20.738,0.173,0.1,2547,0.061,0.192,0.131,0.1,0.712,16.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,87,18,162,51,1,1,0.0,0.0,55.3,25.3,22.3,22.2,0,0,100,
12,0102,10/1/2021 4:50:21 PM ,3855,20.911,20.725,0.186,0.1,2757,0.063,0.204,0.141,0.1,0.715,18.1,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,70,17,179,55,4,0,0.0,0.0,54.7,25.1,24.0,30.0,0,0,100,
13,0102,10/1/2021 4:56:01 PM ,3977,20.911,20.717,0.194,0.1,3010,0.061,0.215,0.154,0.1,0.757,18.9,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,158,42,305,83,12,1,0.0,0.0,54.7,25.4,25.8,30.0,0,0,100,
14,0102,10/1/2021 5:01:41 PM ,3956,20.911,20.718,0.193,0.1,3005,0.062,0.216,0.154,0.1,0.760,18.8,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,147,59,403,80,0,0,0.0,0.0,54.0,26.2,27.3,30.0,0,0,100,
15,0102,10/1/2021 5:07:21 PM ,3968,20.911,20.716,0.194,0.2,3102,0.062,0.222,0.159,0.1,0.782,19.0,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,164,37,284,99,6,0,0.0,0.0,53.2,27.1,28.6,30.0,0,0,100,
16,0102,10/1/2021 5:13:01 PM ,3823,20.911,20.722,0.189,0.2,3140,0.060,0.221,0.161,0.1,0.821,18.5,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,164,46,349,91,11,0,0.0,0.0,53.0,28.1,29.5,30.0,0,0,100,
17,0102,10/1/2021 5:18:41 PM ,3687,20.911,20.729,0.182,0.2,2993,0.058,0.212,0.154,0.1,0.812,17.8,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.092,146,2,261,9,0,0,0.0,0.0,52.5,29.0,30.2,30.0,0,0,100,
18,0102,10/1/2021 5:24:21 PM ,3088,20.911,20.760,0.150,0.2,2324,0.059,0.178,0.119,0.1,0.753,14.6,0.903,75.00,STABLE / OPEN,0.00,0.00,0.446,0.538,27,0,56,0,0,0,0.0,0.0,52.0,29.9,30.6,30.0,0,0,100,
19,0102,10/1/2021 5:30:01 PM ,2533,20.911,20.786,0.125,0.2,2066,0.058,0.164,0.106,0.1,0.816,12.2,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,0,0,2,0,0,0,0.0,0.0,51.4,30.5,30.5,30.0,0,0,100,
20,0102,10/1/2021 5:35:41 PM ,2225,20.911,20.801,0.110,0.2,1821,0.057,0.151,0.093,0.2,0.819,10.7,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,0,0,0,0,0,0,0.0,0.0,51.2,31.0,30.2,30.0,0,0,100,
21,0102,10/1/2021 5:41:21 PM ,2073,20.911,20.808,0.102,0.2,1686,0.057,0.144,0.087,0.2,0.813,10.0,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,2,1,27,0,0,1,0.0,0.0,51.2,31.2,30.6,30.0,0,0,100,
22,0102,10/1/2021 5:47:01 PM ,1965,20.911,20.814,0.097,0.2,1598,0.056,0.138,0.082,0.2,0.813,9.5,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,4,0,4,1,0,1,0.0,0.0,51.2,31.4,30.5,30.0,0,0,100,
23,0102,10/1/2021 5:52:41 PM ,1931,20.911,20.816,0.095,0.2,1532,0.056,0.134,0.079,0.2,0.793,9.3,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,0,0,6,0,0,0,0.0,0.0,51.1,31.6,30.2,30.0,0,0,100,
24,0102,10/1/2021 5:58:21 PM ,1884,20.911,20.819,0.092,0.2,1461,0.055,0.130,0.075,0.2,0.776,9.0,0.904,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,0,0,5,1,0,0,0.0,0.0,51.1,31.7,30.1,30.0,0,0,100,
25,0102,10/1/2021 6:04:01 PM ,1915,20.911,20.817,0.094,0.2,1475,0.056,0.131,0.076,0.2,0.770,9.1,0.902,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,7,1,15,3,0,0,0.0,0.0,50.9,31.7,30.5,30.0,0,0,0,
26,0102,10/1/2021 6:09:41 PM ,1907,20.911,20.818,0.093,0.2,1461,0.054,0.129,0.075,0.2,0.766,9.1,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,2,0,5,2,0,0,0.0,0.0,51.4,31.7,30.2,30.0,0,0,0,
27,0102,10/1/2021 6:15:21 PM ,1869,20.911,20.819,0.091,0.2,1456,0.053,0.128,0.075,0.2,0.779,8.9,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,2,0,13,1,0,0,0.0,0.0,51.5,31.7,30.6,30.0,0,0,0,
28,0102,10/1/2021 6:21:01 PM ,2381,20.911,20.794,0.117,0.2,1889,0.054,0.151,0.097,0.2,0.794,11.4,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,108,25,319,41,16,0,0.0,0.0,51.9,31.6,30.4,30.0,0,0,0,
29,0102,10/1/2021 6:26:41 PM ,2739,20.911,20.776,0.135,0.2,2172,0.053,0.164,0.112,0.2,0.793,13.1,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,172,55,507,237,40,0,0.0,0.0,51.7,31.6,30.2,30.0,0,0,0,
30,0102,10/1/2021 6:32:21 PM ,3139,20.911,20.759,0.152,0.3,2298,0.053,0.171,0.118,0.2,0.732,14.8,0.903,75.00,STABLE / OPEN,0.00,0.00,0.000,0.538,155,38,347,143,25,0,0.0,0.0,52.5,31.6,30.5,30.0,0,0,0,
31,0102,10/1/2021 6:38:01 PM ,3279,20.911,20.752,0.159,0.3,2434,0.052,0.177,0.125,0.2,0.742,15.5,0.904,75.00,STABLE / OPEN,0.44,0.44,0.000,0.538,178,41,410,122,0,0,0.0,0.0,52.5,31.5,30.1,30.0,0,0,0,
32,0102,10/1/2021 6:43:41 PM ,3226,20.911,20.753,0.157,0.3,2469,0.053,0.179,0.127,0.2,0.765,15.3,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,0.538,195,67,398,100,10,0,0.0,0.0,52.6,31.5,30.6,30.0,0,0,0,
33,0102,10/1/2021 6:49:21 PM ,3282,20.911,20.751,0.160,0.3,2480,0.053,0.180,0.127,0.2,0.756,15.6,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,0.538,198,42,445,171,0,0,0.0,0.0,52.7,31.5,30.3,30.0,0,0,0,
34,0102,10/1/2021 6:55:01 PM ,3367,20.911,20.748,0.163,0.3,2450,0.052,0.178,0.126,0.2,0.728,15.9,0.904,75.00,STABLE / OPEN,0.00,0.44,0.820,1.358,158,47,284,99,14,0,0.0,0.0,53.2,31.5,30.7,30.0,0,0,0,
35,0102,10/1/2021 7:00:41 PM ,3214,20.911,20.755,0.156,0.3,2355,0.052,0.173,0.121,0.2,0.733,15.2,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,111,23,511,227,83,0,0.0,0.0,52.6,31.5,30.4,30.0,0,0,0,
36,0102,10/1/2021 7:06:21 PM ,3140,20.911,20.756,0.154,0.3,2480,0.052,0.179,0.127,0.2,0.790,15.0,0.902,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,146,43,408,195,36,0,0.0,0.0,52.6,31.5,30.0,30.0,0,0,0,
37,0102,10/1/2021 7:12:01 PM ,3210,20.911,20.753,0.157,0.3,2545,0.050,0.181,0.130,0.2,0.793,15.4,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,196,3,283,44,0,0,0.0,0.0,53.9,31.5,30.5,30.0,0,0,0,
38,0102,10/1/2021 7:17:41 PM ,3229,20.911,20.753,0.157,0.3,2465,0.053,0.179,0.126,0.2,0.763,15.4,0.903,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,176,48,476,145,4,0,0.0,0.0,52.4,31.5,30.2,30.0,0,0,0,
39,0102,10/1/2021 7:23:21 PM ,2959,20.911,20.766,0.145,0.3,2335,0.052,0.172,0.120,0.3,0.789,14.2,0.903,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,124,33,377,175,1,0,0.0,0.0,52.2,31.5,30.6,30.0,0,0,0,
40,0102,10/1/2021 7:29:01 PM ,2578,20.911,20.784,0.126,0.3,2019,0.052,0.155,0.104,0.3,0.783,12.3,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,27,15,72,50,3,0,0.0,0.0,51.7,31.5,30.3,30.0,0,0,0,
41,0102,10/1/2021 7:34:41 PM ,2256,20.911,20.801,0.110,0.3,1738,0.052,0.141,0.089,0.3,0.770,10.7,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,0,0,17,10,0,0,0.0,0.0,51.5,31.5,30.4,30.0,0,0,0,
42,0102,10/1/2021 7:40:21 PM ,2084,20.911,20.809,0.102,0.3,1597,0.052,0.134,0.082,0.3,0.766,9.9,0.903,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,1,1,6,2,0,0,0.0,0.0,51.2,31.4,30.4,30.0,0,0,0,
43,0102,10/1/2021 7:46:01 PM ,2537,20.911,20.786,0.125,0.4,2064,0.050,0.156,0.106,0.3,0.814,12.2,0.903,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,184,42,475,190,86,0,0.0,0.0,51.7,31.5,30.0,30.0,0,0,0,
44,0102,10/1/2021 7:51:41 PM ,2765,20.911,20.776,0.135,0.4,2107,0.051,0.159,0.108,0.3,0.762,13.1,0.903,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,191,65,479,216,88,0,0.0,0.0,51.5,31.5,30.5,30.0,0,0,0,
45,0102,10/1/2021 7:57:21 PM ,3045,20.911,20.763,0.147,0.4,2221,0.052,0.166,0.114,0.3,0.729,14.4,0.904,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,81,24,207,48,0,0,0.0,0.0,51.5,31.5,30.1,30.0,0,0,0,
46,0102,10/1/2021 8:03:01 PM ,3178,20.911,20.757,0.154,0.4,2324,0.051,0.170,0.119,0.3,0.731,15.0,0.903,75.00,STABLE / OPEN,0.00,0.44,0.000,1.358,124,30,259,92,3,0,0.0,0.0,51.5,31.5,30.6,30.0,0,0,0,
47,0102,10/1/2021 8:08:41 PM ,3422,20.911,20.745,0.166,0.4,2510,0.049,0.178,0.129,0.3,0.733,16.1,0.903,75.00,STABLE / OPEN,0.00,0.44,0.165,1.523,147,10,408,116,34,0,0.0,0.0,51.5,31.5,30.3,30.0,0,0,0,
48,0102,10/1/2021 8:14:21 PM ,3337,20.911,20.749,0.162,0.4,2410,0.051,0.175,0.124,0.3,0.722,15.7,0.901,75.00,STABLE / OPEN,0.00,0.44,0.000,1.523,78,15,297,72,20,0,0.0,0.0,51.5,31.5,30.7,30.0,0,0,0,
49,0102,10/1/2021 8:20:01 PM ,3336,20.911,20.750,0.161,0.4,2431,0.051,0.175,0.124,0.3,0.729,15.7,0.905,75.00,STABLE / OPEN,0.17,0.61,0.000,1.523,193,49,477,156,13,0,0.0,0.0,52.0,31.5,30.4,30.0,0,0,0,
50,0102,10/1/2021 8:25:41 PM ,3419,20.911,20.742,0.168,0.4,2759,0.049,0.191,0.142,0.3,0.807,16.4,0.903,75.00,STABLE / OPEN,0.00,0.61,0.000,1.523,109,36,399,125,14,0,0.0,0.0,51.1,31.6,30.3,30.0,0,0,0,
51,0102,10/1/2021 8:31:21 PM ,3416,20.911,20.743,0.168,0.4,2740,0.050,0.191,0.141,0.3,0.802,16.4,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,1.523,175,30,513,142,4,0,0.0,0.0,51.1,31.5,30.5,30.0,0,0,0,
52,0102,10/1/2021 8:37:01 PM ,3243,20.911,20.751,0.160,0.4,2613,0.051,0.185,0.134,0.3,0.806,15.6,0.902,75.00,STABLE / OPEN,0.00,0.61,0.000,1.523,127,33,314,118,1,0,0.0,0.0,50.9,31.6,30.0,30.0,0,0,0,
53,0102,10/1/2021 8:42:41 PM ,3226,20.911,20.751,0.159,0.4,2657,0.051,0.187,0.136,0.3,0.824,15.6,0.904,75.00,STABLE / OPEN,0.00,0.61,0.000,1.523,106,39,395,203,16,0,0.0,0.0,51.2,31.5,30.6,30.0,0,0,0,
54,0102,10/1/2021 8:48:21 PM ,3250,20.911,20.749,0.162,0.4,2763,0.051,0.193,0.142,0.3,0.850,15.8,0.903,75.00,STABLE / OPEN,0.00,0.61,0.000,1.523,218,82,527,225,131,0,0.0,0.0,51.2,31.5,30.2,30.0,0,0,0,
