Oxymax CSV File 

CSV Generation Date,10/10/2022 8:44:53 AM 
Experiment Started,10/1/2021 3:46:58 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-10-01 RG mCre AdipoCre cold snap.CDTA

Group/Cage,0109
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,KO 3
Subject Mass (G), 26 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0109,10/1/2021 3:50:21 PM ,12186,20.911,20.337,0.574,0.0,10939,0.073,0.600,0.527,0.0,0.898,60.0,0.900,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,600,416,842,531,62,67,0.0,0.0,63.1,30.9,30.5,22.2,0,0,100,
2,0109,10/1/2021 3:56:01 PM ,8100,20.911,20.530,0.380,0.0,7104,0.077,0.419,0.342,0.0,0.877,39.7,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,673,412,1177,645,79,69,0.0,0.0,62.1,30.7,28.3,22.2,0,0,100,
3,0109,10/1/2021 4:01:41 PM ,6100,20.911,20.625,0.285,0.0,5252,0.075,0.328,0.253,0.0,0.861,29.7,0.899,75.00,UNSTABLE / OPEN,0.11,0.11,0.202,0.202,294,155,438,232,58,62,0.0,0.0,60.8,29.9,26.4,22.2,0,0,100,
4,0109,10/1/2021 4:07:21 PM ,5008,20.911,20.677,0.234,0.1,4231,0.073,0.277,0.204,0.0,0.845,24.3,0.899,75.00,STABLE / OPEN,0.00,0.11,0.384,0.586,593,275,716,341,36,71,0.0,0.0,59.1,28.9,24.8,22.2,0,0,100,
5,0109,10/1/2021 4:13:01 PM ,4469,20.911,20.702,0.208,0.1,3762,0.070,0.252,0.181,0.1,0.842,21.7,0.899,75.00,STABLE / OPEN,0.00,0.11,0.402,0.988,476,300,869,452,18,70,0.0,0.0,58.3,27.6,23.3,22.2,0,0,100,
6,0109,10/1/2021 4:18:41 PM ,4610,20.911,20.697,0.214,0.1,3770,0.071,0.252,0.182,0.1,0.818,22.2,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,0.988,689,407,1180,597,32,74,0.0,0.0,57.9,26.4,22.8,22.2,0,0,100,
7,0109,10/1/2021 4:24:21 PM ,4622,20.911,20.695,0.216,0.1,3971,0.068,0.259,0.191,0.1,0.859,22.5,0.900,75.00,STABLE / OPEN,0.00,0.11,0.033,1.021,269,143,441,168,6,71,0.0,0.0,58.9,25.3,22.8,22.2,0,0,100,
8,0109,10/1/2021 4:30:01 PM ,4485,20.911,20.703,0.208,0.1,3655,0.067,0.243,0.176,0.1,0.815,21.6,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.021,205,91,548,191,7,75,0.0,0.0,59.4,24.6,22.4,22.2,0,0,100,
9,0109,10/1/2021 4:35:41 PM ,4394,20.911,20.707,0.204,0.1,3648,0.065,0.240,0.176,0.1,0.830,21.3,0.900,75.00,STABLE / OPEN,0.00,0.11,0.047,1.068,390,276,605,332,32,72,0.0,0.0,59.7,24.1,22.4,22.2,0,0,100,
10,0109,10/1/2021 4:41:21 PM ,4324,20.911,20.710,0.201,0.1,3560,0.064,0.235,0.171,0.1,0.823,20.9,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,268,82,683,163,0,75,0.0,0.0,60.3,23.7,22.6,22.2,0,0,100,
11,0109,10/1/2021 4:47:01 PM ,4152,20.911,20.718,0.192,0.1,3401,0.061,0.225,0.164,0.1,0.819,20.0,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,111,31,288,75,0,66,0.0,0.0,60.7,23.4,22.9,30.0,0,0,100,
12,0109,10/1/2021 4:52:41 PM ,3734,20.911,20.740,0.171,0.1,2844,0.063,0.200,0.137,0.1,0.762,17.7,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,85,40,233,45,1,51,0.0,0.0,61.3,23.6,24.8,30.0,0,0,100,
13,0109,10/1/2021 4:58:21 PM ,3955,20.911,20.729,0.182,0.2,3114,0.061,0.211,0.150,0.1,0.787,18.9,0.899,75.00,UNSTABLE / OPEN,0.00,0.11,0.000,1.068,360,169,554,244,33,61,0.0,0.0,63.2,24.4,26.4,30.0,0,0,100,
14,0109,10/1/2021 5:04:01 PM ,4279,20.911,20.714,0.196,0.2,3302,0.062,0.221,0.159,0.1,0.772,20.4,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,560,326,791,426,77,64,0.0,0.0,64.5,25.5,27.9,30.0,0,0,100,
15,0109,10/1/2021 5:09:41 PM ,4128,20.911,20.723,0.188,0.2,3021,0.062,0.208,0.146,0.1,0.732,19.5,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,244,102,528,198,17,56,0.0,0.0,64.7,26.7,29.0,30.0,0,0,100,
16,0109,10/1/2021 5:15:21 PM ,3781,20.911,20.738,0.172,0.2,2808,0.060,0.195,0.135,0.2,0.743,17.9,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,70,49,267,101,0,58,0.0,0.0,65.0,28.0,29.8,30.0,0,0,100,
17,0109,10/1/2021 5:21:01 PM ,3095,20.911,20.769,0.142,0.2,2392,0.058,0.174,0.115,0.2,0.773,14.8,0.901,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,0,0,124,1,0,55,0.0,0.0,64.2,29.0,30.5,30.0,0,0,100,
18,0109,10/1/2021 5:26:41 PM ,2661,20.911,20.788,0.123,0.2,2116,0.059,0.161,0.102,0.2,0.795,12.8,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,11,1,168,25,0,60,0.0,0.0,63.5,29.7,30.0,30.0,0,0,100,
19,0109,10/1/2021 5:32:21 PM ,2453,20.911,20.798,0.113,0.2,1911,0.058,0.150,0.092,0.2,0.779,11.7,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,1159,38,315,52,0,56,0.0,0.0,62.4,30.2,30.7,30.0,0,0,100,
20,0109,10/1/2021 5:38:01 PM ,2230,20.911,20.808,0.103,0.2,1770,0.057,0.143,0.085,0.2,0.794,10.7,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,0,0,188,25,0,59,0.0,0.0,61.6,30.5,30.5,30.0,0,0,100,
21,0109,10/1/2021 5:43:41 PM ,2116,20.911,20.813,0.098,0.2,1693,0.057,0.139,0.082,0.2,0.800,10.2,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,0,0,248,39,0,61,0.0,0.0,61.0,30.6,30.1,30.0,0,0,100,
22,0109,10/1/2021 5:49:21 PM ,1996,20.911,20.818,0.093,0.2,1649,0.056,0.135,0.079,0.2,0.826,9.6,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,0,0,157,32,0,53,0.0,0.0,60.3,30.8,30.6,30.0,0,0,100,
23,0109,10/1/2021 5:55:01 PM ,2025,20.911,20.817,0.094,0.2,1624,0.056,0.134,0.078,0.2,0.802,9.7,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,0,0,20,7,0,58,0.0,0.0,59.9,30.8,30.5,30.0,0,0,100,
24,0109,10/1/2021 6:00:41 PM ,2398,20.911,20.799,0.111,0.2,1987,0.055,0.151,0.096,0.2,0.829,11.6,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,169,76,215,104,16,60,0.0,0.0,59.9,30.8,30.3,30.0,0,0,0,
25,0109,10/1/2021 6:06:21 PM ,3115,20.911,20.767,0.144,0.2,2514,0.056,0.177,0.121,0.2,0.807,15.0,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,504,224,778,399,88,59,0.0,0.0,59.9,30.8,30.6,30.0,0,0,0,
26,0109,10/1/2021 6:12:01 PM ,3515,20.911,20.751,0.160,0.2,2555,0.054,0.177,0.123,0.2,0.727,16.6,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,471,235,687,278,48,61,0.0,0.0,59.3,30.9,30.4,30.0,0,0,0,
27,0109,10/1/2021 6:17:41 PM ,3085,20.911,20.770,0.141,0.3,2348,0.053,0.166,0.113,0.2,0.761,14.7,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,78,50,131,56,1,55,0.0,0.0,59.1,30.9,30.0,30.0,0,0,0,
28,0109,10/1/2021 6:23:21 PM ,3031,20.911,20.772,0.139,0.3,2296,0.054,0.165,0.111,0.2,0.758,14.4,0.900,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,47,1,206,36,1,61,0.0,0.0,58.9,30.9,30.5,30.0,0,0,0,
29,0109,10/1/2021 6:29:01 PM ,3352,20.911,20.757,0.154,0.3,2577,0.053,0.177,0.124,0.2,0.769,16.0,0.899,75.00,STABLE / OPEN,0.00,0.11,0.000,1.068,327,139,661,318,78,65,0.0,0.0,59.4,30.9,30.2,30.0,0,0,0,
30,0109,10/1/2021 6:34:41 PM ,3629,20.911,20.744,0.166,0.3,2800,0.053,0.188,0.135,0.2,0.772,17.3,0.900,75.00,STABLE / OPEN,0.07,0.18,0.000,1.068,421,176,540,293,72,60,0.0,0.0,59.3,30.9,30.7,30.0,0,0,0,
31,0109,10/1/2021 6:40:21 PM ,3691,20.911,20.741,0.170,0.3,2895,0.052,0.191,0.139,0.2,0.784,17.6,0.901,75.00,UNSTABLE / OPEN,0.00,0.18,0.000,1.068,246,102,445,161,23,67,0.0,0.0,59.4,30.9,30.4,30.0,0,0,0,
32,0109,10/1/2021 6:46:01 PM ,3839,20.911,20.734,0.177,0.3,3074,0.053,0.201,0.148,0.2,0.801,18.4,0.900,75.00,UNSTABLE / OPEN,0.05,0.23,0.000,1.068,322,175,513,233,34,63,0.0,0.0,59.4,30.9,30.3,30.0,0,0,0,
33,0109,10/1/2021 6:51:41 PM ,3737,20.911,20.738,0.173,0.3,3034,0.053,0.199,0.146,0.2,0.812,18.0,0.900,75.00,STABLE / OPEN,0.04,0.27,0.000,1.068,217,84,435,184,16,65,0.0,0.0,58.9,30.9,30.5,30.0,0,0,0,
34,0109,10/1/2021 6:57:21 PM ,3883,20.911,20.730,0.180,0.3,3224,0.052,0.208,0.155,0.3,0.830,18.8,0.900,75.00,UNSTABLE / OPEN,0.00,0.27,0.000,1.068,192,87,291,102,39,66,0.0,0.0,59.3,30.9,30.0,30.0,0,0,0,
35,0109,10/1/2021 7:03:01 PM ,3816,20.911,20.733,0.178,0.3,3240,0.052,0.208,0.156,0.3,0.849,18.5,0.899,75.00,STABLE / OPEN,0.14,0.41,0.000,1.068,305,168,463,202,67,63,0.0,0.0,59.1,30.9,30.5,30.0,0,0,0,
36,0109,10/1/2021 7:08:41 PM ,3878,20.911,20.729,0.181,0.3,3344,0.052,0.213,0.161,0.3,0.862,18.9,0.900,75.00,UNSTABLE / OPEN,0.00,0.41,0.000,1.068,288,131,425,192,16,66,0.0,0.0,59.0,30.9,30.3,30.0,0,0,0,
37,0109,10/1/2021 7:14:21 PM ,3786,20.911,20.733,0.177,0.3,3277,0.050,0.208,0.158,0.3,0.866,18.5,0.900,75.00,STABLE / OPEN,0.00,0.41,0.000,1.068,223,59,431,161,6,61,0.0,0.0,58.5,30.9,30.6,30.0,0,0,0,
38,0109,10/1/2021 7:20:01 PM ,3676,20.911,20.740,0.171,0.4,3065,0.053,0.200,0.148,0.3,0.834,17.8,0.899,75.00,UNSTABLE / OPEN,0.07,0.47,0.000,1.068,34,6,232,35,13,56,0.0,0.0,58.6,30.9,30.4,30.0,0,0,0,
39,0109,10/1/2021 7:25:41 PM ,3270,20.911,20.759,0.151,0.4,2681,0.052,0.181,0.129,0.3,0.820,15.8,0.900,75.00,STABLE / OPEN,0.04,0.51,0.000,1.068,81,46,87,46,0,59,0.0,0.0,58.0,30.9,30.0,30.0,0,0,0,
40,0109,10/1/2021 7:31:21 PM ,2964,20.911,20.772,0.139,0.4,2592,0.052,0.177,0.125,0.3,0.874,14.5,0.900,75.00,STABLE / OPEN,0.00,0.51,0.000,1.068,56,3,23,9,0,57,0.0,0.0,57.8,30.9,30.5,30.0,0,0,0,
41,0109,10/1/2021 7:37:01 PM ,2861,20.911,20.777,0.134,0.4,2492,0.052,0.172,0.120,0.3,0.871,14.0,0.900,75.00,STABLE / OPEN,0.04,0.56,0.000,1.068,26,5,64,41,0,60,0.0,0.0,57.6,30.9,30.1,30.0,0,0,0,
42,0109,10/1/2021 7:42:41 PM ,2720,20.911,20.783,0.128,0.4,2398,0.052,0.168,0.115,0.3,0.882,13.3,0.900,75.00,STABLE / OPEN,0.00,0.56,0.000,1.068,80,3,49,17,7,55,0.0,0.0,57.4,30.9,30.6,30.0,0,0,0,
43,0109,10/1/2021 7:48:21 PM ,3246,20.911,20.758,0.153,0.4,2916,0.050,0.191,0.140,0.3,0.898,16.0,0.899,75.00,STABLE / OPEN,0.46,1.02,0.000,1.068,390,223,603,338,114,59,0.0,0.0,57.9,30.9,30.3,30.0,0,0,0,
44,0109,10/1/2021 7:54:01 PM ,3566,20.911,20.744,0.167,0.4,3094,0.051,0.200,0.149,0.3,0.868,17.4,0.900,75.00,STABLE / OPEN,0.00,1.02,0.000,1.068,487,222,774,367,117,61,0.0,0.0,57.3,30.9,30.7,30.0,0,0,0,
45,0109,10/1/2021 7:59:41 PM ,3790,20.911,20.733,0.177,0.4,3256,0.052,0.209,0.157,0.3,0.859,18.5,0.899,75.00,UNSTABLE / OPEN,0.00,1.02,0.000,1.068,427,248,788,396,34,59,0.0,0.0,57.6,30.9,30.4,30.0,0,0,0,
46,0109,10/1/2021 8:05:21 PM ,3924,20.911,20.727,0.183,0.4,3352,0.051,0.213,0.161,0.3,0.854,19.1,0.899,75.00,STABLE / OPEN,0.00,1.02,0.000,1.068,398,221,704,439,30,59,0.0,0.0,57.4,30.9,30.2,30.0,0,0,0,
47,0109,10/1/2021 8:11:01 PM ,4000,20.911,20.723,0.188,0.4,3518,0.049,0.218,0.169,0.4,0.880,19.6,0.901,75.00,STABLE / OPEN,0.06,1.08,0.000,1.068,261,121,443,177,30,56,0.0,0.0,57.3,30.9,30.5,30.0,0,0,0,
48,0109,10/1/2021 8:16:41 PM ,4004,20.911,20.722,0.188,0.4,3524,0.051,0.221,0.170,0.4,0.880,19.6,0.899,75.00,STABLE / OPEN,0.00,1.08,0.000,1.068,293,121,490,231,1,65,0.0,0.0,57.7,30.9,30.0,30.0,0,0,0,
49,0109,10/1/2021 8:22:21 PM ,4070,20.911,20.720,0.191,0.4,3567,0.051,0.222,0.172,0.4,0.876,19.9,0.900,75.00,STABLE / OPEN,0.00,1.08,0.000,1.068,245,118,472,195,7,55,0.0,0.0,57.2,30.9,30.6,30.0,0,0,0,
50,0109,10/1/2021 8:28:01 PM ,4110,20.911,20.716,0.194,0.5,3740,0.049,0.229,0.180,0.4,0.910,20.3,0.900,75.00,STABLE / OPEN,0.00,1.08,0.000,1.068,548,264,911,472,143,61,0.0,0.0,57.4,30.9,30.2,30.0,0,0,0,
51,0109,10/1/2021 8:33:41 PM ,4124,20.911,20.718,0.193,0.5,3560,0.050,0.222,0.171,0.4,0.863,20.1,0.900,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,1.068,400,230,584,282,122,60,0.0,0.0,56.8,30.9,30.6,30.0,0,0,0,
52,0109,10/1/2021 8:39:21 PM ,4167,20.911,20.715,0.196,0.5,3693,0.051,0.229,0.178,0.4,0.886,20.4,0.900,75.00,STABLE / OPEN,0.10,1.18,0.000,1.068,429,269,864,475,32,65,0.0,0.0,56.7,30.9,30.3,30.0,0,0,0,
53,0109,10/1/2021 8:45:01 PM ,3964,20.911,20.725,0.185,0.5,3407,0.051,0.215,0.164,0.4,0.860,19.3,0.900,75.00,STABLE / OPEN,0.00,1.18,0.000,1.068,162,50,169,41,0,59,0.0,0.0,56.5,31.0,30.6,30.0,0,0,0,
