Oxymax CSV File 

CSV Generation Date,10/10/2022 8:44:42 AM 
Experiment Started,10/1/2021 3:46:58 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-10-01 RG mCre AdipoCre cold snap.CDTA

Group/Cage,0104
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,4585
Subject Mass (G), 20.8 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0104,10/1/2021 3:48:41 PM ,10647,20.911,20.512,0.399,0.0,9584,0.073,0.440,0.367,0.0,0.900,52.4,0.906,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,86,50,103,50,19,0,0.0,0.0,42.7,31.8,30.4,30.0,0,0,0,
2,0104,10/1/2021 3:54:21 PM ,7459,20.911,20.633,0.278,0.0,6570,0.077,0.328,0.251,0.0,0.881,36.5,0.907,75.00,UNSTABLE / OPEN,0.08,0.08,0.000,0.000,416,103,496,242,51,2,0.0,0.0,42.4,31.8,28.9,22.2,0,0,100,
3,0104,10/1/2021 4:00:01 PM ,5893,20.911,20.691,0.219,0.0,5145,0.075,0.271,0.197,0.0,0.873,28.8,0.907,75.00,STABLE / OPEN,0.00,0.08,0.000,0.000,254,69,226,53,4,1,0.0,0.0,41.8,31.4,26.9,22.2,0,0,100,
4,0104,10/1/2021 4:05:41 PM ,5006,20.911,20.725,0.185,0.0,4236,0.073,0.236,0.162,0.0,0.846,24.3,0.906,75.00,STABLE / OPEN,0.21,0.29,0.000,0.000,558,4,377,50,0,2,0.0,0.0,41.2,30.6,25.2,22.2,0,0,100,
5,0104,10/1/2021 4:11:21 PM ,4019,20.911,20.761,0.149,0.1,3424,0.070,0.202,0.131,0.0,0.852,19.6,0.904,75.00,STABLE / OPEN,0.00,0.29,0.227,0.227,54,3,52,15,0,1,0.0,0.0,40.3,29.7,23.8,22.2,0,0,100,
6,0104,10/1/2021 4:17:01 PM ,3515,20.911,20.783,0.128,0.1,2718,0.071,0.175,0.104,0.1,0.773,16.8,0.907,75.00,STABLE / OPEN,0.00,0.29,0.000,0.227,0,0,96,8,0,0,0.0,0.0,39.7,28.5,22.4,22.2,0,0,100,
7,0104,10/1/2021 4:22:41 PM ,3019,20.911,20.798,0.113,0.1,2656,0.068,0.169,0.102,0.1,0.880,14.8,0.907,75.00,STABLE / OPEN,0.00,0.29,0.000,0.227,0,0,23,7,0,1,0.0,0.0,39.7,27.5,22.6,22.2,0,0,100,
8,0104,10/1/2021 4:28:21 PM ,2884,20.911,20.803,0.108,0.1,2574,0.067,0.165,0.099,0.1,0.892,14.2,0.906,75.00,STABLE / OPEN,0.00,0.29,0.000,0.227,1,0,14,7,0,2,0.0,0.0,39.8,26.7,22.9,22.2,0,0,100,
9,0104,10/1/2021 4:34:01 PM ,2908,20.911,20.802,0.109,0.1,2625,0.065,0.165,0.100,0.1,0.903,14.3,0.907,75.00,STABLE / OPEN,0.00,0.29,0.092,0.319,43,34,87,47,1,1,0.0,0.0,40.2,26.0,22.5,22.2,0,0,100,
10,0104,10/1/2021 4:39:41 PM ,3099,20.911,20.795,0.116,0.1,2768,0.064,0.170,0.106,0.1,0.893,15.2,0.904,75.00,STABLE / OPEN,0.00,0.29,0.000,0.319,0,0,21,4,0,0,0.0,0.0,40.4,25.5,22.3,22.2,0,0,100,
11,0104,10/1/2021 4:45:21 PM ,3107,20.911,20.794,0.116,0.1,2779,0.061,0.168,0.107,0.1,0.894,15.3,0.905,75.00,STABLE / OPEN,0.00,0.29,0.000,0.319,22,1,13,1,0,2,0.0,0.0,40.7,25.1,22.4,30.0,0,0,100,
12,0104,10/1/2021 4:51:01 PM ,3867,20.911,20.769,0.142,0.1,3118,0.063,0.182,0.119,0.1,0.806,18.6,0.907,75.00,STABLE / OPEN,0.00,0.29,0.000,0.319,35,4,294,56,3,0,0.0,0.0,41.6,24.9,24.2,30.0,0,0,100,
13,0104,10/1/2021 4:56:41 PM ,4375,20.911,20.748,0.162,0.1,3752,0.061,0.204,0.143,0.1,0.858,21.3,0.907,75.00,STABLE / OPEN,0.17,0.47,0.000,0.319,190,44,443,98,10,3,0.0,0.0,42.4,25.2,26.0,30.0,0,0,100,
14,0104,10/1/2021 5:02:21 PM ,4697,20.911,20.737,0.174,0.1,4003,0.062,0.215,0.153,0.1,0.852,22.8,0.906,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.319,85,3,290,72,41,0,0.0,0.0,43.2,26.1,27.5,30.0,0,0,100,
15,0104,10/1/2021 5:08:01 PM ,4727,20.911,20.734,0.176,0.1,4124,0.062,0.220,0.158,0.1,0.872,23.1,0.905,75.00,STABLE / OPEN,0.00,0.47,0.000,0.319,271,123,360,158,55,0,0.0,0.0,44.1,27.0,28.7,30.0,0,0,100,
16,0104,10/1/2021 5:13:41 PM ,4654,20.911,20.738,0.173,0.1,4004,0.060,0.213,0.153,0.1,0.860,22.7,0.906,75.00,STABLE / OPEN,0.00,0.47,0.000,0.319,244,58,455,189,0,0,0.0,0.0,44.2,28.1,29.6,30.0,0,0,100,
17,0104,10/1/2021 5:19:21 PM ,4655,20.911,20.736,0.174,0.1,4142,0.058,0.217,0.159,0.1,0.890,22.9,0.904,75.00,STABLE / OPEN,0.09,0.56,0.000,0.319,218,60,393,120,2,0,0.0,0.0,44.4,29.1,30.3,30.0,0,0,100,
18,0104,10/1/2021 5:25:01 PM ,4286,20.911,20.751,0.160,0.1,3799,0.059,0.204,0.145,0.1,0.886,21.0,0.906,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,41,1,359,58,0,1,0.0,0.0,44.5,30.0,30.3,30.0,0,0,100,
19,0104,10/1/2021 5:30:41 PM ,3767,20.911,20.771,0.139,0.2,3138,0.058,0.178,0.120,0.1,0.833,18.2,0.904,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,292,0,124,2,0,1,0.0,0.0,43.7,30.6,30.6,30.0,0,0,100,
20,0104,10/1/2021 5:36:21 PM ,3204,20.911,20.790,0.120,0.2,2938,0.057,0.170,0.112,0.1,0.917,15.8,0.907,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,60,0,96,10,0,0,0.0,0.0,43.4,31.1,30.3,30.0,0,0,100,
21,0104,10/1/2021 5:42:01 PM ,2844,20.911,20.804,0.107,0.2,2550,0.057,0.155,0.098,0.1,0.896,14.0,0.903,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,2,0,6,4,0,1,0.0,0.0,42.9,31.5,30.3,30.0,0,0,100,
22,0104,10/1/2021 5:47:41 PM ,2631,20.911,20.812,0.099,0.2,2392,0.056,0.147,0.091,0.2,0.909,13.0,0.907,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,51,1,128,20,0,1,0.0,0.0,42.8,31.7,30.6,30.0,0,0,100,
23,0104,10/1/2021 5:53:21 PM ,2530,20.911,20.816,0.095,0.2,2241,0.056,0.142,0.086,0.2,0.886,12.4,0.903,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,43,0,29,4,0,0,0.0,0.0,42.6,31.8,30.4,30.0,0,0,100,
24,0104,10/1/2021 5:59:01 PM ,2515,20.911,20.816,0.094,0.2,2272,0.055,0.142,0.087,0.2,0.903,12.4,0.906,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,17,1,35,1,0,1,0.0,0.0,42.3,31.9,30.0,30.0,0,0,100,
25,0104,10/1/2021 6:04:41 PM ,2472,20.911,20.818,0.092,0.2,2144,0.056,0.138,0.082,0.2,0.867,12.1,0.903,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,102,0,99,4,0,0,0.0,0.0,42.3,31.9,30.6,30.0,0,0,0,
26,0104,10/1/2021 6:10:21 PM ,2448,20.911,20.819,0.092,0.2,2186,0.054,0.137,0.084,0.2,0.893,12.0,0.906,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,154,0,89,5,0,0,0.0,0.0,42.4,31.9,30.3,30.0,0,0,0,
27,0104,10/1/2021 6:16:01 PM ,3050,20.911,20.795,0.115,0.2,2869,0.053,0.163,0.110,0.2,0.941,15.2,0.905,75.00,STABLE / OPEN,0.00,0.56,0.000,0.319,611,317,761,438,89,0,0.0,0.0,42.6,31.8,30.6,30.0,0,0,0,
28,0104,10/1/2021 6:21:41 PM ,3543,20.911,20.779,0.132,0.2,3101,0.054,0.173,0.119,0.2,0.875,17.3,0.907,75.00,UNSTABLE / OPEN,0.00,0.56,0.000,0.319,501,221,692,363,40,0,0.0,0.0,43.3,31.7,30.5,30.0,0,0,0,
29,0104,10/1/2021 6:27:21 PM ,3961,20.911,20.764,0.146,0.2,3263,0.053,0.178,0.125,0.2,0.824,19.1,0.903,75.00,UNSTABLE / OPEN,0.00,0.56,0.000,0.319,320,71,404,195,114,0,0.0,0.0,43.6,31.7,30.0,30.0,0,0,0,
30,0104,10/1/2021 6:33:01 PM ,4274,20.911,20.753,0.158,0.2,3592,0.053,0.190,0.137,0.2,0.840,20.7,0.908,75.00,UNSTABLE / OPEN,0.00,0.56,0.000,0.319,414,241,602,350,78,0,0.0,0.0,43.7,31.7,30.5,30.0,0,0,0,
31,0104,10/1/2021 6:38:41 PM ,4266,20.911,20.752,0.158,0.2,3604,0.052,0.190,0.138,0.2,0.845,20.7,0.904,75.00,STABLE / OPEN,0.10,0.66,0.585,0.904,359,122,550,268,9,0,0.0,0.0,43.9,31.6,30.1,30.0,0,0,0,
32,0104,10/1/2021 6:44:21 PM ,4423,20.911,20.746,0.164,0.2,3830,0.053,0.199,0.146,0.2,0.866,21.6,0.907,75.00,UNSTABLE / OPEN,0.00,0.66,0.000,0.904,283,109,511,253,22,0,0.0,0.0,44.1,31.7,30.6,30.0,0,0,0,
33,0104,10/1/2021 6:50:01 PM ,4475,20.911,20.743,0.167,0.2,3954,0.053,0.204,0.151,0.2,0.883,21.9,0.905,75.00,UNSTABLE / OPEN,0.14,0.79,0.111,1.016,180,64,264,139,32,0,0.0,0.0,44.1,31.6,30.3,30.0,0,0,0,
34,0104,10/1/2021 6:55:41 PM ,4486,20.911,20.742,0.169,0.3,4139,0.052,0.210,0.158,0.2,0.923,22.2,0.908,75.00,STABLE / OPEN,0.00,0.79,0.000,1.016,413,151,403,162,53,1,0.0,0.0,44.7,31.6,30.4,30.0,0,0,0,
35,0104,10/1/2021 7:01:21 PM ,4482,20.911,20.743,0.167,0.3,3991,0.052,0.205,0.153,0.2,0.890,22.0,0.907,75.00,STABLE / OPEN,0.00,0.79,0.000,1.016,204,36,281,58,33,0,0.0,0.0,44.7,31.6,30.4,30.0,0,0,0,
36,0104,10/1/2021 7:07:01 PM ,4491,20.911,20.743,0.167,0.3,3974,0.052,0.204,0.152,0.2,0.885,22.0,0.908,75.00,UNSTABLE / OPEN,0.00,0.79,0.198,1.214,319,90,532,192,25,0,0.0,0.0,44.5,31.6,30.0,30.0,0,0,0,
37,0104,10/1/2021 7:12:41 PM ,4437,20.911,20.744,0.166,0.3,4036,0.050,0.205,0.154,0.2,0.910,21.9,0.908,75.00,UNSTABLE / OPEN,0.16,0.96,0.000,1.214,502,192,463,226,45,0,0.0,0.0,44.5,31.6,30.6,30.0,0,0,0,
38,0104,10/1/2021 7:18:21 PM ,4358,20.911,20.747,0.163,0.3,3936,0.053,0.203,0.151,0.3,0.903,21.5,0.906,75.00,STABLE / OPEN,0.00,0.96,0.000,1.214,558,258,570,292,100,0,0.0,0.0,44.3,31.6,30.3,30.0,0,0,0,
39,0104,10/1/2021 7:24:01 PM ,4314,20.911,20.750,0.161,0.3,3820,0.052,0.198,0.146,0.3,0.885,21.2,0.907,75.00,STABLE / OPEN,0.00,0.96,0.000,1.214,177,57,258,90,26,0,0.0,0.0,44.1,31.6,30.7,30.0,0,0,0,
40,0104,10/1/2021 7:29:41 PM ,4438,20.911,20.744,0.166,0.3,3915,0.052,0.202,0.150,0.3,0.882,21.8,0.903,75.00,STABLE / OPEN,0.04,1.00,0.000,1.214,251,102,323,158,20,0,0.0,0.0,44.3,31.6,30.4,30.0,0,0,0,
41,0104,10/1/2021 7:35:21 PM ,4650,20.911,20.736,0.175,0.3,4277,0.052,0.215,0.164,0.3,0.920,23.0,0.906,75.00,STABLE / OPEN,0.12,1.12,0.000,1.214,851,525,1264,889,104,0,0.0,0.0,44.3,31.7,30.1,30.0,0,0,0,
42,0104,10/1/2021 7:41:01 PM ,4831,20.911,20.730,0.181,0.3,4405,0.052,0.221,0.168,0.3,0.912,23.9,0.908,75.00,STABLE / OPEN,0.00,1.12,0.000,1.214,1150,664,1653,1197,126,0,0.0,0.0,43.9,31.6,30.5,30.0,0,0,0,
43,0104,10/1/2021 7:46:41 PM ,4948,20.911,20.725,0.186,0.3,4486,0.050,0.222,0.172,0.3,0.907,24.4,0.906,75.00,UNSTABLE / OPEN,0.00,1.12,0.000,1.214,910,505,1378,951,176,0,0.0,0.0,43.5,31.6,30.0,30.0,0,0,0,
44,0104,10/1/2021 7:52:21 PM ,4991,20.911,20.724,0.187,0.3,4495,0.051,0.223,0.172,0.3,0.901,24.6,0.907,75.00,UNSTABLE / OPEN,0.00,1.12,0.000,1.214,897,508,1371,985,123,0,0.0,0.0,43.4,31.6,30.6,30.0,0,0,0,
45,0104,10/1/2021 7:58:01 PM ,4978,20.911,20.724,0.187,0.4,4469,0.052,0.223,0.171,0.3,0.898,24.5,0.905,75.00,STABLE / OPEN,0.00,1.12,0.000,1.214,1012,570,1318,882,208,0,0.0,0.0,43.9,31.6,30.2,30.0,0,0,0,
46,0104,10/1/2021 8:03:41 PM ,4953,20.911,20.725,0.185,0.4,4420,0.051,0.220,0.169,0.3,0.892,24.3,0.906,75.00,STABLE / OPEN,0.00,1.12,0.000,1.214,405,215,655,373,23,0,0.0,0.0,43.9,31.6,30.7,30.0,0,0,0,
47,0104,10/1/2021 8:09:21 PM ,4954,20.911,20.725,0.186,0.4,4499,0.049,0.221,0.172,0.3,0.908,24.4,0.907,75.00,STABLE / OPEN,0.00,1.12,0.000,1.214,901,514,1394,964,118,1,0.0,0.0,44.0,31.6,30.3,30.0,0,0,0,
48,0104,10/1/2021 8:15:01 PM ,4848,20.911,20.728,0.183,0.4,4419,0.051,0.220,0.170,0.3,0.912,23.9,0.904,75.00,UNSTABLE / OPEN,0.00,1.12,0.000,1.214,513,316,821,554,46,0,0.0,0.0,43.3,31.6,30.4,30.0,0,0,0,
49,0104,10/1/2021 8:20:41 PM ,4901,20.911,20.727,0.184,0.4,4500,0.051,0.223,0.172,0.3,0.918,24.2,0.908,75.00,STABLE / OPEN,0.07,1.19,0.034,1.248,642,320,1070,739,94,0,0.0,0.0,43.6,31.6,30.4,30.0,0,0,0,
50,0104,10/1/2021 8:26:21 PM ,4783,20.911,20.730,0.181,0.4,4420,0.049,0.219,0.170,0.4,0.924,23.7,0.903,75.00,STABLE / OPEN,0.00,1.19,0.000,1.248,597,234,799,509,33,0,0.0,0.0,44.8,31.6,30.0,30.0,0,0,0,
51,0104,10/1/2021 8:32:01 PM ,4767,20.911,20.731,0.179,0.4,4369,0.050,0.217,0.167,0.4,0.916,23.6,0.906,75.00,STABLE / OPEN,0.12,1.31,0.000,1.248,515,293,754,522,70,0,0.0,0.0,43.9,31.6,30.5,30.0,0,0,0,
52,0104,10/1/2021 8:37:41 PM ,4699,20.911,20.733,0.177,0.4,4301,0.051,0.216,0.165,0.4,0.915,23.2,0.903,75.00,UNSTABLE / OPEN,0.00,1.31,0.000,1.248,1308,119,622,363,11,0,0.0,0.0,44.3,31.6,30.1,30.0,0,0,0,
53,0104,10/1/2021 8:43:21 PM ,4735,20.911,20.733,0.178,0.4,4355,0.051,0.217,0.166,0.4,0.920,23.4,0.907,75.00,STABLE / OPEN,0.00,1.31,0.262,1.510,562,295,823,505,7,0,0.0,0.0,44.3,31.6,30.6,30.0,0,0,0,
