Oxymax CSV File 

CSV Generation Date,10/10/2022 8:45:03 AM 
Experiment Started,10/1/2021 3:46:58 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-10-01 RG mCre AdipoCre cold snap.CDTA

Group/Cage,0113
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,KO 4
Subject Mass (G), 24.8 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0113,10/1/2021 3:51:41 PM ,8848,20.911,20.515,0.396,0.0,7510,0.073,0.420,0.347,0.0,0.849,43.0,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,307,156,377,208,80,2,0.0,0.0,56.7,31.0,29.9,22.2,0,0,100,
2,0113,10/1/2021 3:57:21 PM ,6437,20.911,20.625,0.286,0.0,5269,0.077,0.320,0.243,0.0,0.819,31.0,0.895,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,242,100,271,136,10,3,0.0,0.0,56.6,30.9,27.8,22.2,0,0,100,
3,0113,10/1/2021 4:03:01 PM ,5268,20.911,20.677,0.234,0.0,4286,0.075,0.273,0.198,0.0,0.814,25.4,0.894,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,259,133,530,205,26,4,0.0,0.0,55.2,30.5,26.0,22.2,0,0,100,
4,0113,10/1/2021 4:08:41 PM ,4639,20.911,20.704,0.207,0.0,3818,0.073,0.250,0.177,0.0,0.823,22.4,0.894,75.00,STABLE / OPEN,0.04,0.04,0.065,0.065,361,150,648,345,113,2,0.0,0.0,54.6,29.9,24.4,22.2,0,0,100,
5,0113,10/1/2021 4:14:21 PM ,4246,20.911,20.722,0.188,0.1,3452,0.070,0.230,0.159,0.0,0.813,20.5,0.895,75.00,STABLE / OPEN,0.07,0.11,0.642,0.708,195,64,446,139,44,2,0.0,0.0,53.8,29.0,23.1,22.2,0,0,100,
6,0113,10/1/2021 4:20:01 PM ,4070,20.911,20.730,0.180,0.1,3260,0.071,0.222,0.151,0.1,0.801,19.5,0.895,75.00,UNSTABLE / OPEN,0.09,0.20,0.840,1.548,263,101,518,182,33,5,0.0,0.0,53.6,28.1,22.7,22.2,0,0,100,
7,0113,10/1/2021 4:25:41 PM ,4067,20.911,20.730,0.180,0.1,3260,0.068,0.219,0.151,0.1,0.802,19.5,0.894,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,1.548,289,136,709,380,22,4,0.0,0.0,53.2,27.3,22.4,22.2,0,0,100,
8,0113,10/1/2021 4:31:21 PM ,4135,20.911,20.728,0.183,0.1,3283,0.067,0.219,0.152,0.1,0.794,19.8,0.893,75.00,STABLE / OPEN,0.04,0.24,0.000,1.548,379,208,637,358,98,2,0.0,0.0,53.1,26.6,22.5,22.2,0,0,100,
9,0113,10/1/2021 4:37:01 PM ,4059,20.911,20.731,0.179,0.1,3239,0.065,0.214,0.149,0.1,0.798,19.5,0.896,75.00,STABLE / OPEN,0.00,0.24,0.000,1.548,102,42,313,113,20,1,0.0,0.0,53.0,26.0,22.8,22.2,0,0,100,
10,0113,10/1/2021 4:42:41 PM ,4123,20.911,20.727,0.183,0.1,3403,0.064,0.221,0.157,0.1,0.825,19.9,0.896,75.00,STABLE / OPEN,0.11,0.35,0.000,1.548,266,120,413,187,69,3,0.0,0.0,54.3,25.5,22.9,22.2,0,0,100,
11,0113,10/1/2021 4:48:21 PM ,4193,20.911,20.724,0.186,0.1,3428,0.061,0.220,0.158,0.1,0.818,20.2,0.895,75.00,STABLE / OPEN,0.00,0.35,0.000,1.548,295,112,502,193,47,2,0.0,0.0,53.8,25.2,23.3,30.0,0,0,100,
12,0113,10/1/2021 4:54:01 PM ,4338,20.911,20.718,0.193,0.1,3552,0.063,0.227,0.164,0.1,0.819,20.9,0.895,75.00,STABLE / OPEN,0.11,0.46,0.000,1.548,235,113,440,192,55,1,0.0,0.0,53.9,25.1,25.2,30.0,0,0,100,
13,0113,10/1/2021 4:59:41 PM ,4244,20.911,20.721,0.190,0.1,3576,0.061,0.226,0.165,0.1,0.843,20.6,0.894,75.00,STABLE / OPEN,0.00,0.46,0.000,1.548,323,87,508,179,79,4,0.0,0.0,54.5,25.3,26.8,30.0,0,0,100,
14,0113,10/1/2021 5:05:21 PM ,4156,20.911,20.726,0.185,0.1,3392,0.062,0.218,0.157,0.1,0.816,20.0,0.895,75.00,UNSTABLE / OPEN,0.00,0.46,0.649,2.197,400,233,520,243,111,1,0.0,0.0,55.3,25.8,28.2,30.0,0,0,100,
15,0113,10/1/2021 5:11:01 PM ,4185,20.911,20.726,0.185,0.2,3328,0.062,0.216,0.154,0.1,0.795,20.1,0.895,75.00,UNSTABLE / OPEN,0.00,0.46,0.000,2.197,281,147,613,270,109,1,0.0,0.0,55.7,26.5,29.2,30.0,0,0,100,
16,0113,10/1/2021 5:16:41 PM ,3940,20.911,20.735,0.175,0.2,3261,0.060,0.210,0.151,0.1,0.828,19.0,0.896,75.00,STABLE / OPEN,0.56,1.02,0.000,2.197,310,95,375,169,81,0,0.0,0.0,55.7,27.2,30.0,30.0,0,0,100,
17,0113,10/1/2021 5:22:21 PM ,3698,20.911,20.747,0.164,0.2,2929,0.058,0.194,0.136,0.1,0.792,17.7,0.894,75.00,UNSTABLE / OPEN,0.00,1.02,0.000,2.197,30,1,423,4,0,1,0.0,0.0,55.7,28.0,30.6,30.0,0,0,100,
18,0113,10/1/2021 5:28:01 PM ,3475,20.911,20.758,0.153,0.2,2661,0.059,0.181,0.123,0.1,0.766,16.5,0.895,75.00,STABLE / OPEN,0.00,1.02,0.000,2.197,35,2,259,24,0,2,0.0,0.0,55.6,28.7,30.2,30.0,0,0,100,
19,0113,10/1/2021 5:33:41 PM ,3383,20.911,20.762,0.149,0.2,2593,0.058,0.178,0.120,0.2,0.767,16.1,0.895,75.00,STABLE / OPEN,0.06,1.08,0.000,2.197,208,33,400,80,0,2,0.0,0.0,55.5,29.2,30.2,30.0,0,0,100,
20,0113,10/1/2021 5:39:21 PM ,2867,20.911,20.783,0.127,0.2,2346,0.057,0.166,0.108,0.2,0.818,13.8,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,197,12,163,51,0,1,0.0,0.0,54.9,29.7,30.6,30.0,0,0,100,
21,0113,10/1/2021 5:45:01 PM ,2492,20.911,20.800,0.110,0.2,1995,0.057,0.149,0.092,0.2,0.800,12.0,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,2,1,57,12,0,3,0.0,0.0,54.2,30.1,30.3,30.0,0,0,100,
22,0113,10/1/2021 5:50:41 PM ,2148,20.911,20.815,0.096,0.2,1762,0.056,0.137,0.081,0.2,0.820,10.4,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,107,0,119,7,0,3,0.0,0.0,53.8,30.3,30.1,30.0,0,0,100,
23,0113,10/1/2021 5:56:21 PM ,1989,20.911,20.823,0.088,0.2,1554,0.056,0.128,0.072,0.2,0.781,9.5,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,4,0,11,3,0,0,0.0,0.0,53.6,30.6,30.6,30.0,0,0,100,
24,0113,10/1/2021 6:02:01 PM ,2318,20.911,20.807,0.104,0.2,1952,0.055,0.145,0.090,0.2,0.842,11.2,0.895,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,149,59,253,107,33,2,0.0,0.0,53.7,30.8,30.4,30.0,0,0,0,
25,0113,10/1/2021 6:07:41 PM ,2897,20.911,20.782,0.128,0.2,2293,0.056,0.162,0.106,0.2,0.791,13.9,0.893,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,585,366,784,466,67,0,0.0,0.0,53.6,30.9,30.1,30.0,0,0,0,
26,0113,10/1/2021 6:13:21 PM ,3237,20.911,20.768,0.143,0.2,2569,0.054,0.172,0.119,0.2,0.794,15.5,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,265,111,555,197,83,1,0.0,0.0,54.3,31.0,30.5,30.0,0,0,0,
27,0113,10/1/2021 6:19:01 PM ,3320,20.911,20.764,0.147,0.2,2651,0.053,0.176,0.123,0.2,0.799,15.9,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,327,158,456,195,39,2,0.0,0.0,54.0,31.1,30.2,30.0,0,0,0,
28,0113,10/1/2021 6:24:41 PM ,3672,20.911,20.750,0.161,0.2,2772,0.054,0.182,0.128,0.2,0.755,17.4,0.894,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,315,177,554,246,71,1,0.0,0.0,54.5,31.1,30.6,30.0,0,0,0,
29,0113,10/1/2021 6:30:21 PM ,3556,20.911,20.753,0.158,0.3,2865,0.053,0.185,0.133,0.2,0.806,17.1,0.893,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,384,199,437,208,136,1,0.0,0.0,54.3,31.1,30.4,30.0,0,0,0,
30,0113,10/1/2021 6:36:01 PM ,3663,20.911,20.749,0.162,0.3,2899,0.053,0.187,0.134,0.2,0.792,17.5,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,391,45,366,96,7,1,0.0,0.0,54.1,31.2,30.4,30.0,0,0,0,
31,0113,10/1/2021 6:41:41 PM ,3636,20.911,20.750,0.160,0.3,2838,0.052,0.183,0.131,0.2,0.781,17.4,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,234,117,506,187,22,1,0.0,0.0,53.7,31.2,30.5,30.0,0,0,0,
32,0113,10/1/2021 6:47:21 PM ,3660,20.911,20.749,0.162,0.3,2890,0.053,0.186,0.134,0.2,0.790,17.5,0.895,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,331,167,545,274,65,2,0.0,0.0,53.8,31.2,30.0,30.0,0,0,0,
33,0113,10/1/2021 6:53:01 PM ,3749,20.911,20.744,0.167,0.3,3041,0.053,0.193,0.141,0.2,0.811,18.0,0.894,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,278,132,372,166,193,1,0.0,0.0,53.6,31.2,30.6,30.0,0,0,0,
34,0113,10/1/2021 6:58:41 PM ,3844,20.911,20.740,0.171,0.3,3125,0.052,0.197,0.144,0.2,0.813,18.5,0.895,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,398,205,480,261,142,1,0.0,0.0,53.3,31.3,30.2,30.0,0,0,0,
35,0113,10/1/2021 7:04:21 PM ,3907,20.911,20.736,0.174,0.3,3263,0.052,0.203,0.151,0.2,0.835,18.9,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,235,148,369,139,95,1,0.0,0.0,53.3,31.3,30.7,30.0,0,0,0,
36,0113,10/1/2021 7:10:01 PM ,3803,20.911,20.742,0.169,0.3,3087,0.052,0.195,0.143,0.3,0.812,18.3,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,182,98,482,125,19,3,0.0,0.0,53.3,31.3,30.4,30.0,0,0,0,
37,0113,10/1/2021 7:15:41 PM ,3887,20.911,20.736,0.174,0.3,3341,0.050,0.205,0.154,0.3,0.860,18.9,0.895,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,375,214,557,318,75,3,0.0,0.0,52.8,31.3,30.1,30.0,0,0,0,
38,0113,10/1/2021 7:21:21 PM ,3862,20.911,20.738,0.173,0.3,3246,0.053,0.203,0.150,0.3,0.840,18.7,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,336,147,479,184,57,1,0.0,0.0,52.7,31.3,30.5,30.0,0,0,0,
39,0113,10/1/2021 7:27:01 PM ,3802,20.911,20.741,0.170,0.3,3203,0.052,0.200,0.148,0.3,0.842,18.5,0.894,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,2.197,503,314,678,399,78,3,0.0,0.0,52.5,31.3,30.1,30.0,0,0,0,
40,0113,10/1/2021 7:32:41 PM ,3738,20.911,20.744,0.167,0.3,3087,0.052,0.195,0.143,0.3,0.826,18.1,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,237,99,279,145,122,1,0.0,0.0,52.5,31.3,30.6,30.0,0,0,0,
41,0113,10/1/2021 7:38:21 PM ,3712,20.911,20.746,0.165,0.4,3035,0.052,0.192,0.140,0.3,0.818,17.9,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,95,32,222,73,3,1,0.0,0.0,52.2,31.3,30.3,30.0,0,0,0,
42,0113,10/1/2021 7:44:01 PM ,3763,20.911,20.743,0.168,0.4,3103,0.052,0.196,0.143,0.3,0.825,18.2,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,2.197,99,15,256,52,63,1,0.0,0.0,51.8,31.4,30.7,30.0,0,0,0,
43,0113,10/1/2021 7:49:41 PM ,3657,20.911,20.747,0.164,0.4,3112,0.050,0.194,0.144,0.3,0.851,17.8,0.894,75.00,STABLE / OPEN,0.00,1.08,0.814,3.010,153,56,305,108,9,0,0.0,0.0,52.3,31.3,30.4,30.0,0,0,0,
44,0113,10/1/2021 7:55:21 PM ,3737,20.911,20.743,0.167,0.4,3201,0.051,0.199,0.148,0.3,0.857,18.2,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,192,70,322,97,61,1,0.0,0.0,52.5,31.3,30.1,30.0,0,0,0,
45,0113,10/1/2021 8:01:01 PM ,3742,20.911,20.743,0.168,0.4,3189,0.052,0.199,0.147,0.3,0.852,18.2,0.895,75.00,UNSTABLE / OPEN,0.00,1.08,0.000,3.010,295,205,572,335,75,0,0.0,0.0,51.5,31.3,30.5,30.0,0,0,0,
46,0113,10/1/2021 8:06:41 PM ,3834,20.911,20.738,0.172,0.4,3317,0.051,0.204,0.153,0.3,0.865,18.7,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,500,276,564,325,106,2,0.0,0.0,51.8,31.3,30.1,30.0,0,0,0,
47,0113,10/1/2021 8:12:21 PM ,3823,20.911,20.739,0.172,0.4,3304,0.049,0.202,0.153,0.3,0.864,18.7,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,299,156,398,219,89,1,0.0,0.0,52.3,31.3,30.5,30.0,0,0,0,
48,0113,10/1/2021 8:18:01 PM ,3780,20.911,20.742,0.169,0.4,3194,0.051,0.198,0.148,0.3,0.845,18.4,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,271,140,478,224,39,1,0.0,0.0,52.3,31.4,30.2,30.0,0,0,0,
49,0113,10/1/2021 8:23:41 PM ,3840,20.911,20.739,0.172,0.4,3243,0.051,0.200,0.150,0.4,0.844,18.6,0.895,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,161,76,312,138,7,0,0.0,0.0,52.2,31.4,30.6,30.0,0,0,0,
50,0113,10/1/2021 8:29:21 PM ,3906,20.911,20.735,0.175,0.4,3354,0.049,0.204,0.155,0.4,0.859,19.0,0.894,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,126,56,279,104,120,1,0.0,0.0,51.7,31.3,30.3,30.0,0,0,0,
51,0113,10/1/2021 8:35:01 PM ,3846,20.911,20.738,0.173,0.4,3359,0.050,0.205,0.155,0.4,0.873,18.8,0.896,75.00,STABLE / OPEN,0.00,1.08,0.000,3.010,236,106,424,184,21,0,0.0,0.0,51.6,31.4,30.6,30.0,0,0,0,
52,0113,10/1/2021 8:40:41 PM ,3867,20.911,20.737,0.173,0.5,3301,0.051,0.204,0.153,0.4,0.854,18.8,0.894,75.00,STABLE / OPEN,0.10,1.17,0.000,3.010,205,91,330,119,116,1,0.0,0.0,51.5,31.4,30.4,30.0,0,0,0,
53,0113,10/1/2021 8:46:21 PM ,3868,20.911,20.737,0.173,0.5,3320,0.051,0.204,0.153,0.4,0.858,18.8,0.895,75.00,STABLE / OPEN,0.07,1.24,0.000,3.010,259,100,527,235,26,1,0.0,0.0,51.2,31.4,30.1,30.0,0,0,0,
