RecNumber,Label,Fat.mass,Lean.mass,FreeWater,TotalWater,TimeDateDura,Accumulation,Weight,Comments,filename
1,KO 1,2.04,22.84,0.14,20.45,14:06:08; 1 Oct 2021; 75; ems,1,26.6,UCP1 KO,2021-10-01 RG mCre AdipoCre cold snap.0101.CSV
2,KO 2,1.45,24.46,0.31,22.13,14:13:26; 1 Oct 2021; 75; ems,1,27.8,UCP1 KO,2021-10-01 RG mCre AdipoCre cold snap.0102.CSV
3,KO 3,1.65,22.52,0.2,20.28,14:18:46; 1 Oct 2021; 75; ems,1,26,UCP1 KO,2021-10-01 RG mCre AdipoCre cold snap.0103.CSV
4,KO 4,1.42,21.93,0.09,19.5,14:23:43; 1 Oct 2021; 75; ems,1,24.8,UCP1 KO,2021-10-01 RG mCre AdipoCre cold snap.0104.CSV
5,4588,1.34,16.95,0.08,15.56,14:31:51; 1 Oct 2021; 75; ems,1,20.4,AdipoqCre,2021-10-01 RG mCre AdipoCre cold snap.0105.CSV
6,4585,1.4,17.3,0.12,15.66,14:37:58; 1 Oct 2021; 75; ems,1,20.8,AdipoqCre,2021-10-01 RG mCre AdipoCre cold snap.0106.CSV
7,4586,1.58,15.07,0.09,13.8,14:43:08; 1 Oct 2021; 75; ems,1,18.5,AdipoqCre,2021-10-01 RG mCre AdipoCre cold snap.0107.CSV
8,4606,1.34,24,0.12,21.3,14:48:44; 1 Oct 2021; 75; ems,1,27.8,flox,2021-10-01 RG mCre AdipoCre cold snap.0108.CSV
9,4607,0.82,21.45,0.09,19.18,14:53:55; 1 Oct 2021; 75; ems,1,24.5,flox,2021-10-01 RG mCre AdipoCre cold snap.0109.CSV
10,4607 Re-scan,0.85,21.5,0.06,19.22,14:56:05; 1 Oct 2021; 75; ems,1,24.5,flox,2021-10-01 RG mCre AdipoCre cold snap.0110.CSV
11,4603,0.8,23.74,0.11,21.9,15:02:18; 1 Oct 2021; 70; ems,1,26.9,mCre,2021-10-01 RG mCre AdipoCre cold snap.0111.CSV
12,462,0.58,22.23,0.2,20.26,15:07:53; 1 Oct 2021; 75; ems,1,25.3,flox,2021-10-01 RG mCre AdipoCre cold snap.0112.CSV
13,4601,0.55,24.05,0.15,21.7,15:14:09; 1 Oct 2021; 75; ems,1,26.7,mCre,2021-10-01 RG mCre AdipoCre cold snap.0113.CSV
14,4605,0.73,24.87,0.24,22.12,15:19:20; 1 Oct 2021; 75; ems,1,27.6,flox,2021-10-01 RG mCre AdipoCre cold snap.0114.CSV
15,4604,0.49,23.4,0.11,21.01,15:24:53; 1 Oct 2021; 75; ems,1,26.1,mCre,2021-10-01 RG mCre AdipoCre cold snap.0115.CSV
16,4523,0.78,22.19,0.08,19.66,15:30:41; 1 Oct 2021; 70; ems,1,24.8,mCre,2021-10-01 RG mCre AdipoCre cold snap.0116.CSV
