CLAMS,Ear tag,Genotype,Sex,Weight,Fat mass,Lean mass,Condition,Age,filename
1,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0101.CSV
2,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0102.CSV
3,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0103.CSV
4,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0104.CSV
5,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0105.CSV
6,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0106.CSV
7,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0107.CSV
8,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0108.CSV
9,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0109.CSV
10,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0110.CSV
11,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0111.CSV
12,NA,WT,NA,NA,NA,NA,normal,NA,2021-10-07 C57BL WT Mice.0112.CSV
