Oxymax CSV File 

CSV Generation Date,10/10/2022 8:49:09 AM 
Experiment Started,12/13/2021 2:36:24 PM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2021-12-13 RG CX3CR1 Adipoq Flox and KO cold snap.CDTA

Group/Cage,0109
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,
Subject Mass (G), 27.9 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0109,12/13/2021 2:39:48 PM ,6869,20.914,20.575,0.338,0.0,5296,0.060,0.334,0.274,0.0,0.771,32.7,0.899,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,444,257,452,285,66,0,0.0,0.0,35.6,22.6,22.5,22.0,0,0,0,
2,0109,12/13/2021 2:45:28 PM ,5903,20.914,20.624,0.290,0.0,4471,0.063,0.294,0.232,0.0,0.757,28.0,0.898,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,723,468,893,531,46,0,0.0,0.0,35.6,22.6,22.2,22.0,0,0,100,
3,0109,12/13/2021 2:51:08 PM ,5477,20.914,20.645,0.269,0.0,4187,0.063,0.279,0.216,0.0,0.764,26.1,0.900,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,543,306,836,512,76,0,0.0,0.0,35.4,22.6,22.2,22.0,0,0,100,
4,0109,12/13/2021 2:56:48 PM ,5172,20.914,20.658,0.256,0.0,4078,0.061,0.272,0.211,0.0,0.789,24.8,0.899,75.00,STABLE / OPEN,0.11,0.11,0.000,0.000,603,360,895,461,79,0,0.0,0.0,35.4,22.6,22.3,22.0,0,0,100,
5,0109,12/13/2021 3:02:28 PM ,5029,20.914,20.665,0.249,0.1,3993,0.059,0.266,0.207,0.0,0.794,24.1,0.899,75.00,UNSTABLE / OPEN,0.00,0.11,0.000,0.000,701,402,684,394,37,0,0.0,0.0,35.5,22.5,22.5,22.0,0,0,100,
6,0109,12/13/2021 3:08:08 PM ,4892,20.914,20.670,0.243,0.1,4000,0.058,0.264,0.207,0.1,0.818,23.6,0.900,75.00,UNSTABLE / OPEN,0.04,0.15,0.000,0.000,706,413,817,523,66,0,0.0,0.0,35.6,22.5,22.7,22.0,0,0,100,
7,0109,12/13/2021 3:13:48 PM ,4737,20.914,20.678,0.235,0.1,3842,0.058,0.256,0.199,0.1,0.811,22.8,0.899,75.00,UNSTABLE / OPEN,0.00,0.15,0.000,0.000,524,300,880,530,43,0,0.0,0.0,35.6,22.6,22.5,22.0,0,0,100,
8,0109,12/13/2021 3:19:28 PM ,4598,20.914,20.685,0.229,0.1,3737,0.056,0.250,0.193,0.1,0.813,22.1,0.899,75.00,UNSTABLE / OPEN,0.11,0.26,0.000,0.000,441,208,471,260,64,0,0.0,0.0,35.7,22.6,22.2,22.0,0,0,100,
9,0109,12/13/2021 3:25:08 PM ,4539,20.914,20.687,0.227,0.1,3783,0.055,0.251,0.196,0.1,0.833,22.0,0.898,75.00,STABLE / OPEN,0.03,0.29,0.096,0.096,713,385,649,363,63,0,0.0,0.0,35.9,22.5,22.2,22.0,0,0,100,
10,0109,12/13/2021 3:30:48 PM ,4676,20.914,20.680,0.234,0.1,3948,0.053,0.257,0.204,0.1,0.844,22.7,0.900,75.00,UNSTABLE / OPEN,0.04,0.33,0.000,0.096,713,445,958,619,41,0,0.0,0.0,35.8,22.5,22.5,22.0,0,0,100,
11,0109,12/13/2021 3:36:28 PM ,4816,20.914,20.674,0.240,0.1,3928,0.054,0.257,0.203,0.1,0.816,23.2,0.899,75.00,UNSTABLE / OPEN,0.00,0.33,0.000,0.096,540,299,693,400,55,0,0.0,0.0,35.8,22.5,22.6,22.0,0,0,100,
12,0109,12/13/2021 3:42:08 PM ,4729,20.914,20.677,0.237,0.1,4037,0.053,0.262,0.209,0.1,0.854,23.0,0.900,75.00,UNSTABLE / OPEN,0.04,0.37,0.000,0.096,741,465,863,556,119,0,0.0,0.0,35.9,22.6,22.5,22.0,0,0,100,
13,0109,12/13/2021 3:47:48 PM ,4815,20.914,20.674,0.240,0.2,4000,0.055,0.261,0.207,0.1,0.831,23.3,0.900,75.00,STABLE / OPEN,0.00,0.37,0.000,0.096,569,310,725,382,81,0,0.0,0.0,36.0,22.6,22.2,22.0,0,0,100,
14,0109,12/13/2021 3:53:28 PM ,4903,20.914,20.668,0.245,0.2,4115,0.058,0.271,0.213,0.1,0.839,23.8,0.899,75.00,UNSTABLE / OPEN,0.05,0.42,0.000,0.096,778,457,894,563,68,0,0.0,0.0,37.3,22.6,22.1,22.0,0,0,100,
15,0109,12/13/2021 3:59:08 PM ,4916,20.914,20.669,0.245,0.2,4039,0.057,0.266,0.209,0.1,0.822,23.7,0.898,75.00,STABLE / OPEN,0.09,0.50,0.000,0.096,596,364,714,443,100,0,0.0,0.0,38.3,22.5,22.4,22.0,0,0,100,
16,0109,12/13/2021 4:04:48 PM ,4788,20.914,20.675,0.239,0.2,3999,0.057,0.264,0.207,0.2,0.835,23.2,0.899,75.00,UNSTABLE / OPEN,0.00,0.50,0.206,0.302,563,284,624,331,66,0,0.0,0.0,38.0,22.5,22.5,22.0,0,0,100,
17,0109,12/13/2021 4:10:28 PM ,4597,20.914,20.685,0.229,0.2,3791,0.056,0.252,0.196,0.2,0.825,22.2,0.899,75.00,STABLE / OPEN,0.15,0.65,0.000,0.302,189,76,359,164,11,0,0.0,0.0,37.3,22.6,22.7,22.0,0,0,100,
18,0109,12/13/2021 4:16:08 PM ,4446,20.914,20.690,0.224,0.2,3862,0.056,0.256,0.200,0.2,0.869,21.7,0.898,75.00,UNSTABLE / OPEN,0.00,0.65,0.101,0.402,554,319,701,337,53,0,0.0,0.0,37.6,22.5,22.5,22.0,0,0,100,
19,0109,12/13/2021 4:21:48 PM ,4425,20.914,20.692,0.222,0.2,3782,0.054,0.250,0.196,0.2,0.855,21.5,0.898,75.00,STABLE / OPEN,0.00,0.65,0.000,0.402,374,165,440,173,24,0,0.0,0.0,37.5,22.5,22.2,22.0,0,0,100,
20,0109,12/13/2021 4:27:28 PM ,4311,20.914,20.699,0.215,0.2,3577,0.053,0.238,0.185,0.2,0.830,20.9,0.899,75.00,STABLE / OPEN,0.00,0.65,0.000,0.402,600,4,257,20,0,0,0.0,0.0,37.3,22.5,22.1,22.0,0,0,100,
21,0109,12/13/2021 4:33:08 PM ,4183,20.914,20.705,0.209,0.3,3480,0.053,0.233,0.180,0.2,0.832,20.2,0.899,75.00,STABLE / OPEN,0.00,0.65,0.000,0.402,288,10,426,53,0,0,0.0,0.0,37.0,22.5,22.3,22.0,0,0,100,
22,0109,12/13/2021 4:38:48 PM ,3477,20.914,20.742,0.172,0.3,2752,0.053,0.196,0.142,0.2,0.792,16.7,0.898,75.00,STABLE / OPEN,0.00,0.65,0.000,0.402,0,0,132,0,0,0,0.0,0.0,36.5,22.5,22.5,22.0,0,0,100,
23,0109,12/13/2021 4:44:28 PM ,3114,20.914,20.761,0.153,0.3,2341,0.053,0.174,0.121,0.2,0.752,14.8,0.898,75.00,STABLE / OPEN,0.00,0.65,0.000,0.402,0,0,16,4,0,0,0.0,0.0,36.3,22.5,22.6,22.0,0,0,100,
24,0109,12/13/2021 4:50:08 PM ,3304,20.914,20.752,0.162,0.3,2463,0.053,0.181,0.128,0.2,0.745,15.6,0.898,75.00,STABLE / OPEN,0.00,0.65,0.000,0.402,159,74,227,86,2,0,0.0,0.0,36.7,22.5,22.5,22.0,0,0,100,
25,0109,12/13/2021 4:55:48 PM ,3970,20.914,20.717,0.197,0.3,3159,0.053,0.217,0.164,0.2,0.796,19.0,0.898,75.00,UNSTABLE / OPEN,0.03,0.68,0.000,0.402,439,118,379,177,58,0,0.0,0.0,36.9,22.6,22.2,22.0,0,0,100,
26,0109,12/13/2021 5:01:28 PM ,4411,20.914,20.696,0.217,0.3,3429,0.054,0.231,0.177,0.2,0.777,21.1,0.900,75.00,UNSTABLE / OPEN,0.00,0.68,0.000,0.402,324,126,354,182,106,0,0.0,0.0,37.1,22.5,22.1,22.0,0,0,100,
27,0109,12/13/2021 5:07:08 PM ,4469,20.914,20.691,0.223,0.3,3660,0.053,0.242,0.190,0.3,0.819,21.6,0.898,75.00,STABLE / OPEN,0.06,0.75,0.000,0.402,366,69,361,109,81,0,0.0,0.0,37.1,22.5,22.3,22.0,0,0,100,
28,0109,12/13/2021 5:12:48 PM ,4142,20.914,20.708,0.205,0.3,3320,0.053,0.224,0.172,0.3,0.801,19.9,0.900,75.00,STABLE / OPEN,0.00,0.75,0.000,0.402,423,4,274,28,0,0,0.0,0.0,36.9,22.5,22.5,22.0,0,0,100,
29,0109,12/13/2021 5:18:28 PM ,3499,20.914,20.741,0.172,0.3,2692,0.052,0.191,0.139,0.3,0.769,16.7,0.899,75.00,STABLE / OPEN,0.00,0.75,0.000,0.402,847,0,25,6,0,0,0.0,0.0,36.7,22.5,22.7,22.0,0,0,100,
30,0109,12/13/2021 5:24:08 PM ,3190,20.914,20.758,0.156,0.3,2345,0.052,0.173,0.121,0.3,0.735,15.1,0.898,75.00,STABLE / OPEN,0.00,0.75,0.000,0.402,525,0,15,0,0,0,0.0,0.0,36.6,22.5,22.4,22.0,0,0,100,
31,0109,12/13/2021 5:29:48 PM ,3212,20.914,20.756,0.158,0.4,2437,0.051,0.177,0.126,0.3,0.759,15.3,0.898,75.00,STABLE / OPEN,0.00,0.75,0.000,0.402,118,1,87,4,0,0,0.0,0.0,36.7,22.5,22.1,22.0,0,0,100,
32,0109,12/13/2021 5:35:28 PM ,3546,20.914,20.738,0.175,0.4,2786,0.050,0.194,0.144,0.3,0.786,17.0,0.899,75.00,STABLE / OPEN,0.10,0.85,0.000,0.402,194,71,301,83,0,0,0.0,0.0,37.0,22.6,22.2,22.0,0,0,100,
33,0109,12/13/2021 5:41:08 PM ,3344,20.914,20.750,0.163,0.4,2423,0.052,0.177,0.126,0.3,0.724,15.7,0.897,75.00,STABLE / OPEN,0.00,0.85,0.000,0.402,53,0,18,2,0,0,0.0,0.0,36.6,22.5,22.3,22.0,0,0,100,
34,0109,12/13/2021 5:46:48 PM ,3042,20.914,20.764,0.150,0.4,2343,0.051,0.172,0.121,0.3,0.770,14.5,0.899,75.00,STABLE / OPEN,0.00,0.85,0.000,0.402,68,0,6,1,0,0,0.0,0.0,36.5,22.5,22.5,22.0,0,0,100,
35,0109,12/13/2021 5:52:28 PM ,3028,20.914,20.764,0.149,0.4,2338,0.050,0.171,0.121,0.3,0.772,14.4,0.898,75.00,STABLE / OPEN,0.00,0.85,0.000,0.402,49,0,5,1,0,0,0.0,0.0,36.4,22.5,22.7,22.0,0,0,100,
36,0109,12/13/2021 5:58:08 PM ,3788,20.914,20.727,0.187,0.4,2922,0.050,0.201,0.151,0.3,0.771,18.1,0.898,75.00,STABLE / OPEN,0.11,0.96,0.035,0.437,244,80,235,81,46,0,0.0,0.0,37.1,22.5,22.4,22.0,0,0,100,
37,0109,12/13/2021 6:03:48 PM ,4326,20.914,20.699,0.215,0.4,3490,0.050,0.230,0.181,0.3,0.807,20.8,0.898,75.00,STABLE / OPEN,0.03,0.99,0.000,0.437,251,123,372,134,42,0,0.0,0.0,37.1,22.5,22.1,22.0,0,0,0,
38,0109,12/13/2021 6:09:28 PM ,3937,20.914,20.721,0.193,0.4,2954,0.050,0.203,0.153,0.3,0.750,18.7,0.899,75.00,STABLE / OPEN,0.00,0.99,0.069,0.506,3,0,20,0,0,0,0.0,0.0,37.1,22.5,22.1,22.0,0,0,0,
39,0109,12/13/2021 6:15:08 PM ,3547,20.914,20.739,0.174,0.4,2675,0.050,0.188,0.139,0.3,0.754,16.8,0.898,75.00,STABLE / OPEN,0.00,0.99,0.000,0.506,33,0,92,6,0,0,0.0,0.0,37.1,22.5,22.2,22.0,0,0,0,
40,0109,12/13/2021 6:20:48 PM ,3435,20.914,20.745,0.169,0.4,2632,0.049,0.186,0.136,0.4,0.766,16.3,0.899,75.00,STABLE / OPEN,0.00,0.99,0.000,0.506,7,0,244,6,0,0,0.0,0.0,37.1,22.5,22.3,22.0,0,0,0,
41,0109,12/13/2021 6:26:28 PM ,3545,20.914,20.739,0.175,0.4,2743,0.051,0.193,0.142,0.4,0.774,16.9,0.898,75.00,UNSTABLE / OPEN,0.00,0.99,0.000,0.506,266,32,349,54,13,0,0.0,0.0,37.4,22.5,22.4,22.0,0,0,0,
42,0109,12/13/2021 6:32:08 PM ,4114,20.914,20.708,0.206,0.5,3431,0.049,0.227,0.178,0.4,0.834,19.9,0.898,75.00,STABLE / OPEN,0.10,1.09,0.093,0.599,153,3,174,21,41,0,0.0,0.0,38.1,22.5,22.5,22.0,0,0,0,
43,0109,12/13/2021 6:37:48 PM ,4517,20.914,20.687,0.227,0.5,3893,0.049,0.251,0.201,0.4,0.862,22.0,0.899,75.00,STABLE / OPEN,0.00,1.09,0.000,0.599,347,192,434,262,58,0,0.0,0.0,38.2,22.5,22.5,22.0,0,0,0,
44,0109,12/13/2021 6:43:28 PM ,4568,20.914,20.685,0.229,0.5,3862,0.049,0.249,0.200,0.4,0.845,22.2,0.898,75.00,UNSTABLE / OPEN,0.00,1.09,0.000,0.599,87,0,121,20,27,0,0.0,0.0,38.1,22.5,22.6,22.0,0,0,0,
45,0109,12/13/2021 6:49:08 PM ,4371,20.914,20.694,0.220,0.5,3756,0.049,0.243,0.195,0.4,0.859,21.3,0.897,75.00,STABLE / OPEN,0.10,1.20,0.209,0.808,176,79,177,70,2,0,0.0,0.0,37.9,22.5,22.6,22.0,0,0,0,
46,0109,12/13/2021 6:54:48 PM ,4413,20.914,20.692,0.222,0.5,3849,0.050,0.249,0.199,0.4,0.872,21.6,0.899,75.00,STABLE / OPEN,0.10,1.29,0.000,0.808,161,12,84,26,17,0,0.0,0.0,38.2,22.6,22.6,22.0,0,0,0,
47,0109,12/13/2021 7:00:28 PM ,4411,20.914,20.691,0.223,0.5,3861,0.049,0.250,0.200,0.4,0.875,21.6,0.897,75.00,STABLE / OPEN,0.13,1.42,0.059,0.866,272,60,318,126,36,0,0.0,0.0,38.5,22.5,22.6,22.0,0,0,0,
48,0109,12/13/2021 7:06:08 PM ,4050,20.914,20.710,0.203,0.5,3458,0.050,0.229,0.179,0.4,0.854,19.7,0.898,75.00,STABLE / OPEN,0.00,1.42,0.000,0.866,205,1,163,17,0,0,0.0,0.0,38.2,22.5,22.5,22.0,0,0,0,
49,0109,12/13/2021 7:11:48 PM ,3813,20.914,20.722,0.192,0.5,3274,0.050,0.219,0.169,0.4,0.859,18.6,0.899,75.00,UNSTABLE / OPEN,0.00,1.42,0.000,0.866,48,6,93,30,10,0,0.0,0.0,38.5,22.5,22.3,22.0,0,0,0,
50,0109,12/13/2021 7:17:28 PM ,4193,20.914,20.702,0.212,0.5,3742,0.049,0.243,0.193,0.4,0.892,20.6,0.899,75.00,UNSTABLE / OPEN,0.05,1.48,0.000,0.866,326,199,369,206,24,0,0.0,0.0,39.2,22.5,22.2,22.0,0,0,0,
51,0109,12/13/2021 7:23:08 PM ,4523,20.914,20.685,0.229,0.6,4007,0.050,0.257,0.208,0.5,0.886,22.2,0.897,75.00,UNSTABLE / OPEN,0.00,1.48,0.139,1.005,498,247,601,322,85,0,0.0,0.0,39.0,22.5,22.1,22.0,0,0,0,
52,0109,12/13/2021 7:28:48 PM ,4654,20.914,20.678,0.235,0.6,4164,0.049,0.264,0.215,0.5,0.895,22.9,0.899,75.00,STABLE / OPEN,0.06,1.54,0.145,1.150,335,173,409,232,18,0,0.0,0.0,38.9,22.6,22.1,22.0,0,0,0,
53,0109,12/13/2021 7:34:28 PM ,4772,20.914,20.671,0.242,0.6,4295,0.050,0.273,0.223,0.5,0.900,23.5,0.897,75.00,STABLE / OPEN,0.00,1.54,0.000,1.150,387,196,512,262,54,0,0.0,0.0,39.0,22.6,22.1,22.0,0,0,0,
