Oxymax CSV File 

CSV Generation Date,10/10/2022 8:52:19 AM 
Experiment Started,2/22/2022 10:08:14 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-02-22 Chen Mice 22C FUS vs Sham Stimulation.CDTA

Group/Cage,0101
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,1A
Subject Mass (G), 20.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0101,2/22/2022 10:08:58 AM ,5245,20.903,20.724,0.179,0.0,3665,0.058,0.192,0.134,0.0,0.699,24.5,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,59.5,23.1,22.8,22.2,0,0,100,
2,0101,2/22/2022 10:11:38 AM ,5046,20.903,20.729,0.174,0.0,3692,0.058,0.193,0.135,0.0,0.732,23.8,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,59.5,23.2,22.3,22.2,0,0,100,
3,0101,2/22/2022 10:14:38 AM ,5411,20.903,20.719,0.184,0.0,3719,0.058,0.194,0.136,0.0,0.687,25.2,0.920,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,8,1,0,1,0.0,0.0,59.5,23.1,22.8,22.2,0,0,100,
4,0101,2/22/2022 10:17:18 AM ,5035,20.903,20.731,0.172,0.0,3504,0.058,0.186,0.128,0.0,0.696,23.5,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,57,28,97,48,2,0,0.0,0.0,60.0,23.2,22.3,22.2,0,0,100,
5,0101,2/22/2022 10:20:18 AM ,4286,20.903,20.755,0.148,0.0,3185,0.059,0.175,0.116,0.0,0.743,20.3,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,32,5,30,8,0,1,0.0,0.0,60.1,23.1,22.8,22.2,0,0,100,
6,0101,2/22/2022 10:22:58 AM ,4055,20.903,20.762,0.141,0.0,3139,0.059,0.173,0.115,0.0,0.774,19.3,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,3,0.0,0.0,60.2,23.2,22.4,22.2,0,0,100,
7,0101,2/22/2022 10:25:58 AM ,4307,20.903,20.755,0.148,0.0,3113,0.065,0.178,0.114,0.0,0.723,20.3,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,60.3,23.1,22.7,22.2,0,0,100,
8,0101,2/22/2022 10:28:38 AM ,4551,20.903,20.749,0.154,0.0,2961,0.065,0.173,0.108,0.0,0.651,21.0,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,4,0,4,0,0,1,0.0,0.0,60.4,23.1,22.6,22.2,0,0,100,
9,0101,2/22/2022 10:31:38 AM ,4644,20.903,20.747,0.156,0.0,2947,0.066,0.173,0.108,0.0,0.635,21.3,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,55,0,14,6,0,1,0.0,0.0,60.3,23.1,22.6,22.2,0,0,100,
10,0101,2/22/2022 10:34:18 AM ,4761,20.903,20.742,0.161,0.0,3072,0.066,0.178,0.112,0.0,0.645,21.9,0.920,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.2,23.2,22.6,22.2,0,0,100,
11,0101,2/22/2022 10:37:18 AM ,4755,20.903,20.742,0.161,0.0,3090,0.064,0.177,0.113,0.0,0.650,21.9,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,91,0,0,0,0,1,0.0,0.0,60.3,23.1,22.6,22.2,0,0,100,
12,0101,2/22/2022 10:39:58 AM ,4852,20.903,20.738,0.165,0.0,3283,0.064,0.184,0.120,0.0,0.677,22.6,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,19,0,15,5,0,2,0.0,0.0,60.3,23.1,22.8,22.2,0,0,100,
13,0101,2/22/2022 10:42:58 AM ,5234,20.903,20.725,0.178,0.1,3545,0.063,0.192,0.129,0.0,0.677,24.3,0.920,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,36,0,64,0,0,1,0.0,0.0,60.6,23.1,22.6,22.2,0,0,100,
14,0101,2/22/2022 10:45:38 AM ,4905,20.903,20.737,0.166,0.1,3316,0.063,0.183,0.121,0.0,0.676,22.8,0.922,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,21,0,29,11,0,0,0.0,0.0,60.5,23.2,22.7,22.2,0,0,100,
15,0101,2/22/2022 10:48:38 AM ,4726,20.903,20.743,0.160,0.1,3073,0.061,0.174,0.112,0.0,0.650,21.8,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,0,0,0,1,0.0,0.0,60.2,23.1,22.5,22.2,0,0,100,
16,0101,2/22/2022 10:51:18 AM ,4688,20.903,20.744,0.159,0.1,3142,0.061,0.176,0.114,0.0,0.670,21.8,0.921,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.2,23.1,22.8,22.2,0,0,100,
17,0101,2/22/2022 10:54:18 AM ,4757,20.903,20.741,0.162,0.1,3183,0.060,0.176,0.116,0.0,0.669,22.1,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,7,0,162,1,0,0,0.0,0.0,60.2,23.1,22.5,22.2,0,0,100,
18,0101,2/22/2022 10:56:58 AM ,4760,20.903,20.740,0.163,0.1,3277,0.060,0.180,0.120,0.1,0.688,22.2,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,11,0,0,1,0.0,0.0,60.0,23.1,22.7,22.2,0,0,100,
19,0101,2/22/2022 10:59:58 AM ,4782,20.903,20.741,0.162,0.1,3133,0.059,0.174,0.115,0.1,0.655,22.1,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,24,0,0,1,0.0,0.0,60.1,23.1,22.6,22.2,0,0,100,
20,0101,2/22/2022 11:02:38 AM ,4794,20.903,20.740,0.163,0.1,3209,0.059,0.176,0.117,0.1,0.670,22.2,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.0,23.1,22.7,22.2,0,0,100,
21,0101,2/22/2022 11:05:38 AM ,4834,20.903,20.739,0.164,0.1,3236,0.059,0.177,0.118,0.1,0.669,22.4,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,43,25,85,49,3,1,0.0,0.0,60.2,23.2,22.6,22.2,0,0,100,
22,0101,2/22/2022 11:08:18 AM ,4471,20.903,20.749,0.154,0.1,3314,0.059,0.179,0.121,0.1,0.741,21.1,0.920,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,26,7,17,0,0,0,0.0,0.0,60.5,23.1,22.8,22.2,0,0,100,
23,0101,2/22/2022 11:11:18 AM ,4423,20.903,20.751,0.152,0.1,3242,0.058,0.177,0.118,0.1,0.733,20.9,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,14,1,0,0,0,0,0.0,0.0,60.6,23.1,22.5,22.2,0,0,100,
24,0101,2/22/2022 11:13:58 AM ,4472,20.903,20.749,0.154,0.1,3277,0.058,0.178,0.119,0.1,0.733,21.1,0.921,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,416,0,0,0,0.0,0.0,60.5,23.1,22.9,22.2,0,0,100,
25,0101,2/22/2022 11:16:58 AM ,4641,20.903,20.744,0.159,0.1,3313,0.058,0.178,0.121,0.1,0.714,21.8,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,66,1,96,2,0,1,0.0,0.0,60.6,23.1,22.5,22.2,0,0,100,
26,0101,2/22/2022 11:19:38 AM ,4767,20.903,20.742,0.161,0.1,3159,0.058,0.173,0.115,0.1,0.663,22.1,0.921,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,48,0,13,0,0,2,0.0,0.0,60.4,23.1,22.9,22.2,0,0,100,
27,0101,2/22/2022 11:22:38 AM ,4751,20.903,20.742,0.161,0.1,3202,0.058,0.174,0.117,0.1,0.674,22.1,0.920,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,23,0,0,0,0,1,0.0,0.0,60.3,23.1,22.4,22.2,0,0,100,
28,0101,2/22/2022 11:25:18 AM ,4838,20.903,20.739,0.164,0.1,3202,0.058,0.174,0.117,0.1,0.662,22.4,0.921,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,4,0,214,0,0,1,0.0,0.0,60.4,23.2,22.9,22.2,0,0,100,
29,0101,2/22/2022 11:28:18 AM ,4892,20.903,20.737,0.166,0.1,3257,0.058,0.177,0.119,0.1,0.666,22.7,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,32,0,212,2,0,0,0.0,0.0,60.6,23.1,22.4,22.2,0,0,100,
30,0101,2/22/2022 11:30:58 AM ,4760,20.903,20.741,0.162,0.1,3175,0.058,0.174,0.116,0.1,0.667,22.1,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,4,0,0,0,0,0,0.0,0.0,60.5,23.1,22.8,22.2,0,0,100,
31,0101,2/22/2022 11:33:58 AM ,4669,20.903,20.743,0.160,0.1,3268,0.057,0.177,0.120,0.1,0.700,21.8,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,78,7,49,22,0,0,0.0,0.0,60.7,23.1,22.4,22.2,0,0,100,
32,0101,2/22/2022 11:36:38 AM ,4543,20.903,20.746,0.157,0.1,3327,0.057,0.179,0.122,0.1,0.732,21.4,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.8,23.2,22.9,22.2,0,0,100,
33,0101,2/22/2022 11:39:38 AM ,4534,20.903,20.747,0.156,0.1,3210,0.057,0.175,0.117,0.1,0.708,21.3,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,27,1,21,11,0,0,0.0,0.0,60.6,23.1,22.5,22.2,0,0,100,
34,0101,2/22/2022 11:42:18 AM ,4567,20.903,20.746,0.157,0.1,3333,0.057,0.179,0.122,0.1,0.730,21.5,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,312,0,0,0,0,2,0.0,0.0,60.5,23.1,22.9,22.2,0,0,100,
35,0101,2/22/2022 11:45:18 AM ,4594,20.903,20.745,0.158,0.2,3298,0.058,0.179,0.120,0.1,0.718,21.6,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,23,1,3,0,0,1,0.0,0.0,60.5,23.1,22.4,22.2,0,0,100,
36,0101,2/22/2022 11:47:58 AM ,4476,20.903,20.749,0.154,0.2,3272,0.058,0.177,0.119,0.1,0.731,21.1,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,2,0.0,0.0,60.6,23.2,22.9,22.2,0,0,100,
37,0101,2/22/2022 11:50:58 AM ,4572,20.903,20.746,0.157,0.2,3235,0.059,0.178,0.118,0.1,0.708,21.4,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,38,2,20,1,0,1,0.0,0.0,60.4,23.1,22.4,22.2,0,0,100,
38,0101,2/22/2022 11:53:38 AM ,4523,20.903,20.747,0.156,0.2,3264,0.059,0.179,0.120,0.1,0.722,21.3,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,214,0,0,0,0,2,0.0,0.0,60.4,23.1,22.8,22.2,0,0,100,
39,0101,2/22/2022 11:56:38 AM ,4523,20.903,20.748,0.155,0.2,3195,0.059,0.176,0.117,0.1,0.706,21.2,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,8,0,9,0,0,1,0.0,0.0,60.4,23.2,22.4,22.2,0,0,100,
40,EVENT,2/22/2022 11:59:18 AM ,4814,20.903,20.740,0.163,0.2,3197,0.059,0.175,0.117,0.1,0.664,22.3,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,12,0,141,11,0,1,0.0,0.0,60.7,23.2,22.9,22.2,0,0,100,
41,0101,2/22/2022 12:02:18 PM ,4703,20.903,20.743,0.160,0.2,3150,0.059,0.174,0.115,0.1,0.670,21.8,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,61,33,181,94,1,1,0.0,0.0,61.0,23.1,22.4,22.2,0,0,100,
42,0101,2/22/2022 12:04:58 PM ,3982,20.903,20.765,0.138,0.2,2998,0.059,0.168,0.109,0.1,0.753,18.9,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,19,14,24,15,0,0,0.0,0.0,61.0,23.2,22.9,22.2,0,0,100,
43,0101,2/22/2022 12:07:58 PM ,3363,20.903,20.787,0.116,0.2,2401,0.059,0.147,0.088,0.1,0.714,15.8,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,2,1,0,0,0.0,0.0,60.6,23.1,22.5,22.2,0,0,100,
44,EVENT,2/22/2022 12:10:38 PM ,2983,20.903,20.799,0.104,0.2,2269,0.059,0.142,0.083,0.1,0.761,14.2,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,18,2,0,2,0.0,0.0,60.7,23.2,22.9,22.2,0,0,100,
45,0101,2/22/2022 12:13:38 PM ,3047,20.903,20.798,0.105,0.2,2181,0.059,0.139,0.080,0.1,0.716,14.3,0.911,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,60.6,23.1,22.5,22.2,0,0,100,
46,0101,2/22/2022 12:16:18 PM ,3239,20.903,20.791,0.112,0.2,2415,0.059,0.148,0.088,0.1,0.746,15.3,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,1,6,5,0,1,0.0,0.0,60.7,23.1,22.9,22.2,0,0,100,
47,EVENT,2/22/2022 12:19:18 PM ,3548,20.903,20.782,0.121,0.2,2445,0.060,0.149,0.089,0.1,0.689,16.5,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,1,0.0,0.0,60.5,23.1,22.4,22.2,0,0,100,
48,0101,2/22/2022 12:21:58 PM ,3803,20.903,20.772,0.131,0.2,2791,0.060,0.162,0.102,0.1,0.734,17.9,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,1,0,0,0.0,0.0,60.5,23.1,22.9,22.2,0,0,100,
49,EVENT,2/22/2022 12:24:58 PM ,4105,20.903,20.762,0.141,0.2,2850,0.059,0.164,0.104,0.1,0.694,19.2,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,1,1,0,1,0.0,0.0,60.4,23.1,22.4,22.2,0,0,100,
50,0101,2/22/2022 12:27:38 PM ,4236,20.903,20.757,0.146,0.2,3068,0.059,0.171,0.112,0.1,0.724,19.9,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,6,2,0,0,0.0,0.0,60.4,23.1,22.9,22.2,0,0,100,
51,EVENT,2/22/2022 12:30:38 PM ,4404,20.903,20.752,0.151,0.2,3093,0.060,0.173,0.113,0.1,0.702,20.6,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,4,1,0,0,0.0,0.0,60.5,23.1,22.4,22.2,0,0,100,
