Oxymax CSV File 

CSV Generation Date,10/10/2022 8:52:20 AM 
Experiment Started,2/22/2022 10:08:14 AM
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-02-22 Chen Mice 22C FUS vs Sham Stimulation.CDTA

Group/Cage,0105
O2 Calibration Date,9/19/2022 8:09:00 AM
CO2 Calibration Date,9/19/2022 8:09:00 AM
Subject ID,1B
Subject Mass (G), 20.1 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0105,2/22/2022 10:10:18 AM ,5875,20.903,20.696,0.207,0.0,4869,0.058,0.236,0.178,0.0,0.829,28.4,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,24,1,26,3,0,0,0.0,0.0,64.8,22.3,22.8,22.2,0,0,100,
2,0105,2/22/2022 10:12:58 AM ,6086,20.903,20.688,0.215,0.0,5146,0.058,0.246,0.188,0.0,0.846,29.6,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,262,83,229,97,5,0,0.0,0.0,65.1,22.3,22.5,22.2,0,0,100,
3,0105,2/22/2022 10:15:58 AM ,6408,20.903,20.679,0.224,0.0,5089,0.058,0.244,0.186,0.0,0.794,30.7,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,91,44,211,114,2,0,0.0,0.0,65.0,22.4,22.7,22.2,0,0,100,
4,0105,2/22/2022 10:18:38 AM ,6264,20.903,20.684,0.219,0.0,4976,0.058,0.240,0.182,0.0,0.794,30.0,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,147,68,157,61,0,0,0.0,0.0,65.2,22.3,22.5,22.2,0,0,100,
5,0105,2/22/2022 10:21:38 AM ,6286,20.903,20.683,0.220,0.0,5105,0.059,0.245,0.186,0.0,0.812,30.3,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,282,157,412,267,11,0,0.0,0.0,65.3,22.3,22.7,22.2,0,0,100,
6,0105,2/22/2022 10:24:18 AM ,5961,20.903,20.692,0.211,0.0,5104,0.059,0.245,0.186,0.0,0.856,29.0,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,7,2,30,8,0,0,0.0,0.0,65.5,22.3,22.4,22.2,0,0,100,
7,0105,2/22/2022 10:27:18 AM ,5595,20.903,20.707,0.196,0.0,4503,0.065,0.229,0.165,0.0,0.805,26.9,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,30,14,12,3,1,0,0.0,0.0,64.9,22.4,22.9,22.2,0,0,100,
8,0105,2/22/2022 10:29:58 AM ,5349,20.903,20.716,0.187,0.0,4286,0.065,0.222,0.157,0.0,0.801,25.7,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,3,0,0,0,0.0,0.0,64.7,22.4,22.4,22.2,0,0,100,
9,0105,2/22/2022 10:32:58 AM ,5147,20.903,20.723,0.180,0.0,4157,0.066,0.218,0.152,0.0,0.808,24.8,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,20,0,0,0,0.0,0.0,64.7,22.3,22.8,22.2,0,0,100,
10,0105,2/22/2022 10:35:38 AM ,5148,20.903,20.723,0.180,0.0,4123,0.066,0.216,0.151,0.0,0.801,24.7,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,0,0.0,0.0,64.5,22.3,22.3,22.2,0,0,100,
11,0105,2/22/2022 10:38:38 AM ,4999,20.903,20.727,0.176,0.1,4135,0.064,0.216,0.151,0.0,0.827,24.2,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,7,2,1,0,0,0,0.0,0.0,64.5,22.3,22.8,22.2,0,0,100,
12,0105,2/22/2022 10:41:18 AM ,5086,20.903,20.724,0.179,0.1,4120,0.064,0.216,0.151,0.0,0.810,24.5,0.912,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,49,36,21,7,0,0,0.0,0.0,64.6,22.4,22.3,22.2,0,0,100,
13,0105,2/22/2022 10:44:18 AM ,5077,20.903,20.725,0.178,0.1,4133,0.063,0.213,0.151,0.1,0.814,24.5,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,15,1,0,0,0,0,0.0,0.0,64.6,22.3,22.8,22.2,0,0,100,
14,0105,2/22/2022 10:46:58 AM ,5106,20.903,20.725,0.178,0.1,4051,0.063,0.210,0.148,0.1,0.793,24.5,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,0,0,0,0,0.0,0.0,64.4,22.3,22.3,22.2,0,0,100,
15,0105,2/22/2022 10:49:58 AM ,4912,20.903,20.732,0.171,0.1,3892,0.061,0.203,0.142,0.1,0.792,23.5,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,5,1,0,0,0,0,0.0,0.0,64.4,22.3,22.8,22.2,0,0,100,
16,0105,2/22/2022 10:52:38 AM ,4912,20.903,20.732,0.171,0.1,3872,0.061,0.203,0.141,0.1,0.788,23.5,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,1,2,0,0,0,0.0,0.0,64.3,22.3,22.3,22.2,0,0,100,
17,0105,2/22/2022 10:55:38 AM ,4957,20.903,20.730,0.173,0.1,3860,0.060,0.201,0.141,0.1,0.779,23.7,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,64.3,22.2,22.8,22.2,0,0,100,
18,0105,2/22/2022 10:58:18 AM ,4916,20.903,20.731,0.172,0.1,3800,0.060,0.200,0.140,0.1,0.773,23.4,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,64.2,22.3,22.3,22.2,0,0,100,
19,0105,2/22/2022 11:01:18 AM ,4707,20.903,20.739,0.164,0.1,3624,0.059,0.192,0.133,0.1,0.770,22.4,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,27,11,38,6,0,0,0.0,0.0,64.3,22.3,22.8,22.2,0,0,100,
20,0105,2/22/2022 11:03:58 AM ,5555,20.903,20.708,0.195,0.1,4446,0.059,0.222,0.163,0.1,0.800,26.7,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,225,93,328,159,24,0,0.0,0.0,64.8,22.3,22.3,22.2,0,0,100,
21,0105,2/22/2022 11:06:58 AM ,5942,20.903,20.695,0.208,0.1,4775,0.059,0.233,0.175,0.1,0.804,28.6,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,537,187,425,253,21,0,0.0,0.0,65.2,22.3,22.8,22.2,0,0,100,
22,0105,2/22/2022 11:09:38 AM ,6027,20.903,20.691,0.212,0.1,4877,0.059,0.237,0.178,0.1,0.809,29.0,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,272,72,180,106,10,0,0.0,0.0,65.2,22.3,22.3,22.2,0,0,100,
23,0105,2/22/2022 11:12:38 AM ,5987,20.903,20.692,0.211,0.1,4969,0.058,0.240,0.181,0.1,0.830,29.0,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,141,62,205,73,0,0,0.0,0.0,65.3,22.3,22.7,22.2,0,0,100,
24,0105,2/22/2022 11:15:18 AM ,6003,20.903,20.691,0.212,0.1,5060,0.058,0.244,0.185,0.1,0.843,29.1,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,470,254,575,362,12,0,0.0,0.0,65.0,22.4,22.4,22.2,0,0,100,
25,0105,2/22/2022 11:18:18 AM ,5930,20.903,20.694,0.209,0.1,4974,0.058,0.239,0.182,0.1,0.839,28.8,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,215,111,363,196,3,0,0.0,0.0,65.1,22.3,22.8,22.2,0,0,100,
26,0105,2/22/2022 11:20:58 AM ,5964,20.903,20.692,0.211,0.1,5088,0.058,0.243,0.186,0.1,0.853,29.0,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,114,70,382,164,19,0,0.0,0.0,65.7,22.4,22.4,22.2,0,0,100,
27,0105,2/22/2022 11:23:58 AM ,6061,20.903,20.688,0.215,0.1,5262,0.058,0.250,0.192,0.1,0.868,29.6,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,474,288,687,468,5,0,0.0,0.0,65.9,22.3,22.7,22.2,0,0,100,
28,0105,2/22/2022 11:26:38 AM ,6154,20.903,20.685,0.218,0.1,5312,0.058,0.251,0.194,0.1,0.863,30.0,0.919,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,424,275,624,436,2,0,0.0,0.0,65.6,22.4,22.5,22.2,0,0,100,
29,0105,2/22/2022 11:29:38 AM ,5941,20.903,20.692,0.211,0.1,5084,0.058,0.244,0.186,0.1,0.856,28.9,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,86,37,212,52,0,0,0.0,0.0,66.2,22.3,22.7,22.2,0,0,100,
30,0105,2/22/2022 11:32:18 AM ,5892,20.903,20.693,0.210,0.2,5099,0.058,0.244,0.187,0.1,0.865,28.8,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,78,19,123,39,1,0,0.0,0.0,66.0,22.3,22.5,22.2,0,0,100,
31,0105,2/22/2022 11:35:18 AM ,6036,20.903,20.688,0.215,0.2,5215,0.057,0.249,0.191,0.1,0.864,29.5,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,45,0,157,16,0,0,0.0,0.0,66.4,22.3,22.7,22.2,0,0,100,
32,0105,2/22/2022 11:37:58 AM ,6024,20.903,20.689,0.214,0.2,5229,0.057,0.249,0.191,0.1,0.868,29.4,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,177,7,103,3,0,0,0.0,0.0,66.3,22.4,22.5,22.2,0,0,100,
33,0105,2/22/2022 11:40:58 AM ,5737,20.903,20.699,0.204,0.2,4991,0.057,0.240,0.183,0.1,0.870,28.0,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,57,0,21,3,0,0,0.0,0.0,66.0,22.3,22.7,22.2,0,0,100,
34,0105,2/22/2022 11:43:38 AM ,5427,20.903,20.710,0.193,0.2,4713,0.057,0.230,0.173,0.1,0.868,26.5,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,65.7,22.4,22.5,22.2,0,0,100,
35,0105,2/22/2022 11:46:38 AM ,5316,20.903,20.715,0.188,0.2,4513,0.058,0.223,0.165,0.1,0.849,25.8,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,1,0,0,0,0,0,0.0,0.0,65.8,22.3,22.7,22.2,0,0,100,
36,0105,2/22/2022 11:49:18 AM ,5242,20.903,20.717,0.185,0.2,4453,0.058,0.221,0.163,0.2,0.850,25.5,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,65.4,22.4,22.6,22.2,0,0,100,
37,0105,2/22/2022 11:52:18 AM ,5135,20.903,20.721,0.182,0.2,4287,0.059,0.217,0.157,0.2,0.835,24.9,0.913,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,65.5,22.3,22.6,22.2,0,0,100,
38,0105,2/22/2022 11:54:58 AM ,5125,20.903,20.722,0.181,0.2,4246,0.059,0.215,0.156,0.2,0.828,24.8,0.914,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,65.4,22.4,22.6,22.2,0,0,100,
39,0105,2/22/2022 11:57:58 AM ,5004,20.903,20.727,0.176,0.2,4073,0.059,0.208,0.149,0.2,0.814,24.1,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,2,0,0,0,0,0,0.0,0.0,65.4,22.3,22.6,22.2,0,0,100,
40,EVENT,2/22/2022 12:00:38 PM ,5061,20.903,20.725,0.178,0.2,4108,0.059,0.209,0.150,0.2,0.812,24.4,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,65.3,22.3,22.5,22.2,0,0,100,
41,0105,2/22/2022 12:03:38 PM ,5047,20.903,20.726,0.177,0.2,4089,0.059,0.208,0.149,0.2,0.810,24.3,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,10,0,0,0,0,0,0.0,0.0,65.4,22.2,22.7,22.2,0,0,100,
42,0105,2/22/2022 12:06:18 PM ,5033,20.903,20.726,0.177,0.2,4052,0.059,0.207,0.148,0.2,0.805,24.2,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,14,0,0,0,0,0,0.0,0.0,65.1,22.4,22.4,22.2,0,0,100,
43,0105,2/22/2022 12:09:18 PM ,4883,20.903,20.732,0.171,0.2,3884,0.059,0.201,0.142,0.2,0.795,23.4,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,16,0,5,0,0,0,0.0,0.0,65.2,22.3,22.7,22.2,0,0,100,
44,EVENT,2/22/2022 12:11:58 PM ,4699,20.903,20.738,0.165,0.2,3758,0.059,0.197,0.138,0.2,0.800,22.6,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,0,0.0,0.0,65.0,22.4,22.5,22.2,0,0,100,
45,0105,2/22/2022 12:14:58 PM ,4788,20.903,20.735,0.168,0.2,3773,0.059,0.197,0.138,0.2,0.788,22.9,0.914,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,5,0,0,0,0,0,0.0,0.0,65.2,22.2,22.7,22.2,0,0,100,
46,0105,2/22/2022 12:17:38 PM ,4808,20.903,20.735,0.168,0.2,3808,0.059,0.199,0.139,0.2,0.792,23.0,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,8,0,2,0,0,0,0.0,0.0,64.9,22.3,22.5,22.2,0,0,100,
47,EVENT,2/22/2022 12:20:38 PM ,5286,20.903,20.718,0.185,0.2,4272,0.060,0.216,0.156,0.2,0.808,25.4,0.917,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,167,65,145,91,5,0,0.0,0.0,65.4,22.3,22.7,22.2,0,0,100,
48,0105,2/22/2022 12:23:18 PM ,5650,20.903,20.705,0.198,0.2,4607,0.060,0.228,0.168,0.2,0.815,27.2,0.918,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,99,44,189,95,14,0,0.0,0.0,65.5,22.3,22.5,22.2,0,0,100,
49,EVENT,2/22/2022 12:26:18 PM ,5541,20.903,20.708,0.195,0.2,4564,0.059,0.226,0.167,0.2,0.824,26.8,0.915,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,109,24,80,56,1,0,0.0,0.0,65.3,22.3,22.7,22.2,0,0,100,
50,0105,2/22/2022 12:28:58 PM ,5625,20.903,20.705,0.198,0.3,4617,0.059,0.228,0.169,0.2,0.821,27.1,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,78,32,84,36,4,0,0.0,0.0,65.3,22.3,22.5,22.2,0,0,100,
51,EVENT,2/22/2022 12:31:58 PM ,5567,20.903,20.707,0.196,0.3,4616,0.060,0.229,0.169,0.2,0.829,26.9,0.916,75.00,CELL NOT RESPONDING / OPEN,0.00,0.00,0.000,0.000,90,35,121,66,5,0,0.0,0.0,65.4,22.3,22.7,22.2,0,0,100,
