Oxymax CSV File 

CSV Generation Date,3/15/2022 6:01:42 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0103
O2 Calibration Date,3/14/2022 6:02:27 AM
CO2 Calibration Date,3/14/2022 6:02:27 AM
Subject ID,16-2
Subject Mass (G), 30.4 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0103,3/14/2022 6:55:39 AM ,6050,20.905,20.579,0.325,0.0,5315,0.057,0.350,0.293,0.0,0.878,29.6,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,33,25,54,27,0,0,0.0,0.0,30.2,30.8,30.1,30.0,0,0,100,
2,0103,3/14/2022 7:01:19 AM ,4613,20.905,20.658,0.247,0.0,3908,0.059,0.274,0.216,0.0,0.847,22.4,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,141,34,255,118,11,0,0.0,0.0,30.2,30.9,30.4,30.0,0,0,100,
3,0103,3/14/2022 7:06:59 AM ,3722,20.905,20.706,0.198,0.0,3090,0.058,0.229,0.171,0.0,0.830,18.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,81,23,179,60,0,0,0.0,0.0,30.0,30.9,30.6,30.0,0,0,100,
4,0103,3/14/2022 7:12:39 AM ,2934,20.905,20.751,0.153,0.0,2181,0.058,0.179,0.121,0.0,0.743,13.9,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,4,0,7,0,0,0,0.0,0.0,29.2,31.0,30.4,30.0,0,0,100,
5,0103,3/14/2022 7:18:19 AM ,2351,20.905,20.780,0.124,0.0,1891,0.058,0.162,0.104,0.0,0.804,11.3,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,816,2,25,4,0,0,0.0,0.0,28.9,31.0,30.2,30.0,0,0,100,
6,0103,3/14/2022 7:23:59 AM ,2184,20.905,20.790,0.115,0.1,1699,0.057,0.151,0.094,0.0,0.778,10.4,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,283,6,50,27,0,0,0.0,0.0,28.8,31.1,30.2,30.0,0,0,100,
7,0103,3/14/2022 7:29:39 AM ,1946,20.905,20.802,0.102,0.1,1509,0.056,0.140,0.083,0.0,0.775,9.3,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,17,0,26,12,19,0,0.0,0.0,28.6,31.1,30.7,30.0,0,0,100,
8,0103,3/14/2022 7:35:19 AM ,2298,20.905,20.783,0.122,0.1,1886,0.054,0.158,0.104,0.1,0.821,11.1,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,18,1,147,38,421,0,0.0,0.0,29.0,31.1,30.5,30.0,0,0,100,
9,0103,3/14/2022 7:40:59 AM ,2431,20.905,20.776,0.128,0.1,1924,0.055,0.161,0.106,0.1,0.792,11.6,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,208,15,146,19,0,0,0.0,0.0,29.0,31.1,30.2,30.0,0,0,100,
10,0103,3/14/2022 7:46:39 AM ,2369,20.905,20.779,0.126,0.1,1929,0.055,0.162,0.107,0.1,0.815,11.4,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,125,53,184,71,11,0,0.0,0.0,29.2,31.1,30.1,30.0,0,0,100,
11,0103,3/14/2022 7:52:19 AM ,2385,20.905,20.779,0.126,0.1,1903,0.055,0.160,0.105,0.1,0.798,11.4,0.918,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,142,5,216,73,33,0,0.0,0.0,29.5,31.1,30.5,30.0,0,0,100,
12,0103,3/14/2022 7:57:59 AM ,2053,20.905,20.796,0.109,0.1,1661,0.054,0.146,0.092,0.1,0.809,9.9,0.917,75.00,UNSTABLE / OPEN,0.00,0.00,0.000,0.000,9,1,40,24,0,0,0.0,0.0,29.3,31.1,30.6,30.0,0,0,100,
13,0103,3/14/2022 8:03:39 AM ,2025,20.905,20.798,0.107,0.1,1617,0.052,0.141,0.089,0.1,0.798,9.7,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,9,2,82,21,175,0,0.0,0.0,29.1,31.0,30.4,30.0,0,0,100,
14,0103,3/14/2022 8:09:19 AM ,1846,20.905,20.808,0.097,0.1,1410,0.053,0.131,0.078,0.1,0.764,8.8,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,1,1,0,0,0.0,0.0,29.0,31.1,30.2,30.0,0,0,100,
15,0103,3/14/2022 8:14:59 AM ,1681,20.905,20.816,0.089,0.1,1331,0.052,0.126,0.074,0.1,0.792,8.1,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,28.7,31.1,30.1,30.0,0,0,100,
16,0103,3/14/2022 8:20:39 AM ,1620,20.905,20.820,0.085,0.1,1258,0.052,0.122,0.069,0.1,0.777,7.7,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,28.6,31.0,30.7,30.0,0,0,100,
17,0103,3/14/2022 8:26:19 AM ,1684,20.905,20.815,0.089,0.1,1367,0.052,0.127,0.075,0.1,0.811,8.1,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,9,0,14,0,0,0,0.0,0.0,28.7,31.1,30.5,30.0,0,0,100,
18,0103,3/14/2022 8:31:59 AM ,1561,20.905,20.821,0.084,0.1,1344,0.052,0.126,0.074,0.1,0.861,7.6,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,2,0,0,0,0.0,0.0,28.4,31.0,30.3,30.0,0,0,100,
19,0103,3/14/2022 8:37:39 AM ,1542,20.905,20.823,0.082,0.1,1267,0.052,0.122,0.070,0.1,0.821,7.4,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,28.3,31.0,30.1,30.0,0,0,100,
20,0103,3/14/2022 8:43:19 AM ,1511,20.905,20.825,0.080,0.1,1199,0.053,0.119,0.066,0.1,0.793,7.2,0.916,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,22,17,0,0,0.0,0.0,28.2,31.1,30.3,30.0,0,0,100,
21,0103,3/14/2022 8:48:59 AM ,1449,20.905,20.828,0.077,0.1,1200,0.050,0.116,0.066,0.1,0.828,7.0,0.917,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,0,0,0,0,0.0,0.0,28.1,31.0,30.7,30.0,0,0,100,
22,0103,3/14/2022 8:54:39 AM ,1423,20.905,20.829,0.076,0.1,1163,0.052,0.116,0.064,0.1,0.817,6.9,0.918,75.00,STABLE / OPEN,0.00,0.00,0.000,0.000,0,0,3,2,0,0,0.0,0.0,28.0,31.0,30.5,30.0,0,0,100,
23,0103,3/14/2022 9:00:19 AM ,1459,20.905,20.828,0.077,0.1,1146,0.052,0.115,0.063,0.1,0.786,7.0,0.917,75.00,STABLE / OPEN,0.05,0.05,0.000,0.000,0,0,0,0,0,0,0.0,0.0,28.0,31.0,30.3,30.0,0,0,100,
24,0103,3/14/2022 9:05:59 AM ,1899,20.905,20.804,0.101,0.1,1534,0.051,0.136,0.085,0.1,0.808,9.1,0.917,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,200,21,278,60,0,0,0.0,0.0,28.1,31.0,30.0,30.0,0,0,100,
25,0103,3/14/2022 9:11:39 AM ,2374,20.905,20.779,0.126,0.2,1927,0.052,0.158,0.106,0.1,0.812,11.4,0.917,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,0.000,188,6,273,59,20,0,0.0,0.0,28.4,31.0,30.6,30.0,0,0,100,
26,0103,3/14/2022 9:17:19 AM ,2417,20.905,20.777,0.128,0.2,1912,0.051,0.156,0.106,0.1,0.791,11.6,0.918,75.00,NO RESPONSE / OPEN,0.07,0.13,0.000,0.000,112,22,117,47,12,0,0.0,0.0,28.3,31.0,30.6,30.0,0,0,100,
27,0103,3/14/2022 9:22:59 AM ,2123,20.905,20.793,0.112,0.2,1626,0.050,0.140,0.090,0.1,0.766,10.1,0.916,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,23,18,50,28,0,0,0.0,0.0,28.1,31.0,30.3,30.0,0,0,100,
28,0103,3/14/2022 9:28:39 AM ,1856,20.905,20.808,0.097,0.2,1392,0.051,0.128,0.077,0.1,0.750,8.8,0.918,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,0,0,3,0,0,0,0.0,0.0,27.9,31.0,30.1,30.0,0,0,100,
29,0103,3/14/2022 9:34:19 AM ,1726,20.905,20.814,0.091,0.2,1312,0.051,0.124,0.073,0.1,0.760,8.2,0.916,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,0,0,3,1,0,0,0.0,0.0,27.7,31.0,30.2,30.0,0,0,100,
30,0103,3/14/2022 9:39:59 AM ,1674,20.905,20.816,0.089,0.2,1359,0.049,0.124,0.075,0.1,0.812,8.1,0.918,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,1,0,9,4,0,0,0.0,0.0,27.7,31.0,30.7,30.0,0,0,100,
31,0103,3/14/2022 9:45:39 AM ,1596,20.905,20.820,0.084,0.2,1269,0.050,0.121,0.070,0.2,0.795,7.7,0.916,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,0,0,0,0,0,0,0.0,0.0,27.6,31.0,30.5,30.0,0,0,100,
32,0103,3/14/2022 9:51:19 AM ,1530,20.905,20.823,0.082,0.2,1280,0.049,0.120,0.071,0.2,0.836,7.4,0.917,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,6,4,11,7,0,0,0.0,0.0,27.5,31.0,30.3,30.0,0,0,100,
33,0103,3/14/2022 9:56:59 AM ,1517,20.905,20.824,0.080,0.2,1207,0.051,0.117,0.067,0.2,0.796,7.3,0.915,75.00,STABLE / OPEN,0.00,0.13,0.000,0.000,0,0,13,0,0,0,0.0,0.0,27.4,31.0,30.1,30.0,0,0,100,
34,0103,3/14/2022 10:02:39 AM ,1552,20.905,20.822,0.083,0.2,1324,0.050,0.123,0.073,0.2,0.853,7.6,0.917,75.00,STABLE / OPEN,0.07,0.20,0.000,0.000,12,3,68,34,0,0,0.0,0.0,27.4,31.0,30.4,30.0,0,0,100,
35,0103,3/14/2022 10:08:19 AM ,1539,20.905,20.823,0.081,0.2,1222,0.051,0.118,0.068,0.2,0.794,7.4,0.916,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,0,0,13,5,0,0,0.0,0.0,27.3,31.0,30.6,30.0,0,0,100,
36,0103,3/14/2022 10:13:59 AM ,1502,20.905,20.825,0.080,0.2,1234,0.050,0.118,0.068,0.2,0.821,7.3,0.918,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,11,3,30,22,2,0,0.0,0.0,27.3,31.0,30.4,30.0,0,0,100,
37,0103,3/14/2022 10:19:39 AM ,1841,20.905,20.807,0.098,0.2,1529,0.050,0.134,0.084,0.2,0.831,8.9,0.917,75.00,STABLE / OPEN,0.00,0.20,0.000,0.000,248,39,392,53,0,0,0.0,0.0,27.5,31.0,30.2,30.0,0,0,100,
38,0103,3/14/2022 10:25:19 AM ,2075,20.905,20.794,0.111,0.2,1754,0.050,0.146,0.097,0.2,0.845,10.1,0.917,75.00,UNSTABLE / OPEN,0.00,0.20,0.000,0.000,247,58,236,82,0,0,0.0,0.0,27.7,31.0,30.1,30.0,0,0,100,
39,0103,3/14/2022 10:30:59 AM ,2206,20.905,20.788,0.117,0.2,1768,0.049,0.147,0.098,0.2,0.801,10.6,0.917,75.00,STABLE / OPEN,0.10,0.29,0.000,0.000,235,13,76,39,8,0,0.0,0.0,27.7,31.0,30.6,30.0,0,0,100,
40,0103,3/14/2022 10:36:39 AM ,2290,20.905,20.782,0.123,0.2,1949,0.049,0.157,0.108,0.2,0.851,11.1,0.918,75.00,UNSTABLE / OPEN,0.00,0.29,0.683,0.683,125,53,280,139,16,0,0.0,0.0,27.8,31.0,30.5,30.0,0,0,100,
41,0103,3/14/2022 10:42:19 AM ,2051,20.905,20.796,0.109,0.2,1648,0.051,0.142,0.091,0.2,0.803,9.9,0.917,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,35,18,63,30,4,0,0.0,0.0,27.6,31.0,30.3,30.0,0,0,100,
42,0103,3/14/2022 10:47:59 AM ,1819,20.905,20.809,0.096,0.2,1443,0.050,0.129,0.080,0.2,0.793,8.7,0.918,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,0,0,0,0,0,0,0.0,0.0,27.3,31.1,30.0,30.0,0,0,100,
43,0103,3/14/2022 10:53:39 AM ,1705,20.905,20.815,0.090,0.2,1356,0.050,0.125,0.075,0.2,0.795,8.2,0.917,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,0,0,0,0,0,0,0.0,0.0,27.2,31.0,30.5,30.0,0,0,100,
44,0103,3/14/2022 10:59:19 AM ,1595,20.905,20.820,0.084,0.3,1281,0.051,0.121,0.071,0.2,0.803,7.7,0.917,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,0,0,0,0,0,0,0.0,0.0,27.2,31.0,30.6,30.0,0,0,100,
45,0103,3/14/2022 11:04:59 AM ,1590,20.905,20.821,0.084,0.3,1285,0.050,0.121,0.071,0.2,0.808,7.6,0.918,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,0,0,0,0,0,0,0.0,0.0,27.0,31.0,30.3,30.0,0,0,100,
46,0103,3/14/2022 11:10:39 AM ,1462,20.905,20.826,0.079,0.3,1278,0.050,0.120,0.071,0.2,0.874,7.2,0.918,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,0,0,0,0,0,0,0.0,0.0,26.9,31.0,30.1,30.0,0,0,100,
47,0103,3/14/2022 11:16:19 AM ,1494,20.905,20.825,0.080,0.3,1271,0.050,0.120,0.070,0.2,0.851,7.3,0.918,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,1,0,2,0,0,0,0.0,0.0,26.9,31.0,30.4,30.0,0,0,100,
48,0103,3/14/2022 11:21:59 AM ,1459,20.905,20.826,0.079,0.3,1299,0.050,0.122,0.072,0.2,0.890,7.2,0.917,75.00,STABLE / OPEN,0.00,0.29,0.000,0.683,37,17,63,19,0,0,0.0,0.0,26.7,31.0,30.6,30.0,0,0,100,
49,0103,3/14/2022 11:27:39 AM ,1394,20.905,20.830,0.075,0.3,1230,0.050,0.118,0.068,0.2,0.882,6.8,0.918,75.00,STABLE / OPEN,0.00,0.29,0.050,0.733,0,0,0,0,0,0,0.0,0.0,26.7,31.0,30.5,30.0,0,0,100,
50,0103,3/14/2022 11:33:19 AM ,1363,20.905,20.832,0.073,0.3,1126,0.050,0.112,0.062,0.2,0.826,6.6,0.917,75.00,STABLE / OPEN,0.00,0.29,0.000,0.733,0,0,0,0,0,0,0.0,0.0,26.6,31.0,30.2,30.0,0,0,100,
51,0103,3/14/2022 11:38:59 AM ,1468,20.905,20.826,0.078,0.3,1240,0.050,0.118,0.068,0.2,0.845,7.1,0.918,75.00,STABLE / OPEN,0.00,0.29,0.000,0.733,10,0,33,1,0,0,0.0,0.0,26.5,31.0,30.1,30.0,0,0,100,
52,0103,3/14/2022 11:44:39 AM ,1836,20.905,20.807,0.098,0.3,1543,0.049,0.134,0.085,0.2,0.840,8.9,0.917,75.00,STABLE / OPEN,0.00,0.29,0.000,0.733,287,4,368,57,0,0,0.0,0.0,26.9,31.0,30.6,30.0,0,0,100,
53,0103,3/14/2022 11:50:19 AM ,1964,20.905,20.800,0.105,0.3,1633,0.050,0.140,0.090,0.2,0.831,9.5,0.919,75.00,STABLE / OPEN,0.00,0.29,0.000,0.733,176,20,151,28,8,0,0.0,0.0,27.0,30.9,30.5,30.0,0,0,100,
