Oxymax CSV File 

CSV Generation Date,3/15/2022 6:01:49 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0111
O2 Calibration Date,3/14/2022 6:02:27 AM
CO2 Calibration Date,3/14/2022 6:02:27 AM
Subject ID,F8-2
Subject Mass (G), 17.7 

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,CHAN,DATE/TIME,VO2,O2IN,O2OUT,DO2,ACCO2,VCO2,CO2IN,CO2OUT,DCO2,ACCCO2,RER,HEAT,FLOW,PRESSURE,STATUS1,FEED1,FEED1 ACC,DRINK1,DRINK1 ACC,XTOT,XAMB,YTOT,YAMB,ZTOT,RESP,RH SAMP,RH REF,RH Cage,TEMP Cage,ENCLOSURE TEMP,ENCLOSURE SETPOINT,LED HUE,LED SATURATION,LED LIGHTNESS,
#,,,ml/kg/hr,%,%,,l,ml/kg/hr,%,%,,l,,kcal/kg/hr,LPM,kPa,,GRAMS,GRAMS,GRAMS,GRAMS,COUNTS,COUNTS,COUNTS,COUNTS,COUNTS,BPM,%,%,%,degC,degC,degC,,%,%,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
1,0111,3/14/2022 6:58:19 AM ,5020,20.905,20.747,0.158,0.0,3786,0.057,0.182,0.125,0.0,0.754,23.8,0.890,75.00,STABLE / OPEN,0.05,0.05,0.000,0.000,616,335,743,491,31,0,0.0,0.0,24.4,30.7,30.5,30.0,0,0,100,
2,0111,3/14/2022 7:03:59 AM ,4427,20.905,20.764,0.140,0.0,3491,0.059,0.174,0.116,0.0,0.789,21.2,0.890,75.00,STABLE / OPEN,0.00,0.05,0.000,0.000,716,396,999,581,69,0,0.0,0.0,24.3,31.0,30.2,30.0,0,0,100,
3,0111,3/14/2022 7:09:39 AM ,4124,20.905,20.774,0.131,0.0,3235,0.058,0.165,0.107,0.0,0.784,19.7,0.889,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,0.000,910,616,1027,645,97,0,0.0,0.0,25.0,31.2,30.1,30.0,0,0,100,
4,0111,3/14/2022 7:15:19 AM ,3952,20.905,20.781,0.124,0.0,2909,0.058,0.155,0.096,0.0,0.736,18.7,0.890,75.00,STABLE / OPEN,0.00,0.05,0.543,0.543,537,307,602,359,14,0,0.0,0.0,25.0,31.4,30.6,30.0,0,0,100,
5,0111,3/14/2022 7:20:59 AM ,3770,20.905,20.786,0.119,0.0,2857,0.058,0.153,0.095,0.0,0.758,17.9,0.888,75.00,STABLE / OPEN,0.00,0.05,0.000,0.543,372,201,516,328,72,0,0.0,0.0,25.0,31.5,30.5,30.0,0,0,100,
6,0111,3/14/2022 7:26:39 AM ,3533,20.905,20.794,0.111,0.0,2600,0.057,0.143,0.086,0.0,0.736,16.7,0.889,75.00,STABLE / OPEN,0.00,0.05,0.000,0.543,297,116,309,144,5,0,0.0,0.0,24.8,31.6,30.3,30.0,0,0,100,
7,0111,3/14/2022 7:32:19 AM ,3346,20.905,20.799,0.106,0.0,2559,0.056,0.141,0.085,0.0,0.765,15.9,0.888,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,0.543,271,111,433,191,5,0,0.0,0.0,25.1,31.7,30.1,30.0,0,0,100,
8,0111,3/14/2022 7:37:59 AM ,3387,20.905,20.797,0.108,0.0,2738,0.054,0.144,0.091,0.0,0.808,16.3,0.890,75.00,UNSTABLE / OPEN,0.00,0.05,0.133,0.675,723,389,1044,679,32,0,0.0,0.0,24.8,31.7,30.5,30.0,0,0,100,
9,0111,3/14/2022 7:43:39 AM ,3425,20.905,20.796,0.109,0.1,2712,0.055,0.145,0.090,0.0,0.792,16.4,0.888,75.00,STABLE / OPEN,0.00,0.05,0.055,0.730,628,315,1121,763,44,0,0.0,0.0,25.0,31.7,30.6,30.0,0,0,100,
10,0111,3/14/2022 7:49:19 AM ,3472,20.905,20.795,0.110,0.1,2678,0.055,0.144,0.089,0.0,0.771,16.5,0.890,75.00,UNSTABLE / OPEN,0.00,0.05,0.000,0.730,410,221,544,314,63,0,0.0,0.0,25.5,31.8,30.4,30.0,0,0,100,
11,0111,3/14/2022 7:54:59 AM ,3456,20.905,20.796,0.109,0.1,2616,0.055,0.142,0.087,0.0,0.757,16.4,0.889,75.00,STABLE / OPEN,0.04,0.09,0.000,0.730,367,209,414,237,38,0,0.0,0.0,25.8,31.8,30.2,30.0,0,0,100,
12,0111,3/14/2022 8:00:39 AM ,3196,20.905,20.803,0.101,0.1,2503,0.054,0.137,0.083,0.1,0.783,15.3,0.887,75.00,UNSTABLE / OPEN,0.05,0.14,0.152,0.882,523,171,406,204,12,0,0.0,0.0,25.4,31.9,30.1,30.0,0,0,100,
13,0111,3/14/2022 8:06:19 AM ,3566,20.905,20.791,0.114,0.1,2912,0.052,0.148,0.097,0.1,0.817,17.2,0.888,75.00,STABLE / OPEN,0.04,0.18,0.000,0.882,514,273,929,628,153,0,0.0,0.0,25.4,31.9,30.6,30.0,0,0,100,
14,0111,3/14/2022 8:11:59 AM ,3529,20.905,20.793,0.112,0.1,2768,0.053,0.145,0.092,0.1,0.785,16.9,0.888,75.00,UNSTABLE / OPEN,0.00,0.18,0.000,0.882,214,105,371,183,134,0,0.0,0.0,25.2,31.9,30.6,30.0,0,0,100,
15,0111,3/14/2022 8:17:39 AM ,3257,20.905,20.801,0.104,0.1,2702,0.052,0.142,0.090,0.1,0.829,15.8,0.889,75.00,STABLE / OPEN,0.00,0.18,0.000,0.882,131,78,192,89,30,0,0.0,0.0,25.0,31.9,30.3,30.0,0,0,100,
16,0111,3/14/2022 8:23:19 AM ,3285,20.905,20.800,0.105,0.1,2686,0.052,0.141,0.089,0.1,0.818,15.8,0.889,75.00,STABLE / OPEN,0.00,0.18,0.000,0.882,735,413,1143,753,18,0,0.0,0.0,25.5,32.0,30.1,30.0,0,0,100,
17,0111,3/14/2022 8:28:59 AM ,3349,20.905,20.797,0.107,0.1,2798,0.052,0.144,0.093,0.1,0.835,16.2,0.889,75.00,STABLE / OPEN,0.08,0.26,0.000,0.882,1037,550,1995,1445,4,0,0.0,0.0,25.2,31.9,30.3,30.0,0,0,100,
18,0111,3/14/2022 8:34:39 AM ,3145,20.905,20.805,0.100,0.1,2489,0.052,0.134,0.083,0.1,0.791,15.1,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,260,38,258,87,7,0,0.0,0.0,24.9,31.9,30.6,30.0,0,0,100,
19,0111,3/14/2022 8:40:19 AM ,2955,20.905,20.812,0.093,0.1,2277,0.052,0.127,0.075,0.1,0.770,14.1,0.890,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,271,17,161,2,0,0,0.0,0.0,24.8,32.0,30.5,30.0,0,0,100,
20,0111,3/14/2022 8:45:59 AM ,2553,20.905,20.824,0.081,0.1,2033,0.053,0.120,0.067,0.1,0.796,12.2,0.890,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,36,10,21,3,0,0,0.0,0.0,24.5,32.0,30.3,30.0,0,0,100,
21,0111,3/14/2022 8:51:39 AM ,2254,20.905,20.833,0.072,0.1,1880,0.050,0.113,0.062,0.1,0.834,10.9,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,0,0,1,0,0,0,0.0,0.0,24.3,32.0,30.1,30.0,0,0,100,
22,0111,3/14/2022 8:57:19 AM ,2076,20.905,20.839,0.066,0.1,1695,0.052,0.108,0.056,0.1,0.816,10.0,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,2,0,36,1,0,0,0.0,0.0,24.2,31.9,30.4,30.0,0,0,100,
23,0111,3/14/2022 9:02:59 AM ,2060,20.905,20.840,0.065,0.1,1559,0.052,0.104,0.052,0.1,0.757,9.8,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,6,0,114,5,0,0,0.0,0.0,24.2,31.9,30.6,30.0,0,0,100,
24,0111,3/14/2022 9:08:39 AM ,1947,20.905,20.843,0.062,0.1,1500,0.051,0.101,0.050,0.1,0.770,9.3,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,4,0,19,0,0,0,0.0,0.0,24.1,31.9,30.4,30.0,0,0,100,
25,0111,3/14/2022 9:14:19 AM ,1888,20.905,20.845,0.060,0.1,1454,0.052,0.100,0.048,0.1,0.770,9.0,0.890,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,8,3,12,3,0,0,0.0,0.0,24.0,31.9,30.1,30.0,0,0,100,
26,0111,3/14/2022 9:19:59 AM ,2022,20.905,20.841,0.063,0.1,1475,0.051,0.100,0.049,0.1,0.729,9.5,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,44,2,23,5,0,0,0.0,0.0,24.0,31.9,30.2,30.0,0,0,100,
27,0111,3/14/2022 9:25:39 AM ,1931,20.905,20.844,0.061,0.1,1433,0.050,0.098,0.048,0.1,0.742,9.1,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,0,0,0,0,0,0,0.0,0.0,23.7,31.9,30.7,30.0,0,0,100,
28,0111,3/14/2022 9:31:19 AM ,1825,20.905,20.847,0.058,0.1,1467,0.051,0.099,0.049,0.1,0.804,8.8,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,101,0,8,0,0,0,0.0,0.0,23.7,31.9,30.5,30.0,0,0,100,
29,0111,3/14/2022 9:36:59 AM ,1853,20.905,20.846,0.059,0.1,1454,0.051,0.100,0.048,0.1,0.784,8.9,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,58,0,10,0,0,0,0.0,0.0,23.6,31.9,30.3,30.0,0,0,100,
30,0111,3/14/2022 9:42:39 AM ,1819,20.905,20.847,0.058,0.1,1464,0.049,0.098,0.049,0.1,0.805,8.7,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,7,0,2,0,0,0,0.0,0.0,23.4,31.9,30.1,30.0,0,0,100,
31,0111,3/14/2022 9:48:19 AM ,1847,20.905,20.846,0.058,0.1,1422,0.050,0.098,0.047,0.1,0.770,8.8,0.890,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,50,0,20,0,0,0,0.0,0.0,23.4,31.9,30.4,30.0,0,0,100,
32,0111,3/14/2022 9:53:59 AM ,1852,20.905,20.846,0.059,0.2,1475,0.049,0.098,0.049,0.1,0.796,8.9,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,48,22,73,40,0,0,0.0,0.0,23.4,31.9,30.6,30.0,0,0,100,
33,0111,3/14/2022 9:59:39 AM ,1862,20.905,20.846,0.058,0.2,1368,0.051,0.096,0.045,0.1,0.735,8.8,0.890,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,0,0,0,0,0,0,0.0,0.0,23.4,31.9,30.5,30.0,0,0,100,
34,0111,3/14/2022 10:05:19 AM ,1748,20.905,20.849,0.055,0.2,1366,0.050,0.095,0.045,0.1,0.781,8.4,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,10,3,12,0,0,0,0.0,0.0,23.3,32.0,30.2,30.0,0,0,100,
35,0111,3/14/2022 10:10:59 AM ,1798,20.905,20.848,0.056,0.2,1339,0.051,0.095,0.044,0.1,0.745,8.5,0.890,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,14,0,13,0,0,0,0.0,0.0,23.2,31.9,30.0,30.0,0,0,100,
36,0111,3/14/2022 10:16:39 AM ,1758,20.905,20.849,0.056,0.2,1390,0.050,0.097,0.046,0.1,0.791,8.4,0.887,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,5,0,8,0,0,0,0.0,0.0,23.2,31.9,30.5,30.0,0,0,100,
37,0111,3/14/2022 10:22:19 AM ,1700,20.905,20.850,0.054,0.2,1394,0.050,0.096,0.046,0.1,0.820,8.2,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,9,0,31,0,0,0,0.0,0.0,23.1,31.9,30.6,30.0,0,0,100,
38,0111,3/14/2022 10:27:59 AM ,1703,20.905,20.851,0.054,0.2,1364,0.050,0.095,0.045,0.1,0.801,8.2,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,3,0,25,0,0,0,0.0,0.0,23.0,31.9,30.4,30.0,0,0,100,
39,0111,3/14/2022 10:33:39 AM ,1769,20.905,20.849,0.056,0.2,1372,0.049,0.095,0.046,0.1,0.776,8.4,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,371,0,1,0,0,0,0.0,0.0,23.0,31.9,30.1,30.0,0,0,100,
40,0111,3/14/2022 10:39:19 AM ,1764,20.905,20.848,0.056,0.2,1435,0.049,0.097,0.048,0.1,0.813,8.5,0.887,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,91,35,138,89,3,0,0.0,0.0,23.1,32.0,30.3,30.0,0,0,100,
41,0111,3/14/2022 10:44:59 AM ,2118,20.905,20.838,0.067,0.2,1593,0.051,0.104,0.053,0.1,0.752,10.0,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,152,30,69,25,3,0,0.0,0.0,23.2,31.9,30.6,30.0,0,0,100,
42,0111,3/14/2022 10:50:39 AM ,1985,20.905,20.842,0.062,0.2,1456,0.050,0.098,0.048,0.1,0.733,9.4,0.887,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,4,1,5,1,0,0,0.0,0.0,23.0,31.9,30.4,30.0,0,0,100,
43,0111,3/14/2022 10:56:19 AM ,1940,20.905,20.844,0.060,0.2,1360,0.050,0.095,0.045,0.1,0.701,9.1,0.889,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,1,0,0,0,0,0,0.0,0.0,23.0,31.9,30.2,30.0,0,0,100,
44,0111,3/14/2022 11:01:59 AM ,1731,20.905,20.850,0.055,0.2,1360,0.051,0.096,0.045,0.1,0.786,8.3,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,7,0,4,0,0,0,0.0,0.0,22.9,31.9,30.2,30.0,0,0,100,
45,0111,3/14/2022 11:07:39 AM ,1802,20.905,20.848,0.057,0.2,1387,0.050,0.096,0.046,0.1,0.770,8.6,0.888,75.00,UNSTABLE / OPEN,0.00,0.26,0.000,0.882,169,2,51,26,0,0,0.0,0.0,22.9,31.9,30.7,30.0,0,0,100,
46,0111,3/14/2022 11:13:19 AM ,1655,20.905,20.852,0.052,0.2,1297,0.050,0.093,0.043,0.2,0.784,7.9,0.888,75.00,STABLE / OPEN,0.00,0.26,0.000,0.882,0,0,0,0,0,0,0.0,0.0,22.9,31.9,30.4,30.0,0,0,100,
47,0111,3/14/2022 11:18:59 AM ,1666,20.905,20.852,0.052,0.2,1246,0.050,0.092,0.041,0.2,0.748,7.9,0.889,75.00,STABLE / OPEN,0.21,0.47,0.000,0.882,6,0,20,6,0,0,0.0,0.0,22.9,31.9,30.2,30.0,0,0,100,
48,0111,3/14/2022 11:24:39 AM ,2179,20.905,20.836,0.069,0.2,1662,0.050,0.105,0.055,0.2,0.763,10.4,0.888,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.882,39,18,122,47,137,0,0.0,0.0,23.0,31.9,30.1,30.0,0,0,100,
49,0111,3/14/2022 11:30:19 AM ,2656,20.905,20.820,0.084,0.2,2132,0.050,0.121,0.071,0.2,0.803,12.8,0.889,75.00,STABLE / OPEN,0.00,0.47,0.000,0.882,497,231,635,315,16,0,0.0,0.0,24.2,31.9,30.5,30.0,0,0,100,
50,0111,3/14/2022 11:35:59 AM ,2714,20.905,20.818,0.087,0.2,2220,0.050,0.124,0.074,0.2,0.818,13.1,0.889,75.00,STABLE / OPEN,0.00,0.47,0.000,0.882,184,6,120,2,0,0,0.0,0.0,24.2,31.9,30.6,30.0,0,0,100,
51,0111,3/14/2022 11:41:39 AM ,3075,20.905,20.807,0.098,0.2,2503,0.050,0.133,0.083,0.2,0.814,14.8,0.889,75.00,UNSTABLE / OPEN,0.00,0.47,0.000,0.882,660,345,852,539,34,0,0.0,0.0,24.5,31.9,30.4,30.0,0,0,100,
52,0111,3/14/2022 11:47:19 AM ,3030,20.905,20.807,0.097,0.2,2591,0.049,0.135,0.086,0.2,0.855,14.8,0.889,75.00,STABLE / OPEN,0.11,0.58,0.000,0.882,337,141,561,284,31,0,0.0,0.0,24.2,32.0,30.1,30.0,0,0,100,
53,0111,3/14/2022 11:52:59 AM ,3106,20.905,20.805,0.100,0.2,2598,0.050,0.136,0.086,0.2,0.836,15.1,0.889,75.00,STABLE / OPEN,0.00,0.58,0.125,1.007,297,139,506,283,28,0,0.0,0.0,24.1,31.9,30.3,30.0,0,0,100,
