Oxymax Activity CSV File

CSV FILE CREATION:3/15/2022 6:01:43 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.ADTA

GROUP/CAGE:0103
SUBJECT ID:16-2
SUBJECT MASS:30.4 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,ZTOT,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0103,3/14/2022 6:55:40 AM , 33 , 25 , 54 , 27 , 0 ,
 1 ,0103,3/14/2022 6:56:40 AM , 8 , 5 , 18 , 4 , 0 ,
 1 ,0103,3/14/2022 6:57:40 AM , 16 , 4 , 45 , 24 , 7 ,
 1 ,0103,3/14/2022 6:58:40 AM , 34 , 20 , 65 , 42 , 3 ,
 1 ,0103,3/14/2022 6:59:40 AM , 21 , 4 , 45 , 27 , 0 ,
 2 ,0103,3/14/2022 7:00:40 AM , 10 , 1 , 46 , 20 , 1 ,
 2 ,0103,3/14/2022 7:01:40 AM , 68 , 0 , 43 , 3 , 0 ,
 2 ,0103,3/14/2022 7:02:40 AM , 12 , 2 , 30 , 25 , 0 ,
 2 ,0103,3/14/2022 7:03:40 AM , 1 , 0 , 0 , 0 , 0 ,
 2 ,0103,3/14/2022 7:04:40 AM , 12 , 1 , 8 , 2 , 0 ,
 3 ,0103,3/14/2022 7:05:40 AM , 13 , 0 , 85 , 7 , 0 ,
 3 ,0103,3/14/2022 7:06:40 AM , 27 , 20 , 49 , 24 , 0 ,
 3 ,0103,3/14/2022 7:07:40 AM , 0 , 0 , 0 , 0 , 0 ,
 3 ,0103,3/14/2022 7:08:40 AM , 1 , 0 , 0 , 0 , 0 ,
 3 ,0103,3/14/2022 7:09:40 AM , 1 , 0 , 3 , 0 , 0 ,
 3 ,0103,3/14/2022 7:10:40 AM , 0 , 0 , 2 , 0 , 0 ,
 4 ,0103,3/14/2022 7:11:40 AM , 2 , 0 , 1 , 0 , 0 ,
 4 ,0103,3/14/2022 7:12:40 AM , 0 , 0 , 1 , 0 , 0 ,
 4 ,0103,3/14/2022 7:13:40 AM , 0 , 0 , 0 , 0 , 0 ,
 4 ,0103,3/14/2022 7:14:40 AM , 16 , 1 , 12 , 4 , 0 ,
 4 ,0103,3/14/2022 7:15:40 AM , 0 , 0 , 11 , 0 , 0 ,
 4 ,0103,3/14/2022 7:16:40 AM , 1 , 0 , 1 , 0 , 0 ,
 5 ,0103,3/14/2022 7:17:40 AM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0103,3/14/2022 7:18:40 AM , 995 , 1 , 1 , 0 , 0 ,
 5 ,0103,3/14/2022 7:19:40 AM , 0 , 0 , 0 , 0 , 0 ,
 5 ,0103,3/14/2022 7:20:40 AM , 0 , 0 , 1 , 0 , 0 ,
 5 ,0103,3/14/2022 7:21:40 AM , 0 , 0 , 1 , 0 , 0 ,
 6 ,0103,3/14/2022 7:22:40 AM , 72 , 2 , 12 , 4 , 0 ,
 6 ,0103,3/14/2022 7:23:40 AM , 15 , 4 , 35 , 23 , 0 ,
 6 ,0103,3/14/2022 7:24:40 AM , 0 , 0 , 1 , 0 , 0 ,
 6 ,0103,3/14/2022 7:25:40 AM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0103,3/14/2022 7:26:40 AM , 0 , 0 , 0 , 0 , 0 ,
 6 ,0103,3/14/2022 7:27:40 AM , 0 , 0 , 0 , 0 , 0 ,
 7 ,0103,3/14/2022 7:28:40 AM , 0 , 0 , 0 , 0 , 0 ,
 7 ,0103,3/14/2022 7:29:40 AM , 17 , 0 , 26 , 12 , 19 ,
 7 ,0103,3/14/2022 7:30:40 AM , 4 , 0 , 32 , 7 , 71 ,
 7 ,0103,3/14/2022 7:31:40 AM , 1 , 0 , 25 , 8 , 86 ,
 7 ,0103,3/14/2022 7:32:40 AM , 0 , 0 , 46 , 7 , 41 ,
 7 ,0103,3/14/2022 7:33:40 AM , 0 , 0 , 12 , 2 , 137 ,
 8 ,0103,3/14/2022 7:34:40 AM , 0 , 0 , 14 , 3 , 86 ,
 8 ,0103,3/14/2022 7:35:40 AM , 15 , 2 , 20 , 11 , 0 ,
 8 ,0103,3/14/2022 7:36:40 AM , 13 , 0 , 12 , 1 , 0 ,
 8 ,0103,3/14/2022 7:37:40 AM , 20 , 1 , 8 , 1 , 0 ,
 8 ,0103,3/14/2022 7:38:40 AM , 19 , 0 , 33 , 1 , 0 ,
 9 ,0103,3/14/2022 7:39:40 AM , 60 , 12 , 56 , 4 , 0 ,
 9 ,0103,3/14/2022 7:40:40 AM , 94 , 1 , 30 , 9 , 0 ,
 9 ,0103,3/14/2022 7:41:40 AM , 0 , 0 , 5 , 3 , 0 ,
 9 ,0103,3/14/2022 7:42:40 AM , 4 , 0 , 3 , 1 , 0 ,
 9 ,0103,3/14/2022 7:43:40 AM , 11 , 6 , 41 , 16 , 0 ,
 9 ,0103,3/14/2022 7:44:40 AM , 23 , 4 , 36 , 21 , 0 ,
 10 ,0103,3/14/2022 7:45:40 AM , 49 , 24 , 51 , 14 , 11 ,
 10 ,0103,3/14/2022 7:46:40 AM , 38 , 19 , 53 , 19 , 0 ,
 10 ,0103,3/14/2022 7:47:40 AM , 45 , 0 , 28 , 8 , 7 ,
 10 ,0103,3/14/2022 7:48:40 AM , 23 , 0 , 71 , 6 , 0 ,
 10 ,0103,3/14/2022 7:49:40 AM , 63 , 3 , 49 , 18 , 1 ,
 10 ,0103,3/14/2022 7:50:40 AM , 5 , 0 , 21 , 12 , 20 ,
 11 ,0103,3/14/2022 7:51:40 AM , 6 , 2 , 47 , 29 , 5 ,
 11 ,0103,3/14/2022 7:52:40 AM , 0 , 0 , 0 , 0 , 0 ,
 11 ,0103,3/14/2022 7:53:40 AM , 0 , 0 , 0 , 0 , 0 ,
 11 ,0103,3/14/2022 7:54:40 AM , 2 , 1 , 26 , 17 , 0 ,
 11 ,0103,3/14/2022 7:55:40 AM , 0 , 0 , 0 , 0 , 0 ,
 12 ,0103,3/14/2022 7:56:40 AM , 0 , 0 , 1 , 0 , 0 ,
 12 ,0103,3/14/2022 7:57:40 AM , 0 , 0 , 4 , 0 , 0 ,
 12 ,0103,3/14/2022 7:58:40 AM , 9 , 0 , 17 , 7 , 71 ,
 12 ,0103,3/14/2022 7:59:40 AM , 4 , 0 , 41 , 1 , 103 ,
 12 ,0103,3/14/2022 8:00:40 AM , 3 , 2 , 33 , 20 , 1 ,
 12 ,0103,3/14/2022 8:01:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0103,3/14/2022 8:02:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0103,3/14/2022 8:03:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0103,3/14/2022 8:04:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0103,3/14/2022 8:05:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0103,3/14/2022 8:06:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0103,3/14/2022 8:07:40 AM , 0 , 0 , 1 , 1 , 0 ,
 14 ,0103,3/14/2022 8:08:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0103,3/14/2022 8:09:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0103,3/14/2022 8:10:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0103,3/14/2022 8:11:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0103,3/14/2022 8:12:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0103,3/14/2022 8:13:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0103,3/14/2022 8:14:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0103,3/14/2022 8:15:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0103,3/14/2022 8:16:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0103,3/14/2022 8:17:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0103,3/14/2022 8:18:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0103,3/14/2022 8:19:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0103,3/14/2022 8:20:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0103,3/14/2022 8:21:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0103,3/14/2022 8:22:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0103,3/14/2022 8:23:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0103,3/14/2022 8:24:40 AM , 1 , 0 , 9 , 0 , 0 ,
 17 ,0103,3/14/2022 8:25:40 AM , 8 , 0 , 5 , 0 , 0 ,
 17 ,0103,3/14/2022 8:26:40 AM , 0 , 0 , 0 , 0 , 0 ,
 17 ,0103,3/14/2022 8:27:40 AM , 0 , 0 , 0 , 0 , 0 ,
