Oxymax Activity CSV File

CSV FILE CREATION:3/15/2022 6:01:51 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.ADTA

GROUP/CAGE:0113
SUBJECT ID:F16-3
SUBJECT MASS:23.8 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,ZTOT,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0113,3/14/2022 6:55:40 AM , 225 , 12 , 98 , 6 , 0 ,
 1 ,0113,3/14/2022 6:56:40 AM , 186 , 16 , 115 , 71 , 1 ,
 1 ,0113,3/14/2022 6:57:40 AM , 12 , 3 , 121 , 60 , 0 ,
 1 ,0113,3/14/2022 6:58:40 AM , 56 , 26 , 83 , 41 , 3 ,
 1 ,0113,3/14/2022 6:59:40 AM , 67 , 0 , 53 , 0 , 0 ,
 2 ,0113,3/14/2022 7:00:40 AM , 57 , 28 , 72 , 35 , 0 ,
 2 ,0113,3/14/2022 7:01:40 AM , 0 , 0 , 44 , 4 , 0 ,
 2 ,0113,3/14/2022 7:02:40 AM , 17 , 3 , 165 , 83 , 3 ,
 2 ,0113,3/14/2022 7:03:40 AM , 55 , 36 , 105 , 51 , 7 ,
 2 ,0113,3/14/2022 7:04:40 AM , 64 , 32 , 142 , 76 , 13 ,
 3 ,0113,3/14/2022 7:05:40 AM , 113 , 63 , 245 , 145 , 33 ,
 3 ,0113,3/14/2022 7:06:40 AM , 166 , 78 , 223 , 144 , 11 ,
 3 ,0113,3/14/2022 7:07:40 AM , 33 , 19 , 145 , 74 , 5 ,
 3 ,0113,3/14/2022 7:08:40 AM , 53 , 30 , 104 , 52 , 8 ,
 3 ,0113,3/14/2022 7:09:40 AM , 0 , 0 , 44 , 2 , 0 ,
 3 ,0113,3/14/2022 7:10:40 AM , 0 , 0 , 28 , 0 , 0 ,
 4 ,0113,3/14/2022 7:11:40 AM , 0 , 0 , 17 , 1 , 0 ,
 4 ,0113,3/14/2022 7:12:40 AM , 0 , 0 , 5 , 1 , 0 ,
 4 ,0113,3/14/2022 7:13:40 AM , 12 , 1 , 4 , 1 , 0 ,
 4 ,0113,3/14/2022 7:14:40 AM , 0 , 0 , 5 , 0 , 0 ,
 4 ,0113,3/14/2022 7:15:40 AM , 0 , 0 , 2 , 0 , 0 ,
 4 ,0113,3/14/2022 7:16:40 AM , 0 , 0 , 8 , 2 , 0 ,
 5 ,0113,3/14/2022 7:17:40 AM , 40 , 18 , 96 , 8 , 0 ,
 5 ,0113,3/14/2022 7:18:40 AM , 57 , 1 , 70 , 34 , 0 ,
 5 ,0113,3/14/2022 7:19:40 AM , 62 , 27 , 122 , 70 , 0 ,
 5 ,0113,3/14/2022 7:20:40 AM , 36 , 18 , 80 , 45 , 0 ,
 5 ,0113,3/14/2022 7:21:40 AM , 8 , 1 , 47 , 24 , 0 ,
 6 ,0113,3/14/2022 7:22:40 AM , 44 , 11 , 150 , 92 , 1 ,
 6 ,0113,3/14/2022 7:23:40 AM , 0 , 0 , 53 , 2 , 0 ,
 6 ,0113,3/14/2022 7:24:40 AM , 19 , 4 , 39 , 14 , 2 ,
 6 ,0113,3/14/2022 7:25:40 AM , 83 , 33 , 88 , 37 , 18 ,
 6 ,0113,3/14/2022 7:26:40 AM , 19 , 0 , 11 , 3 , 0 ,
 6 ,0113,3/14/2022 7:27:40 AM , 2 , 0 , 4 , 1 , 0 ,
 7 ,0113,3/14/2022 7:28:40 AM , 179 , 22 , 83 , 59 , 0 ,
 7 ,0113,3/14/2022 7:29:40 AM , 209 , 7 , 69 , 9 , 0 ,
 7 ,0113,3/14/2022 7:30:40 AM , 46 , 26 , 68 , 28 , 0 ,
 7 ,0113,3/14/2022 7:31:40 AM , 0 , 0 , 33 , 2 , 0 ,
 7 ,0113,3/14/2022 7:32:40 AM , 0 , 0 , 0 , 0 , 0 ,
 7 ,0113,3/14/2022 7:33:40 AM , 33 , 5 , 58 , 38 , 0 ,
 8 ,0113,3/14/2022 7:34:40 AM , 3 , 0 , 2 , 0 , 0 ,
 8 ,0113,3/14/2022 7:35:40 AM , 0 , 0 , 0 , 0 , 0 ,
 8 ,0113,3/14/2022 7:36:40 AM , 0 , 0 , 77 , 0 , 0 ,
 8 ,0113,3/14/2022 7:37:40 AM , 3 , 0 , 2 , 0 , 0 ,
 8 ,0113,3/14/2022 7:38:40 AM , 1 , 0 , 0 , 0 , 0 ,
 9 ,0113,3/14/2022 7:39:40 AM , 0 , 0 , 2 , 0 , 0 ,
 9 ,0113,3/14/2022 7:40:40 AM , 1 , 0 , 1 , 0 , 0 ,
 9 ,0113,3/14/2022 7:41:40 AM , 1 , 0 , 44 , 2 , 0 ,
 9 ,0113,3/14/2022 7:42:40 AM , 36 , 14 , 89 , 38 , 0 ,
 9 ,0113,3/14/2022 7:43:40 AM , 1 , 1 , 11 , 5 , 0 ,
 9 ,0113,3/14/2022 7:44:40 AM , 0 , 0 , 0 , 0 , 0 ,
 10 ,0113,3/14/2022 7:45:40 AM , 0 , 0 , 7 , 0 , 0 ,
 10 ,0113,3/14/2022 7:46:40 AM , 0 , 0 , 0 , 0 , 0 ,
 10 ,0113,3/14/2022 7:47:40 AM , 0 , 0 , 0 , 0 , 0 ,
 10 ,0113,3/14/2022 7:48:40 AM , 0 , 0 , 1 , 1 , 0 ,
 10 ,0113,3/14/2022 7:49:40 AM , 0 , 0 , 3 , 0 , 0 ,
 10 ,0113,3/14/2022 7:50:40 AM , 0 , 0 , 15 , 0 , 0 ,
 11 ,0113,3/14/2022 7:51:40 AM , 0 , 0 , 0 , 0 , 0 ,
 11 ,0113,3/14/2022 7:52:40 AM , 0 , 0 , 0 , 0 , 0 ,
 11 ,0113,3/14/2022 7:53:40 AM , 0 , 0 , 1 , 0 , 0 ,
 11 ,0113,3/14/2022 7:54:40 AM , 0 , 0 , 7 , 0 , 0 ,
 11 ,0113,3/14/2022 7:55:40 AM , 0 , 0 , 0 , 0 , 0 ,
 12 ,0113,3/14/2022 7:56:40 AM , 0 , 0 , 0 , 0 , 0 ,
 12 ,0113,3/14/2022 7:57:40 AM , 0 , 0 , 0 , 0 , 0 ,
 12 ,0113,3/14/2022 7:58:40 AM , 0 , 0 , 1 , 0 , 0 ,
 12 ,0113,3/14/2022 7:59:40 AM , 0 , 0 , 0 , 0 , 0 ,
 12 ,0113,3/14/2022 8:00:40 AM , 0 , 0 , 3 , 0 , 0 ,
 12 ,0113,3/14/2022 8:01:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0113,3/14/2022 8:02:40 AM , 0 , 0 , 1 , 0 , 0 ,
 13 ,0113,3/14/2022 8:03:40 AM , 0 , 0 , 0 , 0 , 0 ,
 13 ,0113,3/14/2022 8:04:40 AM , 0 , 0 , 25 , 2 , 0 ,
 13 ,0113,3/14/2022 8:05:40 AM , 0 , 0 , 22 , 0 , 0 ,
 13 ,0113,3/14/2022 8:06:40 AM , 0 , 0 , 5 , 0 , 0 ,
 13 ,0113,3/14/2022 8:07:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0113,3/14/2022 8:08:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0113,3/14/2022 8:09:40 AM , 0 , 0 , 8 , 1 , 0 ,
 14 ,0113,3/14/2022 8:10:40 AM , 0 , 0 , 32 , 0 , 0 ,
 14 ,0113,3/14/2022 8:11:40 AM , 0 , 0 , 0 , 0 , 0 ,
 14 ,0113,3/14/2022 8:12:40 AM , 0 , 0 , 1 , 0 , 0 ,
 15 ,0113,3/14/2022 8:13:40 AM , 0 , 0 , 1 , 0 , 0 ,
 15 ,0113,3/14/2022 8:14:40 AM , 1 , 0 , 22 , 2 , 0 ,
 15 ,0113,3/14/2022 8:15:40 AM , 0 , 0 , 4 , 0 , 0 ,
 15 ,0113,3/14/2022 8:16:40 AM , 0 , 0 , 0 , 0 , 0 ,
 15 ,0113,3/14/2022 8:17:40 AM , 0 , 0 , 1 , 0 , 0 ,
 15 ,0113,3/14/2022 8:18:40 AM , 0 , 0 , 3 , 0 , 0 ,
 16 ,0113,3/14/2022 8:19:40 AM , 0 , 0 , 0 , 0 , 0 ,
 16 ,0113,3/14/2022 8:20:40 AM , 0 , 0 , 3 , 0 , 0 ,
 16 ,0113,3/14/2022 8:21:40 AM , 0 , 0 , 6 , 0 , 0 ,
 16 ,0113,3/14/2022 8:22:40 AM , 16 , 5 , 80 , 37 , 2 ,
 16 ,0113,3/14/2022 8:23:40 AM , 7 , 0 , 82 , 21 , 7 ,
 16 ,0113,3/14/2022 8:24:40 AM , 0 , 0 , 83 , 7 , 10 ,
 17 ,0113,3/14/2022 8:25:40 AM , 0 , 0 , 102 , 8 , 13 ,
 17 ,0113,3/14/2022 8:26:40 AM , 0 , 0 , 87 , 12 , 16 ,
 17 ,0113,3/14/2022 8:27:40 AM , 98 , 39 , 230 , 51 , 3 ,
