Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,ACCCO2 (l)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 8.605829E-05 ,3/14/2022 6:55:19 AM , 7.665181E-05 ,3/14/2022 6:55:39 AM , 8.976369E-05 ,3/14/2022 6:55:59 AM , 7.673228E-05 ,3/14/2022 6:56:19 AM , 6.437952E-05 ,3/14/2022 6:56:39 AM , 6.34148E-05 ,3/14/2022 6:56:59 AM , 6.443624E-05 ,3/14/2022 6:57:19 AM , 7.471193E-05 ,3/14/2022 6:57:39 AM , 5.780762E-05 ,3/14/2022 6:57:59 AM , 3.823432E-05 ,3/14/2022 6:58:19 AM , 3.722856E-05 ,3/14/2022 6:58:39 AM , 3.649841E-05 ,3/14/2022 6:58:59 AM , 3.459625E-05 ,3/14/2022 6:59:19 AM , 3.189009E-05 ,3/14/2022 6:59:39 AM , 3.562767E-05 ,3/14/2022 6:59:59 AM , 3.83751E-05 ,
 2 ,3/14/2022 7:00:39 AM , 1.282125E-02 ,3/14/2022 7:00:59 AM , 1.147604E-02 ,3/14/2022 7:01:19 AM , 1.331752E-02 ,3/14/2022 7:01:39 AM , 1.145895E-02 ,3/14/2022 7:01:59 AM , 1.011462E-02 ,3/14/2022 7:02:19 AM , 9.662755E-03 ,3/14/2022 7:02:39 AM , 1.009317E-02 ,3/14/2022 7:02:59 AM , 1.191813E-02 ,3/14/2022 7:03:19 AM , 9.021361E-03 ,3/14/2022 7:03:39 AM , 6.27815E-03 ,3/14/2022 7:03:59 AM , 6.11833E-03 ,3/14/2022 7:04:19 AM , 6.100212E-03 ,3/14/2022 7:04:39 AM , 6.054275E-03 ,3/14/2022 7:04:59 AM , 5.264431E-03 ,3/14/2022 7:05:19 AM , 5.839501E-03 ,3/14/2022 7:05:39 AM , 6.464731E-03 ,
 3 ,3/14/2022 7:06:19 AM , 2.269049E-02 ,3/14/2022 7:06:39 AM , 2.036851E-02 ,3/14/2022 7:06:59 AM , 2.335665E-02 ,3/14/2022 7:07:19 AM , 2.022658E-02 ,3/14/2022 7:07:39 AM , 1.872249E-02 ,3/14/2022 7:07:59 AM , 1.744474E-02 ,3/14/2022 7:08:19 AM , 0.01876 ,3/14/2022 7:08:39 AM , 2.224439E-02 ,3/14/2022 7:08:59 AM , 1.673842E-02 ,3/14/2022 7:09:19 AM , 1.186842E-02 ,3/14/2022 7:09:39 AM , 1.173906E-02 ,3/14/2022 7:09:59 AM , 1.166567E-02 ,3/14/2022 7:10:19 AM , 1.209158E-02 ,3/14/2022 7:10:39 AM , 0.0102389 ,3/14/2022 7:10:59 AM , 1.124529E-02 ,3/14/2022 7:11:19 AM , 1.276427E-02 ,
 4 ,3/14/2022 7:11:59 AM , 3.079264E-02 ,3/14/2022 7:12:19 AM , 2.745806E-02 ,3/14/2022 7:12:39 AM , 0.0309164 ,3/14/2022 7:12:59 AM , 2.720266E-02 ,3/14/2022 7:13:19 AM , 2.637557E-02 ,3/14/2022 7:13:39 AM , 2.419044E-02 ,3/14/2022 7:13:59 AM , 2.669004E-02 ,3/14/2022 7:14:19 AM , 3.162282E-02 ,3/14/2022 7:14:39 AM , 2.400208E-02 ,3/14/2022 7:14:59 AM , 1.671472E-02 ,3/14/2022 7:15:19 AM , 1.687259E-02 ,3/14/2022 7:15:39 AM , 1.638171E-02 ,3/14/2022 7:15:59 AM , 1.770439E-02 ,3/14/2022 7:16:19 AM , 1.506872E-02 ,3/14/2022 7:16:39 AM , 0.0163891 ,3/14/2022 7:16:59 AM , 0.0189802 ,
 5 ,3/14/2022 7:17:39 AM , 3.772524E-02 ,3/14/2022 7:17:59 AM , 3.312778E-02 ,3/14/2022 7:18:19 AM , 3.675982E-02 ,3/14/2022 7:18:39 AM , 3.341062E-02 ,3/14/2022 7:18:59 AM , 3.367826E-02 ,3/14/2022 7:19:19 AM , 3.044075E-02 ,3/14/2022 7:19:39 AM , 3.362506E-02 ,3/14/2022 7:19:59 AM , 4.054455E-02 ,3/14/2022 7:20:19 AM , 3.113015E-02 ,3/14/2022 7:20:39 AM , 2.082646E-02 ,3/14/2022 7:20:59 AM , 2.169151E-02 ,3/14/2022 7:21:19 AM , 2.036033E-02 ,3/14/2022 7:21:39 AM , 2.292377E-02 ,3/14/2022 7:21:59 AM , 1.978793E-02 ,3/14/2022 7:22:19 AM , 2.132043E-02 ,3/14/2022 7:22:39 AM , 2.501115E-02 ,
 6 ,3/14/2022 7:23:19 AM , 4.395782E-02 ,3/14/2022 7:23:39 AM , 3.787816E-02 ,3/14/2022 7:23:59 AM , 4.191202E-02 ,3/14/2022 7:24:19 AM , 3.937052E-02 ,3/14/2022 7:24:39 AM , 4.075854E-02 ,3/14/2022 7:24:59 AM , 3.656973E-02 ,3/14/2022 7:25:19 AM , 3.955844E-02 ,3/14/2022 7:25:39 AM , 4.889877E-02 ,3/14/2022 7:25:59 AM , 3.781092E-02 ,3/14/2022 7:26:19 AM , 2.425421E-02 ,3/14/2022 7:26:39 AM , 2.625117E-02 ,3/14/2022 7:26:59 AM , 2.394694E-02 ,3/14/2022 7:27:19 AM , 2.803833E-02 ,3/14/2022 7:27:39 AM , 2.452605E-02 ,3/14/2022 7:27:59 AM , 2.611031E-02 ,3/14/2022 7:28:19 AM , 3.098408E-02 ,
 7 ,3/14/2022 7:28:59 AM , 4.935549E-02 ,3/14/2022 7:29:19 AM , 4.195692E-02 ,3/14/2022 7:29:39 AM , 4.651633E-02 ,3/14/2022 7:29:59 AM , 4.489346E-02 ,3/14/2022 7:30:19 AM , 4.755428E-02 ,3/14/2022 7:30:39 AM , 4.205498E-02 ,3/14/2022 7:30:59 AM , 4.534547E-02 ,3/14/2022 7:31:19 AM , 5.681811E-02 ,3/14/2022 7:31:39 AM , 4.416411E-02 ,3/14/2022 7:31:59 AM , 2.720103E-02 ,3/14/2022 7:32:19 AM , 3.056297E-02 ,3/14/2022 7:32:39 AM , 2.780849E-02 ,3/14/2022 7:32:59 AM , 3.300743E-02 ,3/14/2022 7:33:19 AM , 2.933926E-02 ,3/14/2022 7:33:39 AM , 3.098729E-02 ,3/14/2022 7:33:59 AM , 3.689864E-02 ,
 8 ,3/14/2022 7:34:39 AM , 5.394804E-02 ,3/14/2022 7:34:59 AM , 4.566551E-02 ,3/14/2022 7:35:19 AM , 5.139397E-02 ,3/14/2022 7:35:39 AM , 5.012633E-02 ,3/14/2022 7:35:59 AM , 5.414561E-02 ,3/14/2022 7:36:19 AM , 4.668658E-02 ,3/14/2022 7:36:39 AM , 5.145377E-02 ,3/14/2022 7:36:59 AM , 0.0645262 ,3/14/2022 7:37:19 AM , 5.071367E-02 ,3/14/2022 7:37:39 AM , 0.0299585 ,3/14/2022 7:37:59 AM , 3.499116E-02 ,3/14/2022 7:38:19 AM , 3.197923E-02 ,3/14/2022 7:38:39 AM , 3.758523E-02 ,3/14/2022 7:38:59 AM , 3.419044E-02 ,3/14/2022 7:39:19 AM , 3.612076E-02 ,3/14/2022 7:39:39 AM , 4.286041E-02 ,
