Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,ACCO2 (l)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 9.496857E-05 ,3/14/2022 6:55:19 AM , 8.581711E-05 ,3/14/2022 6:55:39 AM , 1.021807E-04 ,3/14/2022 6:55:59 AM , 8.475359E-05 ,3/14/2022 6:56:19 AM , 6.929396E-05 ,3/14/2022 6:56:39 AM , 7.280606E-05 ,3/14/2022 6:56:59 AM , 7.567196E-05 ,3/14/2022 6:57:19 AM , 8.427689E-05 ,3/14/2022 6:57:39 AM , 7.193664E-05 ,3/14/2022 6:57:59 AM , 4.82626E-05 ,3/14/2022 6:58:19 AM , 4.936586E-05 ,3/14/2022 6:58:39 AM , 5.061302E-05 ,3/14/2022 6:58:59 AM , 4.219528E-05 ,3/14/2022 6:59:19 AM , 3.781953E-05 ,3/14/2022 6:59:39 AM , 4.226067E-05 ,3/14/2022 6:59:59 AM , 4.996189E-05 ,
 2 ,3/14/2022 7:00:39 AM , 1.429976E-02 ,3/14/2022 7:00:59 AM , 1.305435E-02 ,3/14/2022 7:01:19 AM , 1.539815E-02 ,3/14/2022 7:01:39 AM , 1.286598E-02 ,3/14/2022 7:01:59 AM , 1.100804E-02 ,3/14/2022 7:02:19 AM , 1.124224E-02 ,3/14/2022 7:02:39 AM , 1.209199E-02 ,3/14/2022 7:02:59 AM , 1.357195E-02 ,3/14/2022 7:03:19 AM , 1.147309E-02 ,3/14/2022 7:03:39 AM , 7.731224E-03 ,3/14/2022 7:03:59 AM , 7.942972E-03 ,3/14/2022 7:04:19 AM , 8.313367E-03 ,3/14/2022 7:04:39 AM , 7.078319E-03 ,3/14/2022 7:04:59 AM , 0.0063261 ,3/14/2022 7:05:19 AM , 7.092345E-03 ,3/14/2022 7:05:39 AM , 0.0085415 ,
 3 ,3/14/2022 7:06:19 AM , 2.559526E-02 ,3/14/2022 7:06:39 AM , 2.351528E-02 ,3/14/2022 7:06:59 AM , 2.735653E-02 ,3/14/2022 7:07:19 AM , 0.0231505 ,3/14/2022 7:07:39 AM , 2.077466E-02 ,3/14/2022 7:07:59 AM , 2.053974E-02 ,3/14/2022 7:08:19 AM , 0.022745 ,3/14/2022 7:08:39 AM , 2.561278E-02 ,3/14/2022 7:08:59 AM , 2.173336E-02 ,3/14/2022 7:09:19 AM , 1.449445E-02 ,3/14/2022 7:09:39 AM , 1.508901E-02 ,3/14/2022 7:09:59 AM , 1.571531E-02 ,3/14/2022 7:10:19 AM , 1.392911E-02 ,3/14/2022 7:10:39 AM , 0.0124203 ,3/14/2022 7:10:59 AM , 1.381363E-02 ,3/14/2022 7:11:19 AM , 1.699369E-02 ,
 4 ,3/14/2022 7:11:59 AM , 3.527322E-02 ,3/14/2022 7:12:19 AM , 3.225845E-02 ,3/14/2022 7:12:39 AM , 3.690547E-02 ,3/14/2022 7:12:59 AM , 3.191191E-02 ,3/14/2022 7:13:19 AM , 2.991559E-02 ,3/14/2022 7:13:39 AM , 2.881326E-02 ,3/14/2022 7:13:59 AM , 3.260458E-02 ,3/14/2022 7:14:19 AM , 0.0368975 ,3/14/2022 7:14:39 AM , 3.168583E-02 ,3/14/2022 7:14:59 AM , 2.053592E-02 ,3/14/2022 7:15:19 AM , 2.183849E-02 ,3/14/2022 7:15:39 AM , 2.201697E-02 ,3/14/2022 7:15:59 AM , 2.048209E-02 ,3/14/2022 7:16:19 AM , 0.0185133 ,3/14/2022 7:16:39 AM , 2.025224E-02 ,3/14/2022 7:16:59 AM , 2.512813E-02 ,
 5 ,3/14/2022 7:17:39 AM , 4.394041E-02 ,3/14/2022 7:17:59 AM , 3.927241E-02 ,3/14/2022 7:18:19 AM , 4.448829E-02 ,3/14/2022 7:18:39 AM , 3.983165E-02 ,3/14/2022 7:18:59 AM , 3.876239E-02 ,3/14/2022 7:19:19 AM , 3.656891E-02 ,3/14/2022 7:19:39 AM , 4.145792E-02 ,3/14/2022 7:19:59 AM , 4.792095E-02 ,3/14/2022 7:20:19 AM , 4.145928E-02 ,3/14/2022 7:20:39 AM , 2.570431E-02 ,3/14/2022 7:20:59 AM , 2.829171E-02 ,3/14/2022 7:21:19 AM , 2.733723E-02 ,3/14/2022 7:21:39 AM , 2.666592E-02 ,3/14/2022 7:21:59 AM , 2.456855E-02 ,3/14/2022 7:22:19 AM , 2.645964E-02 ,3/14/2022 7:22:39 AM , 3.298694E-02 ,
 6 ,3/14/2022 7:23:19 AM , 5.167485E-02 ,3/14/2022 7:23:39 AM , 0.0449158 ,3/14/2022 7:23:59 AM , 5.099674E-02 ,3/14/2022 7:24:19 AM , 4.722371E-02 ,3/14/2022 7:24:39 AM , 4.737059E-02 ,3/14/2022 7:24:59 AM , 4.388899E-02 ,3/14/2022 7:25:19 AM , 4.889096E-02 ,3/14/2022 7:25:39 AM , 5.849101E-02 ,3/14/2022 7:25:59 AM , 0.0507869 ,3/14/2022 7:26:19 AM , 3.004512E-02 ,3/14/2022 7:26:39 AM , 3.439474E-02 ,3/14/2022 7:26:59 AM , 3.206771E-02 ,3/14/2022 7:27:19 AM , 3.279554E-02 ,3/14/2022 7:27:39 AM , 3.060208E-02 ,3/14/2022 7:27:59 AM , 3.254446E-02 ,3/14/2022 7:28:19 AM , 4.085138E-02 ,
 7 ,3/14/2022 7:28:59 AM , 5.834017E-02 ,3/14/2022 7:29:19 AM , 4.982081E-02 ,3/14/2022 7:29:39 AM , 5.692343E-02 ,3/14/2022 7:29:59 AM , 5.408353E-02 ,3/14/2022 7:30:19 AM , 5.567995E-02 ,3/14/2022 7:30:39 AM , 5.026145E-02 ,3/14/2022 7:30:59 AM , 0.0562006 ,3/14/2022 7:31:19 AM , 6.862357E-02 ,3/14/2022 7:31:39 AM , 5.986684E-02 ,3/14/2022 7:31:59 AM , 3.380081E-02 ,3/14/2022 7:32:19 AM , 4.014358E-02 ,3/14/2022 7:32:39 AM , 3.699053E-02 ,3/14/2022 7:32:59 AM , 3.883917E-02 ,3/14/2022 7:33:19 AM , 3.664326E-02 ,3/14/2022 7:33:39 AM , 3.871252E-02 ,3/14/2022 7:33:59 AM , 4.853261E-02 ,
 8 ,3/14/2022 7:34:39 AM , 0.0640169 ,3/14/2022 7:34:59 AM , 5.422588E-02 ,3/14/2022 7:35:19 AM , 6.301922E-02 ,3/14/2022 7:35:39 AM , 6.032311E-02 ,3/14/2022 7:35:59 AM , 6.370394E-02 ,3/14/2022 7:36:19 AM , 5.555911E-02 ,3/14/2022 7:36:39 AM , 6.415445E-02 ,3/14/2022 7:36:59 AM , 7.842214E-02 ,3/14/2022 7:37:19 AM , 6.910302E-02 ,3/14/2022 7:37:39 AM , 3.720173E-02 ,3/14/2022 7:37:59 AM , 4.577098E-02 ,3/14/2022 7:38:19 AM , 4.217741E-02 ,3/14/2022 7:38:39 AM , 4.434077E-02 ,3/14/2022 7:38:59 AM , 4.259611E-02 ,3/14/2022 7:39:19 AM , 4.499613E-02 ,3/14/2022 7:39:39 AM , 5.599948E-02 ,
