Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:43 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0104
SUBJECT ID:8-2
SUBJECT MASS:25.2 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 6 ,010402,3/14/2022,3/14/2022 7:24:42 AM ,3/14/2022 7:24:50 AM , 8 ,0.19,0.19,g,
 2 , 23 ,010402,3/14/2022,3/14/2022 9:02:02 AM ,3/14/2022 9:02:10 AM , 8 ,0.20,0.39,g,
 3 , 27 ,010402,3/14/2022,3/14/2022 9:25:03 AM ,3/14/2022 9:25:38 AM , 35 ,0.19,0.58,g,
 4 , 40 ,010402,3/14/2022,3/14/2022 10:34:58 AM ,3/14/2022 10:35:18 AM , 20 ,0.27,0.85,g,
 5 , 51 ,010402,3/14/2022,3/14/2022 11:36:56 AM ,3/14/2022 11:37:58 AM , 62 ,0.12,0.96,g,
 6 , 72 ,010402,3/14/2022,3/14/2022 1:39:23 PM ,3/14/2022 1:39:26 PM , 3 ,0.03,0.99,g,
 7 , 72 ,010402,3/14/2022,3/14/2022 1:41:14 PM ,3/14/2022 1:41:58 PM , 44 ,0.19,1.19,g,
 8 , 81 ,010402,3/14/2022,3/14/2022 2:27:21 PM ,3/14/2022 2:27:29 PM , 8 ,0.11,1.29,g,
 9 , 98 ,010402,3/14/2022,3/14/2022 4:05:24 PM ,3/14/2022 4:05:48 PM , 24 ,0.06,1.36,g,
 10 , 98 ,010402,3/14/2022,3/14/2022 4:06:15 PM ,3/14/2022 4:06:42 PM , 27 ,0.30,1.66,g,
 11 , 126 ,010402,3/14/2022,3/14/2022 6:47:45 PM ,3/14/2022 6:47:49 PM , 4 ,0.26,1.92,g,
 12 , 132 ,010402,3/14/2022,3/14/2022 7:19:57 PM ,3/14/2022 7:20:24 PM , 27 ,0.03,1.95,g,
 13 , 134 ,010402,3/14/2022,3/14/2022 7:29:38 PM ,3/14/2022 7:30:20 PM , 42 ,0.04,1.98,g,
 14 , 134 ,010402,3/14/2022,3/14/2022 7:30:52 PM ,3/14/2022 7:31:12 PM , 20 ,0.10,2.08,g,
 15 , 141 ,010402,3/14/2022,3/14/2022 8:09:48 PM ,3/14/2022 8:09:54 PM , 6 ,0.04,2.12,g,
 16 , 155 ,010402,3/14/2022,3/14/2022 9:31:15 PM ,3/14/2022 9:31:23 PM , 8 ,0.30,2.42,g,
 17 , 158 ,010402,3/14/2022,3/14/2022 9:44:22 PM ,3/14/2022 9:44:38 PM , 16 ,0.05,2.47,g,
 18 , 161 ,010402,3/14/2022,3/14/2022 10:04:06 PM ,3/14/2022 10:04:54 PM , 48 ,0.03,2.50,g,
 19 , 166 ,010402,3/14/2022,3/14/2022 10:31:53 PM ,3/14/2022 10:32:37 PM , 44 ,0.04,2.54,g,
 20 , 167 ,010402,3/14/2022,3/14/2022 10:37:16 PM ,3/14/2022 10:37:42 PM , 26 ,0.14,2.68,g,
 21 , 170 ,010402,3/14/2022,3/14/2022 10:53:46 PM ,3/14/2022 10:54:02 PM , 16 ,0.44,3.12,g,
 22 , 179 ,010402,3/14/2022,3/14/2022 11:46:21 PM ,3/14/2022 11:46:38 PM , 17 ,0.05,3.17,g,
 23 , 181 ,010402,3/14/2022,3/14/2022 11:55:24 PM ,3/14/2022 11:55:44 PM , 20 ,0.08,3.25,g,
 24 , 184 ,010402,3/15/2022,3/15/2022 12:11:45 AM ,3/15/2022 12:12:00 AM , 15 ,0.06,3.31,g,
 25 , 186 ,010402,3/15/2022,3/15/2022 12:23:43 AM ,3/15/2022 12:24:10 AM , 27 ,0.22,3.53,g,
 26 , 189 ,010402,3/15/2022,3/15/2022 12:41:16 AM ,3/15/2022 12:41:32 AM , 16 ,0.09,3.62,g,
 27 , 193 ,010402,3/15/2022,3/15/2022 1:06:11 AM ,3/15/2022 1:06:21 AM , 10 ,0.04,3.66,g,
 28 , 198 ,010402,3/15/2022,3/15/2022 1:35:30 AM ,3/15/2022 1:36:04 AM , 34 ,0.07,3.73,g,
 29 , 201 ,010402,3/15/2022,3/15/2022 1:48:17 AM ,3/15/2022 1:48:35 AM , 18 ,0.23,3.95,g,
 30 , 210 ,010402,3/15/2022,3/15/2022 2:42:09 AM ,3/15/2022 2:42:15 AM , 6 ,0.50,4.45,g,
 31 , 220 ,010402,3/15/2022,3/15/2022 3:38:45 AM ,3/15/2022 3:39:09 AM , 24 ,0.15,4.60,g,
 32 , 222 ,010402,3/15/2022,3/15/2022 3:51:23 AM ,3/15/2022 3:51:24 AM , 1 ,0.14,4.74,g,
 33 , 224 ,010402,3/15/2022,3/15/2022 3:59:02 AM ,3/15/2022 3:59:44 AM , 42 ,0.08,4.82,g,
 34 , 228 ,010402,3/15/2022,3/15/2022 4:22:58 AM ,3/15/2022 4:23:04 AM , 6 ,0.04,4.85,g,
 35 , 231 ,010402,3/15/2022,3/15/2022 4:40:49 AM ,3/15/2022 4:40:55 AM , 6 ,0.14,4.99,g,
 36 , 243 ,010402,3/15/2022,3/15/2022 5:49:25 AM ,3/15/2022 5:49:29 AM , 4 ,0.12,5.11,g,
 37 , 243 ,010402,3/15/2022,3/15/2022 5:50:21 AM ,3/15/2022 5:50:38 AM , 17 ,0.39,5.50,g,
