Oxymax Feeding Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:43 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0104
SUBJECT ID:8-2
SUBJECT MASS:25.2 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 5 ,010401,3/14/2022,3/14/2022 7:11:29 AM ,3/14/2022 7:17:24 AM , 355 ,0.09,0.09,g,
 2 , 5 ,010401,3/14/2022,3/14/2022 7:20:01 AM ,3/14/2022 7:20:41 AM , 40 ,0.10,0.19,g,
 3 , 35 ,010401,3/14/2022,3/14/2022 10:10:31 AM ,3/14/2022 10:11:29 AM , 58 ,0.05,0.24,g,
 4 , 37 ,010401,3/14/2022,3/14/2022 10:19:44 AM ,3/14/2022 10:19:52 AM , 8 ,0.47,0.72,g,
 5 , 119 ,010401,3/14/2022,3/14/2022 6:00:12 PM ,3/14/2022 6:05:01 PM , 289 ,0.09,0.80,g,
 6 , 132 ,010401,3/14/2022,3/14/2022 7:20:48 PM ,3/14/2022 7:21:20 PM , 32 ,0.03,0.84,g,
 7 , 135 ,010401,3/14/2022,3/14/2022 7:33:17 PM ,3/14/2022 7:38:59 PM , 342 ,0.12,0.96,g,
 8 , 136 ,010401,3/14/2022,3/14/2022 7:41:55 PM ,3/14/2022 7:42:13 PM , 18 ,0.04,0.99,g,
 9 , 139 ,010401,3/14/2022,3/14/2022 7:55:09 PM ,3/14/2022 8:00:00 PM , 291 ,0.07,1.06,g,
 10 , 144 ,010401,3/14/2022,3/14/2022 8:24:30 PM ,3/14/2022 8:24:42 PM , 12 ,0.05,1.11,g,
 11 , 147 ,010401,3/14/2022,3/14/2022 8:43:03 PM ,3/14/2022 8:47:05 PM , 242 ,0.06,1.17,g,
 12 , 150 ,010401,3/14/2022,3/14/2022 9:00:13 PM ,3/14/2022 9:03:13 PM , 180 ,0.06,1.23,g,
 13 , 156 ,010401,3/14/2022,3/14/2022 9:31:23 PM ,3/14/2022 9:32:33 PM , 70 ,0.08,1.31,g,
 14 , 161 ,010401,3/14/2022,3/14/2022 9:57:22 PM ,3/14/2022 10:03:07 PM , 345 ,0.13,1.44,g,
 15 , 164 ,010401,3/14/2022,3/14/2022 10:18:17 PM ,3/14/2022 10:20:02 PM , 105 ,0.03,1.47,g,
 16 , 165 ,010401,3/14/2022,3/14/2022 10:24:49 PM ,3/14/2022 10:26:31 PM , 102 ,0.36,1.84,g,
 17 , 168 ,010401,3/14/2022,3/14/2022 10:45:22 PM ,3/14/2022 10:45:32 PM , 10 ,0.03,1.87,g,
 18 , 183 ,010401,3/15/2022,3/15/2022 12:02:50 AM ,3/15/2022 12:06:19 AM , 209 ,0.04,1.91,g,
 19 , 183 ,010401,3/15/2022,3/15/2022 12:07:07 AM ,3/15/2022 12:10:34 AM , 207 ,0.08,1.99,g,
 20 , 187 ,010401,3/15/2022,3/15/2022 12:24:32 AM ,3/15/2022 12:28:59 AM , 267 ,0.07,2.06,g,
 21 , 187 ,010401,3/15/2022,3/15/2022 12:29:23 AM ,3/15/2022 12:29:55 AM , 32 ,0.05,2.11,g,
 22 , 195 ,010401,3/15/2022,3/15/2022 1:10:44 AM ,3/15/2022 1:15:37 AM , 293 ,0.04,2.15,g,
 23 , 200 ,010401,3/15/2022,3/15/2022 1:43:18 AM ,3/15/2022 1:43:32 AM , 14 ,0.05,2.19,g,
 24 , 205 ,010401,3/15/2022,3/15/2022 2:07:04 AM ,3/15/2022 2:14:26 AM , 442 ,0.22,2.42,g,
 25 , 209 ,010401,3/15/2022,3/15/2022 2:37:52 AM ,3/15/2022 2:38:00 AM , 8 ,0.08,2.50,g,
 26 , 214 ,010401,3/15/2022,3/15/2022 2:59:25 AM ,3/15/2022 3:02:44 AM , 199 ,0.04,2.53,g,
 27 , 220 ,010401,3/15/2022,3/15/2022 3:39:27 AM ,3/15/2022 3:40:03 AM , 36 ,0.04,2.57,g,
 28 , 224 ,010401,3/15/2022,3/15/2022 3:58:12 AM ,3/15/2022 3:59:25 AM , 73 ,0.05,2.62,g,
 29 , 243 ,010401,3/15/2022,3/15/2022 5:42:47 AM ,3/15/2022 5:46:26 AM , 219 ,0.03,2.66,g,
