Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:50 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0112
SUBJECT ID:F16-2
SUBJECT MASS:25.5 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 1 ,011202,3/14/2022,3/14/2022 6:57:21 AM ,3/14/2022 6:57:29 AM , 8 ,0.05,0.05,g,
 2 , 9 ,011202,3/14/2022,3/14/2022 7:41:09 AM ,3/14/2022 7:41:29 AM , 20 ,0.06,0.11,g,
 3 , 9 ,011202,3/14/2022,3/14/2022 7:44:17 AM ,3/14/2022 7:44:20 AM , 3 ,0.05,0.17,g,
 4 , 14 ,011202,3/14/2022,3/14/2022 8:11:10 AM ,3/14/2022 8:11:12 AM , 2 ,0.05,0.22,g,
 5 , 16 ,011202,3/14/2022,3/14/2022 8:23:01 AM ,3/14/2022 8:23:17 AM , 16 ,0.10,0.32,g,
 6 , 17 ,011202,3/14/2022,3/14/2022 8:26:16 AM ,3/14/2022 8:26:26 AM , 10 ,0.10,0.42,g,
 7 , 34 ,011202,3/14/2022,3/14/2022 10:06:06 AM ,3/14/2022 10:06:38 AM , 32 ,0.17,0.59,g,
 8 , 47 ,011202,3/14/2022,3/14/2022 11:16:21 AM ,3/14/2022 11:16:33 AM , 12 ,0.12,0.72,g,
 9 , 47 ,011202,3/14/2022,3/14/2022 11:18:53 AM ,3/14/2022 11:19:32 AM , 39 ,0.21,0.92,g,
 10 , 60 ,011202,3/14/2022,3/14/2022 12:30:10 PM ,3/14/2022 12:30:18 PM , 8 ,0.08,1.00,g,
 11 , 65 ,011202,3/14/2022,3/14/2022 12:58:06 PM ,3/14/2022 12:58:10 PM , 4 ,0.20,1.20,g,
 12 , 67 ,011202,3/14/2022,3/14/2022 1:11:16 PM ,3/14/2022 1:11:18 PM , 2 ,0.08,1.28,g,
 13 , 76 ,011202,3/14/2022,3/14/2022 2:00:05 PM ,3/14/2022 2:00:08 PM , 3 ,0.06,1.35,g,
 14 , 80 ,011202,3/14/2022,3/14/2022 2:23:22 PM ,3/14/2022 2:23:28 PM , 6 ,0.03,1.38,g,
 15 , 92 ,011202,3/14/2022,3/14/2022 3:32:56 PM ,3/14/2022 3:33:08 PM , 12 ,0.15,1.53,g,
 16 , 92 ,011202,3/14/2022,3/14/2022 3:35:13 PM ,3/14/2022 3:35:19 PM , 6 ,0.06,1.59,g,
 17 , 94 ,011202,3/14/2022,3/14/2022 3:44:09 PM ,3/14/2022 3:44:15 PM , 6 ,0.12,1.71,g,
 18 , 105 ,011202,3/14/2022,3/14/2022 4:46:55 PM ,3/14/2022 4:47:03 PM , 8 ,0.18,1.89,g,
 19 , 113 ,011202,3/14/2022,3/14/2022 5:32:09 PM ,3/14/2022 5:32:19 PM , 10 ,0.12,2.01,g,
 20 , 118 ,011202,3/14/2022,3/14/2022 6:00:40 PM ,3/14/2022 6:01:10 PM , 30 ,0.19,2.20,g,
 21 , 120 ,011202,3/14/2022,3/14/2022 6:08:57 PM ,3/14/2022 6:09:15 PM , 18 ,0.08,2.29,g,
 22 , 121 ,011202,3/14/2022,3/14/2022 6:19:34 PM ,3/14/2022 6:19:48 PM , 14 ,0.06,2.35,g,
 23 , 129 ,011202,3/14/2022,3/14/2022 6:59:40 PM ,3/14/2022 6:59:50 PM , 10 ,0.03,2.39,g,
 24 , 137 ,011202,3/14/2022,3/14/2022 7:48:51 PM ,3/14/2022 7:48:55 PM , 4 ,0.07,2.46,g,
 25 , 148 ,011202,3/14/2022,3/14/2022 8:47:44 PM ,3/14/2022 8:48:00 PM , 16 ,0.05,2.51,g,
 26 , 150 ,011202,3/14/2022,3/14/2022 9:02:07 PM ,3/14/2022 9:02:35 PM , 28 ,0.08,2.59,g,
 27 , 150 ,011202,3/14/2022,3/14/2022 9:03:14 PM ,3/14/2022 9:03:17 PM , 3 ,0.04,2.63,g,
 28 , 152 ,011202,3/14/2022,3/14/2022 9:11:36 PM ,3/14/2022 9:11:50 PM , 14 ,0.07,2.70,g,
 29 , 165 ,011202,3/14/2022,3/14/2022 10:23:19 PM ,3/14/2022 10:23:53 PM , 34 ,0.15,2.84,g,
 30 , 167 ,011202,3/14/2022,3/14/2022 10:38:34 PM ,3/14/2022 10:38:43 PM , 9 ,0.08,2.93,g,
 31 , 168 ,011202,3/14/2022,3/14/2022 10:44:54 PM ,3/14/2022 10:45:14 PM , 20 ,0.09,3.02,g,
 32 , 172 ,011202,3/14/2022,3/14/2022 11:03:01 PM ,3/14/2022 11:03:21 PM , 20 ,0.04,3.06,g,
 33 , 173 ,011202,3/14/2022,3/14/2022 11:08:34 PM ,3/14/2022 11:08:50 PM , 16 ,0.06,3.11,g,
 34 , 177 ,011202,3/14/2022,3/14/2022 11:33:38 PM ,3/14/2022 11:34:31 PM , 53 ,0.08,3.20,g,
 35 , 178 ,011202,3/14/2022,3/14/2022 11:37:09 PM ,3/14/2022 11:37:13 PM , 4 ,0.06,3.26,g,
 36 , 181 ,011202,3/14/2022,3/14/2022 11:58:29 PM ,3/14/2022 11:58:39 PM , 10 ,0.07,3.33,g,
 37 , 182 ,011202,3/15/2022,3/15/2022 12:03:06 AM ,3/15/2022 12:03:38 AM , 32 ,0.07,3.40,g,
 38 , 184 ,011202,3/15/2022,3/15/2022 12:12:45 AM ,3/15/2022 12:12:55 AM , 10 ,0.04,3.44,g,
 39 , 190 ,011202,3/15/2022,3/15/2022 12:47:18 AM ,3/15/2022 12:47:54 AM , 36 ,0.05,3.49,g,
 40 , 193 ,011202,3/15/2022,3/15/2022 1:05:11 AM ,3/15/2022 1:05:41 AM , 30 ,0.14,3.62,g,
 41 , 197 ,011202,3/15/2022,3/15/2022 1:26:08 AM ,3/15/2022 1:26:42 AM , 34 ,0.04,3.66,g,
 42 , 201 ,011202,3/15/2022,3/15/2022 1:50:14 AM ,3/15/2022 1:50:16 AM , 2 ,0.04,3.71,g,
 43 , 202 ,011202,3/15/2022,3/15/2022 1:57:22 AM ,3/15/2022 1:57:50 AM , 28 ,0.06,3.77,g,
 44 , 205 ,011202,3/15/2022,3/15/2022 2:11:14 AM ,3/15/2022 2:11:20 AM , 6 ,0.13,3.89,g,
 45 , 209 ,011202,3/15/2022,3/15/2022 2:36:06 AM ,3/15/2022 2:36:16 AM , 10 ,0.13,4.03,g,
 46 , 210 ,011202,3/15/2022,3/15/2022 2:42:57 AM ,3/15/2022 2:43:24 AM , 27 ,0.07,4.09,g,
 47 , 225 ,011202,3/15/2022,3/15/2022 4:03:50 AM ,3/15/2022 4:03:58 AM , 8 ,0.09,4.18,g,
 48 , 227 ,011202,3/15/2022,3/15/2022 4:17:41 AM ,3/15/2022 4:17:53 AM , 12 ,0.12,4.30,g,
 49 , 229 ,011202,3/15/2022,3/15/2022 4:26:15 AM ,3/15/2022 4:26:32 AM , 17 ,0.11,4.41,g,
 50 , 230 ,011202,3/15/2022,3/15/2022 4:32:49 AM ,3/15/2022 4:33:46 AM , 57 ,0.05,4.46,g,
 51 , 235 ,011202,3/15/2022,3/15/2022 5:01:57 AM ,3/15/2022 5:02:03 AM , 6 ,0.07,4.53,g,
 52 , 240 ,011202,3/15/2022,3/15/2022 5:30:43 AM ,3/15/2022 5:30:49 AM , 6 ,0.04,4.57,g,
 53 , 245 ,011202,3/15/2022,3/15/2022 5:59:48 AM ,3/15/2022 5:59:52 AM , 4 ,0.04,4.61,g,
