Oxymax Feeding Events CSV File 

CSV FILE CREATION:3/15/2022 6:01:51 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.BDTA

GROUP/CAGE:0114
SUBJECT ID:F8-3
SUBJECT MASS:20.1 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 5 ,011401,3/14/2022,3/14/2022 7:15:46 AM ,3/14/2022 7:18:28 AM , 162 ,0.34,0.34,g,
 2 , 6 ,011401,3/14/2022,3/14/2022 7:25:49 AM ,3/14/2022 7:26:17 AM , 28 ,0.05,0.39,g,
 3 , 7 ,011401,3/14/2022,3/14/2022 7:27:59 AM ,3/14/2022 7:28:39 AM , 40 ,0.04,0.44,g,
 4 , 7 ,011401,3/14/2022,3/14/2022 7:32:53 AM ,3/14/2022 7:32:59 AM , 6 ,0.19,0.63,g,
 5 , 10 ,011401,3/14/2022,3/14/2022 7:49:31 AM ,3/14/2022 7:50:49 AM , 78 ,0.04,0.67,g,
 6 , 36 ,011401,3/14/2022,3/14/2022 10:06:56 AM ,3/14/2022 10:12:56 AM , 360 ,0.18,0.85,g,
 7 , 37 ,011401,3/14/2022,3/14/2022 10:18:44 AM ,3/14/2022 10:19:44 AM , 60 ,0.07,0.92,g,
 8 , 39 ,011401,3/14/2022,3/14/2022 10:27:36 AM ,3/14/2022 10:31:51 AM , 255 ,0.05,0.97,g,
 9 , 41 ,011401,3/14/2022,3/14/2022 10:42:40 AM ,3/14/2022 10:43:34 AM , 54 ,0.24,1.20,g,
 10 , 42 ,011401,3/14/2022,3/14/2022 10:50:08 AM ,3/14/2022 10:50:20 AM , 12 ,0.11,1.32,g,
 11 , 89 ,011401,3/14/2022,3/14/2022 3:17:28 PM ,3/14/2022 3:17:48 PM , 20 ,0.30,1.62,g,
 12 , 135 ,011401,3/14/2022,3/14/2022 7:25:17 PM ,3/14/2022 7:33:57 PM , 520 ,0.14,1.76,g,
 13 , 136 ,011401,3/14/2022,3/14/2022 7:38:57 PM ,3/14/2022 7:39:17 PM , 20 ,0.06,1.81,g,
 14 , 149 ,011401,3/14/2022,3/14/2022 8:53:49 PM ,3/14/2022 8:54:01 PM , 12 ,0.07,1.89,g,
 15 , 158 ,011401,3/14/2022,3/14/2022 9:39:49 PM ,3/14/2022 9:44:10 PM , 261 ,0.05,1.94,g,
 16 , 158 ,011401,3/14/2022,3/14/2022 9:45:29 PM ,3/14/2022 9:45:53 PM , 24 ,0.04,1.98,g,
 17 , 162 ,011401,3/14/2022,3/14/2022 10:06:43 PM ,3/14/2022 10:10:17 PM , 214 ,0.04,2.02,g,
 18 , 167 ,011401,3/14/2022,3/14/2022 10:32:15 PM ,3/14/2022 10:36:12 PM , 237 ,0.05,2.06,g,
 19 , 167 ,011401,3/14/2022,3/14/2022 10:36:32 PM ,3/14/2022 10:37:58 PM , 86 ,0.12,2.18,g,
 20 , 167 ,011401,3/14/2022,3/14/2022 10:38:15 PM ,3/14/2022 10:38:33 PM , 18 ,0.08,2.26,g,
 21 , 171 ,011401,3/14/2022,3/14/2022 11:00:08 PM ,3/14/2022 11:00:32 PM , 24 ,0.10,2.35,g,
 22 , 186 ,011401,3/15/2022,3/15/2022 12:23:00 AM ,3/15/2022 12:23:09 AM , 9 ,0.03,2.39,g,
 23 , 188 ,011401,3/15/2022,3/15/2022 12:33:36 AM ,3/15/2022 12:33:56 AM , 20 ,0.03,2.42,g,
 24 , 199 ,011401,3/15/2022,3/15/2022 1:38:41 AM ,3/15/2022 1:39:15 AM , 34 ,0.04,2.46,g,
 25 , 211 ,011401,3/15/2022,3/15/2022 2:46:04 AM ,3/15/2022 2:47:57 AM , 113 ,0.26,2.72,g,
 26 , 237 ,011401,3/15/2022,3/15/2022 5:10:23 AM ,3/15/2022 5:13:10 AM , 167 ,0.07,2.78,g,
