Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,CO2OUT (%)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 0.3384406 ,3/14/2022 6:55:19 AM , 0.3100805 ,3/14/2022 6:55:39 AM , 0.3499408 ,3/14/2022 6:55:59 AM , 0.3097078 ,3/14/2022 6:56:19 AM , 0.2671675 ,3/14/2022 6:56:39 AM , 0.2664754 ,3/14/2022 6:56:59 AM , 0.2713204 ,3/14/2022 6:57:19 AM , 0.3039044 ,3/14/2022 6:57:39 AM , 0.2494912 ,3/14/2022 6:57:59 AM , 0.1851751 ,3/14/2022 6:58:19 AM , 0.1821936 ,3/14/2022 6:58:39 AM , 0.1780939 ,3/14/2022 6:58:59 AM , 0.17261 ,3/14/2022 6:59:19 AM , 0.1623166 ,3/14/2022 6:59:39 AM , 0.176337 ,3/14/2022 6:59:59 AM , 0.1842168 ,
 2 ,3/14/2022 7:00:39 AM , 0.2677532 ,3/14/2022 7:00:59 AM , 0.2488523 ,3/14/2022 7:01:19 AM , 0.2743019 ,3/14/2022 7:01:39 AM , 0.2480005 ,3/14/2022 7:01:59 AM , 0.2351692 ,3/14/2022 7:02:19 AM , 0.223243 ,3/14/2022 7:02:39 AM , 0.2374586 ,3/14/2022 7:02:59 AM , 0.2731306 ,3/14/2022 7:03:19 AM , 0.2176526 ,3/14/2022 7:03:39 AM , 0.1769759 ,3/14/2022 7:03:59 AM , 0.1743138 ,3/14/2022 7:04:19 AM , 0.1745267 ,3/14/2022 7:04:39 AM , 0.1800639 ,3/14/2022 7:04:59 AM , 0.1569037 ,3/14/2022 7:05:19 AM , 0.1685104 ,3/14/2022 7:05:39 AM , 0.182513 ,
 3 ,3/14/2022 7:06:19 AM , 0.2292061 ,3/14/2022 7:06:39 AM , 0.2138725 ,3/14/2022 7:06:59 AM , 0.2287269 ,3/14/2022 7:07:19 AM , 0.2096664 ,3/14/2022 7:07:39 AM , 0.2129319 ,3/14/2022 7:07:59 AM , 0.1972078 ,3/14/2022 7:08:19 AM , 0.2190902 ,3/14/2022 7:08:39 AM , 0.2462435 ,3/14/2022 7:08:59 AM , 0.2016801 ,3/14/2022 7:09:19 AM , 0.1608968 ,3/14/2022 7:09:39 AM , 0.1652627 ,3/14/2022 7:09:59 AM , 0.1598852 ,3/14/2022 7:10:19 AM , 0.1746332 ,3/14/2022 7:10:39 AM , 0.1536027 ,3/14/2022 7:10:59 AM , 0.1619617 ,3/14/2022 7:11:19 AM , 0.1807028 ,
 4 ,3/14/2022 7:11:59 AM , 0.1993374 ,3/14/2022 7:12:19 AM , 0.1784666 ,3/14/2022 7:12:39 AM , 0.1786264 ,3/14/2022 7:12:59 AM , 0.1777745 ,3/14/2022 7:13:19 AM , 0.1977934 ,3/14/2022 7:13:39 AM , 0.1822468 ,3/14/2022 7:13:59 AM , 0.2081046 ,3/14/2022 7:14:19 AM , 0.2357016 ,3/14/2022 7:14:39 AM , 0.199231 ,3/14/2022 7:14:59 AM , 0.146912 ,3/14/2022 7:15:19 AM , 0.1545078 ,3/14/2022 7:15:39 AM , 0.1408247 ,3/14/2022 7:15:59 AM , 0.1628135 ,3/14/2022 7:16:19 AM , 0.1508341 ,3/14/2022 7:16:39 AM , 0.1575426 ,3/14/2022 7:16:59 AM , 0.1786796 ,
 5 ,3/14/2022 7:17:39 AM , 0.1838441 ,3/14/2022 7:17:59 AM , 0.1582347 ,3/14/2022 7:18:19 AM , 0.1621746 ,3/14/2022 7:18:39 AM , 0.179425 ,3/14/2022 7:18:59 AM , 0.199231 ,3/14/2022 7:19:19 AM , 0.1775083 ,3/14/2022 7:19:39 AM , 0.1801171 ,3/14/2022 7:19:59 AM , 0.2281945 ,3/14/2022 7:20:19 AM , 0.1964091 ,3/14/2022 7:20:39 AM , 0.1317735 ,3/14/2022 7:20:59 AM , 0.1526444 ,3/14/2022 7:21:19 AM , 0.1309217 ,3/14/2022 7:21:39 AM , 0.1589269 ,3/14/2022 7:21:59 AM , 0.1490771 ,3/14/2022 7:22:19 AM , 0.1534962 ,3/14/2022 7:22:39 AM , 0.1733554 ,
 6 ,3/14/2022 7:23:19 AM , 0.1714387 ,3/14/2022 7:23:39 AM , 0.14157 ,3/14/2022 7:23:59 AM , 0.1509939 ,3/14/2022 7:24:19 AM , 0.1673391 ,3/14/2022 7:24:39 AM , 0.1883696 ,3/14/2022 7:24:59 AM , 0.1765499 ,3/14/2022 7:25:19 AM , 0.1676585 ,3/14/2022 7:25:39 AM , 0.2125414 ,3/14/2022 7:25:59 AM , 0.180969 ,3/14/2022 7:26:19 AM , 0.1189423 ,3/14/2022 7:26:39 AM , 0.143327 ,3/14/2022 7:26:59 AM , 0.1244794 ,3/14/2022 7:27:19 AM , 0.1576491 ,3/14/2022 7:27:39 AM , 0.1504614 ,3/14/2022 7:27:59 AM , 0.1509406 ,3/14/2022 7:28:19 AM , 0.1753254 ,
 7 ,3/14/2022 7:28:59 AM , 0.1501952 ,3/14/2022 7:29:19 AM , 0.1304425 ,3/14/2022 7:29:39 AM , 0.1395291 ,3/14/2022 7:29:59 AM , 0.1608436 ,3/14/2022 7:30:19 AM , 0.1865594 ,3/14/2022 7:30:39 AM , 0.1511003 ,3/14/2022 7:30:59 AM , 0.1727165 ,3/14/2022 7:31:19 AM , 0.2096664 ,3/14/2022 7:31:39 AM , 0.1817676 ,3/14/2022 7:31:59 AM , 0.1110625 ,3/14/2022 7:32:19 AM , 0.1411264 ,3/14/2022 7:32:39 AM , 0.1399195 ,3/14/2022 7:32:59 AM , 0.1516328 ,3/14/2022 7:33:19 AM , 0.1504614 ,3/14/2022 7:33:39 AM , 0.1552532 ,3/14/2022 7:33:59 AM , 0.169522 ,
 8 ,3/14/2022 7:34:39 AM , 0.1367783 ,3/14/2022 7:34:59 AM , 0.1236808 ,3/14/2022 7:35:19 AM , 0.1578621 ,3/14/2022 7:35:39 AM , 0.1524846 ,3/14/2022 7:35:59 AM , 0.1770823 ,3/14/2022 7:36:19 AM , 0.1394404 ,3/14/2022 7:36:39 AM , 0.1767629 ,3/14/2022 7:36:59 AM , 0.2007217 ,3/14/2022 7:37:19 AM , 0.1851751 ,3/14/2022 7:37:39 AM , 0.1079212 ,3/14/2022 7:37:59 AM , 0.1443919 ,3/14/2022 7:38:19 AM , 0.1332643 ,3/14/2022 7:38:39 AM , 0.1388015 ,3/14/2022 7:38:59 AM , 0.1484915 ,3/14/2022 7:39:19 AM , 0.1576491 ,3/14/2022 7:39:39 AM , 0.1735684 ,
