Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,DCO2


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 0.281738 ,3/14/2022 6:55:19 AM , 0.2533779 ,3/14/2022 6:55:39 AM , 0.2932383 ,3/14/2022 6:55:59 AM , 0.2530052 ,3/14/2022 6:56:19 AM , 0.210465 ,3/14/2022 6:56:39 AM , 0.2097728 ,3/14/2022 6:56:59 AM , 0.2146178 ,3/14/2022 6:57:19 AM , 0.2472019 ,3/14/2022 6:57:39 AM , 0.1927887 ,3/14/2022 6:57:59 AM , 0.1284726 ,3/14/2022 6:58:19 AM , 0.125491 ,3/14/2022 6:58:39 AM , 0.1213914 ,3/14/2022 6:58:59 AM , 0.1159075 ,3/14/2022 6:59:19 AM , 0.1056141 ,3/14/2022 6:59:39 AM , 0.1196344 ,3/14/2022 6:59:59 AM , 0.1275142 ,
 2 ,3/14/2022 7:00:39 AM , 0.2092404 ,3/14/2022 7:00:59 AM , 0.1903396 ,3/14/2022 7:01:19 AM , 0.2157892 ,3/14/2022 7:01:39 AM , 0.1894877 ,3/14/2022 7:01:59 AM , 0.1766564 ,3/14/2022 7:02:19 AM , 0.1647303 ,3/14/2022 7:02:39 AM , 0.1789458 ,3/14/2022 7:02:59 AM , 0.2146178 ,3/14/2022 7:03:19 AM , 0.1591399 ,3/14/2022 7:03:39 AM , 0.1184631 ,3/14/2022 7:03:59 AM , 0.115801 ,3/14/2022 7:04:19 AM , 0.116014 ,3/14/2022 7:04:39 AM , 0.1215511 ,3/14/2022 7:04:59 AM , 9.839092E-02 ,3/14/2022 7:05:19 AM , 0.1099976 ,3/14/2022 7:05:39 AM , 0.1240002 ,
 3 ,3/14/2022 7:06:19 AM , 0.171279 ,3/14/2022 7:06:39 AM , 0.1559453 ,3/14/2022 7:06:59 AM , 0.1707998 ,3/14/2022 7:07:19 AM , 0.1517392 ,3/14/2022 7:07:39 AM , 0.1550047 ,3/14/2022 7:07:59 AM , 0.1392806 ,3/14/2022 7:08:19 AM , 0.161163 ,3/14/2022 7:08:39 AM , 0.1883164 ,3/14/2022 7:08:59 AM , 0.143753 ,3/14/2022 7:09:19 AM , 0.1029697 ,3/14/2022 7:09:39 AM , 0.1073356 ,3/14/2022 7:09:59 AM , 0.1019581 ,3/14/2022 7:10:19 AM , 0.1167061 ,3/14/2022 7:10:39 AM , 9.567559E-02 ,3/14/2022 7:10:59 AM , 0.1040346 ,3/14/2022 7:11:19 AM , 0.1227757 ,
 4 ,3/14/2022 7:11:59 AM , 0.1413038 ,3/14/2022 7:12:19 AM , 0.120433 ,3/14/2022 7:12:39 AM , 0.1205928 ,3/14/2022 7:12:59 AM , 0.1197409 ,3/14/2022 7:13:19 AM , 0.1397598 ,3/14/2022 7:13:39 AM , 0.1242132 ,3/14/2022 7:13:59 AM , 0.150071 ,3/14/2022 7:14:19 AM , 0.177668 ,3/14/2022 7:14:39 AM , 0.1411974 ,3/14/2022 7:14:59 AM , 8.887838E-02 ,3/14/2022 7:15:19 AM , 9.647422E-02 ,3/14/2022 7:15:39 AM , 8.279106E-02 ,3/14/2022 7:15:59 AM , 0.1047799 ,3/14/2022 7:16:19 AM , 9.280053E-02 ,3/14/2022 7:16:39 AM , 0.099509 ,3/14/2022 7:16:59 AM , 0.120646 ,
 5 ,3/14/2022 7:17:39 AM , 0.1260767 ,3/14/2022 7:17:59 AM , 0.1004674 ,3/14/2022 7:18:19 AM , 0.1044073 ,3/14/2022 7:18:39 AM , 0.1216576 ,3/14/2022 7:18:59 AM , 0.1414636 ,3/14/2022 7:19:19 AM , 0.1197409 ,3/14/2022 7:19:39 AM , 0.1223497 ,3/14/2022 7:19:59 AM , 0.1704271 ,3/14/2022 7:20:19 AM , 0.1386417 ,3/14/2022 7:20:39 AM , 7.400616E-02 ,3/14/2022 7:20:59 AM , 9.487696E-02 ,3/14/2022 7:21:19 AM , 7.315429E-02 ,3/14/2022 7:21:39 AM , 0.1011595 ,3/14/2022 7:21:59 AM , 9.130976E-02 ,3/14/2022 7:22:19 AM , 9.572883E-02 ,3/14/2022 7:22:39 AM , 0.115588 ,
 6 ,3/14/2022 7:23:19 AM , 0.1144167 ,3/14/2022 7:23:39 AM , 8.454804E-02 ,3/14/2022 7:23:59 AM , 9.397185E-02 ,3/14/2022 7:24:19 AM , 0.1103171 ,3/14/2022 7:24:39 AM , 0.1313476 ,3/14/2022 7:24:59 AM , 0.1195279 ,3/14/2022 7:25:19 AM , 0.1106365 ,3/14/2022 7:25:39 AM , 0.1555194 ,3/14/2022 7:25:59 AM , 0.123947 ,3/14/2022 7:26:19 AM , 6.192025E-02 ,3/14/2022 7:26:39 AM , 8.630502E-02 ,3/14/2022 7:26:59 AM , 6.745741E-02 ,3/14/2022 7:27:19 AM , 0.1006271 ,3/14/2022 7:27:39 AM , 9.343943E-02 ,3/14/2022 7:27:59 AM , 9.391861E-02 ,3/14/2022 7:28:19 AM , 0.1183034 ,
 7 ,3/14/2022 7:28:59 AM , 9.407833E-02 ,3/14/2022 7:29:19 AM , 7.432561E-02 ,3/14/2022 7:29:39 AM , 8.341222E-02 ,3/14/2022 7:29:59 AM , 0.1047267 ,3/14/2022 7:30:19 AM , 0.1304425 ,3/14/2022 7:30:39 AM , 9.498344E-02 ,3/14/2022 7:30:59 AM , 0.1165996 ,3/14/2022 7:31:19 AM , 0.1535495 ,3/14/2022 7:31:39 AM , 0.1256507 ,3/14/2022 7:31:59 AM , 5.494558E-02 ,3/14/2022 7:32:19 AM , 8.500947E-02 ,3/14/2022 7:32:39 AM , 8.380266E-02 ,3/14/2022 7:32:59 AM , 9.551586E-02 ,3/14/2022 7:33:19 AM , 9.434454E-02 ,3/14/2022 7:33:39 AM , 9.913631E-02 ,3/14/2022 7:33:59 AM , 0.1134051 ,
 8 ,3/14/2022 7:34:39 AM , 8.316375E-02 ,3/14/2022 7:34:59 AM , 7.006626E-02 ,3/14/2022 7:35:19 AM , 0.1042475 ,3/14/2022 7:35:39 AM , 0.0988701 ,3/14/2022 7:35:59 AM , 0.1234678 ,3/14/2022 7:36:19 AM , 8.582585E-02 ,3/14/2022 7:36:39 AM , 0.1231484 ,3/14/2022 7:36:59 AM , 0.1471072 ,3/14/2022 7:37:19 AM , 0.1315606 ,3/14/2022 7:37:39 AM , 5.430667E-02 ,3/14/2022 7:37:59 AM , 9.077734E-02 ,3/14/2022 7:38:19 AM , 7.964979E-02 ,3/14/2022 7:38:39 AM , 8.518694E-02 ,3/14/2022 7:38:59 AM , 9.487696E-02 ,3/14/2022 7:39:19 AM , 0.1040346 ,3/14/2022 7:39:39 AM , 0.1199539 ,
