Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:19 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,DO2


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 0.3047931 ,3/14/2022 6:55:19 AM , 0.2773233 ,3/14/2022 6:55:39 AM , 0.3252964 ,3/14/2022 6:55:59 AM , 0.2739092 ,3/14/2022 6:56:19 AM , 0.2231638 ,3/14/2022 6:56:39 AM , 0.2343256 ,3/14/2022 6:56:59 AM , 0.2441941 ,3/14/2022 6:57:19 AM , 0.2722147 ,3/14/2022 6:57:39 AM , 0.2300256 ,3/14/2022 6:57:59 AM , 0.1551023 ,3/14/2022 6:58:19 AM , 0.1578211 ,3/14/2022 6:58:39 AM , 0.1584878 ,3/14/2022 6:58:59 AM , 0.1360282 ,3/14/2022 6:59:19 AM , 0.1211345 ,3/14/2022 6:59:39 AM , 0.1372368 ,3/14/2022 6:59:59 AM , 0.1579407 ,
 2 ,3/14/2022 7:00:39 AM , 0.2309339 ,3/14/2022 7:00:59 AM , 0.2146235 ,3/14/2022 7:01:19 AM , 0.2465865 ,3/14/2022 7:01:39 AM , 0.2115371 ,3/14/2022 7:01:59 AM , 0.190989 ,3/14/2022 7:02:19 AM , 0.1885692 ,3/14/2022 7:02:39 AM , 0.2109739 ,3/14/2022 7:02:59 AM , 0.2402592 ,3/14/2022 7:03:19 AM , 0.1974857 ,3/14/2022 7:03:39 AM , 0.1369951 ,3/14/2022 7:03:59 AM , 0.1403357 ,3/14/2022 7:04:19 AM , 0.1469782 ,3/14/2022 7:04:39 AM , 0.1331661 ,3/14/2022 7:04:59 AM , 0.1153866 ,3/14/2022 7:05:19 AM , 0.1313369 ,3/14/2022 7:05:39 AM , 0.1574286 ,
 3 ,3/14/2022 7:06:19 AM , 0.19302 ,3/14/2022 7:06:39 AM , 0.1799044 ,3/14/2022 7:06:59 AM , 0.1983916 ,3/14/2022 7:07:19 AM , 0.1762959 ,3/14/2022 7:07:39 AM , 0.1758984 ,3/14/2022 7:07:59 AM , 0.1622109 ,3/14/2022 7:08:19 AM , 0.1907261 ,3/14/2022 7:08:39 AM , 0.2155157 ,3/14/2022 7:08:59 AM , 0.1842505 ,3/14/2022 7:09:19 AM , 0.121142 ,3/14/2022 7:09:39 AM , 0.1306516 ,3/14/2022 7:09:59 AM , 0.1278406 ,3/14/2022 7:10:19 AM , 0.1304473 ,3/14/2022 7:10:39 AM , 0.1131949 ,3/14/2022 7:10:59 AM , 0.1238583 ,3/14/2022 7:11:19 AM , 0.1559832 ,
 4 ,3/14/2022 7:11:59 AM , 0.1675575 ,3/14/2022 7:12:19 AM , 0.1473645 ,3/14/2022 7:12:39 AM , 0.1534999 ,3/14/2022 7:12:59 AM , 0.1500223 ,3/14/2022 7:13:19 AM , 0.1641223 ,3/14/2022 7:13:39 AM , 0.1484236 ,3/14/2022 7:13:59 AM , 0.1803417 ,3/14/2022 7:14:19 AM , 0.2092295 ,3/14/2022 7:14:39 AM , 0.1840324 ,3/14/2022 7:14:59 AM , 0.1080712 ,3/14/2022 7:15:19 AM , 0.1238135 ,3/14/2022 7:15:39 AM , 0.1059791 ,3/14/2022 7:15:59 AM , 0.1203395 ,3/14/2022 7:16:19 AM , 0.1142066 ,3/14/2022 7:16:39 AM , 0.1201639 ,3/14/2022 7:16:59 AM , 0.1468474 ,
 5 ,3/14/2022 7:17:39 AM , 0.1526701 ,3/14/2022 7:17:59 AM , 0.1149817 ,3/14/2022 7:18:19 AM , 0.1244826 ,3/14/2022 7:18:39 AM , 0.1440289 ,3/14/2022 7:18:59 AM , 0.1641048 ,3/14/2022 7:19:19 AM , 0.141968 ,3/14/2022 7:19:39 AM , 0.1515935 ,3/14/2022 7:19:59 AM , 0.2036461 ,3/14/2022 7:20:19 AM , 0.1778858 ,3/14/2022 7:20:39 AM , 8.790185E-02 ,3/14/2022 7:20:59 AM , 0.1188331 ,3/14/2022 7:21:19 AM , 9.153152E-02 ,3/14/2022 7:21:39 AM , 0.1156757 ,3/14/2022 7:21:59 AM , 0.1111015 ,3/14/2022 7:22:19 AM , 0.1150016 ,3/14/2022 7:22:39 AM , 0.1459353 ,
 6 ,3/14/2022 7:23:19 AM , 0.1336433 ,3/14/2022 7:23:39 AM , 9.751491E-02 ,3/14/2022 7:23:59 AM , 0.1151461 ,3/14/2022 7:24:19 AM , 0.1319886 ,3/14/2022 7:24:39 AM , 0.1552169 ,3/14/2022 7:24:59 AM , 0.1340794 ,3/14/2022 7:25:19 AM , 0.1279752 ,3/14/2022 7:25:39 AM , 0.1905977 ,3/14/2022 7:25:59 AM , 0.1668648 ,3/14/2022 7:26:19 AM , 7.661664E-02 ,3/14/2022 7:26:39 AM , 0.1107938 ,3/14/2022 7:26:59 AM , 8.451641E-02 ,3/14/2022 7:27:19 AM , 0.1177441 ,3/14/2022 7:27:39 AM , 0.1135662 ,3/14/2022 7:27:59 AM , 0.1151486 ,3/14/2022 7:28:19 AM , 0.146506 ,
 7 ,3/14/2022 7:28:59 AM , 0.1135226 ,3/14/2022 7:29:19 AM , 8.678667E-02 ,3/14/2022 7:29:39 AM , 0.1024978 ,3/14/2022 7:29:59 AM , 0.1241997 ,3/14/2022 7:30:19 AM , 0.1526651 ,3/14/2022 7:30:39 AM , 0.1078444 ,3/14/2022 7:30:59 AM , 0.1464375 ,3/14/2022 7:31:19 AM , 0.1867413 ,3/14/2022 7:31:39 AM , 0.1673968 ,3/14/2022 7:31:59 AM , 6.561551E-02 ,3/14/2022 7:32:19 AM , 0.1056589 ,3/14/2022 7:32:39 AM , 9.962443E-02 ,3/14/2022 7:32:59 AM , 0.1119177 ,3/14/2022 7:33:19 AM , 0.1120921 ,3/14/2022 7:33:39 AM , 0.1183135 ,3/14/2022 7:33:59 AM , 0.1399008 ,
 8 ,3/14/2022 7:34:39 AM , 9.681216E-02 ,3/14/2022 7:34:59 AM , 7.905386E-02 ,3/14/2022 7:35:19 AM , 0.1222323 ,3/14/2022 7:35:39 AM , 0.110395 ,3/14/2022 7:35:59 AM , 0.1448637 ,3/14/2022 7:36:19 AM , 9.354384E-02 ,3/14/2022 7:36:39 AM , 0.1505805 ,3/14/2022 7:36:59 AM , 0.1783593 ,3/14/2022 7:37:19 AM , 0.1732033 ,3/14/2022 7:37:39 AM , 6.379507E-02 ,3/14/2022 7:37:59 AM , 0.1077821 ,3/14/2022 7:38:19 AM , 9.529699E-02 ,3/14/2022 7:38:39 AM , 9.761958E-02 ,3/14/2022 7:38:59 AM , 0.1111015 ,3/14/2022 7:39:19 AM , 0.1208554 ,3/14/2022 7:39:39 AM , 0.140074 ,
