Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,FLOW (lpm)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 0.9164189 ,3/14/2022 6:55:19 AM , 0.9076207 ,3/14/2022 6:55:39 AM , 0.9184073 ,3/14/2022 6:55:59 AM , 0.9099041 ,3/14/2022 6:56:19 AM , 0.9177153 ,3/14/2022 6:56:39 AM , 0.906983 ,3/14/2022 6:56:59 AM , 0.9008002 ,3/14/2022 6:57:19 AM , 0.9067572 ,3/14/2022 6:57:39 AM , 0.8996736 ,3/14/2022 6:57:59 AM , 0.8929535 ,3/14/2022 6:58:19 AM , 0.890154 ,3/14/2022 6:58:39 AM , 0.9021996 ,3/14/2022 6:58:59 AM , 0.8955564 ,3/14/2022 6:59:19 AM , 0.9059435 ,3/14/2022 6:59:39 AM , 0.893508 ,3/14/2022 6:59:59 AM , 0.9029976 ,
 2 ,3/14/2022 7:00:39 AM , 0.9162104 ,3/14/2022 7:00:59 AM , 0.9074777 ,3/14/2022 7:01:19 AM , 0.9176142 ,3/14/2022 7:01:39 AM , 0.9071113 ,3/14/2022 7:01:59 AM , 0.915733 ,3/14/2022 7:02:19 AM , 0.9033895 ,3/14/2022 7:02:39 AM , 0.8989263 ,3/14/2022 7:02:59 AM , 0.9042186 ,3/14/2022 7:03:19 AM , 0.8994708 ,3/14/2022 7:03:39 AM , 0.8913769 ,3/14/2022 7:03:59 AM , 0.8895324 ,3/14/2022 7:04:19 AM , 0.9013392 ,3/14/2022 7:04:39 AM , 0.8938596 ,3/14/2022 7:04:59 AM , 0.9051444 ,3/14/2022 7:05:19 AM , 0.8911632 ,3/14/2022 7:05:39 AM , 0.9010441 ,
 3 ,3/14/2022 7:06:19 AM , 0.91577 ,3/14/2022 7:06:39 AM , 0.9063427 ,3/14/2022 7:06:59 AM , 0.9168283 ,3/14/2022 7:07:19 AM , 0.9080772 ,3/14/2022 7:07:39 AM , 0.9172367 ,3/14/2022 7:07:59 AM , 0.904707 ,3/14/2022 7:08:19 AM , 0.9007151 ,3/14/2022 7:08:39 AM , 0.9057531 ,3/14/2022 7:08:59 AM , 0.8998669 ,3/14/2022 7:09:19 AM , 0.8916564 ,3/14/2022 7:09:39 AM , 0.8892289 ,3/14/2022 7:09:59 AM , 0.9020556 ,3/14/2022 7:10:19 AM , 0.8951796 ,3/14/2022 7:10:39 AM , 0.9046103 ,3/14/2022 7:10:59 AM , 0.8922445 ,3/14/2022 7:11:19 AM , 0.9012997 ,
 4 ,3/14/2022 7:11:59 AM , 0.9150532 ,3/14/2022 7:12:19 AM , 0.9059209 ,3/14/2022 7:12:39 AM , 0.9165767 ,3/14/2022 7:12:59 AM , 0.9072248 ,3/14/2022 7:13:19 AM , 0.9161881 ,3/14/2022 7:13:39 AM , 0.9031873 ,3/14/2022 7:13:59 AM , 0.8983885 ,3/14/2022 7:14:19 AM , 0.9035585 ,3/14/2022 7:14:39 AM , 0.899976 ,3/14/2022 7:14:59 AM , 0.8925695 ,3/14/2022 7:15:19 AM , 0.8896391 ,3/14/2022 7:15:39 AM , 0.9011964 ,3/14/2022 7:15:59 AM , 0.8943396 ,3/14/2022 7:16:19 AM , 0.9046981 ,3/14/2022 7:16:39 AM , 0.892104 ,3/14/2022 7:16:59 AM , 0.901632 ,
 5 ,3/14/2022 7:17:39 AM , 0.9160771 ,3/14/2022 7:17:59 AM , 0.9071434 ,3/14/2022 7:18:19 AM , 0.9178277 ,3/14/2022 7:18:39 AM , 0.9082574 ,3/14/2022 7:18:59 AM , 0.9169689 ,3/14/2022 7:19:19 AM , 0.9058234 ,3/14/2022 7:19:39 AM , 0.9001082 ,3/14/2022 7:19:59 AM , 0.9061355 ,3/14/2022 7:20:19 AM , 0.8985288 ,3/14/2022 7:20:39 AM , 0.8903412 ,3/14/2022 7:20:59 AM , 0.8884645 ,3/14/2022 7:21:19 AM , 0.9006948 ,3/14/2022 7:21:39 AM , 0.8950511 ,3/14/2022 7:21:59 AM , 0.9050388 ,3/14/2022 7:22:19 AM , 0.8912796 ,3/14/2022 7:22:39 AM , 0.9009889 ,
 6 ,3/14/2022 7:23:19 AM , 0.9139603 ,3/14/2022 7:23:39 AM , 0.9062983 ,3/14/2022 7:23:59 AM , 0.9162214 ,3/14/2022 7:24:19 AM , 0.9059727 ,3/14/2022 7:24:39 AM , 0.9155911 ,3/14/2022 7:24:59 AM , 0.9025519 ,3/14/2022 7:25:19 AM , 0.8982478 ,3/14/2022 7:25:39 AM , 0.9037547 ,3/14/2022 7:25:59 AM , 0.8983644 ,3/14/2022 7:26:19 AM , 0.8909916 ,3/14/2022 7:26:39 AM , 0.8888268 ,3/14/2022 7:26:59 AM , 0.9005663 ,3/14/2022 7:27:19 AM , 0.894342 ,3/14/2022 7:27:39 AM , 0.9054383 ,3/14/2022 7:27:59 AM , 0.8919265 ,3/14/2022 7:28:19 AM , 0.9018251 ,
 7 ,3/14/2022 7:28:59 AM , 0.9148534 ,3/14/2022 7:29:19 AM , 0.9068349 ,3/14/2022 7:29:39 AM , 0.9170023 ,3/14/2022 7:29:59 AM , 0.9074925 ,3/14/2022 7:30:19 AM , 0.9170578 ,3/14/2022 7:30:39 AM , 0.903994 ,3/14/2022 7:30:59 AM , 0.8993767 ,3/14/2022 7:31:19 AM , 0.9052954 ,3/14/2022 7:31:39 AM , 0.898728 ,3/14/2022 7:31:59 AM , 0.8897532 ,3/14/2022 7:32:19 AM , 0.8882147 ,3/14/2022 7:32:39 AM , 0.9006265 ,3/14/2022 7:32:59 AM , 0.894438 ,3/14/2022 7:33:19 AM , 0.9040776 ,3/14/2022 7:33:39 AM , 0.891288 ,3/14/2022 7:33:59 AM , 0.9005089 ,
 8 ,3/14/2022 7:34:39 AM , 0.9150829 ,3/14/2022 7:34:59 AM , 0.9066648 ,3/14/2022 7:35:19 AM , 0.9167975 ,3/14/2022 7:35:39 AM , 0.9072667 ,3/14/2022 7:35:59 AM , 0.91585 ,3/14/2022 7:36:19 AM , 0.9049118 ,3/14/2022 7:36:39 AM , 0.8990905 ,3/14/2022 7:36:59 AM , 0.9049044 ,3/14/2022 7:37:19 AM , 0.8988708 ,3/14/2022 7:37:39 AM , 0.892146 ,3/14/2022 7:37:59 AM , 0.8898084 ,3/14/2022 7:38:19 AM , 0.9010584 ,3/14/2022 7:38:39 AM , 0.8946048 ,3/14/2022 7:38:59 AM , 0.9058128 ,3/14/2022 7:39:19 AM , 0.892188 ,3/14/2022 7:39:39 AM , 0.9027324 ,
