Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,HEAT (kcal/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 29.27056 ,3/14/2022 6:55:19 AM , 26.09241 ,3/14/2022 6:55:39 AM , 29.62944 ,3/14/2022 6:55:59 AM , 29.8478 ,3/14/2022 6:56:19 AM , 20.349 ,3/14/2022 6:56:39 AM , 25.12109 ,3/14/2022 6:56:59 AM , 20.83438 ,3/14/2022 6:57:19 AM , 25.84759 ,3/14/2022 6:57:39 AM , 33.09485 ,3/14/2022 6:57:59 AM , 18.49812 ,3/14/2022 6:58:19 AM , 23.81658 ,3/14/2022 6:58:39 AM , 16.80386 ,3/14/2022 6:58:59 AM , 15.39813 ,3/14/2022 6:59:19 AM , 16.43911 ,3/14/2022 6:59:39 AM , 19.74396 ,3/14/2022 6:59:59 AM , 20.586 ,
 2 ,3/14/2022 7:00:39 AM , 22.15443 ,3/14/2022 7:00:59 AM , 20.16609 ,3/14/2022 7:01:19 AM , 22.41428 ,3/14/2022 7:01:39 AM , 22.95183 ,3/14/2022 7:01:59 AM , 17.36352 ,3/14/2022 7:02:19 AM , 20.11621 ,3/14/2022 7:02:39 AM , 17.93805 ,3/14/2022 7:02:59 AM , 22.73437 ,3/14/2022 7:03:19 AM , 28.36558 ,3/14/2022 7:03:39 AM , 16.33631 ,3/14/2022 7:03:59 AM , 21.19112 ,3/14/2022 7:04:19 AM , 15.58496 ,3/14/2022 7:04:39 AM , 15.0863 ,3/14/2022 7:04:59 AM , 15.63196 ,3/14/2022 7:05:19 AM , 18.81677 ,3/14/2022 7:05:39 AM , 20.45688 ,
 3 ,3/14/2022 7:06:19 AM , 18.493 ,3/14/2022 7:06:39 AM , 16.86771 ,3/14/2022 7:06:59 AM , 18.00677 ,3/14/2022 7:07:19 AM , 19.11873 ,3/14/2022 7:07:39 AM , 15.98675 ,3/14/2022 7:07:59 AM , 17.31813 ,3/14/2022 7:08:19 AM , 16.24643 ,3/14/2022 7:08:39 AM , 20.40998 ,3/14/2022 7:08:59 AM , 26.44584 ,3/14/2022 7:09:19 AM , 14.44088 ,3/14/2022 7:09:39 AM , 19.71908 ,3/14/2022 7:09:59 AM , 13.57157 ,3/14/2022 7:10:19 AM , 14.78826 ,3/14/2022 7:10:39 AM , 15.32115 ,3/14/2022 7:10:59 AM , 17.7688 ,3/14/2022 7:11:19 AM , 20.27443 ,
 4 ,3/14/2022 7:11:59 AM , 16.00932 ,3/14/2022 7:12:19 AM , 13.7796 ,3/14/2022 7:12:39 AM , 13.88168 ,3/14/2022 7:12:59 AM , 16.20876 ,3/14/2022 7:13:19 AM , 14.87978 ,3/14/2022 7:13:39 AM , 15.80427 ,3/14/2022 7:13:59 AM , 15.31342 ,3/14/2022 7:14:19 AM , 19.74499 ,3/14/2022 7:14:39 AM , 26.40268 ,3/14/2022 7:14:59 AM , 12.88014 ,3/14/2022 7:15:19 AM , 18.66054 ,3/14/2022 7:15:39 AM , 11.23196 ,3/14/2022 7:15:59 AM , 13.61525 ,3/14/2022 7:16:19 AM , 15.43685 ,3/14/2022 7:16:39 AM , 17.22703 ,3/14/2022 7:16:59 AM , 19.12352 ,
 5 ,3/14/2022 7:17:39 AM , 14.59188 ,3/14/2022 7:17:59 AM , 10.79345 ,3/14/2022 7:18:19 AM , 11.29975 ,3/14/2022 7:18:39 AM , 15.61155 ,3/14/2022 7:18:59 AM , 14.89776 ,3/14/2022 7:19:19 AM , 15.16546 ,3/14/2022 7:19:39 AM , 12.88251 ,3/14/2022 7:19:59 AM , 19.26227 ,3/14/2022 7:20:19 AM , 25.49345 ,3/14/2022 7:20:39 AM , 10.45936 ,3/14/2022 7:20:59 AM , 17.90143 ,3/14/2022 7:21:19 AM , 9.70309 ,3/14/2022 7:21:39 AM , 13.1 ,3/14/2022 7:21:59 AM , 15.02897 ,3/14/2022 7:22:19 AM , 16.47478 ,3/14/2022 7:22:39 AM , 18.96606 ,
 6 ,3/14/2022 7:23:19 AM , 12.76111 ,3/14/2022 7:23:39 AM , 9.142528 ,3/14/2022 7:23:59 AM , 10.42328 ,3/14/2022 7:24:19 AM , 14.2647 ,3/14/2022 7:24:39 AM , 14.05984 ,3/14/2022 7:24:59 AM , 14.30147 ,3/14/2022 7:25:19 AM , 10.88087 ,3/14/2022 7:25:39 AM , 17.96389 ,3/14/2022 7:25:59 AM , 23.87029 ,3/14/2022 7:26:19 AM , 9.10923 ,3/14/2022 7:26:39 AM , 16.68269 ,3/14/2022 7:26:59 AM , 8.957744 ,3/14/2022 7:27:19 AM , 13.31209 ,3/14/2022 7:27:39 AM , 15.36967 ,3/14/2022 7:27:59 AM , 16.49548 ,3/14/2022 7:28:19 AM , 19.07104 ,
 7 ,3/14/2022 7:28:59 AM , 10.83708 ,3/14/2022 7:29:19 AM , 8.137605 ,3/14/2022 7:29:39 AM , 9.285097 ,3/14/2022 7:29:59 AM , 13.44974 ,3/14/2022 7:30:19 AM , 13.85568 ,3/14/2022 7:30:39 AM , 11.51597 ,3/14/2022 7:30:59 AM , 12.42805 ,3/14/2022 7:31:19 AM , 17.63532 ,3/14/2022 7:31:39 AM , 23.96446 ,3/14/2022 7:31:59 AM , 7.800511 ,3/14/2022 7:32:19 AM , 15.91676 ,3/14/2022 7:32:39 AM , 10.57985 ,3/14/2022 7:32:59 AM , 12.65375 ,3/14/2022 7:33:19 AM , 15.1604 ,3/14/2022 7:33:39 AM , 16.95341 ,3/14/2022 7:33:59 AM , 18.18703 ,
 8 ,3/14/2022 7:34:39 AM , 9.25657 ,3/14/2022 7:34:59 AM , 7.421004 ,3/14/2022 7:35:19 AM , 11.08987 ,3/14/2022 7:35:39 AM , 11.97981 ,3/14/2022 7:35:59 AM , 13.12913 ,3/14/2022 7:36:19 AM , 10.01539 ,3/14/2022 7:36:39 AM , 12.78807 ,3/14/2022 7:36:59 AM , 16.83843 ,3/14/2022 7:37:19 AM , 24.80976 ,3/14/2022 7:37:39 AM , 7.609268 ,3/14/2022 7:37:59 AM , 16.29328 ,3/14/2022 7:38:19 AM , 10.12284 ,3/14/2022 7:38:39 AM , 11.0488 ,3/14/2022 7:38:59 AM , 15.06328 ,3/14/2022 7:39:19 AM , 17.35283 ,3/14/2022 7:39:39 AM , 18.29193 ,
