Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,RER


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 0.9061766 ,3/14/2022 6:55:19 AM , 0.8931996 ,3/14/2022 6:55:39 AM , 0.8784797 ,3/14/2022 6:55:59 AM , 0.9053572 ,3/14/2022 6:56:19 AM , 0.9290782 ,3/14/2022 6:56:39 AM , 0.87101 ,3/14/2022 6:56:59 AM , 0.8515206 ,3/14/2022 6:57:19 AM , 0.8865055 ,3/14/2022 6:57:39 AM , 0.8035907 ,3/14/2022 6:57:59 AM , 0.7922142 ,3/14/2022 6:58:19 AM , 0.7541357 ,3/14/2022 6:58:39 AM , 0.721127 ,3/14/2022 6:58:59 AM , 0.8199081 ,3/14/2022 6:59:19 AM , 0.8432176 ,3/14/2022 6:59:39 AM , 0.8430455 ,3/14/2022 6:59:59 AM , 0.7680874 ,
 2 ,3/14/2022 7:00:39 AM , 0.8840305 ,3/14/2022 7:00:59 AM , 0.8609973 ,3/14/2022 7:01:19 AM , 0.8470396 ,3/14/2022 7:01:39 AM , 0.8716606 ,3/14/2022 7:01:59 AM , 0.9069064 ,3/14/2022 7:02:19 AM , 0.8452289 ,3/14/2022 7:02:39 AM , 0.8153405 ,3/14/2022 7:02:59 AM , 0.8686811 ,3/14/2022 7:03:19 AM , 0.7663322 ,3/14/2022 7:03:39 AM , 0.8347591 ,3/14/2022 7:03:59 AM , 0.7885916 ,3/14/2022 7:04:19 AM , 0.7475244 ,3/14/2022 7:04:39 AM , 0.8921439 ,3/14/2022 7:04:59 AM , 0.8206315 ,3/14/2022 7:05:19 AM , 0.8028999 ,3/14/2022 7:05:39 AM , 0.7456301 ,
 3 ,3/14/2022 7:06:19 AM , 0.8616084 ,3/14/2022 7:06:39 AM , 0.8372263 ,3/14/2022 7:06:59 AM , 0.8302765 ,3/14/2022 7:07:19 AM , 0.8300219 ,3/14/2022 7:07:39 AM , 0.8542905 ,3/14/2022 7:07:59 AM , 0.827592 ,3/14/2022 7:08:19 AM , 0.8116122 ,3/14/2022 7:08:39 AM , 0.8454796 ,3/14/2022 7:08:59 AM , 0.7371902 ,3/14/2022 7:09:19 AM , 0.8174521 ,3/14/2022 7:09:39 AM , 0.7843887 ,3/14/2022 7:09:59 AM , 0.7568607 ,3/14/2022 7:10:19 AM , 0.8703396 ,3/14/2022 7:10:39 AM , 0.8118654 ,3/14/2022 7:10:59 AM , 0.8057218 ,3/14/2022 7:11:19 AM , 0.7450004 ,
 4 ,3/14/2022 7:11:59 AM , 0.8096484 ,3/14/2022 7:12:19 AM , 0.7794436 ,3/14/2022 7:12:39 AM , 0.7433084 ,3/14/2022 7:12:59 AM , 0.7575601 ,3/14/2022 7:13:19 AM , 0.819278 ,3/14/2022 7:13:39 AM , 0.8021491 ,3/14/2022 7:13:59 AM , 0.7966567 ,3/14/2022 7:14:19 AM , 0.8164647 ,3/14/2022 7:14:39 AM , 0.7225798 ,3/14/2022 7:14:59 AM , 0.7853813 ,3/14/2022 7:15:19 AM , 0.7360291 ,3/14/2022 7:15:39 AM , 0.7383 ,3/14/2022 7:15:59 AM , 0.8418065 ,3/14/2022 7:16:19 AM , 0.7740536 ,3/14/2022 7:16:39 AM , 0.7919741 ,3/14/2022 7:16:59 AM , 0.78442 ,
 5 ,3/14/2022 7:17:39 AM , 0.7893152 ,3/14/2022 7:17:59 AM , 0.8454426 ,3/14/2022 7:18:19 AM , 0.8042904 ,3/14/2022 7:18:39 AM , 0.8112198 ,3/14/2022 7:18:59 AM , 0.8315848 ,3/14/2022 7:19:19 AM , 0.809779 ,3/14/2022 7:19:39 AM , 0.7677761 ,3/14/2022 7:19:59 AM , 0.8021516 ,3/14/2022 7:20:19 AM , 0.7362649 ,3/14/2022 7:20:39 AM , 0.8080072 ,3/14/2022 7:20:59 AM , 0.7578496 ,3/14/2022 7:21:19 AM , 0.7587793 ,3/14/2022 7:21:39 AM , 0.8463321 ,3/14/2022 7:21:59 AM , 0.7847563 ,3/14/2022 7:22:19 AM , 0.7969665 ,3/14/2022 7:22:39 AM , 0.7506121 ,
 6 ,3/14/2022 7:23:19 AM , 0.8246472 ,3/14/2022 7:23:39 AM , 0.8374729 ,3/14/2022 7:23:59 AM , 0.7781293 ,3/14/2022 7:24:19 AM , 0.8009046 ,3/14/2022 7:24:39 AM , 0.8130368 ,3/14/2022 7:24:59 AM , 0.8665252 ,3/14/2022 7:25:19 AM , 0.8345087 ,3/14/2022 7:25:39 AM , 0.7779546 ,3/14/2022 7:25:59 AM , 0.6953196 ,3/14/2022 7:26:19 AM , 0.7690426 ,3/14/2022 7:26:39 AM , 0.7357937 ,3/14/2022 7:26:59 AM , 0.757562 ,3/14/2022 7:27:19 AM , 0.8228678 ,3/14/2022 7:27:39 AM , 0.7858227 ,3/14/2022 7:27:59 AM , 0.7775778 ,3/14/2022 7:28:19 AM , 0.7682457 ,
 7 ,3/14/2022 7:28:59 AM , 0.7926909 ,3/14/2022 7:29:19 AM , 0.8249896 ,3/14/2022 7:29:39 AM , 0.7754893 ,3/14/2022 7:29:59 AM , 0.8095378 ,3/14/2022 7:30:19 AM , 0.8226756 ,3/14/2022 7:30:39 AM , 0.8537417 ,3/14/2022 7:30:59 AM , 0.7553998 ,3/14/2022 7:31:19 AM , 0.7852224 ,3/14/2022 7:31:39 AM , 0.7040114 ,3/14/2022 7:31:59 AM , 0.8027726 ,3/14/2022 7:32:19 AM , 0.7648886 ,3/14/2022 7:32:39 AM , 0.8071807 ,3/14/2022 7:32:59 AM , 0.8215128 ,3/14/2022 7:33:19 AM , 0.8077279 ,3/14/2022 7:33:39 AM , 0.8033676 ,3/14/2022 7:33:59 AM , 0.7718244 ,
 8 ,3/14/2022 7:34:39 AM , 0.8280717 ,3/14/2022 7:34:59 AM , 0.8603717 ,3/14/2022 7:35:19 AM , 0.8208231 ,3/14/2022 7:35:39 AM , 0.8714777 ,3/14/2022 7:35:59 AM , 0.8201762 ,3/14/2022 7:36:19 AM , 0.8978608 ,3/14/2022 7:36:39 AM , 0.780116 ,3/14/2022 7:36:59 AM , 0.7881386 ,3/14/2022 7:37:19 AM , 0.7140108 ,3/14/2022 7:37:39 AM , 0.8189705 ,3/14/2022 7:37:59 AM , 0.8083828 ,3/14/2022 7:38:19 AM , 0.8009133 ,3/14/2022 7:38:39 AM , 0.8441238 ,3/14/2022 7:38:59 AM , 0.8221275 ,3/14/2022 7:39:19 AM , 0.8301794 ,3/14/2022 7:39:39 AM , 0.8249311 ,
