Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,VCO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 5378.644 ,3/14/2022 6:55:19 AM , 4741.349 ,3/14/2022 6:55:39 AM , 5314.955 ,3/14/2022 6:55:59 AM , 5480.877 ,3/14/2022 6:56:19 AM , 3811.945 ,3/14/2022 6:56:39 AM , 4476.339 ,3/14/2022 6:56:59 AM , 3647.334 ,3/14/2022 6:57:19 AM , 4669.496 ,3/14/2022 6:57:39 AM , 5534.772 ,3/14/2022 6:57:59 AM , 3058.745 ,3/14/2022 6:58:19 AM , 3785.955 ,3/14/2022 6:58:39 AM , 2576.359 ,3/14/2022 6:58:59 AM , 2616.523 ,3/14/2022 6:59:19 AM , 2855.83 ,3/14/2022 6:59:39 AM , 3429.401 ,3/14/2022 6:59:59 AM , 3320.922 ,
 2 ,3/14/2022 7:00:39 AM , 3993.615 ,3/14/2022 7:00:59 AM , 3561.084 ,3/14/2022 7:01:19 AM , 3907.703 ,3/14/2022 7:01:39 AM , 4092.182 ,3/14/2022 7:01:59 AM , 3192.639 ,3/14/2022 7:02:19 AM , 3501.168 ,3/14/2022 7:02:39 AM , 3034.675 ,3/14/2022 7:02:59 AM , 4042.589 ,3/14/2022 7:03:19 AM , 4567.536 ,3/14/2022 7:03:39 AM , 2815.547 ,3/14/2022 7:03:59 AM , 3491.274 ,3/14/2022 7:04:19 AM , 2459.936 ,3/14/2022 7:04:39 AM , 2738.872 ,3/14/2022 7:04:59 AM , 2658.108 ,3/14/2022 7:05:19 AM , 3144.762 ,3/14/2022 7:05:39 AM , 3222.328 ,
 3 ,3/14/2022 7:06:19 AM , 3267.449 ,3/14/2022 7:06:39 AM , 2913.897 ,3/14/2022 7:06:59 AM , 3090.307 ,3/14/2022 7:07:19 AM , 3280.347 ,3/14/2022 7:07:39 AM , 2805.829 ,3/14/2022 7:07:59 AM , 2964.541 ,3/14/2022 7:08:19 AM , 2738.537 ,3/14/2022 7:08:39 AM , 3553.126 ,3/14/2022 7:08:59 AM , 4127.611 ,3/14/2022 7:09:19 AM , 2448.046 ,3/14/2022 7:09:39 AM , 3234.938 ,3/14/2022 7:09:59 AM , 2163.642 ,3/14/2022 7:10:19 AM , 2633.544 ,3/14/2022 7:10:39 AM , 2583.209 ,3/14/2022 7:10:59 AM , 2977.902 ,3/14/2022 7:11:19 AM , 3191.415 ,
 4 ,3/14/2022 7:11:59 AM , 2693.394 ,3/14/2022 7:12:19 AM , 2249.173 ,3/14/2022 7:12:39 AM , 2181.125 ,3/14/2022 7:12:59 AM , 2585.994 ,3/14/2022 7:13:19 AM , 2526.906 ,3/14/2022 7:13:39 AM , 2639.335 ,3/14/2022 7:13:59 AM , 2543.435 ,3/14/2022 7:14:19 AM , 3344.01 ,3/14/2022 7:14:39 AM , 4054.657 ,3/14/2022 7:14:59 AM , 2115.135 ,3/14/2022 7:15:19 AM , 2908.792 ,3/14/2022 7:15:39 AM , 1755.192 ,3/14/2022 7:15:59 AM , 2362.15 ,3/14/2022 7:16:19 AM , 2505.738 ,3/14/2022 7:16:39 AM , 2847.877 ,3/14/2022 7:16:59 AM , 3137.335 ,
 5 ,3/14/2022 7:17:39 AM , 2405.795 ,3/14/2022 7:17:59 AM , 1878.941 ,3/14/2022 7:18:19 AM , 1891.073 ,3/14/2022 7:18:39 AM , 2630.513 ,3/14/2022 7:18:59 AM , 2559.918 ,3/14/2022 7:19:19 AM , 2551.75 ,3/14/2022 7:19:39 AM , 2077.524 ,3/14/2022 7:19:59 AM , 3216.835 ,3/14/2022 7:20:19 AM , 3974.931 ,3/14/2022 7:20:39 AM , 1756.845 ,3/14/2022 7:20:59 AM , 2856.924 ,3/14/2022 7:21:19 AM , 1550.061 ,3/14/2022 7:21:39 AM , 2282.355 ,3/14/2022 7:21:59 AM , 2466.441 ,3/14/2022 7:22:19 AM , 2737.174 ,3/14/2022 7:22:39 AM , 3003.563 ,
 6 ,3/14/2022 7:23:19 AM , 2178.326 ,3/14/2022 7:23:39 AM , 1579.737 ,3/14/2022 7:23:59 AM , 1699.046 ,3/14/2022 7:24:19 AM , 2379.288 ,3/14/2022 7:24:39 AM , 2373.255 ,3/14/2022 7:24:59 AM , 2538.134 ,3/14/2022 7:25:19 AM , 1874.864 ,3/14/2022 7:25:39 AM , 2927.678 ,3/14/2022 7:25:59 AM , 3552.822 ,3/14/2022 7:26:19 AM , 1470.959 ,3/14/2022 7:26:39 AM , 2599.814 ,3/14/2022 7:26:59 AM , 1429.148 ,3/14/2022 7:27:19 AM , 2268.503 ,3/14/2022 7:27:39 AM , 2525.089 ,3/14/2022 7:27:59 AM , 2687.321 ,3/14/2022 7:28:19 AM , 3077.036 ,
 7 ,3/14/2022 7:28:59 AM , 1792.818 ,3/14/2022 7:29:19 AM , 1389.547 ,3/14/2022 7:29:39 AM , 1509.41 ,3/14/2022 7:29:59 AM , 2262.527 ,3/14/2022 7:30:19 AM , 2360.701 ,3/14/2022 7:30:39 AM , 2020.146 ,3/14/2022 7:30:59 AM , 1978.263 ,3/14/2022 7:31:19 AM , 2895.548 ,3/14/2022 7:31:39 AM , 3603.166 ,3/14/2022 7:31:59 AM , 1303.5 ,3/14/2022 7:32:19 AM , 2559.106 ,3/14/2022 7:32:39 AM , 1775.642 ,3/14/2022 7:32:59 AM , 2153.511 ,3/14/2022 7:33:19 AM , 2545.773 ,3/14/2022 7:33:39 AM , 2834.659 ,3/14/2022 7:33:59 AM , 2945.347 ,
 8 ,3/14/2022 7:34:39 AM , 1585.276 ,3/14/2022 7:34:59 AM , 1309.713 ,3/14/2022 7:35:19 AM , 1886.105 ,3/14/2022 7:35:39 AM , 2135.582 ,3/14/2022 7:35:59 AM , 2231.54 ,3/14/2022 7:36:19 AM , 1827.296 ,3/14/2022 7:36:39 AM , 2088.77 ,3/14/2022 7:36:59 AM , 2772.891 ,3/14/2022 7:37:19 AM , 3773.316 ,3/14/2022 7:37:39 AM , 1291.833 ,3/14/2022 7:37:59 AM , 2737.768 ,3/14/2022 7:38:19 AM , 1688.46 ,3/14/2022 7:38:39 AM , 1921.036 ,3/14/2022 7:38:59 AM , 2565.099 ,3/14/2022 7:39:19 AM , 2977.803 ,3/14/2022 7:39:39 AM , 3123.286 ,
