Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:19 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,VO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 5935.536 ,3/14/2022 6:55:19 AM , 5308.275 ,3/14/2022 6:55:39 AM , 6050.174 ,3/14/2022 6:55:59 AM , 6053.828 ,3/14/2022 6:56:19 AM , 4102.933 ,3/14/2022 6:56:39 AM , 5139.251 ,3/14/2022 6:56:59 AM , 4283.318 ,3/14/2022 6:57:19 AM , 5267.306 ,3/14/2022 6:57:39 AM , 6887.551 ,3/14/2022 6:57:59 AM , 3861.008 ,3/14/2022 6:58:19 AM , 5020.257 ,3/14/2022 6:58:39 AM , 3572.684 ,3/14/2022 6:58:59 AM , 3191.24 ,3/14/2022 6:59:19 AM , 3386.824 ,3/14/2022 6:59:39 AM , 4067.872 ,3/14/2022 6:59:59 AM , 4323.625 ,
 2 ,3/14/2022 7:00:39 AM , 4517.508 ,3/14/2022 7:00:59 AM , 4135.999 ,3/14/2022 7:01:19 AM , 4613.365 ,3/14/2022 7:01:39 AM , 4694.696 ,3/14/2022 7:01:59 AM , 3520.363 ,3/14/2022 7:02:19 AM , 4142.272 ,3/14/2022 7:02:39 AM , 3721.973 ,3/14/2022 7:02:59 AM , 4653.709 ,3/14/2022 7:03:19 AM , 5960.255 ,3/14/2022 7:03:39 AM , 3372.886 ,3/14/2022 7:03:59 AM , 4427.227 ,3/14/2022 7:04:19 AM , 3290.777 ,3/14/2022 7:04:39 AM , 3069.99 ,3/14/2022 7:04:59 AM , 3239.1 ,3/14/2022 7:05:19 AM , 3916.755 ,3/14/2022 7:05:39 AM , 4321.618 ,
 3 ,3/14/2022 7:06:19 AM , 3792.267 ,3/14/2022 7:06:39 AM , 3480.418 ,3/14/2022 7:06:59 AM , 3722.022 ,3/14/2022 7:07:19 AM , 3952.121 ,3/14/2022 7:07:39 AM , 3284.396 ,3/14/2022 7:07:59 AM , 3582.128 ,3/14/2022 7:08:19 AM , 3374.194 ,3/14/2022 7:08:39 AM , 4202.498 ,3/14/2022 7:08:59 AM , 5599.113 ,3/14/2022 7:09:19 AM , 2994.728 ,3/14/2022 7:09:39 AM , 4124.152 ,3/14/2022 7:09:59 AM , 2858.706 ,3/14/2022 7:10:19 AM , 3025.881 ,3/14/2022 7:10:39 AM , 3181.82 ,3/14/2022 7:10:59 AM , 3695.944 ,3/14/2022 7:11:19 AM , 4283.777 ,
 4 ,3/14/2022 7:11:59 AM , 3326.621 ,3/14/2022 7:12:19 AM , 2885.613 ,3/14/2022 7:12:39 AM , 2934.348 ,3/14/2022 7:12:59 AM , 3413.582 ,3/14/2022 7:13:19 AM , 3084.308 ,3/14/2022 7:13:39 AM , 3290.33 ,3/14/2022 7:13:59 AM , 3192.636 ,3/14/2022 7:14:19 AM , 4095.719 ,3/14/2022 7:14:39 AM , 5611.362 ,3/14/2022 7:14:59 AM , 2693.131 ,3/14/2022 7:15:19 AM , 3952.007 ,3/14/2022 7:15:39 AM , 2377.343 ,3/14/2022 7:15:59 AM , 2806.049 ,3/14/2022 7:16:19 AM , 3237.164 ,3/14/2022 7:16:39 AM , 3595.923 ,3/14/2022 7:16:59 AM , 3999.56 ,
 5 ,3/14/2022 7:17:39 AM , 3047.952 ,3/14/2022 7:17:59 AM , 2222.435 ,3/14/2022 7:18:19 AM , 2351.232 ,3/14/2022 7:18:39 AM , 3242.663 ,3/14/2022 7:18:59 AM , 3078.361 ,3/14/2022 7:19:19 AM , 3151.168 ,3/14/2022 7:19:39 AM , 2705.898 ,3/14/2022 7:19:59 AM , 4010.258 ,3/14/2022 7:20:19 AM , 5398.778 ,3/14/2022 7:20:39 AM , 2174.293 ,3/14/2022 7:20:59 AM , 3769.777 ,3/14/2022 7:21:19 AM , 2042.835 ,3/14/2022 7:21:39 AM , 2696.761 ,3/14/2022 7:21:59 AM , 3142.939 ,3/14/2022 7:22:19 AM , 3434.491 ,3/14/2022 7:22:39 AM , 4001.485 ,
 6 ,3/14/2022 7:23:19 AM , 2641.524 ,3/14/2022 7:23:39 AM , 1886.315 ,3/14/2022 7:23:59 AM , 2183.501 ,3/14/2022 7:24:19 AM , 2970.751 ,3/14/2022 7:24:39 AM , 2919.001 ,3/14/2022 7:24:59 AM , 2929.094 ,3/14/2022 7:25:19 AM , 2246.667 ,3/14/2022 7:25:39 AM , 3763.302 ,3/14/2022 7:25:59 AM , 5109.625 ,3/14/2022 7:26:19 AM , 1912.715 ,3/14/2022 7:26:39 AM , 3533.346 ,3/14/2022 7:26:59 AM , 1886.509 ,3/14/2022 7:27:19 AM , 2756.826 ,3/14/2022 7:27:39 AM , 3213.306 ,3/14/2022 7:27:59 AM , 3456.015 ,3/14/2022 7:28:19 AM , 4005.276 ,
 7 ,3/14/2022 7:28:59 AM , 2261.686 ,3/14/2022 7:29:19 AM , 1684.321 ,3/14/2022 7:29:39 AM , 1946.397 ,3/14/2022 7:29:59 AM , 2794.839 ,3/14/2022 7:30:19 AM , 2869.54 ,3/14/2022 7:30:39 AM , 2366.226 ,3/14/2022 7:30:59 AM , 2618.829 ,3/14/2022 7:31:19 AM , 3687.552 ,3/14/2022 7:31:39 AM , 5118.05 ,3/14/2022 7:31:59 AM , 1623.748 ,3/14/2022 7:32:19 AM , 3345.724 ,3/14/2022 7:32:39 AM , 2199.807 ,3/14/2022 7:32:59 AM , 2621.397 ,3/14/2022 7:33:19 AM , 3151.771 ,3/14/2022 7:33:39 AM , 3528.47 ,3/14/2022 7:33:59 AM , 3816.084 ,
 8 ,3/14/2022 7:34:39 AM , 1914.419 ,3/14/2022 7:34:59 AM , 1522.264 ,3/14/2022 7:35:19 AM , 2297.822 ,3/14/2022 7:35:39 AM , 2450.53 ,3/14/2022 7:35:59 AM , 2720.806 ,3/14/2022 7:36:19 AM , 2035.167 ,3/14/2022 7:36:39 AM , 2677.512 ,3/14/2022 7:36:59 AM , 3518.279 ,3/14/2022 7:37:19 AM , 5284.676 ,3/14/2022 7:37:39 AM , 1577.387 ,3/14/2022 7:37:59 AM , 3386.723 ,3/14/2022 7:38:19 AM , 2108.168 ,3/14/2022 7:38:39 AM , 2275.775 ,3/14/2022 7:38:59 AM , 3120.074 ,3/14/2022 7:39:19 AM , 3586.94 ,3/14/2022 7:39:39 AM , 3786.117 ,
