Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,XTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 7 ,3/14/2022 6:55:19 AM , 17 ,3/14/2022 6:55:39 AM , 33 ,3/14/2022 6:55:59 AM , 107 ,3/14/2022 6:56:19 AM , 306 ,3/14/2022 6:56:39 AM , 201 ,3/14/2022 6:56:59 AM , 280 ,3/14/2022 6:57:19 AM , 195 ,3/14/2022 6:57:39 AM , 260 ,3/14/2022 6:57:59 AM , 36 ,3/14/2022 6:58:19 AM , 616 ,3/14/2022 6:58:39 AM , 274 ,3/14/2022 6:58:59 AM , 494 ,3/14/2022 6:59:19 AM , 302 ,3/14/2022 6:59:39 AM , 427 ,3/14/2022 6:59:59 AM , 666 ,
 2 ,3/14/2022 7:00:39 AM , 168 ,3/14/2022 7:00:59 AM , 148 ,3/14/2022 7:01:19 AM , 141 ,3/14/2022 7:01:39 AM , 421 ,3/14/2022 7:01:59 AM , 268 ,3/14/2022 7:02:19 AM , 169 ,3/14/2022 7:02:39 AM , 456 ,3/14/2022 7:02:59 AM , 505 ,3/14/2022 7:03:19 AM , 670 ,3/14/2022 7:03:39 AM , 110 ,3/14/2022 7:03:59 AM , 716 ,3/14/2022 7:04:19 AM , 371 ,3/14/2022 7:04:39 AM , 245 ,3/14/2022 7:04:59 AM , 211 ,3/14/2022 7:05:19 AM , 481 ,3/14/2022 7:05:39 AM , 430 ,
 3 ,3/14/2022 7:06:19 AM , 411 ,3/14/2022 7:06:39 AM , 286 ,3/14/2022 7:06:59 AM , 81 ,3/14/2022 7:07:19 AM , 411 ,3/14/2022 7:07:39 AM , 145 ,3/14/2022 7:07:59 AM , 86 ,3/14/2022 7:08:19 AM , 252 ,3/14/2022 7:08:39 AM , 439 ,3/14/2022 7:08:59 AM , 718 ,3/14/2022 7:09:19 AM , 143 ,3/14/2022 7:09:39 AM , 910 ,3/14/2022 7:09:59 AM , 729 ,3/14/2022 7:10:19 AM , 365 ,3/14/2022 7:10:39 AM , 191 ,3/14/2022 7:10:59 AM , 508 ,3/14/2022 7:11:19 AM , 483 ,
 4 ,3/14/2022 7:11:59 AM , 233 ,3/14/2022 7:12:19 AM , 59 ,3/14/2022 7:12:39 AM , 4 ,3/14/2022 7:12:59 AM , 206 ,3/14/2022 7:13:19 AM , 276 ,3/14/2022 7:13:39 AM , 376 ,3/14/2022 7:13:59 AM , 129 ,3/14/2022 7:14:19 AM , 458 ,3/14/2022 7:14:39 AM , 542 ,3/14/2022 7:14:59 AM , 84 ,3/14/2022 7:15:19 AM , 537 ,3/14/2022 7:15:39 AM , 467 ,3/14/2022 7:15:59 AM , 12 ,3/14/2022 7:16:19 AM , 126 ,3/14/2022 7:16:39 AM , 505 ,3/14/2022 7:16:59 AM , 560 ,
 5 ,3/14/2022 7:17:39 AM , 413 ,3/14/2022 7:17:59 AM , 14 ,3/14/2022 7:18:19 AM , 816 ,3/14/2022 7:18:39 AM , 78 ,3/14/2022 7:18:59 AM , 678 ,3/14/2022 7:19:19 AM , 257 ,3/14/2022 7:19:39 AM , 93 ,3/14/2022 7:19:59 AM , 488 ,3/14/2022 7:20:19 AM , 370 ,3/14/2022 7:20:39 AM , 11 ,3/14/2022 7:20:59 AM , 372 ,3/14/2022 7:21:19 AM , 15 ,3/14/2022 7:21:39 AM , 203 ,3/14/2022 7:21:59 AM , 33 ,3/14/2022 7:22:19 AM , 339 ,3/14/2022 7:22:39 AM , 647 ,
 6 ,3/14/2022 7:23:19 AM , 105 ,3/14/2022 7:23:39 AM , 1 ,3/14/2022 7:23:59 AM , 283 ,3/14/2022 7:24:19 AM , 184 ,3/14/2022 7:24:39 AM , 529 ,3/14/2022 7:24:59 AM , 173 ,3/14/2022 7:25:19 AM , 0 ,3/14/2022 7:25:39 AM , 295 ,3/14/2022 7:25:59 AM , 813 ,3/14/2022 7:26:19 AM , 12 ,3/14/2022 7:26:39 AM , 297 ,3/14/2022 7:26:59 AM , 14 ,3/14/2022 7:27:19 AM , 166 ,3/14/2022 7:27:39 AM , 270 ,3/14/2022 7:27:59 AM , 308 ,3/14/2022 7:28:19 AM , 537 ,
 7 ,3/14/2022 7:28:59 AM , 21 ,3/14/2022 7:29:19 AM , 8 ,3/14/2022 7:29:39 AM , 17 ,3/14/2022 7:29:59 AM , 53 ,3/14/2022 7:30:19 AM , 486 ,3/14/2022 7:30:39 AM , 28 ,3/14/2022 7:30:59 AM , 39 ,3/14/2022 7:31:19 AM , 402 ,3/14/2022 7:31:39 AM , 677 ,3/14/2022 7:31:59 AM , 1 ,3/14/2022 7:32:19 AM , 271 ,3/14/2022 7:32:39 AM , 230 ,3/14/2022 7:32:59 AM , 435 ,3/14/2022 7:33:19 AM , 399 ,3/14/2022 7:33:39 AM , 394 ,3/14/2022 7:33:59 AM , 194 ,
 8 ,3/14/2022 7:34:39 AM , 21 ,3/14/2022 7:34:59 AM , 289 ,3/14/2022 7:35:19 AM , 18 ,3/14/2022 7:35:39 AM , 27 ,3/14/2022 7:35:59 AM , 150 ,3/14/2022 7:36:19 AM , 10 ,3/14/2022 7:36:39 AM , 83 ,3/14/2022 7:36:59 AM , 337 ,3/14/2022 7:37:19 AM , 748 ,3/14/2022 7:37:39 AM , 17 ,3/14/2022 7:37:59 AM , 723 ,3/14/2022 7:38:19 AM , 3 ,3/14/2022 7:38:39 AM , 40 ,3/14/2022 7:38:59 AM , 239 ,3/14/2022 7:39:19 AM , 756 ,3/14/2022 7:39:39 AM , 475 ,
