Oxymax PARAMETER File 

CSV Generation Date,3/15/2022 6:02:20 AM 
Experiment Started,3/14/2022 6:54:16 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-14 B6 Fasting.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.8 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29.1 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,30.4 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.2 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,30.4 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.5 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.8 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.8 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.5 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.7 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.5 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.8 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,20.1 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,18.7 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,YTOT (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/14/2022 6:54:59 AM , 38 ,3/14/2022 6:55:19 AM , 84 ,3/14/2022 6:55:39 AM , 54 ,3/14/2022 6:55:59 AM , 192 ,3/14/2022 6:56:19 AM , 127 ,3/14/2022 6:56:39 AM , 324 ,3/14/2022 6:56:59 AM , 153 ,3/14/2022 6:57:19 AM , 390 ,3/14/2022 6:57:39 AM , 594 ,3/14/2022 6:57:59 AM , 86 ,3/14/2022 6:58:19 AM , 743 ,3/14/2022 6:58:39 AM , 294 ,3/14/2022 6:58:59 AM , 417 ,3/14/2022 6:59:19 AM , 910 ,3/14/2022 6:59:39 AM , 714 ,3/14/2022 6:59:59 AM , 1449 ,
 2 ,3/14/2022 7:00:39 AM , 449 ,3/14/2022 7:00:59 AM , 453 ,3/14/2022 7:01:19 AM , 255 ,3/14/2022 7:01:39 AM , 406 ,3/14/2022 7:01:59 AM , 241 ,3/14/2022 7:02:19 AM , 324 ,3/14/2022 7:02:39 AM , 354 ,3/14/2022 7:02:59 AM , 924 ,3/14/2022 7:03:19 AM , 1075 ,3/14/2022 7:03:39 AM , 309 ,3/14/2022 7:03:59 AM , 999 ,3/14/2022 7:04:19 AM , 377 ,3/14/2022 7:04:39 AM , 581 ,3/14/2022 7:04:59 AM , 476 ,3/14/2022 7:05:19 AM , 722 ,3/14/2022 7:05:39 AM , 956 ,
 3 ,3/14/2022 7:06:19 AM , 772 ,3/14/2022 7:06:39 AM , 296 ,3/14/2022 7:06:59 AM , 179 ,3/14/2022 7:07:19 AM , 599 ,3/14/2022 7:07:39 AM , 230 ,3/14/2022 7:07:59 AM , 323 ,3/14/2022 7:08:19 AM , 417 ,3/14/2022 7:08:39 AM , 760 ,3/14/2022 7:08:59 AM , 1066 ,3/14/2022 7:09:19 AM , 293 ,3/14/2022 7:09:39 AM , 1027 ,3/14/2022 7:09:59 AM , 206 ,3/14/2022 7:10:19 AM , 789 ,3/14/2022 7:10:39 AM , 715 ,3/14/2022 7:10:59 AM , 839 ,3/14/2022 7:11:19 AM , 835 ,
 4 ,3/14/2022 7:11:59 AM , 313 ,3/14/2022 7:12:19 AM , 304 ,3/14/2022 7:12:39 AM , 7 ,3/14/2022 7:12:59 AM , 210 ,3/14/2022 7:13:19 AM , 175 ,3/14/2022 7:13:39 AM , 588 ,3/14/2022 7:13:59 AM , 407 ,3/14/2022 7:14:19 AM , 882 ,3/14/2022 7:14:39 AM , 868 ,3/14/2022 7:14:59 AM , 75 ,3/14/2022 7:15:19 AM , 602 ,3/14/2022 7:15:39 AM , 37 ,3/14/2022 7:15:59 AM , 40 ,3/14/2022 7:16:19 AM , 402 ,3/14/2022 7:16:39 AM , 675 ,3/14/2022 7:16:59 AM , 1414 ,
 5 ,3/14/2022 7:17:39 AM , 314 ,3/14/2022 7:17:59 AM , 41 ,3/14/2022 7:18:19 AM , 25 ,3/14/2022 7:18:39 AM , 122 ,3/14/2022 7:18:59 AM , 441 ,3/14/2022 7:19:19 AM , 243 ,3/14/2022 7:19:39 AM , 145 ,3/14/2022 7:19:59 AM , 1025 ,3/14/2022 7:20:19 AM , 532 ,3/14/2022 7:20:39 AM , 9 ,3/14/2022 7:20:59 AM , 516 ,3/14/2022 7:21:19 AM , 49 ,3/14/2022 7:21:39 AM , 416 ,3/14/2022 7:21:59 AM , 262 ,3/14/2022 7:22:19 AM , 500 ,3/14/2022 7:22:39 AM , 1129 ,
 6 ,3/14/2022 7:23:19 AM , 182 ,3/14/2022 7:23:39 AM , 0 ,3/14/2022 7:23:59 AM , 50 ,3/14/2022 7:24:19 AM , 327 ,3/14/2022 7:24:39 AM , 424 ,3/14/2022 7:24:59 AM , 193 ,3/14/2022 7:25:19 AM , 8 ,3/14/2022 7:25:39 AM , 649 ,3/14/2022 7:25:59 AM , 1519 ,3/14/2022 7:26:19 AM , 7 ,3/14/2022 7:26:39 AM , 309 ,3/14/2022 7:26:59 AM , 16 ,3/14/2022 7:27:19 AM , 343 ,3/14/2022 7:27:39 AM , 732 ,3/14/2022 7:27:59 AM , 405 ,3/14/2022 7:28:19 AM , 838 ,
 7 ,3/14/2022 7:28:59 AM , 49 ,3/14/2022 7:29:19 AM , 41 ,3/14/2022 7:29:39 AM , 26 ,3/14/2022 7:29:59 AM , 243 ,3/14/2022 7:30:19 AM , 633 ,3/14/2022 7:30:39 AM , 53 ,3/14/2022 7:30:59 AM , 149 ,3/14/2022 7:31:19 AM , 806 ,3/14/2022 7:31:39 AM , 1260 ,3/14/2022 7:31:59 AM , 2 ,3/14/2022 7:32:19 AM , 433 ,3/14/2022 7:32:39 AM , 526 ,3/14/2022 7:32:59 AM , 263 ,3/14/2022 7:33:19 AM , 1159 ,3/14/2022 7:33:39 AM , 614 ,3/14/2022 7:33:59 AM , 850 ,
 8 ,3/14/2022 7:34:39 AM , 61 ,3/14/2022 7:34:59 AM , 28 ,3/14/2022 7:35:19 AM , 147 ,3/14/2022 7:35:39 AM , 108 ,3/14/2022 7:35:59 AM , 48 ,3/14/2022 7:36:19 AM , 33 ,3/14/2022 7:36:39 AM , 193 ,3/14/2022 7:36:59 AM , 383 ,3/14/2022 7:37:19 AM , 1342 ,3/14/2022 7:37:39 AM , 28 ,3/14/2022 7:37:59 AM , 1044 ,3/14/2022 7:38:19 AM , 159 ,3/14/2022 7:38:39 AM , 131 ,3/14/2022 7:38:59 AM , 479 ,3/14/2022 7:39:19 AM , 1017 ,3/14/2022 7:39:39 AM , 943 ,
