Oxymax Activity CSV File

CSV FILE CREATION:3/16/2022 6:11:16 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.ADTA

GROUP/CAGE:0102
SUBJECT ID:16-1
SUBJECT MASS:29 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,ZTOT,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0102,3/15/2022 6:57:00 AM , 160 , 103 , 243 , 171 , 41 ,
 1 ,0102,3/15/2022 6:58:00 AM , 68 , 44 , 181 , 128 , 40 ,
 1 ,0102,3/15/2022 6:59:00 AM , 128 , 74 , 193 , 134 , 33 ,
 1 ,0102,3/15/2022 7:00:00 AM , 62 , 5 , 97 , 10 , 0 ,
 1 ,0102,3/15/2022 7:01:00 AM , 33 , 12 , 78 , 29 , 3 ,
 2 ,0102,3/15/2022 7:02:00 AM , 41 , 21 , 57 , 32 , 11 ,
 2 ,0102,3/15/2022 7:03:00 AM , 25 , 12 , 49 , 34 , 3 ,
 2 ,0102,3/15/2022 7:04:00 AM , 86 , 56 , 194 , 127 , 31 ,
 2 ,0102,3/15/2022 7:05:00 AM , 118 , 67 , 307 , 208 , 15 ,
 2 ,0102,3/15/2022 7:06:00 AM , 88 , 45 , 131 , 87 , 22 ,
 3 ,0102,3/15/2022 7:07:00 AM , 116 , 72 , 270 , 205 , 25 ,
 3 ,0102,3/15/2022 7:08:00 AM , 100 , 69 , 181 , 136 , 17 ,
 3 ,0102,3/15/2022 7:09:00 AM , 99 , 49 , 142 , 77 , 17 ,
 3 ,0102,3/15/2022 7:10:00 AM , 104 , 67 , 206 , 129 , 8 ,
 3 ,0102,3/15/2022 7:11:00 AM , 71 , 17 , 51 , 19 , 5 ,
 3 ,0102,3/15/2022 7:12:00 AM , 101 , 62 , 234 , 148 , 23 ,
 4 ,0102,3/15/2022 7:13:00 AM , 125 , 71 , 236 , 164 , 21 ,
 4 ,0102,3/15/2022 7:14:00 AM , 125 , 75 , 301 , 205 , 38 ,
 4 ,0102,3/15/2022 7:15:00 AM , 26 , 9 , 96 , 29 , 4 ,
 4 ,0102,3/15/2022 7:16:00 AM , 58 , 33 , 247 , 102 , 9 ,
 4 ,0102,3/15/2022 7:17:00 AM , 36 , 24 , 95 , 52 , 1 ,
 4 ,0102,3/15/2022 7:18:00 AM , 60 , 39 , 76 , 52 , 17 ,
 5 ,0102,3/15/2022 7:19:00 AM , 83 , 48 , 181 , 132 , 15 ,
 5 ,0102,3/15/2022 7:20:00 AM , 64 , 45 , 173 , 111 , 32 ,
 5 ,0102,3/15/2022 7:21:00 AM , 67 , 31 , 211 , 148 , 4 ,
 5 ,0102,3/15/2022 7:22:00 AM , 129 , 77 , 271 , 190 , 6 ,
 5 ,0102,3/15/2022 7:23:00 AM , 139 , 65 , 322 , 231 , 17 ,
 5 ,0102,3/15/2022 7:24:00 AM , 149 , 88 , 315 , 227 , 4 ,
 6 ,0102,3/15/2022 7:25:00 AM , 102 , 65 , 287 , 211 , 32 ,
 6 ,0102,3/15/2022 7:26:00 AM , 127 , 79 , 258 , 182 , 22 ,
 6 ,0102,3/15/2022 7:27:00 AM , 137 , 41 , 158 , 104 , 19 ,
 6 ,0102,3/15/2022 7:28:00 AM , 122 , 24 , 114 , 25 , 0 ,
 6 ,0102,3/15/2022 7:29:00 AM , 67 , 32 , 176 , 94 , 6 ,
 7 ,0102,3/15/2022 7:30:00 AM , 91 , 50 , 163 , 113 , 54 ,
 7 ,0102,3/15/2022 7:31:00 AM , 80 , 36 , 146 , 73 , 34 ,
 7 ,0102,3/15/2022 7:32:00 AM , 98 , 56 , 300 , 231 , 17 ,
 7 ,0102,3/15/2022 7:33:00 AM , 133 , 89 , 341 , 255 , 16 ,
 7 ,0102,3/15/2022 7:34:00 AM , 66 , 26 , 192 , 118 , 3 ,
 7 ,0102,3/15/2022 7:35:00 AM , 89 , 42 , 153 , 93 , 7 ,
 8 ,0102,3/15/2022 7:36:00 AM , 105 , 64 , 249 , 171 , 21 ,
 8 ,0102,3/15/2022 7:37:00 AM , 109 , 65 , 202 , 134 , 21 ,
 8 ,0102,3/15/2022 7:38:00 AM , 47 , 19 , 79 , 36 , 1 ,
 8 ,0102,3/15/2022 7:39:00 AM , 18 , 7 , 78 , 47 , 0 ,
 8 ,0102,3/15/2022 7:40:00 AM , 61 , 32 , 130 , 81 , 0 ,
 8 ,0102,3/15/2022 7:41:00 AM , 89 , 43 , 229 , 156 , 1 ,
 9 ,0102,3/15/2022 7:42:00 AM , 84 , 46 , 291 , 190 , 0 ,
 9 ,0102,3/15/2022 7:43:00 AM , 102 , 58 , 184 , 111 , 7 ,
 9 ,0102,3/15/2022 7:44:00 AM , 55 , 30 , 93 , 52 , 12 ,
 9 ,0102,3/15/2022 7:45:00 AM , 23 , 10 , 82 , 25 , 4 ,
 9 ,0102,3/15/2022 7:46:00 AM , 67 , 31 , 98 , 41 , 4 ,
 10 ,0102,3/15/2022 7:47:00 AM , 76 , 44 , 191 , 96 , 18 ,
 10 ,0102,3/15/2022 7:48:00 AM , 111 , 69 , 185 , 109 , 33 ,
 10 ,0102,3/15/2022 7:49:00 AM , 106 , 61 , 195 , 127 , 3 ,
 10 ,0102,3/15/2022 7:50:00 AM , 91 , 49 , 208 , 141 , 16 ,
 10 ,0102,3/15/2022 7:51:00 AM , 83 , 43 , 224 , 163 , 32 ,
 10 ,0102,3/15/2022 7:52:00 AM , 74 , 37 , 171 , 114 , 10 ,
 11 ,0102,3/15/2022 7:53:00 AM , 79 , 43 , 220 , 139 , 0 ,
 11 ,0102,3/15/2022 7:54:00 AM , 61 , 35 , 263 , 177 , 0 ,
 11 ,0102,3/15/2022 7:55:00 AM , 53 , 32 , 77 , 42 , 1 ,
 11 ,0102,3/15/2022 7:56:00 AM , 50 , 5 , 352 , 12 , 10 ,
 11 ,0102,3/15/2022 7:57:00 AM , 69 , 27 , 84 , 52 , 6 ,
 11 ,0102,3/15/2022 7:58:00 AM , 81 , 45 , 156 , 114 , 7 ,
 12 ,0102,3/15/2022 7:59:00 AM , 107 , 63 , 259 , 200 , 48 ,
 12 ,0102,3/15/2022 8:00:00 AM , 91 , 51 , 108 , 63 , 19 ,
 12 ,0102,3/15/2022 8:01:00 AM , 48 , 25 , 114 , 64 , 17 ,
 12 ,0102,3/15/2022 8:02:00 AM , 28 , 12 , 62 , 28 , 6 ,
 12 ,0102,3/15/2022 8:03:00 AM , 41 , 25 , 80 , 41 , 7 ,
 13 ,0102,3/15/2022 8:04:00 AM , 20 , 8 , 73 , 32 , 4 ,
 13 ,0102,3/15/2022 8:05:00 AM , 36 , 15 , 114 , 55 , 3 ,
 13 ,0102,3/15/2022 8:06:00 AM , 30 , 1 , 80 , 16 , 0 ,
 13 ,0102,3/15/2022 8:07:00 AM , 51 , 5 , 92 , 40 , 0 ,
 13 ,0102,3/15/2022 8:08:00 AM , 34 , 1 , 93 , 9 , 0 ,
 13 ,0102,3/15/2022 8:09:00 AM , 34 , 3 , 58 , 29 , 0 ,
 14 ,0102,3/15/2022 8:10:00 AM , 54 , 30 , 73 , 34 , 1 ,
 14 ,0102,3/15/2022 8:11:00 AM , 46 , 24 , 114 , 55 , 10 ,
 14 ,0102,3/15/2022 8:12:00 AM , 23 , 8 , 29 , 16 , 1 ,
 14 ,0102,3/15/2022 8:13:00 AM , 80 , 46 , 169 , 118 , 18 ,
 14 ,0102,3/15/2022 8:14:00 AM , 28 , 17 , 68 , 45 , 6 ,
 15 ,0102,3/15/2022 8:15:00 AM , 62 , 30 , 96 , 63 , 18 ,
 15 ,0102,3/15/2022 8:16:00 AM , 70 , 42 , 141 , 57 , 13 ,
 15 ,0102,3/15/2022 8:17:00 AM , 88 , 27 , 106 , 75 , 14 ,
 15 ,0102,3/15/2022 8:18:00 AM , 100 , 48 , 150 , 109 , 114 ,
 15 ,0102,3/15/2022 8:19:00 AM , 82 , 43 , 161 , 93 , 0 ,
 15 ,0102,3/15/2022 8:20:00 AM , 28 , 9 , 88 , 41 , 5 ,
 16 ,0102,3/15/2022 8:21:00 AM , 36 , 10 , 66 , 23 , 0 ,
 16 ,0102,3/15/2022 8:22:00 AM , 40 , 6 , 67 , 17 , 0 ,
 16 ,0102,3/15/2022 8:23:00 AM , 22 , 12 , 12 , 7 , 0 ,
 16 ,0102,3/15/2022 8:24:00 AM , 25 , 16 , 71 , 26 , 3 ,
 16 ,0102,3/15/2022 8:25:00 AM , 21 , 8 , 60 , 16 , 0 ,
 16 ,0102,3/15/2022 8:26:00 AM , 25 , 3 , 89 , 18 , 3 ,
 17 ,0102,3/15/2022 8:27:00 AM , 53 , 29 , 132 , 58 , 0 ,
 17 ,0102,3/15/2022 8:28:00 AM , 26 , 9 , 41 , 9 , 0 ,
 17 ,0102,3/15/2022 8:29:00 AM , 51 , 28 , 61 , 24 , 0 ,
