Oxymax Activity CSV File

CSV FILE CREATION:3/16/2022 6:11:18 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.ADTA

GROUP/CAGE:0105
SUBJECT ID:16-3
SUBJECT MASS:29.8 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,ZTOT,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0105,3/15/2022 6:57:00 AM , 41 , 20 , 134 , 58 , 6 ,
 1 ,0105,3/15/2022 6:58:00 AM , 227 , 132 , 255 , 202 , 17 ,
 1 ,0105,3/15/2022 6:59:00 AM , 140 , 96 , 211 , 167 , 15 ,
 1 ,0105,3/15/2022 7:00:00 AM , 121 , 65 , 201 , 135 , 22 ,
 1 ,0105,3/15/2022 7:01:00 AM , 245 , 142 , 328 , 244 , 3 ,
 2 ,0105,3/15/2022 7:02:00 AM , 60 , 29 , 99 , 63 , 1 ,
 2 ,0105,3/15/2022 7:03:00 AM , 271 , 155 , 303 , 230 , 7 ,
 2 ,0105,3/15/2022 7:04:00 AM , 218 , 138 , 285 , 199 , 23 ,
 2 ,0105,3/15/2022 7:05:00 AM , 167 , 105 , 202 , 153 , 16 ,
 2 ,0105,3/15/2022 7:06:00 AM , 188 , 104 , 291 , 225 , 7 ,
 3 ,0105,3/15/2022 7:07:00 AM , 228 , 119 , 267 , 191 , 3 ,
 3 ,0105,3/15/2022 7:08:00 AM , 219 , 106 , 198 , 138 , 7 ,
 3 ,0105,3/15/2022 7:09:00 AM , 162 , 81 , 231 , 180 , 31 ,
 3 ,0105,3/15/2022 7:10:00 AM , 175 , 89 , 237 , 160 , 16 ,
 3 ,0105,3/15/2022 7:11:00 AM , 116 , 46 , 128 , 56 , 3 ,
 3 ,0105,3/15/2022 7:12:00 AM , 28 , 1 , 66 , 5 , 0 ,
 4 ,0105,3/15/2022 7:13:00 AM , 38 , 5 , 60 , 14 , 2 ,
 4 ,0105,3/15/2022 7:14:00 AM , 80 , 7 , 22 , 10 , 2 ,
 4 ,0105,3/15/2022 7:15:00 AM , 157 , 89 , 167 , 125 , 3 ,
 4 ,0105,3/15/2022 7:16:00 AM , 70 , 36 , 93 , 71 , 0 ,
 4 ,0105,3/15/2022 7:17:00 AM , 101 , 21 , 75 , 36 , 11 ,
 4 ,0105,3/15/2022 7:18:00 AM , 126 , 43 , 95 , 48 , 12 ,
 5 ,0105,3/15/2022 7:19:00 AM , 76 , 15 , 84 , 53 , 11 ,
 5 ,0105,3/15/2022 7:20:00 AM , 147 , 93 , 214 , 159 , 5 ,
 5 ,0105,3/15/2022 7:21:00 AM , 55 , 9 , 39 , 6 , 5 ,
 5 ,0105,3/15/2022 7:22:00 AM , 158 , 61 , 181 , 92 , 14 ,
 5 ,0105,3/15/2022 7:23:00 AM , 25 , 13 , 36 , 15 , 3 ,
 5 ,0105,3/15/2022 7:24:00 AM , 121 , 36 , 160 , 107 , 12 ,
 6 ,0105,3/15/2022 7:25:00 AM , 62 , 5 , 70 , 25 , 0 ,
 6 ,0105,3/15/2022 7:26:00 AM , 134 , 88 , 177 , 128 , 21 ,
 6 ,0105,3/15/2022 7:27:00 AM , 140 , 69 , 189 , 126 , 21 ,
 6 ,0105,3/15/2022 7:28:00 AM , 186 , 72 , 204 , 153 , 25 ,
 6 ,0105,3/15/2022 7:29:00 AM , 299 , 154 , 347 , 257 , 22 ,
 7 ,0105,3/15/2022 7:30:00 AM , 206 , 88 , 190 , 131 , 11 ,
 7 ,0105,3/15/2022 7:31:00 AM , 141 , 104 , 161 , 112 , 3 ,
 7 ,0105,3/15/2022 7:32:00 AM , 228 , 143 , 327 , 258 , 8 ,
 7 ,0105,3/15/2022 7:33:00 AM , 247 , 125 , 258 , 179 , 3 ,
 7 ,0105,3/15/2022 7:34:00 AM , 27 , 5 , 101 , 27 , 0 ,
 7 ,0105,3/15/2022 7:35:00 AM , 0 , 0 , 141 , 0 , 0 ,
 8 ,0105,3/15/2022 7:36:00 AM , 0 , 0 , 80 , 0 , 0 ,
 8 ,0105,3/15/2022 7:37:00 AM , 180 , 51 , 88 , 53 , 5 ,
 8 ,0105,3/15/2022 7:38:00 AM , 82 , 42 , 72 , 48 , 11 ,
 8 ,0105,3/15/2022 7:39:00 AM , 85 , 47 , 187 , 121 , 9 ,
 8 ,0105,3/15/2022 7:40:00 AM , 127 , 51 , 159 , 103 , 17 ,
 8 ,0105,3/15/2022 7:41:00 AM , 180 , 55 , 172 , 110 , 13 ,
 9 ,0105,3/15/2022 7:42:00 AM , 538 , 42 , 125 , 86 , 21 ,
 9 ,0105,3/15/2022 7:43:00 AM , 138 , 43 , 151 , 101 , 11 ,
 9 ,0105,3/15/2022 7:44:00 AM , 265 , 139 , 307 , 250 , 5 ,
 9 ,0105,3/15/2022 7:45:00 AM , 94 , 34 , 112 , 63 , 1 ,
 9 ,0105,3/15/2022 7:46:00 AM , 38 , 7 , 136 , 75 , 4 ,
 10 ,0105,3/15/2022 7:47:00 AM , 7 , 0 , 53 , 4 , 0 ,
 10 ,0105,3/15/2022 7:48:00 AM , 84 , 32 , 90 , 50 , 5 ,
 10 ,0105,3/15/2022 7:49:00 AM , 156 , 69 , 187 , 133 , 27 ,
 10 ,0105,3/15/2022 7:50:00 AM , 240 , 129 , 325 , 224 , 0 ,
 10 ,0105,3/15/2022 7:51:00 AM , 187 , 91 , 261 , 178 , 15 ,
 10 ,0105,3/15/2022 7:52:00 AM , 177 , 59 , 168 , 114 , 23 ,
 11 ,0105,3/15/2022 7:53:00 AM , 165 , 84 , 193 , 143 , 19 ,
 11 ,0105,3/15/2022 7:54:00 AM , 124 , 67 , 176 , 134 , 31 ,
 11 ,0105,3/15/2022 7:55:00 AM , 61 , 33 , 69 , 42 , 0 ,
 11 ,0105,3/15/2022 7:56:00 AM , 207 , 95 , 200 , 149 , 19 ,
 11 ,0105,3/15/2022 7:57:00 AM , 193 , 120 , 340 , 265 , 35 ,
 11 ,0105,3/15/2022 7:58:00 AM , 84 , 31 , 161 , 114 , 14 ,
 12 ,0105,3/15/2022 7:59:00 AM , 84 , 47 , 98 , 55 , 6 ,
 12 ,0105,3/15/2022 8:00:00 AM , 310 , 185 , 365 , 279 , 1 ,
 12 ,0105,3/15/2022 8:01:00 AM , 247 , 132 , 169 , 117 , 0 ,
 12 ,0105,3/15/2022 8:02:00 AM , 194 , 117 , 296 , 214 , 0 ,
 12 ,0105,3/15/2022 8:03:00 AM , 139 , 61 , 197 , 147 , 18 ,
 13 ,0105,3/15/2022 8:04:00 AM , 17 , 3 , 64 , 13 , 2 ,
 13 ,0105,3/15/2022 8:05:00 AM , 23 , 0 , 61 , 8 , 0 ,
 13 ,0105,3/15/2022 8:06:00 AM , 44 , 29 , 90 , 52 , 1 ,
 13 ,0105,3/15/2022 8:07:00 AM , 81 , 40 , 159 , 119 , 13 ,
 13 ,0105,3/15/2022 8:08:00 AM , 330 , 77 , 113 , 67 , 18 ,
 13 ,0105,3/15/2022 8:09:00 AM , 128 , 33 , 78 , 50 , 6 ,
 14 ,0105,3/15/2022 8:10:00 AM , 371 , 35 , 79 , 39 , 0 ,
 14 ,0105,3/15/2022 8:11:00 AM , 432 , 51 , 91 , 52 , 21 ,
 14 ,0105,3/15/2022 8:12:00 AM , 105 , 58 , 175 , 126 , 7 ,
 14 ,0105,3/15/2022 8:13:00 AM , 13 , 0 , 12 , 2 , 0 ,
 14 ,0105,3/15/2022 8:14:00 AM , 73 , 19 , 100 , 51 , 5 ,
 15 ,0105,3/15/2022 8:15:00 AM , 55 , 36 , 51 , 37 , 3 ,
 15 ,0105,3/15/2022 8:16:00 AM , 57 , 39 , 86 , 49 , 8 ,
 15 ,0105,3/15/2022 8:17:00 AM , 8 , 6 , 58 , 25 , 2 ,
 15 ,0105,3/15/2022 8:18:00 AM , 24 , 13 , 52 , 26 , 14 ,
 15 ,0105,3/15/2022 8:19:00 AM , 81 , 37 , 80 , 50 , 8 ,
 15 ,0105,3/15/2022 8:20:00 AM , 96 , 43 , 120 , 66 , 1 ,
 16 ,0105,3/15/2022 8:21:00 AM , 147 , 73 , 176 , 118 , 18 ,
 16 ,0105,3/15/2022 8:22:00 AM , 183 , 71 , 129 , 90 , 3 ,
 16 ,0105,3/15/2022 8:23:00 AM , 91 , 49 , 124 , 93 , 20 ,
 16 ,0105,3/15/2022 8:24:00 AM , 137 , 2 , 23 , 8 , 5 ,
 16 ,0105,3/15/2022 8:25:00 AM , 0 , 0 , 1 , 0 , 0 ,
 16 ,0105,3/15/2022 8:26:00 AM , 5 , 0 , 14 , 0 , 0 ,
 17 ,0105,3/15/2022 8:27:00 AM , 20 , 0 , 45 , 1 , 0 ,
 17 ,0105,3/15/2022 8:28:00 AM , 16 , 2 , 26 , 4 , 0 ,
 17 ,0105,3/15/2022 8:29:00 AM , 34 , 6 , 46 , 20 , 0 ,
