Oxymax Activity CSV File

CSV FILE CREATION:3/16/2022 6:11:25 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.ADTA

GROUP/CAGE:0115
SUBJECT ID:F8-4
SUBJECT MASS:17.8 grams

SAMPLE FREQ:60 seconds


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,GROUP/CAGE,DATE/TIME,XTOT,XAMB,YTOT,YAMB,ZTOT,

===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,0115,3/15/2022 6:57:00 AM , 220 , 132 , 331 , 230 , 29 ,
 1 ,0115,3/15/2022 6:58:00 AM , 254 , 185 , 361 , 250 , 36 ,
 1 ,0115,3/15/2022 6:59:00 AM , 260 , 191 , 417 , 246 , 11 ,
 1 ,0115,3/15/2022 7:00:00 AM , 121 , 70 , 270 , 100 , 2 ,
 1 ,0115,3/15/2022 7:01:00 AM , 226 , 164 , 378 , 247 , 20 ,
 2 ,0115,3/15/2022 7:02:00 AM , 218 , 158 , 398 , 305 , 56 ,
 2 ,0115,3/15/2022 7:03:00 AM , 156 , 91 , 202 , 122 , 69 ,
 2 ,0115,3/15/2022 7:04:00 AM , 36 , 7 , 41 , 26 , 0 ,
 2 ,0115,3/15/2022 7:05:00 AM , 10 , 1 , 57 , 20 , 0 ,
 2 ,0115,3/15/2022 7:06:00 AM , 504 , 85 , 158 , 104 , 1 ,
 3 ,0115,3/15/2022 7:07:00 AM , 195 , 113 , 289 , 200 , 23 ,
 3 ,0115,3/15/2022 7:08:00 AM , 255 , 176 , 420 , 324 , 38 ,
 3 ,0115,3/15/2022 7:09:00 AM , 197 , 139 , 325 , 245 , 32 ,
 3 ,0115,3/15/2022 7:10:00 AM , 177 , 108 , 267 , 178 , 8 ,
 3 ,0115,3/15/2022 7:11:00 AM , 208 , 141 , 297 , 223 , 23 ,
 3 ,0115,3/15/2022 7:12:00 AM , 134 , 85 , 228 , 160 , 13 ,
 4 ,0115,3/15/2022 7:13:00 AM , 108 , 72 , 204 , 149 , 49 ,
 4 ,0115,3/15/2022 7:14:00 AM , 176 , 123 , 269 , 183 , 18 ,
 4 ,0115,3/15/2022 7:15:00 AM , 245 , 170 , 331 , 219 , 17 ,
 4 ,0115,3/15/2022 7:16:00 AM , 131 , 90 , 264 , 159 , 11 ,
 4 ,0115,3/15/2022 7:17:00 AM , 122 , 87 , 229 , 136 , 16 ,
 4 ,0115,3/15/2022 7:18:00 AM , 319 , 239 , 421 , 325 , 33 ,
 5 ,0115,3/15/2022 7:19:00 AM , 199 , 126 , 334 , 220 , 17 ,
 5 ,0115,3/15/2022 7:20:00 AM , 211 , 148 , 351 , 261 , 14 ,
 5 ,0115,3/15/2022 7:21:00 AM , 201 , 105 , 275 , 162 , 18 ,
 5 ,0115,3/15/2022 7:22:00 AM , 28 , 7 , 64 , 25 , 0 ,
 5 ,0115,3/15/2022 7:23:00 AM , 47 , 13 , 71 , 36 , 0 ,
 5 ,0115,3/15/2022 7:24:00 AM , 109 , 77 , 181 , 126 , 12 ,
 6 ,0115,3/15/2022 7:25:00 AM , 211 , 161 , 388 , 316 , 16 ,
 6 ,0115,3/15/2022 7:26:00 AM , 246 , 178 , 446 , 360 , 25 ,
 6 ,0115,3/15/2022 7:27:00 AM , 195 , 133 , 277 , 206 , 49 ,
 6 ,0115,3/15/2022 7:28:00 AM , 186 , 132 , 288 , 214 , 62 ,
 6 ,0115,3/15/2022 7:29:00 AM , 80 , 51 , 128 , 92 , 46 ,
 7 ,0115,3/15/2022 7:30:00 AM , 134 , 18 , 68 , 26 , 3 ,
 7 ,0115,3/15/2022 7:31:00 AM , 82 , 63 , 150 , 87 , 1 ,
 7 ,0115,3/15/2022 7:32:00 AM , 43 , 23 , 133 , 58 , 7 ,
 7 ,0115,3/15/2022 7:33:00 AM , 207 , 155 , 276 , 202 , 29 ,
 7 ,0115,3/15/2022 7:34:00 AM , 248 , 148 , 385 , 308 , 14 ,
 7 ,0115,3/15/2022 7:35:00 AM , 195 , 142 , 343 , 257 , 54 ,
 8 ,0115,3/15/2022 7:36:00 AM , 362 , 17 , 81 , 59 , 2 ,
 8 ,0115,3/15/2022 7:37:00 AM , 9 , 4 , 36 , 16 , 1 ,
 8 ,0115,3/15/2022 7:38:00 AM , 91 , 49 , 233 , 90 , 1 ,
 8 ,0115,3/15/2022 7:39:00 AM , 177 , 115 , 264 , 192 , 34 ,
 8 ,0115,3/15/2022 7:40:00 AM , 185 , 129 , 350 , 260 , 17 ,
 8 ,0115,3/15/2022 7:41:00 AM , 164 , 108 , 306 , 220 , 51 ,
 9 ,0115,3/15/2022 7:42:00 AM , 94 , 12 , 116 , 27 , 0 ,
 9 ,0115,3/15/2022 7:43:00 AM , 65 , 44 , 147 , 54 , 0 ,
 9 ,0115,3/15/2022 7:44:00 AM , 198 , 123 , 239 , 178 , 5 ,
 9 ,0115,3/15/2022 7:45:00 AM , 167 , 95 , 301 , 170 , 0 ,
 9 ,0115,3/15/2022 7:46:00 AM , 198 , 137 , 230 , 141 , 1 ,
 10 ,0115,3/15/2022 7:47:00 AM , 117 , 66 , 163 , 117 , 6 ,
 10 ,0115,3/15/2022 7:48:00 AM , 286 , 207 , 363 , 227 , 31 ,
 10 ,0115,3/15/2022 7:49:00 AM , 282 , 201 , 352 , 248 , 38 ,
 10 ,0115,3/15/2022 7:50:00 AM , 114 , 72 , 92 , 68 , 7 ,
 10 ,0115,3/15/2022 7:51:00 AM , 33 , 14 , 102 , 54 , 0 ,
 10 ,0115,3/15/2022 7:52:00 AM , 39 , 18 , 190 , 61 , 1 ,
 11 ,0115,3/15/2022 7:53:00 AM , 180 , 132 , 245 , 182 , 12 ,
 11 ,0115,3/15/2022 7:54:00 AM , 174 , 130 , 300 , 234 , 24 ,
 11 ,0115,3/15/2022 7:55:00 AM , 5 , 1 , 26 , 8 , 1 ,
 11 ,0115,3/15/2022 7:56:00 AM , 116 , 85 , 177 , 114 , 5 ,
 11 ,0115,3/15/2022 7:57:00 AM , 149 , 90 , 233 , 184 , 0 ,
 11 ,0115,3/15/2022 7:58:00 AM , 157 , 60 , 139 , 74 , 10 ,
 12 ,0115,3/15/2022 7:59:00 AM , 234 , 142 , 380 , 240 , 26 ,
 12 ,0115,3/15/2022 8:00:00 AM , 197 , 127 , 384 , 272 , 11 ,
 12 ,0115,3/15/2022 8:01:00 AM , 196 , 133 , 377 , 253 , 46 ,
 12 ,0115,3/15/2022 8:02:00 AM , 132 , 78 , 170 , 119 , 23 ,
 12 ,0115,3/15/2022 8:03:00 AM , 143 , 82 , 223 , 150 , 44 ,
 13 ,0115,3/15/2022 8:04:00 AM , 129 , 48 , 391 , 77 , 10 ,
 13 ,0115,3/15/2022 8:05:00 AM , 19 , 2 , 25 , 9 , 1 ,
 13 ,0115,3/15/2022 8:06:00 AM , 31 , 11 , 46 , 15 , 0 ,
 13 ,0115,3/15/2022 8:07:00 AM , 68 , 42 , 63 , 23 , 7 ,
 13 ,0115,3/15/2022 8:08:00 AM , 146 , 90 , 246 , 160 , 49 ,
 13 ,0115,3/15/2022 8:09:00 AM , 164 , 114 , 246 , 181 , 12 ,
 14 ,0115,3/15/2022 8:10:00 AM , 135 , 92 , 261 , 186 , 33 ,
 14 ,0115,3/15/2022 8:11:00 AM , 218 , 135 , 298 , 228 , 1 ,
 14 ,0115,3/15/2022 8:12:00 AM , 64 , 34 , 105 , 59 , 29 ,
 14 ,0115,3/15/2022 8:13:00 AM , 173 , 115 , 214 , 160 , 10 ,
 14 ,0115,3/15/2022 8:14:00 AM , 298 , 167 , 416 , 282 , 0 ,
 15 ,0115,3/15/2022 8:15:00 AM , 242 , 164 , 388 , 291 , 31 ,
 15 ,0115,3/15/2022 8:16:00 AM , 178 , 112 , 351 , 258 , 26 ,
 15 ,0115,3/15/2022 8:17:00 AM , 68 , 41 , 89 , 61 , 31 ,
 15 ,0115,3/15/2022 8:18:00 AM , 11 , 8 , 18 , 9 , 0 ,
 15 ,0115,3/15/2022 8:19:00 AM , 1 , 0 , 62 , 0 , 0 ,
 15 ,0115,3/15/2022 8:20:00 AM , 28 , 12 , 68 , 17 , 0 ,
 16 ,0115,3/15/2022 8:21:00 AM , 44 , 12 , 34 , 11 , 0 ,
 16 ,0115,3/15/2022 8:22:00 AM , 64 , 34 , 96 , 67 , 0 ,
 16 ,0115,3/15/2022 8:23:00 AM , 71 , 43 , 135 , 91 , 0 ,
 16 ,0115,3/15/2022 8:24:00 AM , 218 , 150 , 315 , 244 , 77 ,
 16 ,0115,3/15/2022 8:25:00 AM , 184 , 116 , 293 , 221 , 38 ,
 16 ,0115,3/15/2022 8:26:00 AM , 90 , 52 , 119 , 67 , 2 ,
 17 ,0115,3/15/2022 8:27:00 AM , 63 , 29 , 149 , 98 , 1 ,
 17 ,0115,3/15/2022 8:28:00 AM , 137 , 34 , 117 , 66 , 2 ,
 17 ,0115,3/15/2022 8:29:00 AM , 194 , 125 , 266 , 189 , 37 ,
