Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,ACCCO2 (l)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 3.78503E-06 ,3/15/2022 6:56:40 AM , 8.051313E-05 ,3/15/2022 6:57:00 AM , 1.092983E-04 ,3/15/2022 6:57:20 AM , 2.907775E-05 ,3/15/2022 6:57:40 AM , 7.926201E-05 ,3/15/2022 6:58:00 AM , 7.766303E-05 ,3/15/2022 6:58:20 AM , 6.96178E-05 ,3/15/2022 6:58:40 AM , 7.668096E-05 ,3/15/2022 6:59:00 AM , 4.701109E-05 ,3/15/2022 6:59:20 AM , 4.86808E-05 ,3/15/2022 6:59:40 AM , 4.084207E-05 ,3/15/2022 7:00:00 AM , 4.236705E-05 ,3/15/2022 7:00:20 AM , 4.569571E-05 ,3/15/2022 7:00:40 AM , 3.820003E-05 ,3/15/2022 7:01:00 AM , 3.48437E-05 ,3/15/2022 7:01:20 AM , 3.620026E-05 ,
 2 ,3/15/2022 7:02:00 AM , 5.989253E-04 ,3/15/2022 7:02:20 AM , 1.216839E-02 ,3/15/2022 7:02:40 AM , 1.639806E-02 ,3/15/2022 7:03:00 AM , 4.956394E-03 ,3/15/2022 7:03:20 AM , 1.238621E-02 ,3/15/2022 7:03:40 AM , 1.204733E-02 ,3/15/2022 7:04:00 AM , 1.086998E-02 ,3/15/2022 7:04:20 AM , 1.225743E-02 ,3/15/2022 7:04:40 AM , 7.405038E-03 ,3/15/2022 7:05:00 AM , 7.922628E-03 ,3/15/2022 7:05:20 AM , 6.470602E-03 ,3/15/2022 7:05:40 AM , 6.839127E-03 ,3/15/2022 7:06:00 AM , 7.352365E-03 ,3/15/2022 7:06:20 AM , 6.246243E-03 ,3/15/2022 7:06:40 AM , 5.957259E-03 ,3/15/2022 7:07:00 AM , 5.975005E-03 ,
 3 ,3/15/2022 7:07:40 AM , 1.117189E-03 ,3/15/2022 7:08:00 AM , 2.176467E-02 ,3/15/2022 7:08:20 AM , 2.923995E-02 ,3/15/2022 7:08:40 AM , 9.797899E-03 ,3/15/2022 7:09:00 AM , 2.307464E-02 ,3/15/2022 7:09:20 AM , 2.200672E-02 ,3/15/2022 7:09:40 AM , 0.0201652 ,3/15/2022 7:10:00 AM , 2.320703E-02 ,3/15/2022 7:10:20 AM , 1.382579E-02 ,3/15/2022 7:10:40 AM , 1.502037E-02 ,3/15/2022 7:11:00 AM , 1.234965E-02 ,3/15/2022 7:11:20 AM , 1.297105E-02 ,3/15/2022 7:11:40 AM , 1.392867E-02 ,3/15/2022 7:12:00 AM , 1.227092E-02 ,3/15/2022 7:12:20 AM , 1.184845E-02 ,3/15/2022 7:12:40 AM , 1.182471E-02 ,
 4 ,3/15/2022 7:13:20 AM , 1.642314E-03 ,3/15/2022 7:13:40 AM , 3.002443E-02 ,3/15/2022 7:14:00 AM , 4.018902E-02 ,3/15/2022 7:14:20 AM , 1.451763E-02 ,3/15/2022 7:14:40 AM , 3.279789E-02 ,3/15/2022 7:15:00 AM , 3.105683E-02 ,3/15/2022 7:15:20 AM , 2.876518E-02 ,3/15/2022 7:15:40 AM , 0.0335557 ,3/15/2022 7:16:00 AM , 1.974667E-02 ,3/15/2022 7:16:20 AM , 2.163887E-02 ,3/15/2022 7:16:40 AM , 1.821549E-02 ,3/15/2022 7:17:00 AM , 1.879494E-02 ,3/15/2022 7:17:20 AM , 2.016442E-02 ,3/15/2022 7:17:40 AM , 1.842876E-02 ,3/15/2022 7:18:00 AM , 1.771825E-02 ,3/15/2022 7:18:20 AM , 1.768551E-02 ,
 5 ,3/15/2022 7:19:00 AM , 3.166516E-03 ,3/15/2022 7:19:20 AM , 3.753591E-02 ,3/15/2022 7:19:40 AM , 0.049973 ,3/15/2022 7:20:00 AM , 1.964299E-02 ,3/15/2022 7:20:20 AM , 4.163595E-02 ,3/15/2022 7:20:40 AM , 0.0394985 ,3/15/2022 7:21:00 AM , 3.681516E-02 ,3/15/2022 7:21:20 AM , 4.327614E-02 ,3/15/2022 7:21:40 AM , 2.548358E-02 ,3/15/2022 7:22:00 AM , 2.792449E-02 ,3/15/2022 7:22:20 AM , 2.385758E-02 ,3/15/2022 7:22:40 AM , 2.460267E-02 ,3/15/2022 7:23:00 AM , 2.625385E-02 ,3/15/2022 7:23:20 AM , 2.443632E-02 ,3/15/2022 7:23:40 AM , 2.337072E-02 ,3/15/2022 7:24:00 AM , 2.345566E-02 ,
 6 ,3/15/2022 7:24:40 AM , 6.675032E-03 ,3/15/2022 7:25:00 AM , 0.0445342 ,3/15/2022 7:25:20 AM , 5.891849E-02 ,3/15/2022 7:25:40 AM , 2.564367E-02 ,3/15/2022 7:26:00 AM , 4.999541E-02 ,3/15/2022 7:26:20 AM , 4.727351E-02 ,3/15/2022 7:26:40 AM , 4.438097E-02 ,3/15/2022 7:27:00 AM , 5.247285E-02 ,3/15/2022 7:27:20 AM , 3.131222E-02 ,3/15/2022 7:27:40 AM , 3.393529E-02 ,3/15/2022 7:28:00 AM , 2.920424E-02 ,3/15/2022 7:28:20 AM , 3.046752E-02 ,3/15/2022 7:28:40 AM , 3.225412E-02 ,3/15/2022 7:29:00 AM , 3.039901E-02 ,3/15/2022 7:29:20 AM , 2.899897E-02 ,3/15/2022 7:29:40 AM , 2.936312E-02 ,
 7 ,3/15/2022 7:30:20 AM , 1.164232E-02 ,3/15/2022 7:30:40 AM , 0.0513189 ,3/15/2022 7:31:00 AM , 6.726545E-02 ,3/15/2022 7:31:20 AM , 0.0321384 ,3/15/2022 7:31:40 AM , 5.823494E-02 ,3/15/2022 7:32:00 AM , 5.466266E-02 ,3/15/2022 7:32:20 AM , 5.164161E-02 ,3/15/2022 7:32:40 AM , 0.0614287 ,3/15/2022 7:33:00 AM , 3.723642E-02 ,3/15/2022 7:33:20 AM , 0.0398092 ,3/15/2022 7:33:40 AM , 3.455296E-02 ,3/15/2022 7:34:00 AM , 3.626448E-02 ,3/15/2022 7:34:20 AM , 3.827967E-02 ,3/15/2022 7:34:40 AM , 3.639814E-02 ,3/15/2022 7:35:00 AM , 3.465524E-02 ,3/15/2022 7:35:20 AM , 3.543044E-02 ,
 8 ,3/15/2022 7:36:00 AM , 1.726221E-02 ,3/15/2022 7:36:20 AM , 5.801107E-02 ,3/15/2022 7:36:40 AM , 7.522856E-02 ,3/15/2022 7:37:00 AM , 3.892825E-02 ,3/15/2022 7:37:20 AM , 6.636243E-02 ,3/15/2022 7:37:40 AM , 6.192003E-02 ,3/15/2022 7:38:00 AM , 5.876375E-02 ,3/15/2022 7:38:20 AM , 7.007966E-02 ,3/15/2022 7:38:40 AM , 4.324266E-02 ,3/15/2022 7:39:00 AM , 4.557692E-02 ,3/15/2022 7:39:20 AM , 3.985461E-02 ,3/15/2022 7:39:40 AM , 4.196563E-02 ,3/15/2022 7:40:00 AM , 4.427991E-02 ,3/15/2022 7:40:20 AM , 4.215017E-02 ,3/15/2022 7:40:40 AM , 4.008915E-02 ,3/15/2022 7:41:00 AM , 4.145219E-02 ,
