Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,ACCO2 (l)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 5.032923E-06 ,3/15/2022 6:56:40 AM , 9.70871E-05 ,3/15/2022 6:57:00 AM , 1.189966E-04 ,3/15/2022 6:57:20 AM , 2.99245E-05 ,3/15/2022 6:57:40 AM , 8.639428E-05 ,3/15/2022 6:58:00 AM , 8.51946E-05 ,3/15/2022 6:58:20 AM , 8.110225E-05 ,3/15/2022 6:58:40 AM , 8.813561E-05 ,3/15/2022 6:59:00 AM , 5.995329E-05 ,3/15/2022 6:59:20 AM , 5.927554E-05 ,3/15/2022 6:59:40 AM , 5.41361E-05 ,3/15/2022 7:00:00 AM , 5.805894E-05 ,3/15/2022 7:00:20 AM , 5.596962E-05 ,3/15/2022 7:00:40 AM , 5.157588E-05 ,3/15/2022 7:01:00 AM , 4.845091E-05 ,3/15/2022 7:01:20 AM , 5.082144E-05 ,
 2 ,3/15/2022 7:02:00 AM , 8.711838E-04 ,3/15/2022 7:02:20 AM , 1.484197E-02 ,3/15/2022 7:02:40 AM , 1.799931E-02 ,3/15/2022 7:03:00 AM , 5.221041E-03 ,3/15/2022 7:03:20 AM , 1.358683E-02 ,3/15/2022 7:03:40 AM , 1.336316E-02 ,3/15/2022 7:04:00 AM , 1.284726E-02 ,3/15/2022 7:04:20 AM , 1.414197E-02 ,3/15/2022 7:04:40 AM , 9.676412E-03 ,3/15/2022 7:05:00 AM , 9.781795E-03 ,3/15/2022 7:05:20 AM , 8.805562E-03 ,3/15/2022 7:05:40 AM , 9.609805E-03 ,3/15/2022 7:06:00 AM , 0.0092079 ,3/15/2022 7:06:20 AM , 8.628731E-03 ,3/15/2022 7:06:40 AM , 8.005279E-03 ,3/15/2022 7:07:00 AM , 8.566778E-03 ,
 3 ,3/15/2022 7:07:40 AM , 1.718538E-03 ,3/15/2022 7:08:00 AM , 2.692329E-02 ,3/15/2022 7:08:20 AM , 3.230025E-02 ,3/15/2022 7:08:40 AM , 1.043645E-02 ,3/15/2022 7:09:00 AM , 2.548837E-02 ,3/15/2022 7:09:20 AM , 2.479825E-02 ,3/15/2022 7:09:40 AM , 2.419828E-02 ,3/15/2022 7:10:00 AM , 2.686372E-02 ,3/15/2022 7:10:20 AM , 1.847688E-02 ,3/15/2022 7:10:40 AM , 1.889841E-02 ,3/15/2022 7:11:00 AM , 1.705403E-02 ,3/15/2022 7:11:20 AM , 1.859725E-02 ,3/15/2022 7:11:40 AM , 0.0178127 ,3/15/2022 7:12:00 AM , 1.684436E-02 ,3/15/2022 7:12:20 AM , 1.570524E-02 ,3/15/2022 7:12:40 AM , 1.676076E-02 ,
 4 ,3/15/2022 7:13:20 AM , 2.589849E-03 ,3/15/2022 7:13:40 AM , 3.764436E-02 ,3/15/2022 7:14:00 AM , 4.471029E-02 ,3/15/2022 7:14:20 AM , 1.552501E-02 ,3/15/2022 7:14:40 AM , 3.650869E-02 ,3/15/2022 7:15:00 AM , 3.528801E-02 ,3/15/2022 7:15:20 AM , 3.490575E-02 ,3/15/2022 7:15:40 AM , 3.893996E-02 ,3/15/2022 7:16:00 AM , 2.681557E-02 ,3/15/2022 7:16:20 AM , 0.0276096 ,3/15/2022 7:16:40 AM , 2.485943E-02 ,3/15/2022 7:17:00 AM , 2.720385E-02 ,3/15/2022 7:17:20 AM , 2.609237E-02 ,3/15/2022 7:17:40 AM , 2.479187E-02 ,3/15/2022 7:18:00 AM , 2.338341E-02 ,3/15/2022 7:18:20 AM , 2.482842E-02 ,
 5 ,3/15/2022 7:19:00 AM , 4.794609E-03 ,3/15/2022 7:19:20 AM , 4.763918E-02 ,3/15/2022 7:19:40 AM , 5.616916E-02 ,3/15/2022 7:20:00 AM , 2.132229E-02 ,3/15/2022 7:20:20 AM , 4.687145E-02 ,3/15/2022 7:20:40 AM , 4.529068E-02 ,3/15/2022 7:21:00 AM , 4.527822E-02 ,3/15/2022 7:21:20 AM , 5.060978E-02 ,3/15/2022 7:21:40 AM , 3.481695E-02 ,3/15/2022 7:22:00 AM , 3.590875E-02 ,3/15/2022 7:22:20 AM , 3.215887E-02 ,3/15/2022 7:22:40 AM , 3.567228E-02 ,3/15/2022 7:23:00 AM , 3.415991E-02 ,3/15/2022 7:23:20 AM , 3.273974E-02 ,3/15/2022 7:23:40 AM , 3.100213E-02 ,3/15/2022 7:24:00 AM , 3.294228E-02 ,
 6 ,3/15/2022 7:24:40 AM , 9.448006E-03 ,3/15/2022 7:25:00 AM , 5.724229E-02 ,3/15/2022 7:25:20 AM , 6.683067E-02 ,3/15/2022 7:25:40 AM , 2.833403E-02 ,3/15/2022 7:26:00 AM , 5.684191E-02 ,3/15/2022 7:26:20 AM , 5.481947E-02 ,3/15/2022 7:26:40 AM , 5.525124E-02 ,3/15/2022 7:27:00 AM , 6.186031E-02 ,3/15/2022 7:27:20 AM , 4.264073E-02 ,3/15/2022 7:27:40 AM , 4.374155E-02 ,3/15/2022 7:28:00 AM , 0.0391976 ,3/15/2022 7:28:20 AM , 0.0439471 ,3/15/2022 7:28:40 AM , 4.196268E-02 ,3/15/2022 7:29:00 AM , 4.078362E-02 ,3/15/2022 7:29:20 AM , 3.854996E-02 ,3/15/2022 7:29:40 AM , 4.100914E-02 ,
 7 ,3/15/2022 7:30:20 AM , 1.594415E-02 ,3/15/2022 7:30:40 AM , 6.671312E-02 ,3/15/2022 7:31:00 AM , 7.686842E-02 ,3/15/2022 7:31:20 AM , 3.615894E-02 ,3/15/2022 7:31:40 AM , 6.667022E-02 ,3/15/2022 7:32:00 AM , 6.398827E-02 ,3/15/2022 7:32:20 AM , 6.490847E-02 ,3/15/2022 7:32:40 AM , 7.283548E-02 ,3/15/2022 7:33:00 AM , 5.046414E-02 ,3/15/2022 7:33:20 AM , 5.129305E-02 ,3/15/2022 7:33:40 AM , 4.623792E-02 ,3/15/2022 7:34:00 AM , 5.195278E-02 ,3/15/2022 7:34:20 AM , 0.0496971 ,3/15/2022 7:34:40 AM , 4.879226E-02 ,3/15/2022 7:35:00 AM , 0.0459456 ,3/15/2022 7:35:20 AM , 4.909264E-02 ,
 8 ,3/15/2022 7:36:00 AM , 2.335438E-02 ,3/15/2022 7:36:20 AM , 7.608729E-02 ,3/15/2022 7:36:40 AM , 8.672718E-02 ,3/15/2022 7:37:00 AM , 0.0444985 ,3/15/2022 7:37:20 AM , 0.076466 ,3/15/2022 7:37:40 AM , 7.320329E-02 ,3/15/2022 7:38:00 AM , 7.450857E-02 ,3/15/2022 7:38:20 AM , 8.357376E-02 ,3/15/2022 7:38:40 AM , 5.845362E-02 ,3/15/2022 7:39:00 AM , 5.871429E-02 ,3/15/2022 7:39:20 AM , 5.330051E-02 ,3/15/2022 7:39:40 AM , 5.991701E-02 ,3/15/2022 7:40:00 AM , 5.782348E-02 ,3/15/2022 7:40:20 AM , 0.0565674 ,3/15/2022 7:40:40 AM , 5.325152E-02 ,3/15/2022 7:41:00 AM , 5.725726E-02 ,
