Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:15 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0101
SUBJECT ID:8-1
SUBJECT MASS:28.6 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 2 ,010102,3/15/2022,3/15/2022 7:01:58 AM ,3/15/2022 7:03:16 AM , 78 ,0.21,0.21,g,
 2 , 3 ,010102,3/15/2022,3/15/2022 7:07:17 AM ,3/15/2022 7:07:20 AM , 3 ,0.03,0.24,g,
 3 , 9 ,010102,3/15/2022,3/15/2022 7:43:46 AM ,3/15/2022 7:43:58 AM , 12 ,0.07,0.31,g,
 4 , 12 ,010102,3/15/2022,3/15/2022 7:57:06 AM ,3/15/2022 7:57:52 AM , 46 ,0.14,0.46,g,
 5 , 18 ,010102,3/15/2022,3/15/2022 8:34:02 AM ,3/15/2022 8:35:46 AM , 104 ,0.07,0.53,g,
 6 , 66 ,010102,3/15/2022,3/15/2022 1:06:50 PM ,3/15/2022 1:07:40 PM , 50 ,0.49,1.02,g,
 7 , 133 ,010102,3/15/2022,3/15/2022 7:23:33 PM ,3/15/2022 7:24:09 PM , 36 ,0.65,1.67,g,
 8 , 146 ,010102,3/15/2022,3/15/2022 8:41:38 PM ,3/15/2022 8:42:14 PM , 36 ,0.07,1.74,g,
 9 , 148 ,010102,3/15/2022,3/15/2022 8:52:34 PM ,3/15/2022 8:53:46 PM , 72 ,0.05,1.79,g,
 10 , 157 ,010102,3/15/2022,3/15/2022 9:42:40 PM ,3/15/2022 9:43:50 PM , 70 ,0.08,1.87,g,
 11 , 159 ,010102,3/15/2022,3/15/2022 9:53:48 PM ,3/15/2022 9:54:20 PM , 32 ,0.03,1.90,g,
 12 , 166 ,010102,3/15/2022,3/15/2022 10:30:20 PM ,3/15/2022 10:31:21 PM , 61 ,0.03,1.94,g,
 13 , 168 ,010102,3/15/2022,3/15/2022 10:47:02 PM ,3/15/2022 10:47:08 PM , 6 ,0.04,1.98,g,
 14 , 170 ,010102,3/15/2022,3/15/2022 10:53:21 PM ,3/15/2022 10:53:29 PM , 8 ,0.05,2.03,g,
 15 , 175 ,010102,3/15/2022,3/15/2022 11:23:12 PM ,3/15/2022 11:25:41 PM , 149 ,0.03,2.06,g,
 16 , 182 ,010102,3/16/2022,3/16/2022 12:00:16 AM ,3/16/2022 12:01:36 AM , 80 ,0.21,2.27,g,
 17 , 196 ,010102,3/16/2022,3/16/2022 1:22:51 AM ,3/16/2022 1:23:17 AM , 26 ,0.04,2.31,g,
 18 , 199 ,010102,3/16/2022,3/16/2022 1:39:09 AM ,3/16/2022 1:40:32 AM , 83 ,0.09,2.39,g,
 19 , 201 ,010102,3/16/2022,3/16/2022 1:48:45 AM ,3/16/2022 1:49:03 AM , 18 ,0.09,2.48,g,
 20 , 209 ,010102,3/16/2022,3/16/2022 2:36:45 AM ,3/16/2022 2:36:49 AM , 4 ,0.04,2.52,g,
 21 , 216 ,010102,3/16/2022,3/16/2022 3:16:26 AM ,3/16/2022 3:16:46 AM , 20 ,0.13,2.65,g,
 22 , 239 ,010102,3/16/2022,3/16/2022 5:20:20 AM ,3/16/2022 5:24:45 AM , 265 ,0.22,2.87,g,
 23 , 240 ,010102,3/16/2022,3/16/2022 5:33:12 AM ,3/16/2022 5:34:23 AM , 71 ,0.06,2.93,g,
