Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:16 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0102
SUBJECT ID:16-1
SUBJECT MASS:29 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 3 ,010202,3/15/2022,3/15/2022 7:07:11 AM ,3/15/2022 7:07:56 AM , 45 ,0.04,0.04,g,
 2 , 3 ,010202,3/15/2022,3/15/2022 7:09:44 AM ,3/15/2022 7:10:00 AM , 16 ,0.21,0.25,g,
 3 , 102 ,010202,3/15/2022,3/15/2022 4:32:06 PM ,3/15/2022 4:32:32 PM , 26 ,0.06,0.31,g,
 4 , 103 ,010202,3/15/2022,3/15/2022 4:33:34 PM ,3/15/2022 4:33:58 PM , 24 ,1.08,1.39,g,
 5 , 136 ,010202,3/15/2022,3/15/2022 7:42:06 PM ,3/15/2022 7:42:14 PM , 8 ,0.29,1.68,g,
 6 , 155 ,010202,3/15/2022,3/15/2022 9:30:47 PM ,3/15/2022 9:31:33 PM , 46 ,0.13,1.81,g,
 7 , 199 ,010202,3/16/2022,3/16/2022 1:41:41 AM ,3/16/2022 1:42:23 AM , 42 ,0.39,2.20,g,
