Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:17 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0103
SUBJECT ID:16-2
SUBJECT MASS:31 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 8 ,010302,3/15/2022,3/15/2022 7:39:31 AM ,3/15/2022 7:39:51 AM , 20 ,0.03,0.03,g,
 2 , 9 ,010302,3/15/2022,3/15/2022 7:46:02 AM ,3/15/2022 7:46:20 AM , 18 ,0.19,0.22,g,
 3 , 10 ,010302,3/15/2022,3/15/2022 7:48:02 AM ,3/15/2022 7:48:23 AM , 21 ,0.04,0.26,g,
 4 , 14 ,010302,3/15/2022,3/15/2022 8:11:23 AM ,3/15/2022 8:12:13 AM , 50 ,0.06,0.32,g,
 5 , 17 ,010302,3/15/2022,3/15/2022 8:27:31 AM ,3/15/2022 8:27:49 AM , 18 ,0.06,0.38,g,
 6 , 28 ,010302,3/15/2022,3/15/2022 9:33:53 AM ,3/15/2022 9:34:08 AM , 15 ,0.06,0.44,g,
 7 , 40 ,010302,3/15/2022,3/15/2022 10:37:48 AM ,3/15/2022 10:38:20 AM , 32 ,0.17,0.61,g,
 8 , 53 ,010302,3/15/2022,3/15/2022 11:54:23 AM ,3/15/2022 11:54:31 AM , 8 ,0.10,0.71,g,
 9 , 59 ,010302,3/15/2022,3/15/2022 12:24:53 PM ,3/15/2022 12:25:05 PM , 12 ,0.04,0.75,g,
 10 , 65 ,010302,3/15/2022,3/15/2022 1:02:33 PM ,3/15/2022 1:03:23 PM , 50 ,0.07,0.81,g,
 11 , 86 ,010302,3/15/2022,3/15/2022 3:01:02 PM ,3/15/2022 3:01:16 PM , 14 ,0.24,1.06,g,
 12 , 88 ,010302,3/15/2022,3/15/2022 3:09:35 PM ,3/15/2022 3:10:19 PM , 44 ,0.07,1.13,g,
 13 , 113 ,010302,3/15/2022,3/15/2022 5:30:08 PM ,3/15/2022 5:30:30 PM , 22 ,0.18,1.31,g,
 14 , 122 ,010302,3/15/2022,3/15/2022 6:22:28 PM ,3/15/2022 6:22:36 PM , 8 ,0.04,1.35,g,
 15 , 124 ,010302,3/15/2022,3/15/2022 6:35:17 PM ,3/15/2022 6:36:19 PM , 62 ,0.10,1.45,g,
 16 , 125 ,010302,3/15/2022,3/15/2022 6:39:47 PM ,3/15/2022 6:40:01 PM , 14 ,0.06,1.51,g,
 17 , 132 ,010302,3/15/2022,3/15/2022 7:18:55 PM ,3/15/2022 7:19:05 PM , 10 ,0.03,1.54,g,
 18 , 138 ,010302,3/15/2022,3/15/2022 7:52:11 PM ,3/15/2022 7:53:47 PM , 96 ,0.04,1.58,g,
 19 , 140 ,010302,3/15/2022,3/15/2022 8:06:05 PM ,3/15/2022 8:06:40 PM , 35 ,0.03,1.61,g,
 20 , 144 ,010302,3/15/2022,3/15/2022 8:26:37 PM ,3/15/2022 8:27:01 PM , 24 ,0.04,1.65,g,
 21 , 147 ,010302,3/15/2022,3/15/2022 8:44:45 PM ,3/15/2022 8:45:43 PM , 58 ,0.04,1.69,g,
 22 , 150 ,010302,3/15/2022,3/15/2022 9:01:56 PM ,3/15/2022 9:03:22 PM , 86 ,0.14,1.82,g,
 23 , 156 ,010302,3/15/2022,3/15/2022 9:36:29 PM ,3/15/2022 9:38:07 PM , 98 ,0.05,1.87,g,
 24 , 160 ,010302,3/15/2022,3/15/2022 9:59:31 PM ,3/15/2022 10:01:09 PM , 98 ,0.11,1.98,g,
 25 , 169 ,010302,3/15/2022,3/15/2022 10:47:06 PM ,3/15/2022 10:47:56 PM , 50 ,0.04,2.02,g,
 26 , 172 ,010302,3/15/2022,3/15/2022 11:06:26 PM ,3/15/2022 11:06:41 PM , 15 ,0.06,2.08,g,
 27 , 176 ,010302,3/15/2022,3/15/2022 11:31:28 PM ,3/15/2022 11:32:14 PM , 46 ,0.05,2.13,g,
 28 , 179 ,010302,3/15/2022,3/15/2022 11:42:16 PM ,3/15/2022 11:44:35 PM , 139 ,0.05,2.18,g,
 29 , 180 ,010302,3/15/2022,3/15/2022 11:50:32 PM ,3/15/2022 11:50:34 PM , 2 ,0.04,2.21,g,
 30 , 185 ,010302,3/16/2022,3/16/2022 12:18:40 AM ,3/16/2022 12:19:18 AM , 38 ,0.03,2.24,g,
 31 , 190 ,010302,3/16/2022,3/16/2022 12:49:04 AM ,3/16/2022 12:50:28 AM , 84 ,0.33,2.58,g,
 32 , 192 ,010302,3/16/2022,3/16/2022 12:59:20 AM ,3/16/2022 1:00:08 AM , 48 ,0.07,2.65,g,
 33 , 204 ,010302,3/16/2022,3/16/2022 2:07:23 AM ,3/16/2022 2:08:07 AM , 44 ,0.03,2.68,g,
 34 , 206 ,010302,3/16/2022,3/16/2022 2:18:51 AM ,3/16/2022 2:19:41 AM , 50 ,0.13,2.81,g,
 35 , 208 ,010302,3/16/2022,3/16/2022 2:32:46 AM ,3/16/2022 2:33:08 AM , 22 ,0.04,2.85,g,
 36 , 210 ,010302,3/16/2022,3/16/2022 2:40:19 AM ,3/16/2022 2:40:38 AM , 19 ,0.07,2.91,g,
 37 , 212 ,010302,3/16/2022,3/16/2022 2:51:32 AM ,3/16/2022 2:52:32 AM , 60 ,0.05,2.96,g,
 38 , 225 ,010302,3/16/2022,3/16/2022 4:08:28 AM ,3/16/2022 4:08:32 AM , 4 ,0.07,3.03,g,
 39 , 228 ,010302,3/16/2022,3/16/2022 4:25:21 AM ,3/16/2022 4:25:43 AM , 22 ,0.03,3.07,g,
 40 , 235 ,010302,3/16/2022,3/16/2022 5:05:27 AM ,3/16/2022 5:06:25 AM , 58 ,0.15,3.22,g,
 41 , 237 ,010302,3/16/2022,3/16/2022 5:12:44 AM ,3/16/2022 5:13:11 AM , 27 ,0.07,3.29,g,
 42 , 237 ,010302,3/16/2022,3/16/2022 5:13:39 AM ,3/16/2022 5:14:21 AM , 42 ,0.09,3.38,g,
