Oxymax Drinking Events CSV File 

CSV FILE CREATION:3/16/2022 6:11:22 AM
DATA FILENAME:C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.BDTA

GROUP/CAGE:0111
SUBJECT ID:F8-2
SUBJECT MASS:17.2 grams



:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
COUNT,INTERVAL,CHANNEL,DATE,START,END,DURATION,VALUE,ACCUM,UNITS,
#,#,#,,,,seconds,,,,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 , 3 ,011102,3/15/2022,3/15/2022 7:07:02 AM ,3/15/2022 7:09:39 AM , 157 ,0.07,0.07,g,
 2 , 4 ,011102,3/15/2022,3/15/2022 7:16:11 AM ,3/15/2022 7:16:25 AM , 14 ,0.08,0.15,g,
 3 , 7 ,011102,3/15/2022,3/15/2022 7:28:10 AM ,3/15/2022 7:29:59 AM , 109 ,0.09,0.24,g,
 4 , 7 ,011102,3/15/2022,3/15/2022 7:30:17 AM ,3/15/2022 7:31:29 AM , 72 ,0.04,0.28,g,
 5 , 8 ,011102,3/15/2022,3/15/2022 7:38:18 AM ,3/15/2022 7:38:33 AM , 15 ,0.05,0.33,g,
 6 , 8 ,011102,3/15/2022,3/15/2022 7:39:55 AM ,3/15/2022 7:39:57 AM , 2 ,0.10,0.43,g,
 7 , 12 ,011102,3/15/2022,3/15/2022 8:00:49 AM ,3/15/2022 8:01:31 AM , 42 ,0.08,0.51,g,
 8 , 13 ,011102,3/15/2022,3/15/2022 8:06:44 AM ,3/15/2022 8:08:02 AM , 78 ,0.03,0.54,g,
 9 , 16 ,011102,3/15/2022,3/15/2022 8:24:52 AM ,3/15/2022 8:25:38 AM , 46 ,0.08,0.62,g,
 10 , 60 ,011102,3/15/2022,3/15/2022 12:30:55 PM ,3/15/2022 12:31:20 PM , 25 ,0.25,0.87,g,
 11 , 60 ,011102,3/15/2022,3/15/2022 12:32:13 PM ,3/15/2022 12:32:55 PM , 42 ,0.05,0.91,g,
 12 , 62 ,011102,3/15/2022,3/15/2022 12:42:33 PM ,3/15/2022 12:43:07 PM , 34 ,0.07,0.98,g,
 13 , 63 ,011102,3/15/2022,3/15/2022 12:50:02 PM ,3/15/2022 12:50:06 PM , 4 ,0.05,1.03,g,
 14 , 89 ,011102,3/15/2022,3/15/2022 3:16:45 PM ,3/15/2022 3:17:59 PM , 74 ,0.09,1.12,g,
 15 , 93 ,011102,3/15/2022,3/15/2022 3:37:51 PM ,3/15/2022 3:39:01 PM , 70 ,0.15,1.28,g,
 16 , 95 ,011102,3/15/2022,3/15/2022 3:49:05 PM ,3/15/2022 3:49:49 PM , 44 ,0.07,1.35,g,
 17 , 105 ,011102,3/15/2022,3/15/2022 4:44:49 PM ,3/15/2022 4:44:53 PM , 4 ,0.07,1.41,g,
 18 , 116 ,011102,3/15/2022,3/15/2022 5:47:23 PM ,3/15/2022 5:47:33 PM , 10 ,0.04,1.45,g,
 19 , 119 ,011102,3/15/2022,3/15/2022 6:09:03 PM ,3/15/2022 6:09:12 PM , 9 ,0.04,1.49,g,
 20 , 123 ,011102,3/15/2022,3/15/2022 6:26:47 PM ,3/15/2022 6:28:39 PM , 112 ,0.05,1.54,g,
 21 , 134 ,011102,3/15/2022,3/15/2022 7:29:23 PM ,3/15/2022 7:29:35 PM , 12 ,0.08,1.62,g,
 22 , 144 ,011102,3/15/2022,3/15/2022 8:21:08 PM ,3/15/2022 8:27:53 PM , 405 ,0.07,1.69,g,
 23 , 163 ,011102,3/15/2022,3/15/2022 10:13:50 PM ,3/15/2022 10:14:18 PM , 28 ,0.07,1.76,g,
 24 , 164 ,011102,3/15/2022,3/15/2022 10:24:24 PM ,3/15/2022 10:24:45 PM , 21 ,0.08,1.84,g,
 25 , 167 ,011102,3/15/2022,3/15/2022 10:37:58 PM ,3/15/2022 10:38:30 PM , 32 ,0.17,2.01,g,
 26 , 171 ,011102,3/15/2022,3/15/2022 11:01:21 PM ,3/15/2022 11:02:09 PM , 48 ,0.14,2.15,g,
 27 , 173 ,011102,3/15/2022,3/15/2022 11:13:19 PM ,3/15/2022 11:14:33 PM , 74 ,0.10,2.25,g,
 28 , 179 ,011102,3/15/2022,3/15/2022 11:43:47 PM ,3/15/2022 11:44:31 PM , 44 ,0.03,2.28,g,
 29 , 181 ,011102,3/15/2022,3/15/2022 11:56:57 PM ,3/15/2022 11:57:07 PM , 10 ,0.04,2.32,g,
 30 , 184 ,011102,3/16/2022,3/16/2022 12:15:25 AM ,3/16/2022 12:15:31 AM , 6 ,0.04,2.36,g,
 31 , 185 ,011102,3/16/2022,3/16/2022 12:19:28 AM ,3/16/2022 12:20:02 AM , 34 ,0.06,2.42,g,
 32 , 208 ,011102,3/16/2022,3/16/2022 2:32:00 AM ,3/16/2022 2:32:09 AM , 9 ,0.07,2.50,g,
 33 , 209 ,011102,3/16/2022,3/16/2022 2:36:25 AM ,3/16/2022 2:36:33 AM , 8 ,0.06,2.56,g,
 34 , 210 ,011102,3/16/2022,3/16/2022 2:43:36 AM ,3/16/2022 2:43:56 AM , 20 ,0.03,2.59,g,
 35 , 213 ,011102,3/16/2022,3/16/2022 2:58:08 AM ,3/16/2022 2:58:53 AM , 45 ,0.14,2.72,g,
 36 , 215 ,011102,3/16/2022,3/16/2022 3:09:15 AM ,3/16/2022 3:12:01 AM , 166 ,0.09,2.82,g,
 37 , 218 ,011102,3/16/2022,3/16/2022 3:27:41 AM ,3/16/2022 3:28:49 AM , 68 ,0.14,2.96,g,
 38 , 237 ,011102,3/16/2022,3/16/2022 5:15:13 AM ,3/16/2022 5:15:17 AM , 4 ,0.14,3.10,g,
 39 , 242 ,011102,3/16/2022,3/16/2022 5:40:44 AM ,3/16/2022 5:41:48 AM , 64 ,0.16,3.26,g,
 40 , 244 ,011102,3/16/2022,3/16/2022 5:55:55 AM ,3/16/2022 5:56:21 AM , 26 ,0.06,3.33,g,
 41 , 245 ,011102,3/16/2022,3/16/2022 5:59:48 AM ,3/16/2022 6:01:30 AM , 102 ,0.04,3.37,g,
 42 , 246 ,011102,3/16/2022,3/16/2022 6:03:43 AM ,3/16/2022 6:04:11 AM , 28 ,0.06,3.43,g,
