Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,CO2OUT (%)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 7.082801E-02 ,3/15/2022 6:56:40 AM , 0.324553 ,3/15/2022 6:57:00 AM , 0.4156024 ,3/15/2022 6:57:20 AM , 0.1546935 ,3/15/2022 6:57:40 AM , 0.3175287 ,3/15/2022 6:58:00 AM , 0.3163048 ,3/15/2022 6:58:20 AM , 0.2902831 ,3/15/2022 6:58:40 AM , 0.3127927 ,3/15/2022 6:59:00 AM , 0.2153044 ,3/15/2022 6:59:20 AM , 0.2224883 ,3/15/2022 6:59:40 AM , 0.1962537 ,3/15/2022 7:00:00 AM , 0.1993934 ,3/15/2022 7:00:20 AM , 0.2117922 ,3/15/2022 7:00:40 AM , 0.1849723 ,3/15/2022 7:01:00 AM , 0.1755002 ,3/15/2022 7:01:20 AM , 0.1789591 ,
 2 ,3/15/2022 7:02:00 AM , 7.162622E-02 ,3/15/2022 7:02:20 AM , 0.2650064 ,3/15/2022 7:02:40 AM , 0.3303533 ,3/15/2022 7:03:00 AM , 0.1566092 ,3/15/2022 7:03:20 AM , 0.2752235 ,3/15/2022 7:03:40 AM , 0.2707003 ,3/15/2022 7:04:00 AM , 0.2525011 ,3/15/2022 7:04:20 AM , 0.2820881 ,3/15/2022 7:04:40 AM , 0.1933802 ,3/15/2022 7:05:00 AM , 0.2093976 ,3/15/2022 7:05:20 AM , 0.1787995 ,3/15/2022 7:05:40 AM , 0.1862849 ,3/15/2022 7:06:00 AM , 0.1962005 ,3/15/2022 7:06:20 AM , 0.1766709 ,3/15/2022 7:06:40 AM , 0.1783738 ,3/15/2022 7:07:00 AM , 0.1733184 ,
 3 ,3/15/2022 7:07:40 AM , 7.018944E-02 ,3/15/2022 7:08:00 AM , 0.2297254 ,3/15/2022 7:08:20 AM , 0.2847488 ,3/15/2022 7:08:40 AM , 0.1536292 ,3/15/2022 7:09:00 AM , 0.2572371 ,3/15/2022 7:09:20 AM , 0.2396765 ,3/15/2022 7:09:40 AM , 0.2332908 ,3/15/2022 7:10:00 AM , 0.266656 ,3/15/2022 7:10:20 AM , 0.180999 ,3/15/2022 7:10:40 AM , 0.1944977 ,3/15/2022 7:11:00 AM , 0.1768838 ,3/15/2022 7:11:20 AM , 0.1759259 ,3/15/2022 7:11:40 AM , 0.1854513 ,3/15/2022 7:12:00 AM , 0.1803959 ,3/15/2022 7:12:20 AM , 0.1773627 ,3/15/2022 7:12:40 AM , 0.1781609 ,
 4 ,3/15/2022 7:13:20 AM , 7.088123E-02 ,3/15/2022 7:13:40 AM , 0.2122712 ,3/15/2022 7:14:00 AM , 0.256634 ,3/15/2022 7:14:20 AM , 0.1507556 ,3/15/2022 7:14:40 AM , 0.2372286 ,3/15/2022 7:15:00 AM , 0.2339293 ,3/15/2022 7:15:20 AM , 0.2241734 ,3/15/2022 7:15:40 AM , 0.2571839 ,3/15/2022 7:16:00 AM , 0.1725734 ,3/15/2022 7:16:20 AM , 0.189123 ,3/15/2022 7:16:40 AM , 0.1770434 ,3/15/2022 7:17:00 AM , 0.1733184 ,3/15/2022 7:17:20 AM , 0.1817795 ,3/15/2022 7:17:40 AM , 0.1807684 ,3/15/2022 7:18:00 AM , 0.1765645 ,3/15/2022 7:18:20 AM , 0.1727863 ,
 5 ,3/15/2022 7:19:00 AM , 0.1079183 ,3/15/2022 7:19:20 AM , 0.2000319 ,3/15/2022 7:19:40 AM , 0.23957 ,3/15/2022 7:20:00 AM , 0.1686888 ,3/15/2022 7:20:20 AM , 0.2226479 ,3/15/2022 7:20:40 AM , 0.2154108 ,3/15/2022 7:21:00 AM , 0.2113133 ,3/15/2022 7:21:20 AM , 0.2418582 ,3/15/2022 7:21:40 AM , 0.1731056 ,3/15/2022 7:22:00 AM , 0.1803959 ,3/15/2022 7:22:20 AM , 0.1673584 ,3/15/2022 7:22:40 AM , 0.174702 ,3/15/2022 7:23:00 AM , 0.1787995 ,3/15/2022 7:23:20 AM , 0.1737974 ,3/15/2022 7:23:40 AM , 0.1677842 ,3/15/2022 7:24:00 AM , 0.1736377 ,
 6 ,3/15/2022 7:24:40 AM , 0.1439974 ,3/15/2022 7:25:00 AM , 0.1890166 ,3/15/2022 7:25:20 AM , 0.2211579 ,3/15/2022 7:25:40 AM , 0.1816198 ,3/15/2022 7:26:00 AM , 0.215464 ,3/15/2022 7:26:20 AM , 0.2047148 ,3/15/2022 7:26:40 AM , 0.2019476 ,3/15/2022 7:27:00 AM , 0.23361 ,3/15/2022 7:27:20 AM , 0.1731588 ,3/15/2022 7:27:40 AM , 0.1752874 ,3/15/2022 7:28:00 AM , 0.1623563 ,3/15/2022 7:28:20 AM , 0.1722541 ,3/15/2022 7:28:40 AM , 0.1751277 ,3/15/2022 7:29:00 AM , 0.1759791 ,3/15/2022 7:29:20 AM , 0.1725202 ,3/15/2022 7:29:40 AM , 0.1756599 ,
 7 ,3/15/2022 7:30:20 AM , 0.1616113 ,3/15/2022 7:30:40 AM , 0.1892295 ,3/15/2022 7:31:00 AM , 0.2141337 ,3/15/2022 7:31:20 AM , 0.1854513 ,3/15/2022 7:31:40 AM , 0.2155704 ,3/15/2022 7:32:00 AM , 0.1978502 ,3/15/2022 7:32:20 AM , 0.1969455 ,3/15/2022 7:32:40 AM , 0.2294948 ,3/15/2022 7:33:00 AM , 0.1741699 ,3/15/2022 7:33:20 AM , 0.1722009 ,3/15/2022 7:33:40 AM , 0.1646977 ,3/15/2022 7:34:00 AM , 0.1691145 ,3/15/2022 7:34:20 AM , 0.1771498 ,3/15/2022 7:34:40 AM , 0.1726266 ,3/15/2022 7:35:00 AM , 0.1661877 ,3/15/2022 7:35:20 AM , 0.1770966 ,
 8 ,3/15/2022 7:36:00 AM , 0.1694338 ,3/15/2022 7:36:20 AM , 0.1857173 ,3/15/2022 7:36:40 AM , 0.2065773 ,3/15/2022 7:37:00 AM , 0.1934866 ,3/15/2022 7:37:20 AM , 0.2114197 ,3/15/2022 7:37:40 AM , 0.1997126 ,3/15/2022 7:38:00 AM , 0.1967327 ,3/15/2022 7:38:20 AM , 0.2220626 ,3/15/2022 7:38:40 AM , 0.1766709 ,3/15/2022 7:39:00 AM , 0.1714559 ,3/15/2022 7:39:20 AM , 0.1608131 ,3/15/2022 7:39:40 AM , 0.1686356 ,3/15/2022 7:40:00 AM , 0.1744891 ,3/15/2022 7:40:20 AM , 0.1664538 ,3/15/2022 7:40:40 AM , 0.1639527 ,3/15/2022 7:41:00 AM , 0.1736377 ,
