Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,DCO2


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 1.239889E-02 ,3/15/2022 6:56:40 AM , 0.2661239 ,3/15/2022 6:57:00 AM , 0.3571733 ,3/15/2022 6:57:20 AM , 9.626436E-02 ,3/15/2022 6:57:40 AM , 0.2590996 ,3/15/2022 6:58:00 AM , 0.2578757 ,3/15/2022 6:58:20 AM , 0.231854 ,3/15/2022 6:58:40 AM , 0.2543635 ,3/15/2022 6:59:00 AM , 0.1568753 ,3/15/2022 6:59:20 AM , 0.1640592 ,3/15/2022 6:59:40 AM , 0.1378246 ,3/15/2022 7:00:00 AM , 0.1409642 ,3/15/2022 7:00:20 AM , 0.1533631 ,3/15/2022 7:00:40 AM , 0.1265432 ,3/15/2022 7:01:00 AM , 0.1170711 ,3/15/2022 7:01:20 AM , 0.12053 ,
 2 ,3/15/2022 7:02:00 AM , 0.0105364 ,3/15/2022 7:02:20 AM , 0.2039166 ,3/15/2022 7:02:40 AM , 0.2692635 ,3/15/2022 7:03:00 AM , 9.551936E-02 ,3/15/2022 7:03:20 AM , 0.2141337 ,3/15/2022 7:03:40 AM , 0.2096105 ,3/15/2022 7:04:00 AM , 0.1914112 ,3/15/2022 7:04:20 AM , 0.2209983 ,3/15/2022 7:04:40 AM , 0.1322903 ,3/15/2022 7:05:00 AM , 0.1483078 ,3/15/2022 7:05:20 AM , 0.1177097 ,3/15/2022 7:05:40 AM , 0.1251951 ,3/15/2022 7:06:00 AM , 0.1351107 ,3/15/2022 7:06:20 AM , 0.1155811 ,3/15/2022 7:06:40 AM , 0.1172839 ,3/15/2022 7:07:00 AM , 0.1122286 ,
 3 ,3/15/2022 7:07:40 AM , 9.418897E-03 ,3/15/2022 7:08:00 AM , 0.1689549 ,3/15/2022 7:08:20 AM , 0.2239783 ,3/15/2022 7:08:40 AM , 9.285866E-02 ,3/15/2022 7:09:00 AM , 0.1964666 ,3/15/2022 7:09:20 AM , 0.1789059 ,3/15/2022 7:09:40 AM , 0.1725202 ,3/15/2022 7:10:00 AM , 0.2058855 ,3/15/2022 7:10:20 AM , 0.1202285 ,3/15/2022 7:10:40 AM , 0.1337271 ,3/15/2022 7:11:00 AM , 0.1161132 ,3/15/2022 7:11:20 AM , 0.1151554 ,3/15/2022 7:11:40 AM , 0.1246807 ,3/15/2022 7:12:00 AM , 0.1196254 ,3/15/2022 7:12:20 AM , 0.1165922 ,3/15/2022 7:12:40 AM , 0.1173904 ,
 4 ,3/15/2022 7:13:20 AM , 1.080247E-02 ,3/15/2022 7:13:40 AM , 0.1521924 ,3/15/2022 7:14:00 AM , 0.1965553 ,3/15/2022 7:14:20 AM , 9.067689E-02 ,3/15/2022 7:14:40 AM , 0.1771498 ,3/15/2022 7:15:00 AM , 0.1738506 ,3/15/2022 7:15:20 AM , 0.1640946 ,3/15/2022 7:15:40 AM , 0.1971052 ,3/15/2022 7:16:00 AM , 0.1124947 ,3/15/2022 7:16:20 AM , 0.1290443 ,3/15/2022 7:16:40 AM , 0.1169647 ,3/15/2022 7:17:00 AM , 0.1132397 ,3/15/2022 7:17:20 AM , 0.1217007 ,3/15/2022 7:17:40 AM , 0.1206897 ,3/15/2022 7:18:00 AM , 0.1164857 ,3/15/2022 7:18:20 AM , 0.1127075 ,
 5 ,3/15/2022 7:19:00 AM , 4.773308E-02 ,3/15/2022 7:19:20 AM , 0.1398467 ,3/15/2022 7:19:40 AM , 0.1793848 ,3/15/2022 7:20:00 AM , 0.1085036 ,3/15/2022 7:20:20 AM , 0.1624628 ,3/15/2022 7:20:40 AM , 0.1552256 ,3/15/2022 7:21:00 AM , 0.1511281 ,3/15/2022 7:21:20 AM , 0.181673 ,3/15/2022 7:21:40 AM , 0.1129204 ,3/15/2022 7:22:00 AM , 0.1202107 ,3/15/2022 7:22:20 AM , 0.1071733 ,3/15/2022 7:22:40 AM , 0.1145168 ,3/15/2022 7:23:00 AM , 0.1186143 ,3/15/2022 7:23:20 AM , 0.1136122 ,3/15/2022 7:23:40 AM , 0.107599 ,3/15/2022 7:24:00 AM , 0.1134525 ,
 6 ,3/15/2022 7:24:40 AM , 0.0870938 ,3/15/2022 7:25:00 AM , 0.132113 ,3/15/2022 7:25:20 AM , 0.1642543 ,3/15/2022 7:25:40 AM , 0.1247162 ,3/15/2022 7:26:00 AM , 0.1585604 ,3/15/2022 7:26:20 AM , 0.1478111 ,3/15/2022 7:26:40 AM , 0.145044 ,3/15/2022 7:27:00 AM , 0.1767064 ,3/15/2022 7:27:20 AM , 0.1162551 ,3/15/2022 7:27:40 AM , 0.1183837 ,3/15/2022 7:28:00 AM , 0.1054527 ,3/15/2022 7:28:20 AM , 0.1153505 ,3/15/2022 7:28:40 AM , 0.1182241 ,3/15/2022 7:29:00 AM , 0.1190755 ,3/15/2022 7:29:20 AM , 0.1156166 ,3/15/2022 7:29:40 AM , 0.1187562 ,
 7 ,3/15/2022 7:30:20 AM , 0.1040336 ,3/15/2022 7:30:40 AM , 0.1316518 ,3/15/2022 7:31:00 AM , 0.156556 ,3/15/2022 7:31:20 AM , 0.1278736 ,3/15/2022 7:31:40 AM , 0.1579928 ,3/15/2022 7:32:00 AM , 0.1402725 ,3/15/2022 7:32:20 AM , 0.1393678 ,3/15/2022 7:32:40 AM , 0.1719171 ,3/15/2022 7:33:00 AM , 0.1165922 ,3/15/2022 7:33:20 AM , 0.1146232 ,3/15/2022 7:33:40 AM , 0.10712 ,3/15/2022 7:34:00 AM , 0.1115368 ,3/15/2022 7:34:20 AM , 0.1195722 ,3/15/2022 7:34:40 AM , 0.115049 ,3/15/2022 7:35:00 AM , 0.10861 ,3/15/2022 7:35:20 AM , 0.1195189 ,
 8 ,3/15/2022 7:36:00 AM , 0.1122818 ,3/15/2022 7:36:20 AM , 0.1285654 ,3/15/2022 7:36:40 AM , 0.1494253 ,3/15/2022 7:37:00 AM , 0.1363346 ,3/15/2022 7:37:20 AM , 0.1542678 ,3/15/2022 7:37:40 AM , 0.1425607 ,3/15/2022 7:38:00 AM , 0.1395807 ,3/15/2022 7:38:20 AM , 0.1649106 ,3/15/2022 7:38:40 AM , 0.119519 ,3/15/2022 7:39:00 AM , 0.114304 ,3/15/2022 7:39:20 AM , 0.1036611 ,3/15/2022 7:39:40 AM , 0.1114836 ,3/15/2022 7:40:00 AM , 0.1173372 ,3/15/2022 7:40:20 AM , 0.1093018 ,3/15/2022 7:40:40 AM , 0.1068008 ,3/15/2022 7:41:00 AM , 0.1164857 ,
