Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,DO2


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 1.563064E-02 ,3/15/2022 6:56:40 AM , 0.3094194 ,3/15/2022 6:57:00 AM , 0.3822212 ,3/15/2022 6:57:20 AM , 0.0984799 ,3/15/2022 6:57:40 AM , 0.2775264 ,3/15/2022 6:58:00 AM , 0.2776411 ,3/15/2022 6:58:20 AM , 0.2620814 ,3/15/2022 6:58:40 AM , 0.2843942 ,3/15/2022 6:59:00 AM , 0.1910053 ,3/15/2022 6:59:20 AM , 0.1922787 ,3/15/2022 6:59:40 AM , 0.1732765 ,3/15/2022 7:00:00 AM , 0.1822225 ,3/15/2022 7:00:20 AM , 0.1806152 ,3/15/2022 7:00:40 AM , 0.1615582 ,3/15/2022 7:01:00 AM , 0.153199 ,3/15/2022 7:01:20 AM , 0.1589977 ,
 2 ,3/15/2022 7:02:00 AM , 1.554342E-02 ,3/15/2022 7:02:20 AM , 0.2422307 ,3/15/2022 7:02:40 AM , 0.2925565 ,3/15/2022 7:03:00 AM , 0.1013942 ,3/15/2022 7:03:20 AM , 0.231959 ,3/15/2022 7:03:40 AM , 0.2301947 ,3/15/2022 7:04:00 AM , 0.2220274 ,3/15/2022 7:04:20 AM , 0.2487272 ,3/15/2022 7:04:40 AM , 0.1682552 ,3/15/2022 7:05:00 AM , 0.1780186 ,3/15/2022 7:05:20 AM , 0.155129 ,3/15/2022 7:05:40 AM , 0.1691399 ,3/15/2022 7:06:00 AM , 0.1653908 ,3/15/2022 7:06:20 AM , 0.1535454 ,3/15/2022 7:06:40 AM , 0.1448136 ,3/15/2022 7:07:00 AM , 0.1535391 ,
 3 ,3/15/2022 7:07:40 AM , 1.442206E-02 ,3/15/2022 7:08:00 AM , 0.2069076 ,3/15/2022 7:08:20 AM , 0.2449631 ,3/15/2022 7:08:40 AM , 9.848239E-02 ,3/15/2022 7:09:00 AM , 0.2154562 ,3/15/2022 7:09:20 AM , 0.2037703 ,3/15/2022 7:09:40 AM , 0.2054772 ,3/15/2022 7:10:00 AM , 0.2327502 ,3/15/2022 7:10:20 AM , 0.1581866 ,3/15/2022 7:10:40 AM , 0.1673768 ,3/15/2022 7:11:00 AM , 0.1531554 ,3/15/2022 7:11:20 AM , 0.1596269 ,3/15/2022 7:11:40 AM , 0.1576994 ,3/15/2022 7:12:00 AM , 0.1492979 ,3/15/2022 7:12:20 AM , 0.1457992 ,3/15/2022 7:12:40 AM , 0.1488406 ,
 4 ,3/15/2022 7:13:20 AM , 1.633461E-02 ,3/15/2022 7:13:40 AM , 0.1898416 ,3/15/2022 7:14:00 AM , 0.2198881 ,3/15/2022 7:14:20 AM , 9.638543E-02 ,3/15/2022 7:14:40 AM , 0.1975292 ,3/15/2022 7:15:00 AM , 0.1933614 ,3/15/2022 7:15:20 AM , 0.1963206 ,3/15/2022 7:15:40 AM , 0.2234017 ,3/15/2022 7:16:00 AM , 0.1496181 ,3/15/2022 7:16:20 AM , 0.1610536 ,3/15/2022 7:16:40 AM , 0.140915 ,3/15/2022 7:17:00 AM , 0.1550056 ,3/15/2022 7:17:20 AM , 0.1525062 ,3/15/2022 7:17:40 AM , 0.1462403 ,3/15/2022 7:18:00 AM , 0.1440337 ,3/15/2022 7:18:20 AM , 0.1496692 ,
 5 ,3/15/2022 7:19:00 AM , 6.287144E-02 ,3/15/2022 7:19:20 AM , 0.1784647 ,3/15/2022 7:19:40 AM , 0.2068702 ,3/15/2022 7:20:00 AM , 0.1233893 ,3/15/2022 7:20:20 AM , 0.1883402 ,3/15/2022 7:20:40 AM , 0.1837376 ,3/15/2022 7:21:00 AM , 0.1907088 ,3/15/2022 7:21:20 AM , 0.215359 ,3/15/2022 7:21:40 AM , 0.1461244 ,3/15/2022 7:22:00 AM , 0.1512889 ,3/15/2022 7:22:20 AM , 0.1352172 ,3/15/2022 7:22:40 AM , 0.1552037 ,3/15/2022 7:23:00 AM , 0.149491 ,3/15/2022 7:23:20 AM , 0.1478002 ,3/15/2022 7:23:40 AM , 0.1415928 ,3/15/2022 7:24:00 AM , 0.1490836 ,
 6 ,3/15/2022 7:24:40 AM , 0.1067593 ,3/15/2022 7:25:00 AM , 0.1734547 ,3/15/2022 7:25:20 AM , 0.1888685 ,3/15/2022 7:25:40 AM , 0.1408901 ,3/15/2022 7:26:00 AM , 0.1815883 ,3/15/2022 7:26:20 AM , 0.1733301 ,3/15/2022 7:26:40 AM , 0.1799486 ,3/15/2022 7:27:00 AM , 0.2062921 ,3/15/2022 7:27:20 AM , 0.1450728 ,3/15/2022 7:27:40 AM , 0.1444834 ,3/15/2022 7:28:00 AM , 0.1305972 ,3/15/2022 7:28:20 AM , 0.1493514 ,3/15/2022 7:28:40 AM , 0.1436001 ,3/15/2022 7:29:00 AM , 0.149096 ,3/15/2022 7:29:20 AM , 0.141832 ,3/15/2022 7:29:40 AM , 0.1502136 ,
 7 ,3/15/2022 7:30:20 AM , 0.1308401 ,3/15/2022 7:30:40 AM , 0.1728304 ,3/15/2022 7:31:00 AM , 0.1832828 ,3/15/2022 7:31:20 AM , 0.1525449 ,3/15/2022 7:31:40 AM , 0.1831931 ,3/15/2022 7:32:00 AM , 0.1695598 ,3/15/2022 7:32:20 AM , 0.1786204 ,3/15/2022 7:32:40 AM , 0.2044319 ,3/15/2022 7:33:00 AM , 0.1467573 ,3/15/2022 7:33:20 AM , 0.1411056 ,3/15/2022 7:33:40 AM , 0.1350864 ,3/15/2022 7:34:00 AM , 0.1458391 ,3/15/2022 7:34:20 AM , 0.1474763 ,3/15/2022 7:34:40 AM , 0.1469841 ,3/15/2022 7:35:00 AM , 0.1368569 ,3/15/2022 7:35:20 AM , 0.1506373 ,
 8 ,3/15/2022 7:36:00 AM , 0.1399394 ,3/15/2022 7:36:20 AM , 0.1697865 ,3/15/2022 7:36:40 AM , 0.1802252 ,3/15/2022 7:37:00 AM , 0.1593391 ,3/15/2022 7:37:20 AM , 0.1797169 ,3/15/2022 7:37:40 AM , 0.1735581 ,3/15/2022 7:38:00 AM , 0.1770343 ,3/15/2022 7:38:20 AM , 0.1966196 ,3/15/2022 7:38:40 AM , 0.15096 ,3/15/2022 7:39:00 AM , 0.1396902 ,3/15/2022 7:39:20 AM , 0.1310171 ,3/15/2022 7:39:40 AM , 0.1471299 ,3/15/2022 7:40:00 AM , 0.1557146 ,3/15/2022 7:40:20 AM , 0.1397226 ,3/15/2022 7:40:40 AM , 0.1371871 ,3/15/2022 7:41:00 AM , 0.1517126 ,
