Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,FLOW (lpm)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 0.9159908 ,3/15/2022 6:56:40 AM , 0.9077294 ,3/15/2022 6:57:00 AM , 0.9180755 ,3/15/2022 6:57:20 AM , 0.9061996 ,3/15/2022 6:57:40 AM , 0.917788 ,3/15/2022 6:58:00 AM , 0.9035449 ,3/15/2022 6:58:20 AM , 0.900884 ,3/15/2022 6:58:40 AM , 0.9044652 ,3/15/2022 6:59:00 AM , 0.89916 ,3/15/2022 6:59:20 AM , 0.8902944 ,3/15/2022 6:59:40 AM , 0.8891701 ,3/15/2022 7:00:00 AM , 0.9018504 ,3/15/2022 7:00:20 AM , 0.8939903 ,3/15/2022 7:00:40 AM , 0.9058055 ,3/15/2022 7:01:00 AM , 0.8930892 ,3/15/2022 7:01:20 AM , 0.9012396 ,
 2 ,3/15/2022 7:02:00 AM , 0.9171429 ,3/15/2022 7:02:20 AM , 0.9094341 ,3/15/2022 7:02:40 AM , 0.9191451 ,3/15/2022 7:03:00 AM , 0.9074543 ,3/15/2022 7:03:20 AM , 0.9191945 ,3/15/2022 7:03:40 AM , 0.9051968 ,3/15/2022 7:04:00 AM , 0.9015712 ,3/15/2022 7:04:20 AM , 0.9052634 ,3/15/2022 7:04:40 AM , 0.898158 ,3/15/2022 7:05:00 AM , 0.8898049 ,3/15/2022 7:05:20 AM , 0.8881019 ,3/15/2022 7:05:40 AM , 0.9017832 ,3/15/2022 7:06:00 AM , 0.8949072 ,3/15/2022 7:06:20 AM , 0.9049308 ,3/15/2022 7:06:40 AM , 0.8911237 ,3/15/2022 7:07:00 AM , 0.9006372 ,
 3 ,3/15/2022 7:07:40 AM , 0.9174502 ,3/15/2022 7:08:00 AM , 0.9084375 ,3/15/2022 7:08:20 AM , 0.9198483 ,3/15/2022 7:08:40 AM , 0.9069669 ,3/15/2022 7:09:00 AM , 0.9188861 ,3/15/2022 7:09:20 AM , 0.9053029 ,3/15/2022 7:09:40 AM , 0.9021524 ,3/15/2022 7:10:00 AM , 0.9059061 ,3/15/2022 7:10:20 AM , 0.8975617 ,3/15/2022 7:10:40 AM , 0.8873675 ,3/15/2022 7:11:00 AM , 0.8872176 ,3/15/2022 7:11:20 AM , 0.8999832 ,3/15/2022 7:11:40 AM , 0.8926283 ,3/15/2022 7:12:00 AM , 0.9033985 ,3/15/2022 7:12:20 AM , 0.8873233 ,3/15/2022 7:12:40 AM , 0.8979264 ,
 4 ,3/15/2022 7:13:20 AM , 0.9157613 ,3/15/2022 7:13:40 AM , 0.9079207 ,3/15/2022 7:14:00 AM , 0.9187874 ,3/15/2022 7:14:20 AM , 0.9084746 ,3/15/2022 7:14:40 AM , 0.9188552 ,3/15/2022 7:15:00 AM , 0.9059998 ,3/15/2022 7:15:20 AM , 0.901792 ,3/15/2022 7:15:40 AM , 0.9072125 ,3/15/2022 7:16:00 AM , 0.8991636 ,3/15/2022 7:16:20 AM , 0.8911296 ,3/15/2022 7:16:40 AM , 0.8895612 ,3/15/2022 7:17:00 AM , 0.9005712 ,3/15/2022 7:17:20 AM , 0.8944044 ,3/15/2022 7:17:40 AM , 0.905604 ,3/15/2022 7:18:00 AM , 0.8906784 ,3/15/2022 7:18:20 AM , 0.9006828 ,
 5 ,3/15/2022 7:19:00 AM , 0.9158919 ,3/15/2022 7:19:20 AM , 0.9084979 ,3/15/2022 7:19:40 AM , 0.9189883 ,3/15/2022 7:20:00 AM , 0.9072247 ,3/15/2022 7:20:20 AM , 0.9187837 ,3/15/2022 7:20:40 AM , 0.9055557 ,3/15/2022 7:21:00 AM , 0.9015921 ,3/15/2022 7:21:20 AM , 0.9048365 ,3/15/2022 7:21:40 AM , 0.897756 ,3/15/2022 7:22:00 AM , 0.889608 ,3/15/2022 7:22:20 AM , 0.8880253 ,3/15/2022 7:22:40 AM , 0.8998547 ,3/15/2022 7:23:00 AM , 0.8947428 ,3/15/2022 7:23:20 AM , 0.9049559 ,3/15/2022 7:23:40 AM , 0.8906783 ,3/15/2022 7:24:00 AM , 0.9006792 ,
 6 ,3/15/2022 7:24:40 AM , 0.9176574 ,3/15/2022 7:25:00 AM , 0.9086385 ,3/15/2022 7:25:20 AM , 0.9192327 ,3/15/2022 7:25:40 AM , 0.9083424 ,3/15/2022 7:26:00 AM , 0.9196829 ,3/15/2022 7:26:20 AM , 0.9060343 ,3/15/2022 7:26:40 AM , 0.9021695 ,3/15/2022 7:27:00 AM , 0.9069954 ,3/15/2022 7:27:20 AM , 0.8977284 ,3/15/2022 7:27:40 AM , 0.8890848 ,3/15/2022 7:28:00 AM , 0.887388 ,3/15/2022 7:28:20 AM , 0.9015168 ,3/15/2022 7:28:40 AM , 0.8939401 ,3/15/2022 7:29:00 AM , 0.9040368 ,3/15/2022 7:29:20 AM , 0.8892036 ,3/15/2022 7:29:40 AM , 0.8954039 ,
 7 ,3/15/2022 7:30:20 AM , 0.916377 ,3/15/2022 7:30:40 AM , 0.9075047 ,3/15/2022 7:31:00 AM , 0.9178029 ,3/15/2022 7:31:20 AM , 0.9067721 ,3/15/2022 7:31:40 AM , 0.9178818 ,3/15/2022 7:32:00 AM , 0.9050142 ,3/15/2022 7:32:20 AM , 0.9003758 ,3/15/2022 7:32:40 AM , 0.9067363 ,3/15/2022 7:33:00 AM , 0.8985144 ,3/15/2022 7:33:20 AM , 0.8908632 ,3/15/2022 7:33:40 AM , 0.8889624 ,3/15/2022 7:34:00 AM , 0.902592 ,3/15/2022 7:34:20 AM , 0.8949227 ,3/15/2022 7:34:40 AM , 0.9052368 ,3/15/2022 7:35:00 AM , 0.8921484 ,3/15/2022 7:35:20 AM , 0.9022644 ,
 8 ,3/15/2022 7:36:00 AM , 0.9173884 ,3/15/2022 7:36:20 AM , 0.908409 ,3/15/2022 7:36:40 AM , 0.9197803 ,3/15/2022 7:37:00 AM , 0.9071471 ,3/15/2022 7:37:20 AM , 0.9197385 ,3/15/2022 7:37:40 AM , 0.906423 ,3/15/2022 7:38:00 AM , 0.9022288 ,3/15/2022 7:38:20 AM , 0.9066992 ,3/15/2022 7:38:40 AM , 0.8973528 ,3/15/2022 7:39:00 AM , 0.8878992 ,3/15/2022 7:39:20 AM , 0.8869871 ,3/15/2022 7:39:40 AM , 0.9022968 ,3/15/2022 7:40:00 AM , 0.8933352 ,3/15/2022 7:40:20 AM , 0.9051792 ,3/15/2022 7:40:40 AM , 0.8889288 ,3/15/2022 7:41:00 AM , 0.899304 ,
