Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,HEAT (kcal/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 1.501915 ,3/15/2022 6:56:40 AM , 29.14631 ,3/15/2022 6:57:00 AM , 34.17838 ,3/15/2022 6:57:20 AM , 10.50484 ,3/15/2022 6:57:40 AM , 25.80674 ,3/15/2022 6:58:00 AM , 29.35104 ,3/15/2022 6:58:20 AM , 22.43892 ,3/15/2022 6:58:40 AM , 26.91927 ,3/15/2022 6:59:00 AM , 27.59097 ,3/15/2022 6:59:20 AM , 22.68721 ,3/15/2022 6:59:40 AM , 26.8793 ,3/15/2022 7:00:00 AM , 19.39543 ,3/15/2022 7:00:20 AM , 20.66716 ,3/15/2022 7:00:40 AM , 22.05447 ,3/15/2022 7:01:00 AM , 23.03268 ,3/15/2022 7:01:20 AM , 20.63791 ,
 2 ,3/15/2022 7:02:00 AM , 1.487737 ,3/15/2022 7:02:20 AM , 22.84177 ,3/15/2022 7:02:40 AM , 26.17462 ,3/15/2022 7:03:00 AM , 10.81365 ,3/15/2022 7:03:20 AM , 21.59246 ,3/15/2022 7:03:40 AM , 24.3599 ,3/15/2022 7:04:00 AM , 19.00496 ,3/15/2022 7:04:20 AM , 23.55791 ,3/15/2022 7:04:40 AM , 24.23962 ,3/15/2022 7:05:00 AM , 20.97449 ,3/15/2022 7:05:20 AM , 23.99585 ,3/15/2022 7:05:40 AM , 17.97483 ,3/15/2022 7:06:00 AM , 18.91739 ,3/15/2022 7:06:20 AM , 20.91192 ,3/15/2022 7:06:40 AM , 21.7686 ,3/15/2022 7:07:00 AM , 19.89191 ,
 3 ,3/15/2022 7:07:40 AM , 1.379245 ,3/15/2022 7:08:00 AM , 19.46737 ,3/15/2022 7:08:20 AM , 21.92727 ,3/15/2022 7:08:40 AM , 10.49778 ,3/15/2022 7:09:00 AM , 20.03949 ,3/15/2022 7:09:20 AM , 21.53485 ,3/15/2022 7:09:40 AM , 17.5818 ,3/15/2022 7:10:00 AM , 22.05635 ,3/15/2022 7:10:20 AM , 22.74711 ,3/15/2022 7:10:40 AM , 19.63652 ,3/15/2022 7:11:00 AM , 23.66655 ,3/15/2022 7:11:20 AM , 16.91557 ,3/15/2022 7:11:40 AM , 17.97068 ,3/15/2022 7:12:00 AM , 20.34302 ,3/15/2022 7:12:20 AM , 21.81339 ,3/15/2022 7:12:40 AM , 19.27482 ,
 4 ,3/15/2022 7:13:20 AM , 1.559968 ,3/15/2022 7:13:40 AM , 17.83974 ,3/15/2022 7:14:00 AM , 19.64231 ,3/15/2022 7:14:20 AM , 10.2906 ,3/15/2022 7:14:40 AM , 18.35917 ,3/15/2022 7:15:00 AM , 20.46989 ,3/15/2022 7:15:20 AM , 16.78901 ,3/15/2022 7:15:40 AM , 21.19901 ,3/15/2022 7:16:00 AM , 21.54557 ,3/15/2022 7:16:20 AM , 18.9768 ,3/15/2022 7:16:40 AM , 21.90317 ,3/15/2022 7:17:00 AM , 16.44366 ,3/15/2022 7:17:20 AM , 17.41923 ,3/15/2022 7:17:40 AM , 19.99667 ,3/15/2022 7:18:00 AM , 21.63963 ,3/15/2022 7:18:20 AM , 19.41076 ,
 5 ,3/15/2022 7:19:00 AM , 6.032056 ,3/15/2022 7:19:20 AM , 16.76777 ,3/15/2022 7:19:40 AM , 18.46141 ,3/15/2022 7:20:00 AM , 13.11962 ,3/15/2022 7:20:20 AM , 17.47719 ,3/15/2022 7:20:40 AM , 19.39442 ,3/15/2022 7:21:00 AM , 16.27372 ,3/15/2022 7:21:20 AM , 20.34715 ,3/15/2022 7:21:40 AM , 21.02914 ,3/15/2022 7:22:00 AM , 17.79063 ,3/15/2022 7:22:20 AM , 20.94596 ,3/15/2022 7:22:40 AM , 16.45666 ,3/15/2022 7:23:00 AM , 17.07773 ,3/15/2022 7:23:20 AM , 20.14461 ,3/15/2022 7:23:40 AM , 21.22642 ,3/15/2022 7:24:00 AM , 19.34177 ,
 6 ,3/15/2022 7:24:40 AM , 10.28818 ,3/15/2022 7:25:00 AM , 16.28332 ,3/15/2022 7:25:20 AM , 16.86117 ,3/15/2022 7:25:40 AM , 15.00239 ,3/15/2022 7:26:00 AM , 16.87499 ,3/15/2022 7:26:20 AM , 18.31194 ,3/15/2022 7:26:40 AM , 15.37481 ,3/15/2022 7:27:00 AM , 19.54809 ,3/15/2022 7:27:20 AM , 20.90394 ,3/15/2022 7:27:40 AM , 16.99888 ,3/15/2022 7:28:00 AM , 20.22905 ,3/15/2022 7:28:20 AM , 15.88993 ,3/15/2022 7:28:40 AM , 16.41198 ,3/15/2022 7:29:00 AM , 20.32739 ,3/15/2022 7:29:20 AM , 21.27965 ,3/15/2022 7:29:40 AM , 19.39971 ,
 7 ,3/15/2022 7:30:20 AM , 12.57966 ,3/15/2022 7:30:40 AM , 16.20477 ,3/15/2022 7:31:00 AM , 16.32582 ,3/15/2022 7:31:20 AM , 16.18152 ,3/15/2022 7:31:40 AM , 16.98264 ,3/15/2022 7:32:00 AM , 17.87317 ,3/15/2022 7:32:20 AM , 15.21339 ,3/15/2022 7:32:40 AM , 19.35294 ,3/15/2022 7:33:00 AM , 21.15865 ,3/15/2022 7:33:20 AM , 16.62966 ,3/15/2022 7:33:40 AM , 20.94812 ,3/15/2022 7:34:00 AM , 15.52968 ,3/15/2022 7:34:20 AM , 16.86423 ,3/15/2022 7:34:40 AM , 20.05198 ,3/15/2022 7:35:00 AM , 20.58117 ,3/15/2022 7:35:20 AM , 19.60603 ,
 8 ,3/15/2022 7:36:00 AM , 13.47378 ,3/15/2022 7:36:20 AM , 15.93191 ,3/15/2022 7:36:40 AM , 16.07002 ,3/15/2022 7:37:00 AM , 16.92236 ,3/15/2022 7:37:20 AM , 16.69106 ,3/15/2022 7:37:40 AM , 18.31823 ,3/15/2022 7:38:00 AM , 15.11486 ,3/15/2022 7:38:20 AM , 18.61067 ,3/15/2022 7:38:40 AM , 21.73395 ,3/15/2022 7:39:00 AM , 16.41238 ,3/15/2022 7:39:20 AM , 20.27044 ,3/15/2022 7:39:40 AM , 15.65684 ,3/15/2022 7:40:00 AM , 17.72893 ,3/15/2022 7:40:20 AM , 19.05974 ,3/15/2022 7:40:40 AM , 20.54268 ,3/15/2022 7:41:00 AM , 19.6585 ,
