Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,RER


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 0.752054 ,3/15/2022 6:56:40 AM , 0.8292876 ,3/15/2022 6:57:00 AM , 0.9184994 ,3/15/2022 6:57:20 AM , 0.9717037 ,3/15/2022 6:57:40 AM , 0.9174451 ,3/15/2022 6:58:00 AM , 0.9115956 ,3/15/2022 6:58:20 AM , 0.8583954 ,3/15/2022 6:58:40 AM , 0.8700339 ,3/15/2022 6:59:00 AM , 0.7841285 ,3/15/2022 6:59:20 AM , 0.8212628 ,3/15/2022 6:59:40 AM , 0.7544332 ,3/15/2022 7:00:00 AM , 0.7297249 ,3/15/2022 7:00:20 AM , 0.8164378 ,3/15/2022 7:00:40 AM , 0.7406568 ,3/15/2022 7:01:00 AM , 0.7191547 ,3/15/2022 7:01:20 AM , 0.7123031 ,
 2 ,3/15/2022 7:02:00 AM , 0.6244608 ,3/15/2022 7:02:20 AM , 0.8079039 ,3/15/2022 7:02:40 AM , 0.9013376 ,3/15/2022 7:03:00 AM , 0.9277936 ,3/15/2022 7:03:20 AM , 0.9047096 ,3/15/2022 7:03:40 AM , 0.8894765 ,3/15/2022 7:04:00 AM , 0.8316667 ,3/15/2022 7:04:20 AM , 0.8629848 ,3/15/2022 7:04:40 AM , 0.7440196 ,3/15/2022 7:05:00 AM , 0.7977579 ,3/15/2022 7:05:20 AM , 0.7131097 ,3/15/2022 7:05:40 AM , 0.6924033 ,3/15/2022 7:06:00 AM , 0.7790578 ,3/15/2022 7:06:20 AM , 0.706363 ,3/15/2022 7:06:40 AM , 0.7709896 ,3/15/2022 7:07:00 AM , 0.6821867 ,
 3 ,3/15/2022 7:07:40 AM , 0.5980412 ,3/15/2022 7:08:00 AM , 0.7786584 ,3/15/2022 7:08:20 AM , 0.8940164 ,3/15/2022 7:08:40 AM , 0.9288298 ,3/15/2022 7:09:00 AM , 0.8910263 ,3/15/2022 7:09:20 AM , 0.8504385 ,3/15/2022 7:09:40 AM , 0.80533 ,3/15/2022 7:10:00 AM , 0.8582913 ,3/15/2022 7:10:20 AM , 0.7145148 ,3/15/2022 7:10:40 AM , 0.7584776 ,3/15/2022 7:11:00 AM , 0.7123797 ,3/15/2022 7:11:20 AM , 0.6717006 ,3/15/2022 7:11:40 AM , 0.7489836 ,3/15/2022 7:12:00 AM , 0.7610977 ,3/15/2022 7:12:20 AM , 0.7592952 ,3/15/2022 7:12:40 AM , 0.7468051 ,
 4 ,3/15/2022 7:13:20 AM , 0.6067508 ,3/15/2022 7:13:40 AM , 0.7615815 ,3/15/2022 7:14:00 AM , 0.8694006 ,3/15/2022 7:14:20 AM , 0.926199 ,3/15/2022 7:14:40 AM , 0.872933 ,3/15/2022 7:15:00 AM , 0.8756471 ,3/15/2022 7:15:20 AM , 0.8009474 ,3/15/2022 7:15:40 AM , 0.8555601 ,3/15/2022 7:16:00 AM , 0.7053996 ,3/15/2022 7:16:20 AM , 0.7610922 ,3/15/2022 7:16:40 AM , 0.7941943 ,3/15/2022 7:17:00 AM , 0.681751 ,3/15/2022 7:17:20 AM , 0.7573872 ,3/15/2022 7:17:40 AM , 0.7887034 ,3/15/2022 7:18:00 AM , 0.7696574 ,3/15/2022 7:18:20 AM , 0.7066944 ,
 5 ,3/15/2022 7:19:00 AM , 0.713562 ,3/15/2022 7:19:20 AM , 0.7410299 ,3/15/2022 7:19:40 AM , 0.8375981 ,3/15/2022 7:20:00 AM , 0.8520595 ,3/15/2022 7:20:20 AM , 0.8322479 ,3/15/2022 7:20:40 AM , 0.8114042 ,3/15/2022 7:21:00 AM , 0.7510724 ,3/15/2022 7:21:20 AM , 0.8099485 ,3/15/2022 7:21:40 AM , 0.7287993 ,3/15/2022 7:22:00 AM , 0.753476 ,3/15/2022 7:22:20 AM , 0.7512309 ,3/15/2022 7:22:40 AM , 0.6898255 ,3/15/2022 7:23:00 AM , 0.7522088 ,3/15/2022 7:23:20 AM , 0.7241951 ,3/15/2022 7:23:40 AM , 0.714372 ,3/15/2022 7:24:00 AM , 0.7155738 ,
 6 ,3/15/2022 7:24:40 AM , 0.7777776 ,3/15/2022 7:25:00 AM , 0.7163389 ,3/15/2022 7:25:20 AM , 0.8406122 ,3/15/2022 7:25:40 AM , 0.8590471 ,3/15/2022 7:26:00 AM , 0.8447632 ,3/15/2022 7:26:20 AM , 0.820717 ,3/15/2022 7:26:40 AM , 0.766562 ,3/15/2022 7:27:00 AM , 0.8251891 ,3/15/2022 7:27:20 AM , 0.7612259 ,3/15/2022 7:27:40 AM , 0.7818853 ,3/15/2022 7:28:00 AM , 0.7682139 ,3/15/2022 7:28:20 AM , 0.7283338 ,3/15/2022 7:28:40 AM , 0.7864074 ,3/15/2022 7:29:00 AM , 0.7581435 ,3/15/2022 7:29:20 AM , 0.7770464 ,3/15/2022 7:29:40 AM , 0.7489507 ,
 7 ,3/15/2022 7:30:20 AM , 0.7541065 ,3/15/2022 7:30:40 AM , 0.7164164 ,3/15/2022 7:31:00 AM , 0.8223554 ,3/15/2022 7:31:20 AM , 0.8037708 ,3/15/2022 7:31:40 AM , 0.8320667 ,3/15/2022 7:32:00 AM , 0.7910146 ,3/15/2022 7:32:20 AM , 0.7372354 ,3/15/2022 7:32:40 AM , 0.8068913 ,3/15/2022 7:33:00 AM , 0.753355 ,3/15/2022 7:33:20 AM , 0.7737763 ,3/15/2022 7:33:40 AM , 0.751664 ,3/15/2022 7:34:00 AM , 0.7198393 ,3/15/2022 7:34:20 AM , 0.7720105 ,3/15/2022 7:34:40 AM , 0.7400474 ,3/15/2022 7:35:00 AM , 0.7523891 ,3/15/2022 7:35:20 AM , 0.7521747 ,
 8 ,3/15/2022 7:36:00 AM , 0.7623618 ,3/15/2022 7:36:20 AM , 0.7113656 ,3/15/2022 7:36:40 AM , 0.793133 ,3/15/2022 7:37:00 AM , 0.8240553 ,3/15/2022 7:37:20 AM , 0.8273085 ,3/15/2022 7:37:40 AM , 0.7842326 ,3/15/2022 7:38:00 AM , 0.7465151 ,3/15/2022 7:38:20 AM , 0.8043107 ,3/15/2022 7:38:40 AM , 0.7502441 ,3/15/2022 7:39:00 AM , 0.7806188 ,3/15/2022 7:39:20 AM , 0.7496468 ,3/15/2022 7:39:40 AM , 0.7119364 ,3/15/2022 7:40:00 AM , 0.7072666 ,3/15/2022 7:40:20 AM , 0.7395366 ,3/15/2022 7:40:40 AM , 0.7352694 ,3/15/2022 7:41:00 AM , 0.7232283 ,
