Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,VCO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 238.2187 ,3/15/2022 6:56:40 AM , 4997.367 ,3/15/2022 6:57:00 AM , 6346.355 ,3/15/2022 6:57:20 AM , 2036.574 ,3/15/2022 6:57:40 AM , 4787.638 ,3/15/2022 6:58:00 AM , 5418.35 ,3/15/2022 6:58:20 AM , 3953.061 ,3/15/2022 6:58:40 AM , 4792.56 ,3/15/2022 6:59:00 AM , 4525.131 ,3/15/2022 6:59:20 AM , 3860.151 ,3/15/2022 6:59:40 AM , 4274.17 ,3/15/2022 7:00:00 AM , 3002.39 ,3/15/2022 7:00:20 AM , 3500.097 ,3/15/2022 7:00:40 AM , 3455.279 ,3/15/2022 7:01:00 AM , 3523.52 ,3/15/2022 7:01:20 AM , 3132.715 ,
 2 ,3/15/2022 7:02:00 AM , 202.6539 ,3/15/2022 7:02:20 AM , 3836.312 ,3/15/2022 7:02:40 AM , 4789.853 ,3/15/2022 7:03:00 AM , 2023.549 ,3/15/2022 7:03:20 AM , 3962.775 ,3/15/2022 7:03:40 AM , 4412.194 ,3/15/2022 7:04:00 AM , 3265.921 ,3/15/2022 7:04:20 AM , 4167.547 ,3/15/2022 7:04:40 AM , 3811.529 ,3/15/2022 7:05:00 AM , 3487.521 ,3/15/2022 7:05:20 AM , 3645.784 ,3/15/2022 7:05:40 AM , 2666.178 ,3/15/2022 7:06:00 AM , 3086.568 ,3/15/2022 7:06:20 AM , 3152.754 ,3/15/2022 7:06:40 AM , 3522.322 ,3/15/2022 7:07:00 AM , 2914.861 ,
 3 ,3/15/2022 7:07:40 AM , 181.2135 ,3/15/2022 7:08:00 AM , 3175.002 ,3/15/2022 7:08:20 AM , 3987.314 ,3/15/2022 7:08:40 AM , 1966.128 ,3/15/2022 7:09:00 AM , 3634.57 ,3/15/2022 7:09:20 AM , 3766.203 ,3/15/2022 7:09:40 AM , 2945.426 ,3/15/2022 7:10:00 AM , 3885.295 ,3/15/2022 7:10:20 AM , 3461.591 ,3/15/2022 7:10:40 AM , 3135.916 ,3/15/2022 7:11:00 AM , 3592.759 ,3/15/2022 7:11:20 AM , 2447.413 ,3/15/2022 7:11:40 AM , 2840.959 ,3/15/2022 7:12:00 AM , 3257.752 ,3/15/2022 7:12:20 AM , 3486.573 ,3/15/2022 7:12:40 AM , 3039.987 ,
 4 ,3/15/2022 7:13:20 AM , 207.4539 ,3/15/2022 7:13:40 AM , 2858.331 ,3/15/2022 7:14:00 AM , 3495.023 ,3/15/2022 7:14:20 AM , 1923.121 ,3/15/2022 7:14:40 AM , 3277.063 ,3/15/2022 7:15:00 AM , 3662.678 ,3/15/2022 7:15:20 AM , 2800.451 ,3/15/2022 7:15:40 AM , 3724.961 ,3/15/2022 7:16:00 AM , 3244.677 ,3/15/2022 7:16:20 AM , 3038.947 ,3/15/2022 7:16:40 AM , 3628.99 ,3/15/2022 7:17:00 AM , 2408.31 ,3/15/2022 7:17:20 AM , 2778.606 ,3/15/2022 7:17:40 AM , 3294.858 ,3/15/2022 7:18:00 AM , 3496.607 ,3/15/2022 7:18:20 AM , 2927.551 ,
 5 ,3/15/2022 7:19:00 AM , 916.9464 ,3/15/2022 7:19:20 AM , 2628.078 ,3/15/2022 7:19:40 AM , 3190.323 ,3/15/2022 7:20:00 AM , 2297.904 ,3/15/2022 7:20:20 AM , 3005.034 ,3/15/2022 7:20:40 AM , 3268.507 ,3/15/2022 7:21:00 AM , 2578.462 ,3/15/2022 7:21:20 AM , 3424.191 ,3/15/2022 7:21:40 AM , 3251.944 ,3/15/2022 7:22:00 AM , 2826.063 ,3/15/2022 7:22:20 AM , 3319.312 ,3/15/2022 7:22:40 AM , 2433.558 ,3/15/2022 7:23:00 AM , 2709.147 ,3/15/2022 7:23:20 AM , 3099.209 ,3/15/2022 7:23:40 AM , 3229.652 ,3/15/2022 7:24:00 AM , 2946.92 ,
 6 ,3/15/2022 7:24:40 AM , 1676.418 ,3/15/2022 7:25:00 AM , 2483.087 ,3/15/2022 7:25:20 AM , 2922.031 ,3/15/2022 7:25:40 AM , 2644.539 ,3/15/2022 7:26:00 AM , 2935.772 ,3/15/2022 7:26:20 AM , 3114.077 ,3/15/2022 7:26:40 AM , 2476.307 ,3/15/2022 7:27:00 AM , 3338.595 ,3/15/2022 7:27:20 AM , 3348.03 ,3/15/2022 7:27:40 AM , 2781.58 ,3/15/2022 7:28:00 AM , 3263.769 ,3/15/2022 7:28:20 AM , 2455.945 ,3/15/2022 7:28:40 AM , 2697.93 ,3/15/2022 7:29:00 AM , 3245.099 ,3/15/2022 7:29:20 AM , 3464.828 ,3/15/2022 7:29:40 AM , 3066.764 ,
 7 ,3/15/2022 7:30:20 AM , 1999.639 ,3/15/2022 7:30:40 AM , 2471.325 ,3/15/2022 7:31:00 AM , 2780.703 ,3/15/2022 7:31:20 AM , 2706.674 ,3/15/2022 7:31:40 AM , 2919.5 ,3/15/2022 7:32:00 AM , 2951.843 ,3/15/2022 7:32:20 AM , 2374.593 ,3/15/2022 7:32:40 AM , 3247.125 ,3/15/2022 7:33:00 AM , 3360.642 ,3/15/2022 7:33:20 AM , 2698.584 ,3/15/2022 7:33:40 AM , 3321.194 ,3/15/2022 7:34:00 AM , 2377.552 ,3/15/2022 7:34:20 AM , 2731.651 ,3/15/2022 7:34:40 AM , 3139.462 ,3/15/2022 7:35:00 AM , 3265.548 ,3/15/2022 7:35:20 AM , 3110.112 ,
 8 ,3/15/2022 7:36:00 AM , 2160.581 ,3/15/2022 7:36:20 AM , 2415.783 ,3/15/2022 7:36:40 AM , 2659.702 ,3/15/2022 7:37:00 AM , 2887.015 ,3/15/2022 7:37:20 AM , 2856.424 ,3/15/2022 7:37:40 AM , 3004.65 ,3/15/2022 7:38:00 AM , 2383.141 ,3/15/2022 7:38:20 AM , 3114.657 ,3/15/2022 7:38:40 AM , 3440.543 ,3/15/2022 7:39:00 AM , 2682.135 ,3/15/2022 7:39:20 AM , 3206.81 ,3/15/2022 7:39:40 AM , 2375.623 ,3/15/2022 7:40:00 AM , 2675.659 ,3/15/2022 7:40:20 AM , 2982.448 ,3/15/2022 7:40:40 AM , 3199.508 ,3/15/2022 7:41:00 AM , 3021.15 ,
