Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,VO2 (ml/kg/hr)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 316.7574 ,3/15/2022 6:56:40 AM , 6026.096 ,3/15/2022 6:57:00 AM , 6909.482 ,3/15/2022 6:57:20 AM , 2095.879 ,3/15/2022 6:57:40 AM , 5218.446 ,3/15/2022 6:58:00 AM , 5943.809 ,3/15/2022 6:58:20 AM , 4605.175 ,3/15/2022 6:58:40 AM , 5508.476 ,3/15/2022 6:59:00 AM , 5770.905 ,3/15/2022 6:59:20 AM , 4700.263 ,3/15/2022 6:59:40 AM , 5665.406 ,3/15/2022 7:00:00 AM , 4114.413 ,3/15/2022 7:00:20 AM , 4287.035 ,3/15/2022 7:00:40 AM , 4665.156 ,3/15/2022 7:01:00 AM , 4899.53 ,3/15/2022 7:01:20 AM , 4398.009 ,
 2 ,3/15/2022 7:02:00 AM , 324.5262 ,3/15/2022 7:02:20 AM , 4748.476 ,3/15/2022 7:02:40 AM , 5314.16 ,3/15/2022 7:03:00 AM , 2181.033 ,3/15/2022 7:03:20 AM , 4380.163 ,3/15/2022 7:03:40 AM , 4960.439 ,3/15/2022 7:04:00 AM , 3926.959 ,3/15/2022 7:04:20 AM , 4829.225 ,3/15/2022 7:04:40 AM , 5122.888 ,3/15/2022 7:05:00 AM , 4371.654 ,3/15/2022 7:05:20 AM , 5112.515 ,3/15/2022 7:05:40 AM , 3850.615 ,3/15/2022 7:06:00 AM , 3961.924 ,3/15/2022 7:06:20 AM , 4463.363 ,3/15/2022 7:06:40 AM , 4568.572 ,3/15/2022 7:07:00 AM , 4272.819 ,
 3 ,3/15/2022 7:07:40 AM , 303.0117 ,3/15/2022 7:08:00 AM , 4077.529 ,3/15/2022 7:08:20 AM , 4460 ,3/15/2022 7:08:40 AM , 2116.779 ,3/15/2022 7:09:00 AM , 4079.083 ,3/15/2022 7:09:20 AM , 4428.543 ,3/15/2022 7:09:40 AM , 3657.415 ,3/15/2022 7:10:00 AM , 4526.779 ,3/15/2022 7:10:20 AM , 4844.674 ,3/15/2022 7:10:40 AM , 4134.487 ,3/15/2022 7:11:00 AM , 5043.32 ,3/15/2022 7:11:20 AM , 3643.607 ,3/15/2022 7:11:40 AM , 3793.085 ,3/15/2022 7:12:00 AM , 4280.333 ,3/15/2022 7:12:20 AM , 4591.855 ,3/15/2022 7:12:40 AM , 4070.656 ,
 4 ,3/15/2022 7:13:20 AM , 341.9095 ,3/15/2022 7:13:40 AM , 3753.151 ,3/15/2022 7:14:00 AM , 4020.038 ,3/15/2022 7:14:20 AM , 2076.359 ,3/15/2022 7:14:40 AM , 3754.083 ,3/15/2022 7:15:00 AM , 4182.824 ,3/15/2022 7:15:20 AM , 3496.423 ,3/15/2022 7:15:40 AM , 4353.828 ,3/15/2022 7:16:00 AM , 4599.771 ,3/15/2022 7:16:20 AM , 3992.876 ,3/15/2022 7:16:40 AM , 4569.397 ,3/15/2022 7:17:00 AM , 3532.536 ,3/15/2022 7:17:20 AM , 3668.673 ,3/15/2022 7:17:40 AM , 4177.563 ,3/15/2022 7:18:00 AM , 4543.07 ,3/15/2022 7:18:20 AM , 4142.598 ,
 5 ,3/15/2022 7:19:00 AM , 1285.027 ,3/15/2022 7:19:20 AM , 3546.52 ,3/15/2022 7:19:40 AM , 3808.894 ,3/15/2022 7:20:00 AM , 2696.882 ,3/15/2022 7:20:20 AM , 3610.744 ,3/15/2022 7:20:40 AM , 4028.21 ,3/15/2022 7:21:00 AM , 3433.041 ,3/15/2022 7:21:20 AM , 4227.666 ,3/15/2022 7:21:40 AM , 4462.057 ,3/15/2022 7:22:00 AM , 3750.701 ,3/15/2022 7:22:20 AM , 4418.497 ,3/15/2022 7:22:40 AM , 3527.788 ,3/15/2022 7:23:00 AM , 3601.589 ,3/15/2022 7:23:20 AM , 4279.523 ,3/15/2022 7:23:40 AM , 4520.967 ,3/15/2022 7:24:00 AM , 4118.261 ,
 6 ,3/15/2022 7:24:40 AM , 2155.396 ,3/15/2022 7:25:00 AM , 3466.358 ,3/15/2022 7:25:20 AM , 3476.076 ,3/15/2022 7:25:40 AM , 3078.457 ,3/15/2022 7:26:00 AM , 3475.261 ,3/15/2022 7:26:20 AM , 3794.337 ,3/15/2022 7:26:40 AM , 3230.407 ,3/15/2022 7:27:00 AM , 4045.855 ,3/15/2022 7:27:20 AM , 4398.208 ,3/15/2022 7:27:40 AM , 3557.53 ,3/15/2022 7:28:00 AM , 4248.516 ,3/15/2022 7:28:20 AM , 3372.005 ,3/15/2022 7:28:40 AM , 3430.702 ,3/15/2022 7:29:00 AM , 4280.322 ,3/15/2022 7:29:20 AM , 4458.972 ,3/15/2022 7:29:40 AM , 4094.747 ,
 7 ,3/15/2022 7:30:20 AM , 2651.667 ,3/15/2022 7:30:40 AM , 3449.565 ,3/15/2022 7:31:00 AM , 3381.389 ,3/15/2022 7:31:20 AM , 3367.47 ,3/15/2022 7:31:40 AM , 3508.733 ,3/15/2022 7:32:00 AM , 3731.718 ,3/15/2022 7:32:20 AM , 3220.943 ,3/15/2022 7:32:40 AM , 4024.242 ,3/15/2022 7:33:00 AM , 4460.9 ,3/15/2022 7:33:20 AM , 3487.551 ,3/15/2022 7:33:40 AM , 4418.457 ,3/15/2022 7:34:00 AM , 3302.892 ,3/15/2022 7:34:20 AM , 3538.359 ,3/15/2022 7:34:40 AM , 4242.245 ,3/15/2022 7:35:00 AM , 4340.238 ,3/15/2022 7:35:20 AM , 4134.827 ,
 8 ,3/15/2022 7:36:00 AM , 2834.063 ,3/15/2022 7:36:20 AM , 3395.98 ,3/15/2022 7:36:40 AM , 3353.413 ,3/15/2022 7:37:00 AM , 3503.423 ,3/15/2022 7:37:20 AM , 3452.672 ,3/15/2022 7:37:40 AM , 3831.325 ,3/15/2022 7:38:00 AM , 3192.354 ,3/15/2022 7:38:20 AM , 3872.455 ,3/15/2022 7:38:40 AM , 4585.898 ,3/15/2022 7:39:00 AM , 3435.908 ,3/15/2022 7:39:20 AM , 4277.761 ,3/15/2022 7:39:40 AM , 3336.848 ,3/15/2022 7:40:00 AM , 3783.098 ,3/15/2022 7:40:20 AM , 4032.86 ,3/15/2022 7:40:40 AM , 4351.478 ,3/15/2022 7:41:00 AM , 4177.312 ,
