Oxymax PARAMETER File 

CSV Generation Date,3/16/2022 6:12:21 AM 
Experiment Started,3/15/2022 6:55:35 AM 
Data Filename,C:\Users\jonbr\Documents\Brestoff Lab\2022-03-15 B6 Fed Fasting 30c D2.CDTA

Group/Cage,0101
Subject ID,8-1
Subject Mass,28.6 G

Group/Cage,0102
Subject ID,16-1
Subject Mass,29 G

Group/Cage,0103
Subject ID,16-2
Subject Mass,31 G

Group/Cage,0104
Subject ID,8-2
Subject Mass,25.7 G

Group/Cage,0105
Subject ID,16-3
Subject Mass,29.8 G

Group/Cage,0106
Subject ID,8-3
Subject Mass,25.8 G

Group/Cage,0107
Subject ID,16-4
Subject Mass,31.7 G

Group/Cage,0108
Subject ID,8-4
Subject Mass,28.8 G

Group/Cage,0109
Subject ID,F8-1
Subject Mass,18.7 G

Group/Cage,0110
Subject ID,F16-1
Subject Mass,22.7 G

Group/Cage,0111
Subject ID,F8-2
Subject Mass,17.2 G

Group/Cage,0112
Subject ID,F16-2
Subject Mass,25.4 G

Group/Cage,0113
Subject ID,F16-3
Subject Mass,23.5 G

Group/Cage,0114
Subject ID,F8-3
Subject Mass,19.9 G

Group/Cage,0115
Subject ID,F8-4
Subject Mass,17.8 G

Group/Cage,0116
Subject ID,F16-4
Subject Mass,20.8 G

Reference Settle Time (s), 18 
Reference Measure Time (s), 2 
Cage Settle Time (s), 18 
Cage Measure Time (s), 2 
Reference Method,EVRYNN=16
Heat Calculation Method,STD_1

Paramter,YAMB (counts)


:DATA
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
INTERVAL,TIME,CAGE 0101,TIME,CAGE 0102,TIME,CAGE 0103,TIME,CAGE 0104,TIME,CAGE 0105,TIME,CAGE 0106,TIME,CAGE 0107,TIME,CAGE 0108,TIME,CAGE 0109,TIME,CAGE 0110,TIME,CAGE 0111,TIME,CAGE 0112,TIME,CAGE 0113,TIME,CAGE 0114,TIME,CAGE 0115,TIME,CAGE 0116,
===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,===============,
 1 ,3/15/2022 6:56:20 AM , 54 ,3/15/2022 6:56:40 AM , 113 ,3/15/2022 6:57:00 AM , 296 ,3/15/2022 6:57:20 AM , 167 ,3/15/2022 6:57:40 AM , 198 ,3/15/2022 6:58:00 AM , 292 ,3/15/2022 6:58:20 AM , 298 ,3/15/2022 6:58:40 AM , 603 ,3/15/2022 6:59:00 AM , 635 ,3/15/2022 6:59:20 AM , 533 ,3/15/2022 6:59:40 AM , 685 ,3/15/2022 7:00:00 AM , 905 ,3/15/2022 7:00:20 AM , 982 ,3/15/2022 7:00:40 AM , 941 ,3/15/2022 7:01:00 AM , 1073 ,3/15/2022 7:01:20 AM , 1113 ,
 2 ,3/15/2022 7:02:00 AM , 516 ,3/15/2022 7:02:20 AM , 392 ,3/15/2022 7:02:40 AM , 758 ,3/15/2022 7:03:00 AM , 771 ,3/15/2022 7:03:20 AM , 990 ,3/15/2022 7:03:40 AM , 867 ,3/15/2022 7:04:00 AM , 330 ,3/15/2022 7:04:20 AM , 679 ,3/15/2022 7:04:40 AM , 560 ,3/15/2022 7:05:00 AM , 1145 ,3/15/2022 7:05:20 AM , 1081 ,3/15/2022 7:05:40 AM , 1117 ,3/15/2022 7:06:00 AM , 1099 ,3/15/2022 7:06:20 AM , 971 ,3/15/2022 7:06:40 AM , 687 ,3/15/2022 7:07:00 AM , 1151 ,
 3 ,3/15/2022 7:07:40 AM , 522 ,3/15/2022 7:08:00 AM , 796 ,3/15/2022 7:08:20 AM , 585 ,3/15/2022 7:08:40 AM , 1023 ,3/15/2022 7:09:00 AM , 997 ,3/15/2022 7:09:20 AM , 1407 ,3/15/2022 7:09:40 AM , 835 ,3/15/2022 7:10:00 AM , 579 ,3/15/2022 7:10:20 AM , 971 ,3/15/2022 7:10:40 AM , 927 ,3/15/2022 7:11:00 AM , 1073 ,3/15/2022 7:11:20 AM , 937 ,3/15/2022 7:11:40 AM , 1072 ,3/15/2022 7:12:00 AM , 1511 ,3/15/2022 7:12:20 AM , 1287 ,3/15/2022 7:12:40 AM , 348 ,
 4 ,3/15/2022 7:13:20 AM , 690 ,3/15/2022 7:13:40 AM , 721 ,3/15/2022 7:14:00 AM , 1145 ,3/15/2022 7:14:20 AM , 1287 ,3/15/2022 7:14:40 AM , 313 ,3/15/2022 7:15:00 AM , 744 ,3/15/2022 7:15:20 AM , 995 ,3/15/2022 7:15:40 AM , 899 ,3/15/2022 7:16:00 AM , 697 ,3/15/2022 7:16:20 AM , 907 ,3/15/2022 7:16:40 AM , 590 ,3/15/2022 7:17:00 AM , 685 ,3/15/2022 7:17:20 AM , 558 ,3/15/2022 7:17:40 AM , 964 ,3/15/2022 7:18:00 AM , 1104 ,3/15/2022 7:18:20 AM , 513 ,
 5 ,3/15/2022 7:19:00 AM , 386 ,3/15/2022 7:19:20 AM , 443 ,3/15/2022 7:19:40 AM , 280 ,3/15/2022 7:20:00 AM , 614 ,3/15/2022 7:20:20 AM , 429 ,3/15/2022 7:20:40 AM , 858 ,3/15/2022 7:21:00 AM , 558 ,3/15/2022 7:21:20 AM , 538 ,3/15/2022 7:21:40 AM , 1152 ,3/15/2022 7:22:00 AM , 885 ,3/15/2022 7:22:20 AM , 819 ,3/15/2022 7:22:40 AM , 1455 ,3/15/2022 7:23:00 AM , 696 ,3/15/2022 7:23:20 AM , 966 ,3/15/2022 7:23:40 AM , 770 ,3/15/2022 7:24:00 AM , 690 ,
 6 ,3/15/2022 7:24:40 AM , 178 ,3/15/2022 7:25:00 AM , 1063 ,3/15/2022 7:25:20 AM , 210 ,3/15/2022 7:25:40 AM , 534 ,3/15/2022 7:26:00 AM , 368 ,3/15/2022 7:26:20 AM , 908 ,3/15/2022 7:26:40 AM , 431 ,3/15/2022 7:27:00 AM , 860 ,3/15/2022 7:27:20 AM , 1089 ,3/15/2022 7:27:40 AM , 825 ,3/15/2022 7:28:00 AM , 1009 ,3/15/2022 7:28:20 AM , 483 ,3/15/2022 7:28:40 AM , 295 ,3/15/2022 7:29:00 AM , 1053 ,3/15/2022 7:29:20 AM , 1255 ,3/15/2022 7:29:40 AM , 1424 ,
 7 ,3/15/2022 7:30:20 AM , 277 ,3/15/2022 7:30:40 AM , 563 ,3/15/2022 7:31:00 AM , 595 ,3/15/2022 7:31:20 AM , 861 ,3/15/2022 7:31:40 AM , 956 ,3/15/2022 7:32:00 AM , 806 ,3/15/2022 7:32:20 AM , 359 ,3/15/2022 7:32:40 AM , 839 ,3/15/2022 7:33:00 AM , 877 ,3/15/2022 7:33:20 AM , 258 ,3/15/2022 7:33:40 AM , 802 ,3/15/2022 7:34:00 AM , 438 ,3/15/2022 7:34:20 AM , 687 ,3/15/2022 7:34:40 AM , 776 ,3/15/2022 7:35:00 AM , 931 ,3/15/2022 7:35:20 AM , 970 ,
 8 ,3/15/2022 7:36:00 AM , 66 ,3/15/2022 7:36:20 AM , 915 ,3/15/2022 7:36:40 AM , 735 ,3/15/2022 7:37:00 AM , 882 ,3/15/2022 7:37:20 AM , 345 ,3/15/2022 7:37:40 AM , 1075 ,3/15/2022 7:38:00 AM , 913 ,3/15/2022 7:38:20 AM , 300 ,3/15/2022 7:38:40 AM , 1131 ,3/15/2022 7:39:00 AM , 697 ,3/15/2022 7:39:20 AM , 901 ,3/15/2022 7:39:40 AM , 857 ,3/15/2022 7:40:00 AM , 1410 ,3/15/2022 7:40:20 AM , 868 ,3/15/2022 7:40:40 AM , 772 ,3/15/2022 7:41:00 AM , 1035 ,
